,Kenya,Bolivia (Plurinational State of),Peru,Belize,Cameroon,Grenada,Tonga,Dominican Republic,Guadeloupe,Lao People's Democratic Republic,Pacific Islands Trust Territory,Liberia,Uganda,Malawi,Venezuela (Bolivarian Republic of),Melanesia,New Caledonia,Rwanda,Democratic Republic of the Congo,Bahamas,Guatemala,Nigeria,French Guiana,Myanmar,Haiti,Costa Rica,Guinea,Cuba,El Salvador,Dominica,Equatorial Guinea,Congo,Gabon,Ecuador,Honduras,Panama,Puerto Rico,Sri Lanka,Suriname,Côte d'Ivoire,Colombia,Trinidad and Tobago,Jamaica,United Republic of Tanzania,Micronesia (Federated States of),Guinea-Bissau,Saint Lucia,Central African Republic,Sierra Leone,Saint Vincent and the Grenadines,Martinique,Micronesia,Ghana,Polynesia,Nicaragua,Guyana
1961,1000.0,2000.0,37000.0,-1.0,95000.0,-1.0,500.0,55400.0,90.0,-1,2000.0,15000.0,616000.0,22000.0,60108.0,700.0,700.0,99000.0,220000.0,-1.0,4300.0,200000.0,150.0,24281.0,33000.0,5000.0,50000.0,8600.0,1000.0,-1.0,-1.0,4000.0,18000.0,19106.0,5257.0,-1.0,5541.0,39502.0,516.0,320000.0,187400.0,360.0,700.0,132600.0,-1.0,7000.0,-1.0,18000.0,4000.0,-1.0,100.0,2000.0,110000.0,500.0,5200.0,6262.0
1962,1000.0,3000.0,24880.0,-1.0,120000.0,-1.0,400.0,53600.0,90.0,-1,2000.0,15000.0,649000.0,22000.0,60007.0,700.0,700.0,147000.0,223000.0,-1.0,4800.0,200000.0,150.0,26305.0,34000.0,5100.0,55000.0,9100.0,1000.0,-1.0,-1.0,4000.0,18000.0,16386.0,5107.0,-1.0,5980.0,39246.0,451.0,360000.0,189200.0,380.0,660.0,129000.0,-1.0,7000.0,-1.0,18000.0,4000.0,-1.0,110.0,2000.0,110000.0,400.0,5200.0,6880.0
1963,1000.0,2000.0,24880.0,-1.0,120000.0,-1.0,400.0,54800.0,90.0,-1,2023.0,15000.0,705000.0,23000.0,58911.0,700.0,700.0,88000.0,225000.0,-1.0,5500.0,200000.0,100.0,30352.0,34000.0,5400.0,45000.0,9800.0,1000.0,-1.0,-1.0,4000.0,19000.0,18131.0,5051.0,-1.0,6367.0,39000.0,450.0,345000.0,191600.0,400.0,600.0,144000.0,-1.0,7000.0,-1.0,18000.0,4000.0,-1.0,120.0,2023.0,120000.0,400.0,5700.0,5782.0
1964,1000.0,4000.0,44460.0,-1.0,166000.0,-1.0,400.0,55200.0,90.0,-1,607.0,15000.0,746000.0,23000.0,59507.0,750.0,750.0,94285.0,227000.0,-1.0,6100.0,200000.0,105.0,31971.0,35000.0,5600.0,50000.0,10000.0,1000.0,-1.0,-1.0,4000.0,19000.0,22374.0,4978.0,-1.0,5502.0,42000.0,304.0,365000.0,196800.0,450.0,600.0,157000.0,-1.0,8000.0,-1.0,18000.0,4000.0,-1.0,130.0,607.0,120000.0,400.0,6200.0,6984.0
1965,1000.0,4000.0,47510.0,-1.0,106000.0,-1.0,350.0,55300.0,90.0,-1,607.0,15000.0,464000.0,24000.0,57043.0,750.0,750.0,100185.0,230000.0,-1.0,6100.0,200000.0,140.0,33589.0,36000.0,5700.0,50000.0,9200.0,1000.0,-1.0,-1.0,4000.0,20000.0,35701.0,4898.0,-1.0,6445.0,45000.0,257.0,375000.0,170500.0,520.0,365.0,157000.0,-1.0,8000.0,-1.0,18000.0,4000.0,-1.0,130.0,607.0,125000.0,350.0,4600.0,7004.0
1966,1000.0,4606.0,59375.0,-1.0,112000.0,-1.0,300.0,56000.0,100.0,-1,600.0,15000.0,468900.0,24000.0,54669.0,750.0,750.0,121000.0,233000.0,-1.0,5600.0,200000.0,140.0,34399.0,37000.0,5800.0,50000.0,9500.0,1000.0,-1.0,-1.0,4500.0,20000.0,39478.0,4940.0,-1.0,6500.0,20825.0,385.0,380000.0,225000.0,580.0,416.0,207000.0,-1.0,8000.0,-1.0,20000.0,4000.0,-1.0,130.0,600.0,127000.0,300.0,4400.0,6301.0
1967,1000.0,5296.0,60675.0,-1.0,140638.0,-1.0,250.0,49000.0,100.0,-1,600.0,15000.0,629100.0,24000.0,51380.0,750.0,750.0,130000.0,236000.0,-1.0,6500.0,200000.0,130.0,36827.0,37000.0,5800.0,55000.0,8522.0,1000.0,-1.0,-1.0,4500.0,21000.0,40136.0,5175.0,-1.0,6400.0,24199.0,448.0,380000.0,230000.0,480.0,1050.0,137000.0,-1.0,8000.0,-1.0,20000.0,4000.0,-1.0,130.0,600.0,135000.0,250.0,4800.0,6786.0
1968,1000.0,5636.0,60790.0,-1.0,156873.0,-1.0,250.0,49500.0,100.0,-1,600.0,15000.0,800100.0,24000.0,55222.0,750.0,750.0,134500.0,240000.0,-1.0,5900.0,200000.0,130.0,37636.0,37000.0,5700.0,50000.0,5428.0,1000.0,-1.0,-1.0,4500.0,21000.0,38096.0,5421.0,-1.0,5700.0,52903.0,800.0,380000.0,230000.0,500.0,1062.0,113000.0,-1.0,8000.0,-1.0,20000.0,4000.0,-1.0,140.0,600.0,140000.0,250.0,4800.0,5471.0
1969,1000.0,5900.0,65700.0,-1.0,150640.0,-1.0,250.0,58200.0,100.0,-1,600.0,15000.0,738000.0,24000.0,60581.0,750.0,750.0,136500.0,220000.0,-1.0,5900.0,200000.0,120.0,38041.0,38000.0,5800.0,50000.0,3805.0,1000.0,-1.0,-1.0,4500.0,23000.0,35202.0,5960.0,-1.0,6400.0,44514.0,529.0,385000.0,240000.0,560.0,954.0,149500.0,-1.0,8000.0,-1.0,20000.0,4000.0,-1.0,140.0,600.0,146000.0,250.0,5000.0,5795.0
1970,1000.0,6200.0,68497.0,-1.0,171461.0,-1.0,300.0,60400.0,100.0,-1,600.0,15000.0,909000.0,24000.0,61593.0,800.0,800.0,150100.0,249900.0,-1.0,7000.0,180000.0,180.0,38850.0,38500.0,5500.0,45000.0,5254.0,1010.0,-1.0,-1.0,4500.0,23000.0,35930.0,6289.0,-1.0,6681.0,44199.0,397.0,390000.0,240000.0,580.0,1235.0,210000.0,-1.0,8000.0,-1.0,20000.0,4000.0,-1.0,145.0,600.0,146000.0,300.0,5100.0,6920.0
