,USSR,Burkina Faso,Eritrea,Israel,Paraguay,Iraq,Sri Lanka,Pakistan,Yemen,United Republic of Tanzania,South Sudan,Ethiopia,Kenya,Costa Rica,Bangladesh,Italy,Lao People's Democratic Republic,Senegal,Lebanon,Uganda,Somalia,Thailand,Togo,Benin,Uzbekistan,China,Cambodia,Mozambique,Niger,Sudan (former),Morocco,El Salvador,Brazil,Honduras,Chad,Colombia,Central African Republic,Panama,India,Syrian Arab Republic,"China, Taiwan Province of",Ecuador,Japan,Jordan,Afghanistan,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Saudi Arabia,Sudan,Greece,Tajikistan,Viet Nam,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Nicaragua,Mali,Congo,Turkey,Dominican Republic,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Peru,Gambia,United States of America,Mexico,Guinea,"China, mainland",Sierra Leone,Cyprus,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Cameroon,Myanmar,Guatemala
1961,750.0,1895.0,,2535.0,,5329.0,5052.0,2558.0,5356.0,3484.0,,,3900.0,5000.0,4597.0,7622.0,,,10000.0,3119.0,4500.0,8807.0,2000.0,2000.0,,2945.0,8000.0,6250.0,,5631.0,6000.0,8947.0,5769.0,7065.0,3333.0,6256.0,1667.0,6100.0,1652.0,6000.0,5089.0,11335.0,6379.0,4255.0,5723.0,2667.0,4003.0,9294.0,,8333.0,,2931.0,,4000.0,2750.0,3942.0,3423.0,2800.0,6699.0,,3571.0,5641.0,4300.0,547.0,,4000.0,,6000.0,6667.0,,5488.0,6776.0,4040.0,2916.0,5000.0,2544.0,4615.0,5000.0,3263.0,1543.0,5385.0
1962,434.0,3773.0,,4456.0,,5651.0,4900.0,2715.0,5732.0,3048.0,,,3899.0,4672.0,4983.0,6520.0,,,11111.0,4098.0,3000.0,9174.0,2000.0,2100.0,,3581.0,6709.0,6667.0,,4356.0,6000.0,9333.0,5625.0,7114.0,3333.0,5003.0,2571.0,6300.0,1928.0,7108.0,4790.0,10482.0,6494.0,3740.0,5783.0,2667.0,4000.0,9700.0,,8333.0,,2744.0,,3984.0,2813.0,3834.0,4448.0,2857.0,6703.0,,3571.0,5775.0,5333.0,974.0,,4167.0,,6000.0,5618.0,,5556.0,6625.0,895.0,3566.0,5000.0,2308.0,4953.0,5000.0,6238.0,1708.0,5600.0
1963,643.0,1967.0,,4714.0,,6753.0,4307.0,3044.0,5568.0,2797.0,,,3898.0,5333.0,4865.0,7073.0,,,9000.0,4025.0,4286.0,9174.0,2000.0,2200.0,,3252.0,6474.0,5000.0,,3499.0,6000.0,8182.0,5769.0,7103.0,3333.0,5556.0,2571.0,6500.0,1820.0,7108.0,3721.0,10034.0,6619.0,3769.0,5783.0,3000.0,4000.0,10312.0,,8158.0,,3723.0,,3982.0,2875.0,3900.0,3190.0,2865.0,6714.0,,3571.0,5405.0,5667.0,1208.0,,4364.0,,6087.0,6286.0,,5455.0,6752.0,4100.0,3248.0,5000.0,2205.0,5027.0,5000.0,3103.0,1827.0,5417.0
1964,882.0,2000.0,,5916.0,,7406.0,4783.0,2721.0,5719.0,2927.0,,,3900.0,5333.0,4384.0,6779.0,,,9333.0,2752.0,4167.0,8106.0,2000.0,2300.0,,3900.0,6667.0,9259.0,,3917.0,6000.0,10000.0,5769.0,7253.0,2941.0,5625.0,2441.0,6733.0,1947.0,6762.0,4438.0,9648.0,6445.0,4731.0,5783.0,4286.0,4000.0,9920.0,,8158.0,,3535.0,,4125.0,2938.0,4202.0,3362.0,2872.0,6744.0,,3571.0,5667.0,6145.0,1347.0,,3529.0,,6000.0,6667.0,,5333.0,6571.0,4450.0,3897.0,5000.0,953.0,6811.0,5000.0,4954.0,1404.0,5556.0
1965,667.0,2400.0,,8142.0,,6777.0,4445.0,2510.0,5719.0,2765.0,,,3895.0,5333.0,4859.0,6587.0,,,10000.0,3158.0,4286.0,7427.0,2000.0,2400.0,,3871.0,6667.0,7407.0,,4022.0,6000.0,10476.0,5833.0,7254.0,2941.0,6000.0,2273.0,6967.0,1690.0,7087.0,5270.0,7523.0,6326.0,3977.0,5964.0,3571.0,4000.0,10313.0,,8000.0,,3610.0,,4000.0,3000.0,4069.0,4432.0,2905.0,7159.0,,3571.0,5667.0,5455.0,1114.0,,2727.0,,6000.0,8000.0,,,5778.0,1000.0,3859.0,5000.0,1794.0,6216.0,5000.0,2754.0,1428.0,5600.0
1966,370.0,2000.0,,4159.0,,7276.0,4683.0,2343.0,5807.0,1892.0,,,3895.0,5333.0,5458.0,6942.0,,,10000.0,3542.0,4306.0,6834.0,2000.0,2500.0,,4260.0,6712.0,5750.0,,3423.0,6000.0,10889.0,5882.0,7495.0,3286.0,5714.0,2657.0,7200.0,1489.0,8906.0,3047.0,8916.0,6243.0,3636.0,6325.0,4000.0,3853.0,8846.0,,8000.0,,3485.0,,4267.0,3000.0,4628.0,4119.0,2909.0,6856.0,,3571.0,5926.0,5327.0,1523.0,,3750.0,,6154.0,7600.0,,,6611.0,2000.0,4271.0,4000.0,1903.0,6340.0,5000.0,4085.0,1207.0,5200.0
1967,1250.0,2000.0,,5242.0,,7484.0,5627.0,2859.0,6273.0,2987.0,,,4000.0,5333.0,5843.0,6891.0,,,7466.0,1809.0,4306.0,6854.0,2000.0,2667.0,,4502.0,6533.0,6000.0,,3596.0,6000.0,10682.0,5747.0,7337.0,3286.0,5500.0,2653.0,7333.0,1677.0,7881.0,5628.0,6861.0,6170.0,3846.0,6325.0,3429.0,4416.0,8702.0,,8095.0,,3828.0,,4400.0,3000.0,4517.0,4367.0,2865.0,6790.0,,3571.0,6667.0,5218.0,2213.0,,5000.0,,6087.0,7600.0,,,5736.0,2000.0,4492.0,4000.0,3054.0,6044.0,5000.0,3305.0,1185.0,5467.0
1968,1200.0,3792.0,,4520.0,,7516.0,5317.0,2954.0,6305.0,2718.0,,,4000.0,5333.0,5943.0,6200.0,,,7029.0,2396.0,4306.0,7690.0,2000.0,2750.0,,3939.0,6449.0,5000.0,,2775.0,6000.0,10769.0,5882.0,7195.0,3000.0,7970.0,2559.0,7333.0,1744.0,6402.0,5029.0,6657.0,5882.0,5495.0,6585.0,3333.0,4719.0,9919.0,,7989.0,,2932.0,,4400.0,3077.0,4807.0,4500.0,2895.0,6573.0,,3333.0,6250.0,5091.0,1362.0,,3875.0,,6154.0,8400.0,,,6142.0,2000.0,3929.0,4000.0,3396.0,5443.0,5000.0,3364.0,1671.0,5474.0
1969,500.0,1707.0,,5759.0,,7528.0,5379.0,3588.0,6229.0,2724.0,,,4000.0,5333.0,6076.0,6087.0,,,7273.0,2595.0,4306.0,7358.0,2000.0,2500.0,,4286.0,7013.0,5714.0,,3043.0,6154.0,10714.0,5769.0,7066.0,4609.0,7449.0,2687.0,5000.0,1941.0,5947.0,5735.0,7583.0,5932.0,4932.0,6687.0,2500.0,4940.0,10883.0,,6800.0,,3228.0,,4400.0,3000.0,4421.0,4545.0,2900.0,6366.0,,3333.0,6119.0,4982.0,854.0,,4429.0,,6154.0,8000.0,,,6626.0,2000.0,4274.0,4000.0,3630.0,5383.0,5000.0,3653.0,1480.0,9130.0
1970,1250.0,2381.0,,5435.0,,7838.0,10843.0,3303.0,6779.0,2631.0,,,4000.0,5333.0,6102.0,7118.0,,,8358.0,2576.0,4583.0,7605.0,2000.0,2588.0,,4746.0,6410.0,4474.0,,3807.0,5882.0,10000.0,5714.0,6949.0,3667.0,6533.0,2595.0,4955.0,2311.0,4567.0,5167.0,8371.0,5700.0,2986.0,6325.0,5000.0,5296.0,11612.0,,6667.0,,3545.0,,4533.0,3077.0,4030.0,4560.0,2804.0,6795.0,,3333.0,5806.0,4855.0,1302.0,,5556.0,,6000.0,6706.0,,,6555.0,2000.0,4743.0,4484.0,3054.0,7056.0,5000.0,3448.0,1532.0,11829.0
