,Cuba,USSR,Indonesia,South Africa,Angola,Madagascar,Pakistan,Malaysia,Thailand,Ethiopia,Bangladesh,Democratic Republic of the Congo,Nigeria,Ethiopia PDR,Mali,Russian Federation,Brazil,China,Mozambique,"China, mainland",El Salvador,Chile,Spain,Central African Republic,Myanmar,Guatemala,India
1961,1000.0,39500.0,4000.0,2300.0,1500.0,2410.0,6900.0,,239300.0,,34350.0,10909.0,,,,,13130.0,66000.0,1000.0,66000.0,1400.0,,2844.0,,35.0,500.0,416200.0
1962,1000.0,42000.0,4000.0,2300.0,1500.0,1087.0,7100.0,,134400.0,,34900.0,8608.0,,,,,13152.0,36000.0,1000.0,36000.0,1400.0,,1829.0,16.0,35.0,600.0,392700.0
1963,2000.0,44500.0,4000.0,2300.0,1500.0,1700.0,7100.0,,211700.0,,34170.0,9237.0,,,,,13144.0,53500.0,1000.0,53500.0,1400.0,,759.0,70.0,35.0,800.0,417460.0
1964,2300.0,38400.0,5000.0,2500.0,1500.0,2305.0,7800.0,,303100.0,,44900.0,5364.0,,,,,12692.0,63500.0,2000.0,63500.0,1400.0,,100.0,120.0,1404.0,700.0,367640.0
1965,4000.0,37900.0,5000.0,1500.0,1500.0,2040.0,6500.0,,529100.0,,54540.0,6558.0,,,,,15701.0,75500.0,4000.0,75500.0,2900.0,,150.0,120.0,1428.0,500.0,290780.0
1966,6600.0,41100.0,8400.0,1100.0,2000.0,1735.0,7400.0,,662400.0,,26140.0,6010.0,,,,,17201.0,94000.0,5000.0,94000.0,5400.0,,200.0,180.0,1242.0,300.0,277044.0
1967,7200.0,52500.0,15700.0,1200.0,2000.0,2035.0,6500.0,,421800.0,,57960.0,5123.0,,,,,13867.0,107500.0,6000.0,107500.0,4300.0,,233.0,620.0,905.0,700.0,300360.0
1968,6550.0,44900.0,12600.0,2000.0,2400.0,2105.0,7100.0,,316000.0,,26926.0,7500.0,,,23.0,,15249.0,107000.0,6000.0,107000.0,4300.0,,,570.0,650.0,500.0,230562.0
1969,2000.0,52500.0,16900.0,2000.0,2000.0,3980.0,6300.0,,373400.0,,44283.0,8800.0,,,120.0,,13009.0,93000.0,5000.0,93000.0,4100.0,,,400.0,509.0,238.0,270454.0
1970,2000.0,50000.0,15611.0,2000.0,1700.0,2980.0,6265.0,,380900.0,,28380.0,6000.0,,,213.0,,14972.0,85000.0,6800.0,85000.0,2200.0,,,798.0,508.0,416.0,290800.0
1971,2000.0,57450.0,7580.0,2000.0,1200.0,2260.0,6393.0,,419100.0,,21531.0,3943.0,,,430.0,,13274.0,82000.0,5700.0,82000.0,5400.0,,,638.0,562.0,803.0,261872.0
1972,3000.0,56250.0,8301.0,1200.0,1100.0,660.0,6486.0,,427900.0,,24012.0,5405.0,,,638.0,,26927.0,102500.0,4000.0,102500.0,5400.0,,,578.0,370.0,952.0,249288.0
1973,3000.0,45450.0,13926.0,1200.0,1100.0,1440.0,6889.0,,468900.0,,22558.0,3423.0,,,761.0,,34288.0,150500.0,4500.0,150500.0,5400.0,,,549.0,339.0,897.0,315252.0
1974,18853.0,38550.0,16000.0,1200.0,1100.0,410.0,7011.0,,384140.0,,13319.0,3025.0,,,1130.0,,29471.0,170000.0,4500.0,170000.0,5400.0,,,505.0,129.0,224.0,303050.0
1975,21528.0,36200.0,18200.0,1200.0,1000.0,520.0,7156.0,,307602.0,,13745.0,3541.0,,,1424.0,,45160.0,188500.0,4000.0,188500.0,5400.0,,,500.0,27.0,202.0,327802.0
1976,21601.0,48600.0,17471.0,1200.0,1000.0,110.0,7015.0,,185933.0,,14959.0,1203.0,,,1296.0,,60591.0,195000.0,4000.0,195000.0,1423.0,,,400.0,30.0,266.0,369608.0
1977,16364.0,46800.0,7835.0,1200.0,1000.0,125.0,7041.0,,245830.0,,16344.0,747.0,,,1096.0,,57056.0,230000.0,4000.0,230000.0,483.0,,,300.0,42.0,166.0,376668.0
1978,11342.0,43950.0,7212.0,1200.0,1000.0,350.0,5537.0,,337814.0,,18659.0,748.0,,,1934.0,,60318.0,294000.0,4000.0,294000.0,610.0,5000.0,,167.0,57.0,200.0,389694.0
1979,15830.0,47850.0,15511.0,1200.0,1000.0,385.0,5524.0,,221808.0,,15473.0,637.0,,,2080.0,,51433.0,294500.0,4000.0,294500.0,660.0,5000.0,,101.0,15.0,328.0,386610.0
1980,10200.0,52350.0,14639.0,1200.0,1000.0,385.0,6862.0,,211323.0,,9845.0,872.0,,,1612.0,,50053.0,294000.0,4000.0,294000.0,700.0,10200.0,,47.0,37.0,295.0,350906.0
1981,16512.0,45000.0,15293.0,1200.0,1000.0,535.0,6889.0,,193833.0,,9730.0,900.0,530.0,,1800.0,,58269.0,340200.0,4000.0,340200.0,700.0,10000.0,,60.0,47.0,245.0,341240.0
1982,15773.0,45000.0,17284.0,1200.0,1000.0,540.0,6676.0,,199608.0,,9116.0,1500.0,500.0,6.0,2000.0,,44977.0,290000.0,4000.0,290000.0,475.0,10000.0,,70.0,40.0,235.0,262200.0
1983,19886.0,45000.0,15991.0,1200.0,1000.0,565.0,6771.0,,234784.0,,8599.0,2000.0,500.0,110.0,2000.0,,48363.0,280000.0,4000.0,280000.0,725.0,10000.0,,70.0,30.0,243.0,298000.0
