,Fiji,Dominica,Sri Lanka,United Republic of Tanzania,Samoa,Ethiopia,Kenya,Guyana,Costa Rica,Zambia,Uganda,Benin,Uzbekistan,Brazil,Cambodia,Niger,Slovenia,Honduras,Philippines,Zimbabwe,Kyrgyzstan,Malawi,India,Saint Lucia,Ecuador,Indonesia,Ethiopia PDR,"China, Macao SAR",Melanesia,Malaysia,Georgia,Mexico,Tajikistan,Polynesia,Viet Nam,Mali,Bolivia (Plurinational State of),Thailand,Peru,Ghana,Brunei Darussalam,Guatemala,"China, mainland",Madagascar,Côte d'Ivoire,Rwanda,Cameroon,China
1961,50.0,,2700.0,-1.0,4.0,,,-1.0,-1.0,,500.0,100.0,,4688.0,1300.0,-1.0,,50.0,-1.0,-1.0,,-1.0,28000.0,,-1.0,13600.0,250.0,100.0,50.0,15000.0,,150.0,,4.0,450.0,,-1.0,1200.0,-1.0,-1.0,6.0,100.0,1000.0,2000.0,50.0,-1.0,20.0,1100.0
1962,50.0,,2700.0,-1.0,4.0,,,-1.0,-1.0,,500.0,100.0,,3753.0,1400.0,-1.0,,50.0,-1.0,-1.0,,-1.0,26000.0,,-1.0,55400.0,350.0,70.0,50.0,16000.0,,200.0,,4.0,450.0,,-1.0,1300.0,-1.0,-1.0,6.0,100.0,1200.0,1700.0,50.0,-1.0,20.0,1270.0
1963,50.0,,2700.0,-1.0,4.0,,,-1.0,-1.0,,500.0,100.0,,6454.0,1450.0,-1.0,,50.0,-1.0,-1.0,,-1.0,24000.0,,-1.0,57900.0,500.0,70.0,50.0,17000.0,,300.0,,4.0,450.0,,-1.0,1350.0,-1.0,-1.0,8.0,150.0,1200.0,2100.0,60.0,-1.0,30.0,1270.0
1964,50.0,,2800.0,-1.0,4.0,,,-1.0,-1.0,,500.0,100.0,,6461.0,1500.0,-1.0,,50.0,-1.0,-1.0,,-1.0,24000.0,,-1.0,46400.0,800.0,50.0,50.0,15000.0,,400.0,,4.0,450.0,,-1.0,1400.0,-1.0,-1.0,8.0,150.0,1000.0,2070.0,80.0,-1.0,30.0,1050.0
1965,50.0,,2950.0,-1.0,4.0,,,-1.0,-1.0,,500.0,100.0,,8923.0,1500.0,-1.0,,100.0,-1.0,-1.0,,-1.0,23000.0,,-1.0,11000.0,600.0,60.0,50.0,20000.0,,300.0,,4.0,605.0,,-1.0,1500.0,-1.0,-1.0,10.0,200.0,1200.0,1720.0,80.0,-1.0,40.0,1260.0
1966,30.0,,2400.0,-1.0,4.0,,,-1.0,-1.0,,500.0,100.0,,9584.0,1600.0,-1.0,,100.0,-1.0,-1.0,,-1.0,27000.0,,-1.0,36300.0,100.0,100.0,30.0,16129.0,,400.0,,4.0,440.0,,-1.0,1650.0,-1.0,-1.0,7.0,250.0,1250.0,2355.0,80.0,-1.0,39.0,1350.0
1967,50.0,,2450.0,-1.0,4.0,,,-1.0,-1.0,,500.0,150.0,,10323.0,2520.0,-1.0,,100.0,-1.0,-1.0,,-1.0,26000.0,,-1.0,16500.0,100.0,80.0,50.0,22781.0,,300.0,,4.0,470.0,,-1.0,1800.0,-1.0,-1.0,8.0,270.0,1500.0,2650.0,70.0,-1.0,60.0,1580.0
1968,55.0,,2850.0,-1.0,4.0,,,-1.0,-1.0,,500.0,100.0,,14094.0,1800.0,-1.0,,100.0,-1.0,-1.0,,-1.0,25700.0,,-1.0,46665.0,100.0,70.0,55.0,27730.0,,400.0,,4.0,450.0,,-1.0,2000.0,-1.0,-1.0,11.0,270.0,1600.0,2915.0,75.0,-1.0,60.0,1670.0
1969,60.0,,2800.0,-1.0,4.0,,,-1.0,-1.0,,500.0,100.0,,14031.0,1670.0,-1.0,,100.0,-1.0,-1.0,,-1.0,25500.0,,-1.0,17070.0,100.0,90.0,60.0,32892.0,,500.0,,4.0,435.0,,-1.0,2200.0,-1.0,-1.0,3.0,300.0,1400.0,2770.0,70.0,-1.0,20.0,1490.0
1970,65.0,,3250.0,-1.0,4.0,,,-1.0,-1.0,,700.0,100.0,,14267.0,1670.0,-1.0,,150.0,-1.0,-1.0,,-1.0,26160.0,,-1.0,17219.0,100.0,75.0,65.0,31600.0,,500.0,,4.0,410.0,,-1.0,2300.0,-1.0,-1.0,6.0,300.0,1500.0,2115.0,100.0,-1.0,20.0,1575.0
