,Uzbekistan,Turkey,Syrian Arab Republic,Tunisia,United States of America,Iran (Islamic Republic of),Jordan,Australia,China,Madagascar,Mexico,Australia & New Zealand,Pakistan,"China, mainland",Greece,Azerbaijan,Cyprus,Afghanistan,Spain,Italy,Kyrgyzstan
1961,,3800.0,3077.0,,,4000.0,,,,,,,,,,,,,,,
1962,,3526.0,2250.0,,,4667.0,,,,,,,,,,,,,,,
1963,,6699.0,2250.0,,,3333.0,,,,,,,,,,,,,,,
1964,,4000.0,2600.0,,,5333.0,,,,,,,,,,,,,,,
1965,,5320.0,1000.0,,,3500.0,,,,,,,,,,,,,,,
1966,,9358.0,2344.0,,,5000.0,,,,,,,,,,,,,,,
1967,,5165.0,2344.0,,,2000.0,,,,,,,,,,,,,,,
1968,,13013.0,2337.0,,,5441.0,,,,,,,,,,,,,,,
1969,,2894.0,2405.0,,,5147.0,,,,,,,,,,,,,,,
1970,,9089.0,6034.0,100.0,,4800.0,,,,,,,,,,,,,,,
1971,,5597.0,1725.0,94.0,,7744.0,,,,,,,,,,,,,,,
1972,,17425.0,7605.0,88.0,,6962.0,,,,,,,,,,,,,,,
1973,,3867.0,2166.0,100.0,,6889.0,,,,,,,,,,,,,,,
1974,,11926.0,6548.0,115.0,,9130.0,,,,,,,,,,,,,,,
1975,,15500.0,9147.0,82.0,,5652.0,6250.0,,,,,,,,,,,,,,
1976,,2350.0,3273.0,73.0,,8000.0,5556.0,,,,,,,,,,,7957.0,,,
1977,,19311.0,4064.0,68.0,30246.0,5745.0,5000.0,,,,,,,,,,,5745.0,,,
1978,,2864.0,4311.0,67.0,8303.0,8214.0,4545.0,,,,,,,,,,556.0,8085.0,,,
1979,,9267.0,3086.0,59.0,7589.0,938.0,3448.0,,,,,,6154.0,,,,556.0,4348.0,,,
1980,,3251.0,4174.0,114.0,11205.0,2054.0,15455.0,,,,,,14063.0,,,,545.0,7111.0,,,
1981,,10058.0,4233.0,92.0,5824.0,10714.0,17778.0,,,,,,16000.0,,,,667.0,5909.0,,,
1982,,5230.0,3349.0,78.0,16269.0,10446.0,17407.0,,,,,,17722.0,,,,667.0,7442.0,,,
1983,,10058.0,3695.0,84.0,9512.0,11780.0,20000.0,,,,,,19318.0,,,,750.0,5952.0,,,
1984,,9148.0,3529.0,100.0,22970.0,9305.0,21333.0,,,,3333.0,,23077.0,,,,532.0,7500.0,,,
1985,,13536.0,16254.0,109.0,9403.0,9747.0,20000.0,,11875.0,,4815.0,,28101.0,11875.0,11142.0,,1250.0,5946.0,,6061.0,
