,Slovakia,Uzbekistan,Romania,Turkmenistan,USSR,Norway,Australia,Mexico,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Morocco,Germany,Croatia,Tajikistan,Turkey,"China, mainland",Estonia,Serbia,Brazil,Finland,Serbia and Montenegro,Armenia,Australia & New Zealand,Democratic People's Republic of Korea,Slovenia,Chile,Hungary,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,South Africa,Austria,Ecuador,Japan,Poland,Canada,Sweden,Belarus,Denmark,Switzerland,Egypt,Georgia,Greece,Czechoslovakia,France,Republic of Korea,Viet Nam,Bosnia and Herzegovina,Montenegro,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Ukraine,Albania,Azerbaijan,Ireland,Cyprus,Peru,United Kingdom,Lithuania,Bulgaria,Netherlands,China
1961,,,89800.0,,16770000.0,906.0,25375.0,,,,,,,59649.0,2797.0,2008314.0,,,652000.0,1300000.0,,,23436.0,94015.0,,,25375.0,-1.0,,6040.0,279740.0,694500.0,43537.0,485075.0,,50000.0,211737.0,8100.0,890.0,4880000.0,227000.0,69138.0,,182674.0,10860.0,-1.0,,24705.0,463097.0,261200.0,16991.0,-1.0,,,,298492.0,100.0,180000.0,,,624000.0,,,10875.0,,728.0,,1000.0,7689.0,,70937.0,119419.0,1300000.0
1962,,,77149.0,,16938000.0,1779.0,23493.0,,,,,,,55767.0,3970.0,1903816.0,,,670000.0,1800000.0,,,25709.0,81691.0,,,23493.0,-1.0,,6500.0,253544.0,286550.0,39281.0,486240.0,,54000.0,208923.0,4513.0,920.0,4700000.0,258100.0,70897.0,,173791.0,16260.0,-1.0,,21954.0,440801.0,242800.0,18783.0,-1.0,,,,309158.0,100.0,177000.0,,,802000.0,,,11179.0,,809.0,,960.0,6880.0,,59411.0,106759.0,1800000.0
1963,,,80196.0,,15025000.0,1145.0,23353.0,,,,,,,52592.0,4000.0,1959213.0,,,693000.0,1500000.0,,,22879.0,76300.0,,,23353.0,-1.0,,6450.0,220837.0,655100.0,39737.0,437770.0,,62000.0,155772.0,3765.0,890.0,4383000.0,283700.0,38076.0,,115901.0,16400.0,-1.0,,20211.0,426462.0,231300.0,17519.0,-1.0,,,,318867.0,100.0,157000.0,,,643000.0,,,8871.0,,769.0,,960.0,8498.0,,57017.0,105432.0,1500000.0
1964,,,91100.0,,16807008.0,715.0,29047.0,,,,,,,51128.0,3000.0,1968949.0,,,700000.0,1300000.0,,,20898.0,102500.0,,,29047.0,-1.0,,8020.0,257080.0,773400.0,40573.0,406330.0,,86000.0,166237.0,2750.0,840.0,4404200.0,281576.0,41595.0,,92628.0,16950.0,-1.0,,17950.0,406137.0,220200.0,14285.0,-1.0,,,,312480.0,100.0,157000.0,,,686000.0,,,9631.0,,850.0,,960.0,8498.0,,57625.0,105710.0,1300000.0
1965,,,102211.0,,16030000.0,638.0,26227.0,,,,,,,47710.0,10660.0,1949987.0,,,730000.0,1300000.0,,,21376.0,110600.0,,,26227.0,-1.0,,7099.0,255366.0,331200.0,33250.0,392941.0,,106000.0,156518.0,3630.0,830.0,4447400.0,323339.0,60420.0,,87599.0,15366.0,-1.0,,15880.0,410517.0,220900.0,12609.0,-1.0,,,,316314.0,200.0,146000.0,,,596094.0,,,9177.0,,652.0,,955.0,7284.0,,46214.0,97892.0,1300000.0
1966,,,91200.0,,13583000.0,329.0,35489.0,,,,,,,46445.0,1900.0,1791115.0,,,732000.0,1400000.0,,,21347.0,92900.0,,,35489.0,-1.0,,6903.0,228216.0,420300.0,31511.0,383600.0,,126000.0,144003.0,3900.0,560.0,4308700.0,293717.0,39000.0,,46229.0,13210.0,-1.0,,13560.0,394784.0,197700.0,11732.0,-1.0,,,,282044.0,1000.0,141000.0,,,516372.0,,,9203.0,,567.0,,945.0,4047.0,,41492.0,74216.0,1400000.0
1967,,,62400.0,,12418000.0,707.0,34553.0,,,,,,,45787.0,3060.0,1720978.0,,,735000.0,1300000.0,,,22297.0,96300.0,,,34553.0,-1.0,,6500.0,208844.0,564500.0,29637.0,397652.0,,131000.0,138651.0,3750.0,390.0,4274300.0,277084.0,61200.0,,37471.0,15430.0,-1.0,,11336.0,318987.0,175100.0,8934.0,-1.0,,,,238929.0,1000.0,138000.0,,,430175.0,,,9063.0,,567.0,,960.0,4451.0,,31390.0,73393.0,1300000.0
1968,,,43467.0,,12269000.0,1256.0,39254.0,,,,,,,41762.0,3000.0,1697843.0,,,690000.0,1100000.0,,,22487.0,72400.0,,,39254.0,-1.0,,6750.0,192055.0,604200.0,28387.0,365683.0,,110000.0,142229.0,4000.0,120.0,4262800.0,274211.0,68600.0,,38487.0,15000.0,-1.0,,8490.0,336706.0,162700.0,7842.0,-1.0,,,,239000.0,1000.0,132000.0,,,403061.0,,,9333.0,,324.0,,905.0,4451.0,,23996.0,74843.0,1100000.0
1969,,,41623.0,,9237000.0,1350.0,34244.0,,,,,,,38000.0,1500.0,1563416.0,,,682000.0,1300000.0,,,22543.0,69900.0,,,34244.0,-1.0,,8396.0,186312.0,528400.0,22546.0,352600.0,,99000.0,147144.0,4500.0,120.0,4173900.0,343371.0,72300.0,,38326.0,11328.0,-1.0,,8490.0,275668.0,153900.0,7613.0,-1.0,,,,236000.0,1000.0,123806.0,,,522441.0,,,9164.0,,324.0,,860.0,3642.0,,24422.0,61893.0,1300000.0
1970,,,45100.0,,10020000.0,1510.0,40707.0,,,,,,,35309.0,9200.0,1545347.0,,,650000.0,1300000.0,,,22929.0,65900.0,,,40707.0,-1.0,,8310.0,151500.0,360300.0,21076.0,313200.0,,24000.0,136498.0,5000.0,120.0,3413000.0,336491.0,79500.0,,44315.0,12630.0,-1.0,,7100.0,219145.0,135000.0,6380.0,-1.0,,,,233000.0,1000.0,112000.0,,,577478.0,,,9813.0,,325.0,,1105.0,4451.0,,22112.0,56622.0,1300000.0
1971,,,47600.0,,9507000.0,1249.0,41458.0,,,,,,,29244.0,1900.0,1532156.0,,,655000.0,1270000.0,,,23819.0,65900.0,,,41458.0,-1.0,,8870.0,128000.0,432700.0,25354.0,294300.0,,25000.0,145210.0,5000.0,120.0,3710700.0,387279.0,82500.0,,42350.0,12170.0,-1.0,,6500.0,233552.0,128500.0,4804.0,-1.0,,,,224800.0,1050.0,109600.0,,,708595.0,,,8897.0,,324.0,,1020.0,6475.0,,19056.0,60040.0,1270000.0
1972,,,41600.0,,8160000.0,1405.0,28198.0,,,,,,,17923.0,2700.0,1489460.0,,,625000.0,1280000.0,,,20420.0,59200.0,,,28198.0,-1.0,,9170.0,120500.0,746500.0,22849.0,278400.0,,33000.0,143962.0,6000.0,110.0,3543300.0,256769.0,107100.0,,42610.0,12120.0,-1.0,,5800.0,231994.0,125900.0,4444.0,-1.0,,,,225531.0,1100.0,104000.0,,,424914.0,,,8720.0,,364.0,,895.0,6475.0,,16589.0,54453.0,1280000.0
1973,,,32500.0,,7012000.0,1887.0,28062.0,,,,,,,17509.0,5000.0,1384579.0,,,610000.0,1200000.0,,,20003.0,52000.0,,,28062.0,-1.0,,6260.0,107034.0,656000.0,17277.0,268200.0,,32000.0,122947.0,4000.0,110.0,3415800.0,256365.0,94800.0,,41587.0,11180.0,-1.0,,5300.0,224052.0,121600.0,3515.0,-1.0,,,,206905.0,1100.0,96000.0,,,386469.0,,,9500.0,,404.0,,770.0,5000.0,,15479.0,31068.0,1200000.0
1974,,,32000.0,,9810000.0,2849.0,16178.0,,,,,,,17321.0,2200.0,1344957.0,,,600000.0,1200000.0,,,22616.0,73400.0,,,16178.0,-1.0,,10600.0,105671.0,374700.0,14320.0,249000.0,,35000.0,122836.0,2000.0,110.0,3137600.0,341145.0,108600.0,,45692.0,8750.0,-1.0,,4800.0,217609.0,115500.0,4933.0,-1.0,,,,209831.0,1100.0,91000.0,,,317269.0,,,8740.0,,405.0,,805.0,4000.0,,14838.0,22147.0,1200000.0
1975,,,41000.0,,8010000.0,1410.0,14632.0,,,,,,,17103.0,2500.0,1217278.0,,,565000.0,1100000.0,,,20857.0,37600.0,,,14632.0,-1.0,,8720.0,104394.0,299500.0,9509.0,227500.0,,28000.0,118745.0,2000.0,100.0,2791947.0,333300.0,95000.0,,49910.0,6196.0,-1.0,,4700.0,189716.0,111000.0,6163.0,-1.0,,,,210800.0,1200.0,83500.0,,,294607.0,,,9000.0,,289.0,,615.0,6000.0,,16561.0,18189.0,1100000.0
1976,,,35000.0,,9035000.0,2149.0,20648.0,,,,,,,15908.0,4500.0,1263466.0,,,529000.0,1100000.0,,,13640.0,65200.0,,,20648.0,-1.0,,9510.0,92952.0,340000.0,15484.0,223900.0,,28000.0,119676.0,2000.0,100.0,2934079.0,250700.0,123000.0,,72133.0,9060.0,-1.0,,4600.0,186535.0,117500.0,4460.0,-1.0,,,,218709.0,900.0,76200.0,,,290965.0,,,9000.0,,405.0,,545.0,8000.0,,12845.0,21306.0,1100000.0
1977,,,40000.0,,6697000.0,2472.0,33599.0,,,,,,,14932.0,1700.0,1320762.0,,,520000.0,1100000.0,,,9080.0,47000.0,,,33599.0,-1.0,,11400.0,91085.0,240000.0,19941.0,236100.0,,20000.0,118749.0,2000.0,100.0,3115743.0,250200.0,111000.0,,88995.0,9090.0,-1.0,,3900.0,210381.0,129000.0,3464.0,-1.0,,,,189781.0,900.0,69000.0,,,273968.0,,,10000.0,,400.0,,877.0,10075.0,,12825.0,21116.0,1100000.0
1978,,,40000.0,,7719000.0,2230.0,49961.0,,,,,,,15057.0,7000.0,1302464.0,,,469000.0,1200000.0,,,8191.0,38200.0,,,49961.0,-1.0,,11260.0,78313.0,260000.0,17158.0,228369.0,,20000.0,108912.0,2000.0,118.0,3030002.0,318100.0,80144.0,,84071.0,9370.0,-1.0,,3700.0,185179.0,145000.0,3908.0,-1.0,,,,213289.0,800.0,63965.0,,,374740.0,,,10000.0,,350.0,,850.0,8652.0,,12940.0,17000.0,1200000.0
