,Burkina Faso,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,South Africa,United Arab Emirates,Lao People's Democratic Republic,Somalia,Suriname,Brazil,Paraguay,Niger,Australia & New Zealand,El Salvador,Saint Lucia,Chad,Colombia,New Caledonia,Central African Republic,Bahamas,Jamaica,Ecuador,Cabo Verde,Indonesia,Seychelles,Argentina,Antigua and Barbuda,South Sudan,Egypt,Melanesia,Togo,Malaysia,Mexico,Yemen,Haiti,Timor-Leste,Democratic Republic of the Congo,Nigeria,Mali,Congo,Martinique,Dominican Republic,Iran (Islamic Republic of),Peru,Gambia,Ghana,"China, mainland",India,Guinea-Bissau,Rwanda,Cameroon,Guatemala,Cuba,Puerto Rico,United States of America,Bhutan,Micronesia (Federated States of),Dominica,Madagascar,Swaziland,United Republic of Tanzania,Philippines,Samoa,Nepal,Cook Islands,Costa Rica,Bangladesh,Italy,Senegal,Benin,Mozambique,Montserrat,Occupied Palestinian Territory,Cambodia,Sudan (former),Morocco,Sierra Leone,Honduras,Zimbabwe,Malawi,"China, Taiwan Province of",Israel,Réunion,Japan,Maldives,Trinidad and Tobago,Namibia,Grenada,Wallis and Futuna Islands,Oman,Viet Nam,Micronesia,Bolivia (Plurinational State of),Sudan,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Guinea,Guadeloupe,Sri Lanka,Côte d'Ivoire,Polynesia,Myanmar,China
1961,-1.0,4.0,272.0,-1.0,34400.0,,60000.0,-1.0,,150.0,-1.0,1000.0,,150.0,100.0,-1.0,40600.0,-1.0,-1.0,272.0,-1.0,-1.0,-1.0,960.0,-1.0,-1.0,-1.0,-1.0,650.0,50.0,70000.0,-1.0,-1.0,-1.0,,7141.0,4.0,,1000.0,8968.0,,-1.0,-1.0,7900.0,40000.0,760.0,-1.0,-1.0,-1.0,,2500.0,-1.0,400.0,30000.0,850000.0,,-1.0,-1.0,-1.0,800.0,800.0,,-1.0,,-1.0,6000.0,-1.0,5000.0,17000.0,100.0,-1.0,48.0,,40000.0,,2500.0,-1.0,4800.0,-1.0,-1.0,5800.0,5000.0,-1.0,-1.0,-1.0,-1.0,4000.0,478.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,210.0,,-1.0,5709.0,12000.0,-1.0,4394.0,5500.0,150.0,-1.0,30478.0
1962,-1.0,4.0,272.0,-1.0,41280.0,,60000.0,-1.0,,150.0,-1.0,1500.0,,150.0,100.0,-1.0,41500.0,-1.0,-1.0,272.0,-1.0,-1.0,-1.0,960.0,-1.0,-1.0,-1.0,-1.0,650.0,50.0,70000.0,-1.0,-1.0,-1.0,,7982.0,4.0,,1500.0,8876.0,,-1.0,-1.0,7300.0,40000.0,780.0,-1.0,-1.0,-1.0,,2500.0,-1.0,400.0,30000.0,850000.0,,-1.0,-1.0,-1.0,800.0,800.0,,-1.0,,-1.0,6700.0,-1.0,5000.0,18000.0,102.0,-1.0,48.0,,44000.0,,2500.0,-1.0,4800.0,-1.0,-1.0,5600.0,5000.0,-1.0,-1.0,-1.0,-1.0,4000.0,506.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,220.0,,-1.0,5739.0,12000.0,-1.0,5000.0,5500.0,152.0,-1.0,30506.0
1963,-1.0,4.0,284.0,-1.0,41300.0,,60000.0,-1.0,,150.0,-1.0,1500.0,,150.0,100.0,-1.0,42000.0,-1.0,-1.0,284.0,-1.0,-1.0,-1.0,980.0,-1.0,-1.0,-1.0,-1.0,597.0,50.0,75000.0,-1.0,-1.0,-1.0,,7982.0,4.0,,1200.0,8719.0,,-1.0,-1.0,8000.0,40000.0,800.0,-1.0,-1.0,-1.0,,2500.0,-1.0,400.0,30000.0,850000.0,,-1.0,-1.0,-1.0,900.0,680.0,,-1.0,,-1.0,6700.0,-1.0,5000.0,24000.0,103.0,-1.0,50.0,,41000.0,,2500.0,-1.0,4800.0,-1.0,-1.0,6400.0,5000.0,-1.0,-1.0,-1.0,-1.0,4000.0,589.0,130.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,230.0,,-1.0,5769.0,12000.0,-1.0,4348.0,5500.0,155.0,-1.0,30589.0
1964,-1.0,4.0,293.0,-1.0,38400.0,,60000.0,-1.0,,150.0,-1.0,1000.0,,150.0,100.0,-1.0,41000.0,-1.0,-1.0,293.0,-1.0,-1.0,-1.0,980.0,-1.0,-1.0,-1.0,-1.0,643.0,50.0,68000.0,-1.0,-1.0,-1.0,,8822.0,4.0,,1300.0,8890.0,,-1.0,-1.0,7800.0,40000.0,820.0,-1.0,-1.0,-1.0,,2500.0,-1.0,400.0,30000.0,850000.0,,-1.0,-1.0,-1.0,900.0,620.0,,-1.0,,-1.0,7500.0,-1.0,5000.0,25000.0,105.0,-1.0,52.0,,42000.0,,2500.0,-1.0,4800.0,-1.0,-1.0,6497.0,5000.0,-1.0,-1.0,-1.0,-1.0,4000.0,614.0,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,250.0,,-1.0,5800.0,12000.0,-1.0,4926.0,5500.0,159.0,-1.0,30614.0
1965,-1.0,4.0,239.0,-1.0,51400.0,,60000.0,-1.0,,200.0,-1.0,1000.0,,150.0,100.0,-1.0,42537.0,-1.0,-1.0,239.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,733.0,50.0,75000.0,-1.0,-1.0,-1.0,,9242.0,4.0,,1000.0,10301.0,,-1.0,-1.0,7500.0,50000.0,840.0,-1.0,-1.0,-1.0,,2620.0,-1.0,457.0,30000.0,850000.0,,-1.0,-1.0,-1.0,1800.0,620.0,,-1.0,,-1.0,7500.0,-1.0,5000.0,35000.0,107.0,-1.0,55.0,,38000.0,,3000.0,-1.0,4800.0,-1.0,-1.0,7010.0,5000.0,-1.0,-1.0,-1.0,-1.0,4100.0,710.0,170.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,250.0,,-1.0,5831.0,12000.0,-1.0,4488.0,5500.0,164.0,-1.0,30710.0
1966,-1.0,4.0,289.0,-1.0,50991.0,,60000.0,-1.0,,200.0,-1.0,1000.0,10.0,150.0,100.0,-1.0,44437.0,-1.0,-1.0,289.0,-1.0,-1.0,-1.0,1020.0,-1.0,-1.0,-1.0,-1.0,729.0,50.0,70000.0,-1.0,-1.0,-1.0,,9998.0,4.0,,1350.0,11185.0,,-1.0,-1.0,7800.0,50000.0,860.0,-1.0,-1.0,-1.0,,2967.0,-1.0,404.0,40000.0,850000.0,,-1.0,-1.0,-1.0,600.0,530.0,,-1.0,,-1.0,8000.0,-1.0,6000.0,35000.0,109.0,-1.0,55.0,,38000.0,,4000.0,-1.0,4800.0,-1.0,-1.0,7100.0,5000.0,-1.0,-1.0,-1.0,-1.0,4300.0,868.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,260.0,,-1.0,5862.0,12000.0,-1.0,4132.0,6000.0,166.0,-1.0,40868.0
1967,-1.0,4.0,332.0,-1.0,52610.0,,70000.0,-1.0,,200.0,-1.0,1000.0,15.0,150.0,100.0,-1.0,43323.0,-1.0,-1.0,332.0,-1.0,-1.0,-1.0,1040.0,-1.0,-1.0,-1.0,-1.0,749.0,50.0,80000.0,-1.0,-1.0,-1.0,,10082.0,4.0,,1400.0,11278.0,,-1.0,-1.0,8100.0,50000.0,880.0,-1.0,-1.0,-1.0,,3077.0,-1.0,499.0,39000.0,862000.0,,-1.0,-1.0,-1.0,1168.0,540.0,,-1.0,,-1.0,8000.0,-1.0,6000.0,35000.0,110.0,-1.0,57.0,,38000.0,,4000.0,-1.0,4800.0,-1.0,-1.0,7270.0,5000.0,-1.0,-1.0,-1.0,-1.0,4600.0,1060.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,270.0,,-1.0,5894.0,12000.0,-1.0,4273.0,6000.0,169.0,-1.0,40060.0
1968,-1.0,4.0,336.0,-1.0,53014.0,,70000.0,-1.0,,200.0,-1.0,1500.0,25.0,150.0,100.0,-1.0,44531.0,-1.0,-1.0,336.0,-1.0,-1.0,-1.0,1060.0,-1.0,-1.0,-1.0,-1.0,731.0,50.0,80000.0,-1.0,-1.0,-1.0,,10082.0,4.0,,1450.0,11557.0,,-1.0,-1.0,8300.0,50000.0,900.0,-1.0,-1.0,-1.0,,3874.0,-1.0,500.0,47000.0,862000.0,,-1.0,-1.0,-1.0,1286.0,540.0,,-1.0,,-1.0,8000.0,-1.0,6000.0,37000.0,113.0,-1.0,58.0,,39000.0,,4000.0,-1.0,4800.0,-1.0,-1.0,6000.0,5000.0,-1.0,-1.0,-1.0,-1.0,4600.0,1099.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,270.0,,-1.0,5926.0,12000.0,-1.0,5140.0,6000.0,173.0,-1.0,48099.0
1969,-1.0,5.0,333.0,-1.0,51800.0,,70000.0,-1.0,,250.0,-1.0,1000.0,35.0,150.0,100.0,-1.0,44598.0,-1.0,-1.0,333.0,-1.0,-1.0,-1.0,1080.0,-1.0,-1.0,-1.0,-1.0,579.0,50.0,80000.0,-1.0,-1.0,-1.0,,10502.0,5.0,,1500.0,12430.0,,-1.0,-1.0,8400.0,50000.0,920.0,-1.0,-1.0,-1.0,,4947.0,-1.0,500.0,43000.0,862000.0,,-1.0,-1.0,-1.0,353.0,400.0,,-1.0,,-1.0,8000.0,-1.0,6000.0,40000.0,115.0,-1.0,58.0,,40076.0,,4800.0,-1.0,4800.0,-1.0,-1.0,4510.0,5200.0,-1.0,-1.0,-1.0,-1.0,4600.0,1235.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,290.0,,-1.0,5957.0,12000.0,-1.0,4956.0,6000.0,175.0,-1.0,44235.0
1970,-1.0,5.0,353.0,-1.0,55038.0,50.0,70000.0,-1.0,,500.0,-1.0,1500.0,40.0,150.0,100.0,-1.0,44665.0,-1.0,-1.0,353.0,-1.0,-1.0,-1.0,1080.0,-1.0,-1.0,-1.0,-1.0,622.0,50.0,56000.0,7.0,-1.0,-1.0,,10922.0,5.0,,1000.0,16594.0,,-1.0,-1.0,8500.0,60000.0,940.0,-1.0,-1.0,-1.0,,5390.0,-1.0,500.0,49000.0,862000.0,,-1.0,-1.0,-1.0,1008.0,400.0,570.0,-1.0,,-1.0,8000.0,-1.0,7000.0,45500.0,118.0,-1.0,60.0,,41659.0,,5000.0,-1.0,4800.0,-1.0,-1.0,4500.0,5300.0,-1.0,-1.0,-1.0,-1.0,5000.0,1641.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,385.0,3000.0,,290.0,,-1.0,5988.0,12000.0,-1.0,4484.0,6500.0,180.0,-1.0,50641.0
