,Kenya,"China, Taiwan Province of",Niue,Saudi Arabia,Philippines,Syrian Arab Republic,Martinique,Nepal,Ethiopia,Pacific Islands Trust Territory,Greece,Zimbabwe,Republic of Korea,Australia & New Zealand,Guatemala,French Polynesia,Algeria,American Samoa,Mauritius,Guinea,Israel,Zambia,Wallis and Futuna Islands,United Arab Emirates,Grenada,Azerbaijan,Uzbekistan,China,Colombia,United Republic of Tanzania,Micronesia (Federated States of),Occupied Palestinian Territory,Kazakhstan,South Africa,Portugal,Micronesia,"China, mainland",Nicaragua,Peru,Yemen,Cameroon,Malaysia,India,Malta,Pakistan,Japan,Afghanistan,Cyprus,Spain,New Zealand,Guyana,France,United States of America,Iran (Islamic Republic of),Nigeria,Egypt,Kyrgyzstan,French Guiana,Suriname,Georgia,Cuba,Cayman Islands,Morocco,Bhutan,Malawi,Gabon,Qatar,Ecuador,Honduras,Jordan,Mexico,Tunisia,Côte d'Ivoire,Albania,Trinidad and Tobago,Italy,Polynesia,Sierra Leone,Samoa,Australia,Thailand,Ghana,Angola,Swaziland,Guam,Turkey
1961,100.0,3084.0,11.0,5800.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,652.0,-1.0,1000.0,36.0,36100.0,150.0,-1.0,70.0,-1.0,115000.0,-1.0,-1,30.0,-1.0,1460.0,-1.0,-1.0,12084.0,-1.0,7000.0,-1,-1.0,-1.0,-1.0,-1.0,76.0,9000.0,-1.0,-1.0,-1.0,-1.0,4500.0,25000.0,471.0,-1,50200.0,4900.0,1600.0,-1.0,9.0,-1.0,-1,-1.0,4500.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,1000.0,-1.0,2500.0,-1.0,700.0,500.0,-1.0,28330.0,2900.0,-1.0,-1.0,-1.0,1200.0,-1.0,1200.0,51794.0,1061.0,35000.0,800.0,27.0,-1.0,-1,70000.0,-1.0,6.0,4066.0
1962,100.0,3201.0,13.0,6100.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.0,574.0,-1.0,1000.0,50.0,38400.0,150.0,-1.0,70.0,-1.0,120000.0,-1.0,-1,30.0,-1.0,1470.0,-1.0,-1.0,13201.0,-1.0,8000.0,-1,-1.0,-1.0,-1.0,-1.0,72.0,10000.0,-1.0,-1.0,-1.0,-1.0,4200.0,25000.0,450.0,-1,49700.0,4900.0,1600.0,-1.0,12.0,-1.0,-1,-1.0,4700.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,1000.0,-1.0,3000.0,-1.0,700.0,500.0,-1.0,44622.0,3500.0,-1.0,-1.0,-1.0,2800.0,-1.0,1200.0,47559.0,1063.0,38000.0,800.0,38.0,-1.0,-1,70000.0,-1.0,6.0,3152.0
1963,100.0,3576.0,15.0,6400.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.0,548.0,-1.0,1000.0,100.0,41500.0,150.0,-1.0,74.0,-1.0,128000.0,-1.0,-1,30.0,-1.0,1480.0,-1.0,-1.0,12576.0,-1.0,9000.0,-1,-1.0,-1.0,-1.0,-1.0,71.0,9000.0,-1.0,-1.0,-1.0,-1.0,3900.0,25000.0,384.0,-1,52000.0,4900.0,1600.0,-1.0,19.0,-1.0,-1,-1.0,5000.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,1736.0,-1.0,3000.0,-1.0,800.0,500.0,-1.0,39151.0,6000.0,-1.0,-1.0,-1.0,2200.0,-1.0,1860.0,60493.0,1069.0,39000.0,800.0,81.0,-1.0,-1,70000.0,-1.0,7.0,2764.0
1964,100.0,3685.0,18.0,6650.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.0,439.0,-1.0,1000.0,116.0,46400.0,150.0,-1.0,90.0,-1.0,130000.0,-1.0,-1,30.0,-1.0,1490.0,-1.0,-1.0,15685.0,-1.0,6736.0,-1,-1.0,-1.0,-1.0,-1.0,71.0,12000.0,-1.0,-1.0,-1.0,-1.0,4500.0,26000.0,526.0,-1,70100.0,6000.0,1600.0,-1.0,36.0,-1.0,-1,-1.0,5500.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,1898.0,-1.0,3000.0,-1.0,800.0,500.0,-1.0,43983.0,6600.0,-1.0,-1.0,-1.0,1500.0,-1.0,2177.0,55282.0,1088.0,41000.0,800.0,80.0,-1.0,-1,72000.0,-1.0,7.0,3728.0
1965,100.0,5382.0,20.0,6950.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.0,467.0,-1.0,1000.0,156.0,42900.0,150.0,-1.0,82.0,-1.0,140000.0,-1.0,-1,30.0,-1.0,1500.0,-1.0,-1.0,18382.0,-1.0,9651.0,-1,-1.0,-1.0,-1.0,-1.0,72.0,13000.0,-1.0,-1.0,-1.0,-1.0,3600.0,26000.0,406.0,-1,71300.0,6700.0,1600.0,-1.0,55.0,-1.0,-1,-1.0,6000.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,707.0,-1.0,3000.0,-1.0,900.0,500.0,-1.0,39211.0,8200.0,-1.0,-1.0,-1.0,4500.0,-1.0,3266.0,38383.0,1082.0,43000.0,800.0,101.0,-1.0,-1,75000.0,-1.0,8.0,8000.0
1966,100.0,5741.0,-1.0,7250.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,419.0,-1.0,1000.0,207.0,53300.0,150.0,-1.0,75.0,-1.0,150000.0,-1.0,-1,30.0,-1.0,1500.0,-1.0,-1.0,19741.0,-1.0,15770.0,-1,-1.0,-1.0,-1.0,-1.0,35.0,14000.0,-1.0,-1.0,-1.0,-1.0,4200.0,26000.0,508.0,-1,53400.0,7500.0,1600.0,-1.0,95.0,-1.0,-1,-1.0,9000.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,52.0,3.0,3000.0,-1.0,1000.0,500.0,-1.0,51366.0,9900.0,158.0,-1.0,-1.0,3700.0,-1.0,2994.0,50845.0,1055.0,45000.0,800.0,112.0,-1.0,-1,75000.0,-1.0,35.0,7800.0
1967,100.0,6508.0,-1.0,7500.0,-1.0,1800.0,-1.0,-1.0,-1.0,-1.0,344.0,-1.0,1000.0,197.0,56100.0,150.0,-1.0,67.0,-1.0,150000.0,-1.0,-1,40.0,-1.0,1500.0,-1.0,-1.0,20508.0,-1.0,22441.0,-1,-1.0,-1.0,-1.0,100.0,38.0,14000.0,-1.0,-1.0,-1.0,-1.0,4800.0,27000.0,711.0,-1,61300.0,9100.0,1600.0,-1.0,114.0,-1.0,-1,-1.0,12000.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,1205.0,3.0,3000.0,-1.0,1000.0,500.0,-1.0,47400.0,5300.0,132.0,-1.0,-1.0,8000.0,-1.0,2767.0,44655.0,1057.0,46000.0,800.0,83.0,-1.0,-1,78000.0,-1.0,38.0,6000.0
1968,100.0,6873.0,-1.0,7600.0,-1.0,1106.0,-1.0,-1.0,-1.0,-1.0,465.0,-1.0,1000.0,408.0,57000.0,150.0,-1.0,60.0,-1.0,150000.0,-1.0,-1,40.0,-1.0,1500.0,-1.0,-1.0,20873.0,-1.0,16627.0,-1,-1.0,-1.0,-1.0,-1.0,40.0,14000.0,-1.0,-1.0,-1.0,-1.0,3600.0,53000.0,743.0,-1,87500.0,9200.0,1600.0,-1.0,250.0,-1.0,-1,-1.0,16000.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,775.0,3.0,3000.0,-1.0,1100.0,500.0,-1.0,47214.0,10100.0,150.0,-1.0,-1.0,8500.0,-1.0,2087.0,42895.0,1050.0,47000.0,800.0,158.0,-1.0,-1,80000.0,-1.0,40.0,10000.0
1969,100.0,6722.0,-1.0,7650.0,-1.0,1856.0,-1.0,-1.0,-1.0,-1.0,582.0,-1.0,1000.0,645.0,52300.0,150.0,-1.0,52.0,-1.0,150000.0,-1.0,-1,40.0,-1.0,1550.0,-1.0,-1.0,20722.0,-1.0,27491.0,-1,-1.0,-1.0,-1.0,100.0,40.0,14000.0,-1.0,-1.0,-1.0,-1.0,3600.0,45000.0,645.0,-1,79700.0,9300.0,1600.0,-1.0,362.0,-1.0,-1,-1.0,18000.0,1000000.0,-1.0,-1.0,-1.0,-1.0,-1,2553.0,4.0,3000.0,-1.0,1150.0,500.0,-1.0,25150.0,12000.0,-1.0,-1.0,-1.0,11300.0,-1.0,2087.0,40099.0,1042.0,48000.0,800.0,283.0,-1.0,-1,81000.0,-1.0,40.0,9350.0
1970,100.0,3983.0,-1.0,7700.0,-1.0,1977.0,-1.0,-1.0,-1.0,-1.0,613.0,-1.0,1000.0,967.0,51300.0,150.0,-1.0,52.0,-1.0,150000.0,-1.0,-1,40.0,-1.0,1550.0,-1.0,-1.0,15983.0,-1.0,26537.0,-1,-1.0,-1.0,-1.0,-1.0,43.0,12000.0,-1.0,10416.0,-1.0,-1.0,6600.0,50000.0,684.0,-1,97100.0,9000.0,1900.0,-1.0,667.0,-1.0,-1,-1.0,20000.0,1500000.0,-1.0,-1.0,-1.0,-1.0,-1,534.0,4.0,4000.0,-1.0,1200.0,500.0,-1.0,22817.0,10200.0,-1.0,-1.0,-1.0,18900.0,-1.0,2313.0,45240.0,1042.0,49000.0,800.0,300.0,-1.0,-1,82000.0,-1.0,43.0,9700.0
1971,100.0,5071.0,-1.0,7800.0,-1.0,4226.0,-1.0,-1.0,-1.0,-1.0,499.0,-1.0,1000.0,1256.0,55000.0,150.0,-1.0,50.0,-1.0,150000.0,-1.0,-1,40.0,-1.0,1600.0,-1.0,-1.0,17071.0,-1.0,31710.0,-1,-1.0,-1.0,-1.0,100.0,45.0,12000.0,-1.0,10468.0,-1.0,-1.0,6600.0,50000.0,593.0,-1,106600.0,7100.0,1900.0,-1.0,895.0,-1.0,-1,-1.0,21500.0,1500000.0,-1.0,-1.0,-1.0,-1.0,-1,389.0,4.0,5400.0,-1.0,1200.0,500.0,-1.0,27878.0,8600.0,530.0,-1.0,-1.0,28300.0,-1.0,2177.0,34520.0,1040.0,49000.0,800.0,361.0,-1.0,-1,82000.0,-1.0,45.0,10000.0
1972,100.0,4068.0,-1.0,7953.0,-1.0,7243.0,-1.0,-1.0,-1.0,-1.0,667.0,-1.0,1000.0,1669.0,60000.0,145.0,-1.0,50.0,-1.0,150000.0,-1.0,-1,40.0,-1.0,1600.0,-1.0,-1.0,19068.0,-1.0,28819.0,-1,-1.0,-1.0,-1.0,100.0,50.0,15000.0,-1.0,11036.0,-1.0,-1.0,6000.0,45000.0,577.0,-1,135700.0,8700.0,1700.0,-1.0,1252.0,-1.0,-1,-1.0,23000.0,1500000.0,-1.0,-1.0,-1.0,-1.0,-1,805.0,5.0,2000.0,-1.0,1250.0,500.0,-1.0,13067.0,12000.0,200.0,-1.0,-1.0,30200.0,-1.0,2300.0,33980.0,1035.0,51000.0,800.0,417.0,-1.0,-1,83000.0,-1.0,50.0,9300.0
1973,100.0,5339.0,-1.0,13904.0,-1.0,9549.0,-1.0,-1.0,-1.0,-1.0,745.0,-1.0,1000.0,1904.0,64000.0,140.0,-1.0,45.0,-1.0,150000.0,4100.0,-1,40.0,-1.0,1584.0,-1.0,-1.0,20339.0,-1.0,30000.0,-1,-1.0,-1.0,-1.0,100.0,55.0,15000.0,-1.0,12072.0,-1.0,-1.0,4200.0,30000.0,556.0,-1,156500.0,9100.0,2000.0,-1.0,1542.0,-1.0,-1,-1.0,25000.0,1500000.0,-1.0,-1.0,-1.0,-1.0,-1,558.0,5.0,3700.0,-1.0,1250.0,500.0,-1.0,26709.0,12000.0,-1.0,-1.0,-1.0,37954.0,-1.0,2400.0,40938.0,1025.0,52000.0,800.0,362.0,-1.0,-1,84000.0,-1.0,55.0,8000.0
