,Cuba,United States of America,Bhutan,Nicaragua,Micronesia (Federated States of),Israel,Australia & New Zealand,Australia,New Zealand,Pakistan,French Guiana,United Republic of Tanzania,Philippines,Samoa,Nepal,Ethiopia,Kenya,Guyana,South Africa,Italy,United Arab Emirates,Qatar,Zambia,Mauritius,Saudi Arabia,Yemen,Suriname,Albania,Niue,China,Morocco,Uzbekistan,Honduras,Colombia,Spain,Grenada,Kyrgyzstan,Gabon,Malawi,India,Malta,"China, Taiwan Province of",Ecuador,Swaziland,Japan,Turkey,Jordan,Afghanistan,Angola,Trinidad and Tobago,Egypt,Malaysia,Georgia,Greece,Azerbaijan,France,Republic of Korea,Nigeria,Micronesia,Zimbabwe,Martinique,Syrian Arab Republic,Tunisia,Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,Ghana,Mexico,Guinea,"China, mainland",French Polynesia,Sierra Leone,Algeria,Peru,Côte d'Ivoire,Polynesia,Portugal,Thailand,Guatemala,Cyprus
1961,-1.0,-1.0,-1.0,-1.0,,,5.0,-1.0,5.0,,,6000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3600.0,,,,-1.0,1000.0,,,-1.0,4.0,4294.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,140.0,2000.0,-1.0,394.0,1400.0,-1.0,5430.0,1203.0,,730.0,14000.0,-1.0,,1500.0,,400.0,,,-1.0,300000.0,,-1.0,,,0.0,-1.0,800.0,,,,25000.0,3900.0,8.0,-1.0,-1.0,-1.0,500.0,172.0,,-1.0,6000.0,200.0
1962,-1.0,-1.0,-1.0,-1.0,,,9.0,-1.0,9.0,,,6000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3600.0,,,,-1.0,1050.0,,,-1.0,4.0,4802.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,140.0,2500.0,-1.0,452.0,1580.0,-1.0,6060.0,1170.0,,730.0,14000.0,-1.0,,1400.0,,400.0,,,-1.0,300000.0,,-1.0,,,0.0,-1.0,850.0,,,,27000.0,4350.0,8.0,-1.0,-1.0,-1.0,500.0,172.0,,-1.0,6400.0,200.0
1963,-1.0,-1.0,-1.0,-1.0,,,15.0,-1.0,15.0,,,6000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3600.0,,,,-1.0,1100.0,,,-1.0,5.0,4411.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,160.0,2500.0,-1.0,511.0,1730.0,-1.0,6860.0,1650.0,,730.0,14000.0,-1.0,,1300.0,,400.0,,,-1.0,300000.0,,-1.0,,,0.0,-1.0,900.0,,,,29000.0,3900.0,8.0,-1.0,-1.0,-1.0,500.0,173.0,,-1.0,6900.0,200.0
1964,-1.0,-1.0,-1.0,-1.0,,,30.0,-1.0,30.0,,,6000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3400.0,,,,-1.0,1150.0,,,-1.0,6.0,5641.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,160.0,2500.0,-1.0,441.0,2235.0,-1.0,7570.0,2603.0,,780.0,14000.0,-1.0,,1500.0,,400.0,,,-1.0,300000.0,,-1.0,,,0.0,-1.0,950.0,,,,30000.0,5200.0,8.0,-1.0,-1.0,-1.0,500.0,174.0,,-1.0,7700.0,200.0
1965,-1.0,-1.0,-1.0,-1.0,,,40.0,-1.0,40.0,,,7000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3300.0,,,,-1.0,1200.0,,,-1.0,7.0,6262.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,180.0,2500.0,-1.0,612.0,2683.0,-1.0,8070.0,2607.0,,820.0,14000.0,-1.0,,1200.0,,400.0,,,-1.0,300000.0,,-1.0,,,0.0,-1.0,1000.0,,,,31500.0,5650.0,8.0,-1.0,-1.0,-1.0,800.0,175.0,,-1.0,7200.0,200.0
1966,-1.0,-1.0,-1.0,-1.0,,,54.0,-1.0,54.0,,,10000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3420.0,,,,-1.0,1250.0,,,-1.0,,6586.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,200.0,2500.0,-1.0,586.0,3289.0,-1.0,8700.0,2767.0,10.0,900.0,14000.0,-1.0,,1400.0,,400.0,,,-1.0,300000.0,,-1.0,,500.0,0.0,-1.0,1400.0,,,,32000.0,6000.0,8.0,-1.0,-1.0,-1.0,800.0,168.0,,-1.0,8900.0,200.0
1967,-1.0,-1.0,-1.0,-1.0,,,73.0,-1.0,73.0,,,15000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3340.0,,,,-1.0,1290.0,,,-1.0,,6741.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,200.0,2500.0,-1.0,741.0,3109.0,-1.0,4330.0,2007.0,13.0,1010.0,14000.0,-1.0,,1600.0,,400.0,,,-1.0,300000.0,,-1.0,,500.0,0.0,-1.0,1800.0,,,,32300.0,6000.0,8.0,-1.0,-1.0,-1.0,1000.0,168.0,,-1.0,9400.0,200.0
1968,-1.0,-1.0,-1.0,-1.0,,,80.0,-1.0,80.0,,,17000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3430.0,,,,-1.0,1310.0,,,-1.0,,6736.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,220.0,5000.0,-1.0,736.0,3876.0,-1.0,4880.0,1443.0,9.0,990.0,14000.0,-1.0,,1200.0,,400.0,,,-1.0,300000.0,,-1.0,,517.0,0.0,-1.0,2300.0,,,,32600.0,6000.0,8.0,-1.0,-1.0,-1.0,1000.0,168.0,,-1.0,9400.0,200.0
1969,-1.0,-1.0,-1.0,-1.0,,,134.0,-1.0,134.0,,,25000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3510.0,,,,-1.0,1320.0,,,-1.0,,6771.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,230.0,5000.0,-1.0,771.0,3453.0,-1.0,5390.0,1497.0,,1000.0,14000.0,-1.0,,1200.0,,400.0,,,-1.0,300000.0,,-1.0,,546.0,0.0,-1.0,2600.0,,,,33000.0,6000.0,8.0,-1.0,-1.0,-1.0,1800.0,168.0,,-1.0,8700.0,200.0
1970,-1.0,-1.0,-1.0,-1.0,,,154.0,-1.0,154.0,,,41000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3580.0,,,,-1.0,1330.0,,,-1.0,,5869.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,240.0,5000.0,-1.0,369.0,3573.0,-1.0,5990.0,1543.0,,1010.0,14000.0,-1.0,,2200.0,,400.0,,,-1.0,450000.0,,-1.0,,715.0,0.0,-1.0,2800.0,,,,33300.0,5500.0,9.0,-1.0,-1.0,1176.0,2000.0,169.0,,-1.0,8600.0,200.0
1971,-1.0,-1.0,-1.0,-1.0,,,176.0,-1.0,176.0,,,28000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3708.0,,,,-1.0,1350.0,,,-1.0,,5049.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,240.0,5000.0,-1.0,649.0,3015.0,-1.0,6740.0,1540.0,330.0,1010.0,14000.0,-1.0,,2200.0,,400.0,,,-1.0,450000.0,,-1.0,,782.0,0.0,-1.0,3000.0,,,,33650.0,4400.0,9.0,-1.0,-1.0,1202.0,2365.0,169.0,,-1.0,9300.0,210.0
1972,-1.0,-1.0,-1.0,-1.0,,,200.0,-1.0,200.0,,,15000.0,-1.0,160.0,-1.0,,20.0,-1.0,-1.0,3706.0,,,,-1.0,1368.0,,,-1.0,,6070.0,-1.0,,-1.0,-1.0,,-1.0,,120.0,250.0,4500.0,-1.0,570.0,2803.0,-1.0,7380.0,1527.0,100.0,1040.0,14500.0,-1.0,,2000.0,,400.0,,,-1.0,450000.0,,-1.0,,1160.0,0.0,-1.0,3200.0,,,,34000.0,5500.0,9.0,-1.0,-1.0,1285.0,3597.0,169.0,,-1.0,10000.0,210.0
