,Panama,Dominica,Peru
1961,400.0,410.0,665.0
1962,400.0,420.0,630.0
1963,400.0,430.0,595.0
1964,400.0,440.0,837.0
1965,400.0,450.0,980.0
1966,400.0,460.0,1029.0
1967,400.0,470.0,1159.0
1968,500.0,480.0,1414.0
1969,500.0,490.0,1894.0
1970,500.0,500.0,2289.0
1971,500.0,510.0,3056.0
1972,600.0,520.0,3140.0
1973,600.0,530.0,3178.0
1974,600.0,550.0,2765.0
1975,645.0,580.0,2769.0
1976,652.0,600.0,2114.0
1977,659.0,650.0,2136.0
1978,665.0,630.0,2082.0
1979,670.0,650.0,2811.0
1980,321.0,680.0,2573.0
1981,349.0,710.0,2993.0
1982,749.0,700.0,3385.0
1983,597.0,710.0,4096.0
1984,629.0,520.0,3500.0
1985,664.0,580.0,3570.0
1986,700.0,670.0,3570.0
1987,738.0,650.0,3640.0
1988,778.0,640.0,3640.0
1989,522.0,630.0,3780.0
1990,266.0,498.0,4342.0
1991,315.0,620.0,4200.0
1992,306.0,718.0,4200.0
1993,310.0,615.0,4480.0
1994,310.0,630.0,4900.0
1995,438.0,706.0,3648.0
1996,392.0,781.0,1560.0
1997,481.0,920.0,5184.0
1998,340.0,620.0,6946.0
1999,510.0,649.0,6735.0
2000,472.0,773.0,6835.0
2001,545.0,783.0,5499.0
2002,424.0,829.0,6697.0
2003,471.0,907.0,6681.0
2004,658.0,937.0,6439.0
2005,516.0,724.0,5690.0
2006,497.0,792.0,5655.0
2007,518.0,747.0,5312.0
2008,431.0,1039.0,4200.0
2009,422.0,950.0,4340.0
2010,568.0,830.0,4550.0
2011,365.0,830.0,3570.0
2012,369.0,850.0,3500.0
2013,338.0,886.0,4015.0
2014,338.0,886.0,4015.0
