,USSR,Bahrain,Fiji,Australia,Panama,Pakistan,Slovakia,Thailand,Belize,Uruguay,Kenya,Guyana,South Africa,Serbia,Lao People's Democratic Republic,Solomon Islands,Lebanon,Somalia,Suriname,Albania,Brazil,Paraguay,Niger,Democratic People's Republic of Korea,Australia & New Zealand,El Salvador,Montenegro,Argentina,Colombia,New Caledonia,Tajikistan,India,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Republic of Moldova,Canada,Turkey,Jordan,South Sudan,Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Dominica,France,Republic of Korea,Tunisia,Sudan,Mali,United Arab Emirates,Hungary,Syrian Arab Republic,Tonga,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Spain,"China, mainland",French Polynesia,Cyprus,Kazakhstan,Bosnia and Herzegovina,Portugal,Guatemala,Saint Kitts and Nevis,Cuba,Austria,Puerto Rico,Romania,Turkmenistan,Philippines,Iraq,New Zealand,Senegal,United Republic of Tanzania,Libya,Costa Rica,Italy,Qatar,Saint Lucia,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Chile,Honduras,Kyrgyzstan,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Afghanistan,Trinidad and Tobago,Namibia,Saudi Arabia,Georgia,Azerbaijan,Yemen,Oman,Viet Nam,Mauritania,Russian Federation,Cameroon,Bolivia (Plurinational State of),Grenada,Venezuela (Bolivarian Republic of),Brunei Darussalam,Mexico,Cook Islands,Ukraine,Kuwait,Guadeloupe,Polynesia,Croatia,Bulgaria,China
1961,546000.0,,-1.0,1352.0,20.0,6200.0,,17280.0,-1.0,1901.0,-1.0,-1.0,3000.0,,-1.0,13.0,2500.0,-1.0,,-1.0,114382.0,9600.0,-1.0,900.0,1372.0,1100.0,,14595.0,70.0,-1.0,,6500.0,-1.0,110.0,1500.0,-1.0,-1.0,,-1.0,137000.0,8700.0,,26015.0,13.0,,1100.0,24174.0,-1.0,177.0,2332.0,5412.0,,2500.0,,10363.0,35000.0,30.0,29500.0,68000.0,2000.0,124471.0,22995.0,530000.0,40.0,1338.0,,,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,4560.0,20791.0,20.0,-1.0,-1.0,1615.0,-1.0,19010.0,,-1.0,,-1.0,,,2200.0,8000.0,5000.0,446.0,,16010.0,6160.0,4085.0,-1.0,37900.0,,13000.0,,-1.0,8000.0,,,480.0,,3000.0,70.0,,-1.0,,-1.0,2250.0,-1.0,24924.0,15.0,,,20.0,85.0,,19490.0,536160.0
1962,552000.0,,-1.0,1352.0,20.0,6700.0,,17920.0,-1.0,1000.0,-1.0,-1.0,3500.0,,-1.0,14.0,2700.0,-1.0,,-1.0,112807.0,9800.0,-1.0,1000.0,1382.0,1100.0,,14988.0,70.0,-1.0,,6800.0,-1.0,130.0,1500.0,-1.0,-1.0,,-1.0,131000.0,8700.0,,26970.0,14.0,,1200.0,24616.0,-1.0,165.0,2421.0,11000.0,,2500.0,,9501.0,48579.0,31.0,31000.0,76000.0,2300.0,120708.0,22155.0,530000.0,45.0,1338.0,,,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,5100.0,23932.0,30.0,-1.0,-1.0,2043.0,-1.0,19408.0,,-1.0,,-1.0,,,2300.0,7000.0,5200.0,452.0,,18000.0,7358.0,4885.0,-1.0,39000.0,,13000.0,,-1.0,8000.0,,,480.0,,3000.0,70.0,,-1.0,,-1.0,2450.0,-1.0,30206.0,16.0,,,20.0,92.0,,19386.0,537358.0
1963,553000.0,,-1.0,1352.0,20.0,6200.0,,25120.0,-1.0,1000.0,-1.0,-1.0,3200.0,,-1.0,14.0,3000.0,-1.0,,-1.0,109275.0,10000.0,-1.0,1000.0,1392.0,1150.0,,14201.0,80.0,-1.0,,7000.0,-1.0,110.0,1153.0,-1.0,-1.0,,-1.0,120467.0,9000.0,,30646.0,14.0,,1000.0,27237.0,-1.0,275.0,2654.0,8800.0,,2500.0,,11157.0,70214.0,32.0,34300.0,85000.0,2300.0,115864.0,21944.0,460000.0,50.0,1271.0,,,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,5570.0,25471.0,40.0,-1.0,-1.0,1473.0,-1.0,24381.0,,-1.0,,-1.0,,,2300.0,6000.0,5400.0,457.0,,18000.0,10598.0,6265.0,-1.0,38300.0,,13000.0,,-1.0,8000.0,,,490.0,,4000.0,70.0,,-1.0,,-1.0,2650.0,-1.0,30608.0,17.0,,,20.0,99.0,,22366.0,470598.0
1964,574000.0,,-1.0,1404.0,20.0,6400.0,,25440.0,-1.0,1000.0,-1.0,-1.0,2500.0,,-1.0,15.0,3200.0,-1.0,,-1.0,117691.0,10200.0,-1.0,1100.0,1444.0,1300.0,,15208.0,90.0,-1.0,,7500.0,-1.0,110.0,1401.0,-1.0,-1.0,,-1.0,120000.0,13300.0,,33281.0,15.0,,1300.0,29010.0,-1.0,260.0,3804.0,7600.0,,2500.0,,13337.0,47522.0,33.0,37900.0,90000.0,2300.0,113472.0,19926.0,410000.0,55.0,1204.0,,,310.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,5710.0,32025.0,40.0,-1.0,-1.0,1308.0,-1.0,23755.0,,-1.0,,-1.0,,,2300.0,7000.0,5600.0,466.0,,18120.0,10239.0,5405.0,-1.0,37100.0,,13000.0,,-1.0,8000.0,,,490.0,,4000.0,110.0,,-1.0,,-1.0,2850.0,-1.0,30238.0,18.0,,,20.0,106.0,,26122.0,420239.0
1965,554000.0,,-1.0,1404.0,25.0,6000.0,,27040.0,-1.0,1000.0,-1.0,-1.0,2800.0,,-1.0,15.0,3150.0,-1.0,,-1.0,119650.0,10400.0,-1.0,1100.0,1440.0,1400.0,,15109.0,100.0,-1.0,,7600.0,-1.0,115.0,1381.0,-1.0,-1.0,,-1.0,120000.0,17000.0,,37986.0,15.0,,1400.0,23020.0,-1.0,263.0,4863.0,6920.0,,3000.0,,11312.0,38313.0,35.0,37100.0,93000.0,2400.0,115868.0,16460.0,410000.0,60.0,1264.0,,,310.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,4470.0,34500.0,36.0,-1.0,-1.0,1385.0,-1.0,23989.0,,-1.0,,-1.0,,,2500.0,7467.0,5809.0,473.0,,24820.0,7317.0,5820.0,-1.0,37800.0,,13000.0,,-1.0,8000.0,,,500.0,,4500.0,110.0,,-1.0,,-1.0,3100.0,-1.0,28712.0,19.0,,,20.0,114.0,,24090.0,417317.0
1966,528000.0,,-1.0,1456.0,25.0,7100.0,,37512.0,-1.0,950.0,-1.0,-1.0,2300.0,,-1.0,16.0,2677.0,-1.0,,-1.0,112525.0,10500.0,-1.0,1100.0,1496.0,1530.0,,13052.0,110.0,-1.0,,7900.0,-1.0,81.0,1288.0,-1.0,-1.0,,-1.0,120000.0,7500.0,,43790.0,16.0,,1400.0,27720.0,-1.0,249.0,4004.0,8500.0,,3000.0,,12092.0,26117.0,37.0,40400.0,95000.0,3630.0,111546.0,17973.0,395000.0,64.0,1204.0,,,310.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,4430.0,36315.0,40.0,-1.0,-1.0,1385.0,-1.0,25975.0,,-1.0,,-1.0,,,2500.0,6236.0,6000.0,462.0,,17270.0,9186.0,5325.0,-1.0,38900.0,,13100.0,,-1.0,8000.0,,,510.0,,5500.0,110.0,,-1.0,,-1.0,2700.0,-1.0,28944.0,20.0,,,24.0,121.0,,26526.0,404186.0
1967,520000.0,,-1.0,1716.0,30.0,8000.0,,40000.0,-1.0,950.0,-1.0,-1.0,2300.0,,-1.0,16.0,2015.0,-1.0,,-1.0,126831.0,10500.0,-1.0,1200.0,1756.0,1540.0,,14570.0,120.0,-1.0,,8000.0,-1.0,157.0,1871.0,-1.0,-1.0,,-1.0,124000.0,5257.0,,39856.0,16.0,,1600.0,28530.0,-1.0,237.0,4913.0,5800.0,,3000.0,100.0,10025.0,62493.0,38.0,39800.0,98000.0,4040.0,110583.0,17513.0,395000.0,68.0,1217.0,,,310.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,4010.0,41518.0,40.0,-1.0,-1.0,1385.0,-1.0,26509.0,,-1.0,,-1.0,,,2600.0,6000.0,6100.0,528.0,,18590.0,8756.0,5265.0,-1.0,39500.0,,12100.0,,-1.0,8000.0,,,510.0,,6350.0,110.0,,-1.0,,-1.0,2800.0,-1.0,21922.0,21.0,,,30.0,127.0,,24696.0,403756.0
1968,514000.0,,-1.0,1820.0,35.0,13400.0,,47800.0,-1.0,950.0,-1.0,-1.0,2800.0,,-1.0,17.0,1904.0,-1.0,,-1.0,125971.0,11000.0,-1.0,1200.0,1860.0,1550.0,,13900.0,130.0,-1.0,,8400.0,-1.0,167.0,1257.0,-1.0,-1.0,,-1.0,120000.0,7116.0,,35707.0,17.0,,1700.0,28320.0,-1.0,227.0,5807.0,8000.0,,3500.0,208.0,11924.0,66800.0,40.0,41300.0,98000.0,3525.0,114881.0,17840.0,375000.0,70.0,1231.0,,,310.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,6640.0,40000.0,40.0,-1.0,-1.0,1400.0,-1.0,27794.0,,-1.0,,-1.0,,,2600.0,8000.0,6200.0,573.0,,21500.0,9113.0,5620.0,-1.0,40700.0,,10900.0,,-1.0,8000.0,,,530.0,,6410.0,110.0,,-1.0,,-1.0,2900.0,-1.0,19219.0,22.0,,,35.0,132.0,,25535.0,384113.0
1969,493000.0,,-1.0,1786.0,40.0,11000.0,,51673.0,-1.0,950.0,-1.0,-1.0,2200.0,,-1.0,17.0,2047.0,-1.0,,-1.0,114767.0,11000.0,-1.0,1200.0,1836.0,1600.0,,14500.0,140.0,-1.0,,8700.0,-1.0,187.0,2288.0,-1.0,-1.0,,-1.0,120000.0,5700.0,,38647.0,17.0,,1800.0,24370.0,-1.0,314.0,6423.0,11000.0,,4000.0,378.0,11040.0,64374.0,42.0,40420.0,95000.0,3580.0,110235.0,16319.0,375000.0,72.0,1204.0,,,310.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,11320.0,47046.0,50.0,-1.0,-1.0,1400.0,-1.0,27868.0,,-1.0,,-1.0,,,2650.0,7000.0,6300.0,577.0,,21520.0,11767.0,7360.0,-1.0,38800.0,,10900.0,,-1.0,8000.0,,,530.0,,5500.0,110.0,,-1.0,,-1.0,3000.0,-1.0,18503.0,23.0,,,40.0,137.0,,24657.0,386767.0
1970,497000.0,,-1.0,1654.0,30.0,10600.0,,36241.0,-1.0,996.0,-1.0,-1.0,2800.0,,-1.0,18.0,2000.0,-1.0,,-1.0,103429.0,11500.0,-1.0,1300.0,1704.0,1620.0,,14595.0,150.0,-1.0,,8900.0,-1.0,297.0,2298.0,-1.0,-1.0,,-1.0,124000.0,4880.0,,37807.0,18.0,,2000.0,26500.0,-1.0,300.0,7349.0,11000.0,,4500.0,601.0,7577.0,36015.0,43.0,40791.0,95000.0,3455.0,107726.0,15757.0,265000.0,75.0,1137.0,,,350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,14930.0,42844.0,50.0,-1.0,-1.0,1500.0,-1.0,28908.0,,-1.0,,-1.0,,,2700.0,12000.0,6400.0,637.0,,21130.0,13715.0,7590.0,-1.0,39400.0,,10900.0,,-1.0,10000.0,,,550.0,,6200.0,110.0,,-1.0,,-1.0,3100.0,-1.0,19636.0,24.0,,,45.0,142.0,,21841.0,278715.0
1971,510000.0,,-1.0,2106.0,35.0,11800.0,,41399.0,-1.0,1000.0,-1.0,-1.0,2800.0,,-1.0,18.0,2264.0,-1.0,,-1.0,115748.0,11500.0,-1.0,1700.0,2166.0,1558.0,,14000.0,160.0,-1.0,,9500.0,-1.0,300.0,2378.0,-1.0,-1.0,,-1.0,125000.0,5400.0,,40328.0,18.0,,2600.0,24800.0,-1.0,300.0,7334.0,12000.0,,4500.0,380.0,7960.0,38404.0,45.0,40404.0,100000.0,2784.0,102141.0,17200.0,290000.0,130.0,1338.0,,,330.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,11760.0,53000.0,60.0,-1.0,-1.0,5768.0,-1.0,27096.0,,-1.0,,-1.0,,,2700.0,7200.0,6400.0,697.0,,21610.0,14827.0,7025.0,-1.0,40900.0,,10900.0,,-1.0,25050.0,,,1052.0,,6100.0,110.0,,-1.0,,-1.0,3150.0,-1.0,24823.0,25.0,,,50.0,200.0,,22189.0,304827.0
1972,560000.0,,-1.0,2332.0,35.0,13100.0,,36480.0,-1.0,1000.0,-1.0,-1.0,2600.0,,-1.0,19.0,2661.0,-1.0,,-1.0,118636.0,11700.0,-1.0,1700.0,2402.0,1550.0,,13180.0,170.0,-1.0,,9900.0,-1.0,211.0,1228.0,-1.0,-1.0,,-1.0,127000.0,6900.0,,40328.0,19.0,,2400.0,24600.0,-1.0,250.0,7344.0,12000.0,,5000.0,220.0,8500.0,56678.0,48.0,42982.0,109900.0,2970.0,108292.0,17400.0,270000.0,130.0,1204.0,,,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,14480.0,49250.0,70.0,-1.0,-1.0,8941.0,-1.0,26830.0,,-1.0,,-1.0,,,2800.0,7200.0,6300.0,757.0,,22110.0,13908.0,9680.0,-1.0,40500.0,,10900.0,,-1.0,11248.0,,,567.0,,5900.0,110.0,,-1.0,,-1.0,3150.0,-1.0,25593.0,26.0,,,50.0,204.0,,22641.0,283908.0
1973,600000.0,,-1.0,2100.0,60.0,14000.0,,42047.0,-1.0,1000.0,-1.0,-1.0,2700.0,,-1.0,19.0,2605.0,-1.0,,-1.0,104123.0,12000.0,-1.0,1700.0,2180.0,1550.0,,15400.0,180.0,-1.0,,10000.0,-1.0,199.0,919.0,-1.0,-1.0,,-1.0,133000.0,9800.0,,43688.0,19.0,,2200.0,23500.0,-1.0,276.0,8027.0,12100.0,,5000.0,200.0,9200.0,39468.0,50.0,44470.0,120000.0,2653.0,97285.0,22300.0,300000.0,125.0,1137.0,,,350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,13120.0,44111.0,80.0,-1.0,-1.0,12350.0,-1.0,26419.0,,-1.0,,-1.0,,,2800.0,7200.0,6200.0,863.0,,20400.0,13570.0,6690.0,-1.0,39000.0,,10900.0,,-1.0,2325.0,,,809.0,,5800.0,120.0,,-1.0,,-1.0,3181.0,-1.0,31956.0,27.0,,,40.0,202.0,,20221.0,313570.0
