,Turkey,Canada,Australia & New Zealand,Australia,Morocco,Thailand,Mexico,Uruguay,Spain,Argentina,Czechia,Bangladesh,Portugal,Netherlands,Hungary
1961,15800.0,,8585.0,8585.0,2400.0,400.0,2606.0,2512.0,1622.0,24800.0,,,,2301.0,-1.0
1962,23000.0,,18542.0,18542.0,2400.0,400.0,2883.0,5034.0,2442.0,37400.0,,,,5741.0,-1.0
1963,10400.0,,9652.0,9652.0,3000.0,400.0,2936.0,3278.0,3042.0,43600.0,,,,1311.0,-1.0
1964,10000.0,,3566.0,3566.0,3000.0,400.0,3029.0,3588.0,2200.0,46800.0,,,,469.0,-1.0
1965,5000.0,,3607.0,3607.0,5200.0,400.0,3161.0,1819.0,1950.0,36700.0,,,,69.0,-1.0
1966,6200.0,,1626.0,1626.0,5200.0,400.0,3198.0,1748.0,824.0,28200.0,,,,12.0,-1.0
1967,4000.0,,1520.0,1520.0,6000.0,400.0,6505.0,490.0,816.0,32200.0,,,,2.0,-1.0
1968,2700.0,,6000.0,6000.0,7000.0,400.0,7951.0,1735.0,2103.0,25800.0,,,,2.0,-1.0
1969,3000.0,,18000.0,18000.0,8000.0,400.0,13736.0,4090.0,2654.0,44100.0,,,,1800.0,-1.0
1970,4580.0,,5000.0,5000.0,13900.0,400.0,17606.0,1802.0,18900.0,107000.0,,,,400.0,-1.0
1971,4000.0,,4000.0,4000.0,25800.0,800.0,7520.0,2131.0,7515.0,39300.0,,,,-1.0,-1.0
1972,2880.0,,4000.0,4000.0,16770.0,800.0,10758.0,1306.0,5109.0,26200.0,,,,-1.0,-1.0
1973,1780.0,,7000.0,7000.0,12530.0,800.0,11535.0,718.0,3886.0,35000.0,,,,-1.0,-1.0
1974,1800.0,,6248.0,6248.0,15120.0,800.0,6767.0,1000.0,4331.0,34000.0,,,,-1.0,-1.0
1975,1050.0,,15680.0,15680.0,16640.0,800.0,8505.0,1000.0,5100.0,25400.0,,,,-1.0,-1.0
1976,2000.0,,20000.0,20000.0,33500.0,1200.0,10428.0,1000.0,4704.0,32800.0,,,,-1.0,-1.0
1977,3000.0,,13565.0,13565.0,8860.0,1200.0,14871.0,1000.0,5874.0,39000.0,,,,-1.0,-1.0
1978,3000.0,,21821.0,21821.0,14110.0,1200.0,22393.0,1000.0,5329.0,60000.0,,,,-1.0,-1.0
1979,1600.0,,9464.0,9464.0,9180.0,1200.0,8966.0,1139.0,3518.0,51000.0,,,,,-1.0
1980,1400.0,23000.0,2661.0,2661.0,8000.0,1200.0,3664.0,1500.0,5178.0,42000.0,,,,,-1.0
1981,900.0,31000.0,5388.0,5388.0,2000.0,1600.0,4945.0,1500.0,2758.0,35200.0,,,,,-1.0
1982,1000.0,53000.0,7964.0,7964.0,6000.0,1600.0,11444.0,1500.0,2457.0,32300.0,,,,,-1.0
1983,750.0,64000.0,9100.0,9100.0,6760.0,1600.0,14267.0,1500.0,1044.0,63000.0,,,,,-1.0
1984,235.0,42500.0,7219.0,7219.0,3400.0,1600.0,13377.0,1500.0,3890.0,50000.0,,,,,-1.0
1985,152.0,39300.0,15971.0,15971.0,6260.0,1600.0,6697.0,1500.0,1836.0,53000.0,,,,,-1.0
1986,150.0,126100.0,10588.0,10588.0,7520.0,1800.0,7941.0,1600.0,1658.0,23500.0,,,,,-1.0
1987,150.0,99600.0,11000.0,11000.0,4700.0,1800.0,8737.0,1600.0,1209.0,57500.0,,,,,-1.0
1988,194.0,59900.0,8120.0,8120.0,1800.0,1800.0,10859.0,1700.0,692.0,48000.0,,,,-1.0,-1.0
1989,600.0,115500.0,9352.0,9352.0,2100.0,1800.0,13136.0,1700.0,516.0,59000.0,,,,-1.0,-1.0
1990,169.0,172300.0,8273.0,8273.0,3200.0,1610.0,9499.0,1700.0,594.0,56900.0,,,-1.0,-1.0,-1.0
