,Jamaica,Eritrea,Israel,Australia & New Zealand,Australia,Iraq,Czechia,Slovakia,Belgium,Nepal,Ethiopia,Luxembourg,Libya,Switzerland,Italy,Ukraine,Lebanon,Syrian Arab Republic,Portugal,Albania,Uzbekistan,Brazil,Paraguay,Sudan (former),Morocco,Slovenia,Sierra Leone,Malta,Argentina,Colombia,Spain,Kyrgyzstan,Germany,Cyprus,Austria,Ecuador,Japan,Poland,Canada,Belgium-Luxembourg,Turkey,Jordan,Denmark,Ethiopia PDR,Egypt,Sudan,Greece,Czechoslovakia,France,Tunisia,Yemen,Hungary,Russian Federation,Dominican Republic,Cameroon,Bolivia (Plurinational State of),Occupied Palestinian Territory,Iran (Islamic Republic of),Guyana,Peru,Mexico,China,"China, mainland",Azerbaijan,Algeria,United Kingdom,Uruguay,Lithuania,Bulgaria,Netherlands,Guatemala,South Sudan
1961,45.0,,100.0,157.0,157.0,15380.0,,,,-1.0,,,2000.0,,387700.0,,1500.0,7809.0,25200.0,-1.0,,56248.0,2100.0,8500.0,60000.0,,300.0,683.0,4500.0,-1.0,112900.0,,80900.0,1710.0,1635.0,16170.0,22100.0,-1.0,,12197.0,50000.0,1200.0,23911.0,205000.0,161078.0,,29620.0,11328.0,54780.0,6500.0,,-1.0,,3600.0,,4000.0,-1.0,-1.0,-1.0,23500.0,22767.0,3400000.0,3400000.0,,11012.0,2000.0,500.0,,235.0,3491.0,8328.0,
1962,46.0,,100.0,494.0,494.0,14793.0,,,,-1.0,,,1100.0,,438000.0,,1600.0,12109.0,37602.0,-1.0,,53692.0,1900.0,13550.0,100000.0,,300.0,683.0,5000.0,-1.0,144400.0,,104195.0,1782.0,1976.0,18000.0,22500.0,-1.0,,14088.0,53000.0,1500.0,14419.0,210000.0,328135.0,,27348.0,15309.0,51070.0,15400.0,,-1.0,,3800.0,,4000.0,-1.0,-1.0,-1.0,32978.0,29805.0,4400000.0,4400000.0,,16000.0,-1.0,500.0,,552.0,3035.0,7041.0,
1963,48.0,,100.0,359.0,359.0,13989.0,,,,-1.0,,,900.0,,493500.0,,900.0,10680.0,40563.0,-1.0,,65645.0,1900.0,8302.0,120000.0,,300.0,591.0,5200.0,-1.0,141200.0,,99351.0,1510.0,6135.0,15707.0,8310.0,-1.0,,9138.0,53000.0,1400.0,15063.0,220000.0,263296.0,,19020.0,19739.0,49500.0,19000.0,,-1.0,,3980.0,,4000.0,-1.0,-1.0,-1.0,34920.0,36627.0,3500000.0,3500000.0,,17000.0,-1.0,500.0,,1208.0,3774.0,8383.0,
1964,45.0,,100.0,182.0,182.0,9800.0,,,,-1.0,,,800.0,,402200.0,,1180.0,11852.0,28708.0,-1.0,,51298.0,2590.0,8330.0,130000.0,,300.0,1074.0,6500.0,-1.0,122000.0,,102804.0,1253.0,7076.0,19546.0,17700.0,-1.0,,7153.0,44000.0,2049.0,14719.0,240000.0,365768.0,,18851.0,15211.0,37840.0,18600.0,,-1.0,,4940.0,,4000.0,-1.0,-1.0,-1.0,35321.0,37303.0,3750000.0,3750000.0,,21083.0,-1.0,500.0,,984.0,5978.0,8067.0,
1965,40.0,,150.0,226.0,226.0,16300.0,,,,-1.0,,,800.0,,439100.0,,1500.0,11855.0,27423.0,-1.0,,68968.0,3070.0,10489.0,140000.0,,300.0,1294.0,6600.0,-1.0,114009.0,,113832.0,2004.0,7735.0,23639.0,17100.0,-1.0,,5978.0,45000.0,2645.0,7935.0,240000.0,343900.0,,20820.0,19851.0,40180.0,24400.0,,-1.0,,4880.0,,4000.0,-1.0,-1.0,-1.0,20786.0,37906.0,3735000.0,3735000.0,,15906.0,-1.0,500.0,,197.0,1393.0,8260.0,
1966,89.0,,100.0,260.0,260.0,18000.0,,,,-1.0,,,900.0,,397200.0,,1559.0,12804.0,26695.0,-1.0,,73601.0,3250.0,10147.0,97950.0,,320.0,,6900.0,-1.0,126700.0,,118016.0,1435.0,15506.0,20686.0,15200.0,-1.0,,5423.0,43000.0,2000.0,1000.0,275000.0,380805.0,,21889.0,16795.0,37230.0,16500.0,,-1.0,,4570.0,,4000.0,-1.0,-1.0,-1.0,20467.0,38639.0,2800000.0,2800000.0,,13901.0,-1.0,543.0,,130.0,1146.0,7000.0,
1967,90.0,,100.0,126.0,126.0,18900.0,,,,-1.0,,,900.0,,408000.0,,976.0,14000.0,34600.0,-1.0,,92945.0,3360.0,12333.0,107250.0,,330.0,,5400.0,-1.0,133100.0,,131964.0,1930.0,16805.0,19757.0,10800.0,-1.0,,6158.0,43000.0,5400.0,16000.0,280000.0,190000.0,,20907.0,19710.0,39010.0,18000.0,,-1.0,,4770.0,,4000.0,-1.0,-1.0,-1.0,22395.0,39010.0,2800000.0,2800000.0,,15144.0,-1.0,500.0,,67.0,866.0,6284.0,
1968,90.0,,120.0,100.0,100.0,20257.0,,,,-1.0,,,1000.0,,324500.0,,734.0,7593.0,39071.0,-1.0,,83644.0,2500.0,12954.0,170000.0,,340.0,,5200.0,-1.0,143686.0,,121696.0,965.0,12258.0,20005.0,10800.0,-1.0,,4838.0,43000.0,1717.0,32000.0,290000.0,284000.0,,14347.0,11949.0,38870.0,21700.0,,-1.0,,4970.0,,4000.0,-1.0,-1.0,-1.0,16938.0,34224.0,2500000.0,2500000.0,,13793.0,-1.0,500.0,,111.0,443.0,6477.0,
1969,183.0,,130.0,94.0,94.0,17682.0,,,,-1.0,,,1200.0,,401800.0,,567.0,9226.0,31224.0,-1.0,,84361.0,2420.0,12000.0,155300.0,,350.0,,5100.0,-1.0,130427.0,,114284.0,2032.0,2496.0,10963.0,8700.0,-1.0,,5244.0,45000.0,569.0,59000.0,295000.0,299000.0,,13969.0,12161.0,40190.0,20000.0,,-1.0,,5160.0,,4600.0,-1.0,-1.0,-1.0,20117.0,30058.0,2400000.0,2400000.0,,14454.0,-1.0,500.0,,60.0,269.0,6680.0,
1970,185.0,,120.0,116.0,116.0,20118.0,,,,-1.0,,,1000.0,,369100.0,,478.0,8785.0,30245.0,-1.0,,73434.0,2170.0,15000.0,189900.0,,350.0,,3200.0,-1.0,135400.0,,96032.0,1727.0,2312.0,15009.0,8000.0,-1.0,,2732.0,39000.0,522.0,60000.0,300000.0,278000.0,,15489.0,9986.0,38520.0,18000.0,,-1.0,,5360.0,,5100.0,-1.0,-1.0,-1.0,21028.0,30694.0,2700000.0,2700000.0,,17232.0,-1.0,505.0,,63.0,100.0,6886.0,
