,"China, Taiwan Province of",Romania,Ethiopia PDR,Greece,Sudan,Mexico,Ethiopia,Democratic Republic of the Congo,Nigeria,Senegal,Mali,Mauritania,Congo,Turkey,Bulgaria,Benin,Yugoslav SFR,Iran (Islamic Republic of),China,Latvia,Sudan (former),"China, mainland",Cameroon,Chad,South Sudan,Central African Republic,Thailand
1961,,400.0,40000.0,960.0,,-1.0,,18000.0,99000.0,850.0,-1.0,1400.0,1600.0,,800.0,,20000.0,400.0,,,28000.0,,28000.0,11500.0,,7000.0,
1962,,400.0,41000.0,1269.0,,-1.0,,19000.0,101000.0,900.0,-1.0,1450.0,1700.0,,600.0,,20000.0,500.0,,,30000.0,,28000.0,12000.0,,7200.0,
1963,,500.0,42000.0,1944.0,,-1.0,,20000.0,116000.0,950.0,-1.0,1500.0,1750.0,,500.0,,20000.0,600.0,,,30000.0,,29000.0,12500.0,,7400.0,
1964,,500.0,43000.0,1808.0,,-1.0,,21000.0,110000.0,1000.0,-1.0,1500.0,1800.0,,600.0,,20000.0,700.0,,,35000.0,,28000.0,13000.0,,7600.0,
1965,,600.0,44000.0,1434.0,,-1.0,,23000.0,114000.0,1000.0,-1.0,1600.0,1850.0,,800.0,,20000.0,800.0,,,40000.0,,29000.0,13500.0,,7800.0,
1966,,600.0,45000.0,2097.0,,-1.0,,24739.0,83000.0,900.0,-1.0,1600.0,1900.0,,500.0,,20000.0,900.0,,,40000.0,,30000.0,14000.0,,8000.0,
1967,,600.0,46000.0,3177.0,,-1.0,,28862.0,79000.0,11700.0,-1.0,1650.0,1950.0,,600.0,,20000.0,1000.0,,,39000.0,,28490.0,14500.0,,8500.0,
1968,,500.0,47000.0,1881.0,,-1.0,,25000.0,103000.0,3300.0,-1.0,1700.0,1950.0,,800.0,,20000.0,1100.0,,,35000.0,,27325.0,15000.0,,8600.0,
1969,,500.0,49000.0,2205.0,,-1.0,,30000.0,65000.0,9100.0,-1.0,1750.0,2000.0,,600.0,,20000.0,1200.0,,,35000.0,,30000.0,15000.0,,9000.0,
1970,,400.0,50000.0,2606.0,,-1.0,,25600.0,109000.0,1500.0,-1.0,1800.0,2000.0,,600.0,,20000.0,1300.0,,,35000.0,,32589.0,15500.0,,9000.0,
1971,,300.0,52000.0,652.0,,-1.0,,25800.0,63000.0,3000.0,-1.0,1750.0,2000.0,,500.0,,20000.0,1400.0,,,38000.0,,34323.0,15500.0,,9000.0,
1972,3531.0,500.0,54000.0,3414.0,,-1.0,,28000.0,91000.0,5000.0,-1.0,1500.0,2100.0,,500.0,,20000.0,1500.0,3531.0,,33000.0,,42000.0,15500.0,,9000.0,
1973,4974.0,500.0,56000.0,3278.0,,-1.0,,28900.0,182000.0,8700.0,-1.0,1200.0,2100.0,,500.0,,20000.0,1600.0,4974.0,,32000.0,,36206.0,16000.0,,9500.0,
1974,4027.0,-1.0,60000.0,2489.0,,-1.0,,29100.0,49000.0,5000.0,-1.0,1400.0,2100.0,,500.0,,20000.0,1700.0,4027.0,,32000.0,,45129.0,17000.0,,9500.0,
1975,3284.0,-1.0,65000.0,3016.0,,-1.0,,30500.0,208000.0,5900.0,-1.0,1600.0,2150.0,,700.0,,20000.0,1800.0,3284.0,,32000.0,,55185.0,17500.0,,10000.0,
1976,7036.0,-1.0,63000.0,3511.0,,-1.0,,32500.0,166000.0,3800.0,-1.0,1600.0,2200.0,,600.0,,17000.0,1900.0,7036.0,,35000.0,,57578.0,18500.0,,10000.0,
1977,7582.0,-1.0,68000.0,4390.0,,-1.0,,30400.0,142000.0,3800.0,-1.0,1800.0,2250.0,,600.0,,15000.0,2000.0,7582.0,,32000.0,,58533.0,16000.0,,10300.0,
1978,3731.0,-1.0,72000.0,3173.0,,-1.0,,31200.0,106000.0,1618.0,-1.0,1800.0,2300.0,,0.0,,15000.0,2100.0,3731.0,,35000.0,,47197.0,17000.0,,10600.0,
1979,4951.0,-1.0,75000.0,2646.0,,-1.0,,29900.0,104000.0,593.0,-1.0,2000.0,2350.0,,,,14000.0,2000.0,4951.0,,40000.0,,47750.0,19000.0,,10800.0,
