,USSR,Poland,Turkey,Pakistan,Czechoslovakia,France,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Yugoslav SFR,Iran (Islamic Republic of),China,Serbia and Montenegro,"China, mainland",Chile,Cyprus,Spain,Croatia,Portugal,Ukraine
1961,30000.0,4000.0,5000.0,,600.0,900.0,400.0,855.0,1309.0,581.0,,1400.0,2500.0,,27000.0,,27000.0,3000.0,,2171.0,,30.0,
1962,30000.0,3000.0,5900.0,,406.0,1330.0,400.0,990.0,2000.0,855.0,,1400.0,2300.0,,30000.0,,30000.0,3000.0,,2014.0,,40.0,
1963,30000.0,3000.0,5700.0,,455.0,1060.0,500.0,940.0,2467.0,959.0,,1300.0,2600.0,,36000.0,,36000.0,3000.0,,2427.0,,30.0,
1964,30000.0,3000.0,3500.0,,321.0,1250.0,300.0,640.0,2565.0,1004.0,,1500.0,7900.0,,39000.0,,39000.0,3000.0,,990.0,,40.0,
1965,36000.0,6000.0,3500.0,,379.0,1470.0,1200.0,590.0,1241.0,582.0,,2000.0,3000.0,,42000.0,,42000.0,3000.0,,710.0,,30.0,
1966,29000.0,6000.0,3500.0,,517.0,1188.0,4100.0,660.0,2346.0,613.0,,1800.0,4500.0,,46000.0,,46000.0,3000.0,,459.0,,30.0,
1967,32000.0,5000.0,3100.0,,473.0,1465.0,1600.0,430.0,1399.0,334.0,,1490.0,6000.0,,46000.0,,46000.0,3000.0,,301.0,,20.0,
1968,28000.0,4000.0,3500.0,,691.0,820.0,1800.0,280.0,1895.0,333.0,,1500.0,3500.0,,47000.0,,47000.0,3000.0,,164.0,,20.0,
1969,26000.0,2000.0,2800.0,,247.0,456.0,1800.0,94.0,819.0,264.0,,1300.0,2400.0,,47000.0,,47000.0,3200.0,,135.0,,40.0,
1970,20000.0,2000.0,2500.0,,131.0,523.0,1200.0,40.0,524.0,245.0,,1200.0,1500.0,,48000.0,,48000.0,2500.0,,45.0,,40.0,
1971,18000.0,2000.0,2600.0,,251.0,200.0,1800.0,28.0,615.0,209.0,,1200.0,1400.0,,48000.0,,48000.0,2500.0,,53.0,,-1.0,
1972,14000.0,2000.0,3150.0,,142.0,200.0,1600.0,28.0,567.0,71.0,,863.0,600.0,,49000.0,,49000.0,2400.0,,75.0,,-1.0,
1973,19000.0,2000.0,3400.0,,128.0,2670.0,1800.0,10.0,602.0,0.0,,810.0,800.0,,50000.0,,50000.0,1600.0,,150.0,,-1.0,
1974,20000.0,2000.0,3000.0,,125.0,2380.0,1800.0,10.0,349.0,,,860.0,1300.0,,57000.0,,57000.0,1600.0,,1055.0,,-1.0,
1975,16000.0,1052.0,2800.0,,127.0,2735.0,2000.0,15.0,822.0,,,836.0,1300.0,,57000.0,,57000.0,1700.0,,326.0,,-1.0,
1976,14000.0,1588.0,2000.0,,91.0,2880.0,2300.0,9.0,1658.0,,,646.0,930.0,,56000.0,,56000.0,1600.0,,210.0,,-1.0,
1977,11000.0,812.0,1500.0,,69.0,3700.0,2000.0,17.0,2571.0,,,680.0,686.0,,55000.0,,55000.0,1100.0,,234.0,,-1.0,
1978,11000.0,817.0,2000.0,,65.0,3470.0,1900.0,23.0,1209.0,,,740.0,339.0,,54000.0,,54000.0,1100.0,,312.0,,-1.0,
1979,14000.0,254.0,5000.0,,46.0,2830.0,2100.0,4.0,654.0,,,426.0,123.0,,54000.0,,54000.0,1100.0,,174.0,,-1.0,
1980,10000.0,280.0,4600.0,,9.0,2680.0,1800.0,3.0,1664.0,,,282.0,177.0,,42000.0,,42000.0,1100.0,,146.0,,-1.0,
1981,9000.0,608.0,3600.0,,,1640.0,1500.0,3.0,1102.0,,,291.0,201.0,,56000.0,,56000.0,1100.0,,173.0,,-1.0,
1982,11000.0,493.0,3500.0,,,1780.0,1500.0,,978.0,,,569.0,298.0,,52000.0,,52000.0,1100.0,,342.0,,-1.0,
1983,11000.0,352.0,2500.0,,,2130.0,2100.0,,983.0,,,367.0,537.0,,37000.0,,37000.0,1100.0,,12.0,,-1.0,
1984,12000.0,233.0,2650.0,,,1370.0,2200.0,,1287.0,,,383.0,420.0,,38000.0,,38000.0,1100.0,,43.0,,-1.0,
1985,7000.0,251.0,1500.0,,,1845.0,2200.0,,961.0,,,226.0,258.0,,41000.0,,41000.0,1100.0,,77.0,,-1.0,
1986,7000.0,306.0,2600.0,,,1526.0,2400.0,-1.0,991.0,,,218.0,69.0,,76000.0,,76000.0,1100.0,,44.0,,-1.0,
1987,7500.0,435.0,2600.0,,,1560.0,2500.0,-1.0,887.0,,,179.0,302.0,,64000.0,,64000.0,1100.0,,,,-1.0,
1988,5400.0,365.0,1200.0,,,1020.0,2600.0,-1.0,463.0,,,67.0,146.0,,64000.0,,64000.0,1100.0,,,,-1.0,
1989,7000.0,304.0,580.0,,,850.0,3700.0,-1.0,567.0,,,91.0,195.0,,29000.0,,29000.0,1100.0,,2.0,,-1.0,
