,USSR,Syrian Arab Republic,Bahrain,Australia & New Zealand,Australia,Panama,Pakistan,Slovakia,Democratic Republic of the Congo,Belize,Ethiopia,Kenya,Romania,United Arab Emirates,Lebanon,Tajikistan,Tunisia,Albania,Paraguay,Niger,Serbia,Slovenia,Hungary,Argentina,Colombia,Iceland,India,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Poland,Canada,Turkey,Antigua and Barbuda,Belgium-Luxembourg,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Egypt,Nigeria,Sudan,Congo,Martinique,Dominican Republic,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Spain,"China, mainland",French Polynesia,Madagascar,Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Saint Kitts and Nevis,Austria,Bermuda,Bhutan,Turkmenistan,Trinidad and Tobago,Norway,Dominica,Iraq,Czechia,Senegal,Philippines,Belgium,Luxembourg,Libya,Costa Rica,Republic of Moldova,Italy,Qatar,Saint Lucia,Germany,Latvia,Sweden,Montserrat,Uzbekistan,China,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Jordan,Chile,Honduras,Uruguay,Ireland,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Switzerland,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Mauritius,Bosnia and Herzegovina,Yemen,Oman,New Zealand,Barbados,Russian Federation,Bolivia (Plurinational State of),Grenada,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Mexico,Ukraine,Kuwait,South Africa,Guadeloupe,Sri Lanka,Mongolia,Polynesia,Croatia,Bulgaria,Occupied Palestinian Territory
1961,130435.0,,,260973.0,249535.0,66667.0,,,32500.0,,,,,,155556.0,,60526.0,,,,,,108875.0,142857.0,240741.0,200000.0,80000.0,,75800.0,157143.0,,58333.0,167619.0,263382.0,71429.0,30000.0,743323.0,,,147465.0,149180.0,238702.0,70000.0,178571.0,75000.0,,,100000.0,179000.0,,84807.0,,,239372.0,148031.0,125000.0,100000.0,68000.0,237383.0,205882.0,,,318182.0,310518.0,,,322444.0,170000.0,,,220000.0,284907.0,,58018.0,,,,,,30000.0,,,317619.0,,,253136.0,,385417.0,75000.0,,125000.0,200000.0,,,,76667.0,199833.0,220588.0,,52908.0,340000.0,80000.0,,249302.0,,136716.0,,300188.0,379630.0,,100000.0,,220436.0,,200000.0,,,,310204.0,66667.0,,61538.0,83333.0,41667.0,115152.0,400000.0,,,321429.0,100000.0,52845.0,,100000.0,,159985.0,
1962,115638.0,,,274554.0,267184.0,64286.0,,,31143.0,,,,,,180000.0,,59459.0,,,,,,129833.0,141667.0,242857.0,200000.0,82353.0,,75778.0,147203.0,,61538.0,166500.0,293025.0,72727.0,50000.0,730090.0,,,135184.0,151429.0,240579.0,70000.0,196429.0,75000.0,,,100000.0,183000.0,,78125.0,,,226055.0,145807.0,125000.0,100000.0,70000.0,303737.0,176471.0,,,363636.0,309743.0,,,325529.0,136250.0,,,250000.0,291833.0,,113152.0,,,,,,30000.0,,,320000.0,,,266209.0,,357143.0,75000.0,,125000.0,149626.0,,,,72500.0,196800.0,217391.0,,56250.0,340000.0,166000.0,,266351.0,,153692.0,,298635.0,380184.0,,110000.0,,223084.0,,240741.0,,,,300000.0,60000.0,,71429.0,83333.0,41667.0,114706.0,400000.0,,,285714.0,100000.0,26390.0,,100000.0,,142280.0,
1963,109574.0,,,278134.0,269133.0,62500.0,,,31667.0,,,,,,75000.0,,59524.0,,,,,,165309.0,141667.0,241379.0,233333.0,82222.0,,75583.0,112912.0,,61538.0,186818.0,270728.0,71739.0,40000.0,799200.0,,,207425.0,159770.0,262687.0,66667.0,178571.0,75000.0,,,100000.0,188500.0,,84696.0,,,221478.0,149190.0,125000.0,100000.0,72000.0,242990.0,235294.0,,,300000.0,310014.0,,,353798.0,126111.0,,,290000.0,378307.0,,139467.0,,,,,,30030.0,,,317708.0,,,277591.0,,329787.0,75000.0,,125000.0,220172.0,,,,85000.0,212400.0,217857.0,,60000.0,340000.0,118000.0,,240637.0,,171233.0,,280031.0,380952.0,,110000.0,,393998.0,,240385.0,,,,303896.0,60000.0,,73333.0,93333.0,41667.0,114493.0,400000.0,,,385714.0,100000.0,144910.0,,100000.0,,146726.0,
1964,137813.0,,,287411.0,281193.0,62500.0,,,30857.0,,,,,,61111.0,,56486.0,,,,,,179553.0,141667.0,240000.0,233333.0,85263.0,,77304.0,104908.0,,60000.0,183043.0,258558.0,74468.0,50000.0,1312165.0,,,206350.0,162286.0,254610.0,66667.0,214286.0,75000.0,,,100000.0,132333.0,,87344.0,,,220288.0,175034.0,128571.0,100000.0,74000.0,184530.0,235294.0,,,305556.0,310201.0,,,340496.0,136250.0,,,310000.0,263240.0,,88874.0,,,,,,30000.0,,,240502.0,,,282813.0,,400000.0,75000.0,,128023.0,233129.0,,,,70000.0,218000.0,218310.0,,62069.0,340000.0,116171.0,69783.0,198462.0,,155859.0,,280000.0,380952.0,,110000.0,,364007.0,,161429.0,,,,305000.0,60000.0,,85246.0,93333.0,42857.0,115278.0,400000.0,,,407143.0,100000.0,29923.0,,100000.0,,200112.0,
1965,131648.0,,,309080.0,287534.0,64706.0,,,30222.0,,,,,,63333.0,,55000.0,,,,,,192845.0,142857.0,238710.0,266667.0,85000.0,,80211.0,78092.0,,60000.0,183750.0,204085.0,72857.0,50000.0,1008092.0,,,226225.0,217910.0,255662.0,77423.0,188819.0,75000.0,,,100000.0,129667.0,,80671.0,,,245736.0,179678.0,122642.0,100000.0,76000.0,303932.0,176471.0,,,309524.0,309742.0,,,320962.0,135833.0,,,370000.0,313187.0,,123240.0,,,,,,29973.0,,,247892.0,,,293420.0,,388889.0,75000.0,,122446.0,159613.0,,,,77500.0,207375.0,220000.0,,64286.0,340000.0,87079.0,107033.0,244240.0,,166971.0,,320751.0,381862.0,,120000.0,,352122.0,,250556.0,,,,372840.0,60606.0,,104918.0,100000.0,42857.0,114865.0,400000.0,,,392857.0,100000.0,25951.0,,100000.0,,140412.0,
1966,133407.0,,,312656.0,307984.0,64706.0,,,30750.0,,,,,150000.0,100000.0,,60000.0,,,,,,202476.0,142857.0,237500.0,300000.0,88038.0,,78447.0,84196.0,,62500.0,185417.0,284531.0,93182.0,50000.0,1106446.0,,,213060.0,210294.0,268286.0,51918.0,206421.0,75000.0,,,100000.0,129000.0,,88993.0,,,242163.0,179279.0,129630.0,100000.0,78000.0,240399.0,188640.0,,,309524.0,310060.0,,,391964.0,133636.0,,,360000.0,330603.0,,110726.0,,,,,,30030.0,,,264936.0,,,328828.0,,446429.0,75000.0,,129458.0,230000.0,,,,80488.0,162647.0,219178.0,,69764.0,340000.0,105205.0,112623.0,325926.0,,172602.0,,374639.0,384615.0,,120000.0,,420234.0,,235800.0,,,,329106.0,62500.0,,80000.0,100000.0,43750.0,115650.0,414286.0,,,435714.0,100000.0,22977.0,,100000.0,,230278.0,
1967,150108.0,,,286362.0,276689.0,66667.0,,,39909.0,,,,,150000.0,220247.0,,70638.0,,,,,,196680.0,142857.0,239394.0,266667.0,88073.0,,63769.0,69932.0,,62500.0,196000.0,288386.0,93750.0,50000.0,1242982.0,,,194560.0,211429.0,268865.0,78343.0,216961.0,75000.0,,,100000.0,133000.0,,84717.0,,,241314.0,176542.0,127273.0,100000.0,80000.0,227724.0,198228.0,,,304348.0,310252.0,,,349648.0,136000.0,,,340000.0,277332.0,,109700.0,,,,,,30000.0,,,282085.0,,,329772.0,,453636.0,100000.0,,127338.0,250000.0,,,,85000.0,175289.0,219595.0,,66667.0,340000.0,106967.0,133686.0,275092.0,,180283.0,,326720.0,382979.0,,120000.0,,406899.0,,242188.0,,,,320859.0,60000.0,,80000.0,100000.0,43750.0,117185.0,400000.0,,,413333.0,100000.0,36841.0,,100000.0,,213092.0,
1968,138925.0,,,288614.0,281748.0,65455.0,,,40000.0,,,,,100000.0,189477.0,,61860.0,,,,,,162454.0,143031.0,241176.0,300000.0,88496.0,,53982.0,71729.0,,62005.0,189130.0,274525.0,93840.0,40000.0,1025994.0,,,202000.0,218667.0,274236.0,81434.0,206349.0,75000.0,,,95000.0,115143.0,,82112.0,,,297167.0,152048.0,128571.0,100000.0,82000.0,235396.0,166388.0,,,304348.0,309606.0,,,361297.0,135833.0,,,370000.0,281673.0,,103275.0,,,,,,37500.0,,,304992.0,,,306188.0,,398333.0,100000.0,,128973.0,219477.0,,,,72000.0,219844.0,220000.0,,62500.0,340000.0,84583.0,159794.0,353689.0,,198750.0,,372494.0,380000.0,,120000.0,,399000.0,,221143.0,,,,312519.0,63636.0,,80000.0,100000.0,44444.0,118756.0,393750.0,,,290000.0,69922.0,34974.0,,100000.0,,109927.0,
1969,135638.0,,,285860.0,278171.0,65574.0,,,43103.0,,,,,100000.0,198641.0,,60256.0,,,,,,200324.0,141328.0,242857.0,300000.0,93220.0,,52331.0,73665.0,,65000.0,175583.0,271178.0,93262.0,46667.0,823907.0,,,245373.0,229202.0,272549.0,87397.0,176811.0,75000.0,,,100000.0,121143.0,,93923.0,,,260775.0,212584.0,132143.0,100000.0,84000.0,291009.0,163908.0,,,300000.0,309948.0,,,357076.0,132143.0,,,340000.0,309553.0,,148637.0,,,,,,37500.0,,,317239.0,,,291628.0,,435714.0,75000.0,,132724.0,250000.0,,,,70000.0,289194.0,220395.0,,58824.0,350000.0,73098.0,166439.0,403004.0,,197236.0,,302814.0,363636.0,,120000.0,,404147.0,,226923.0,,,,307075.0,72500.0,,75000.0,83333.0,45455.0,120434.0,376471.0,,,256000.0,69926.0,40575.0,,100000.0,,170824.0,
1970,142895.0,,,290276.0,278259.0,64706.0,,,45455.0,,,,,100000.0,208924.0,,61500.0,,,,,,146590.0,134846.0,244444.0,266667.0,93333.0,,61597.0,78176.0,,63333.0,195643.0,282280.0,93023.0,44444.0,633817.0,,,182222.0,215138.0,232455.0,77241.0,186508.0,75000.0,,,100000.0,114474.0,,77669.0,,,262348.0,167584.0,138182.0,100000.0,90000.0,246260.0,158757.0,,,300000.0,310396.0,,,314560.0,181250.0,,,350000.0,303034.0,,101810.0,,,,,,40000.0,,,308839.0,,,322293.0,,458095.0,65000.0,,138845.0,261644.0,,,,72727.0,289194.0,222222.0,,66404.0,350000.0,83749.0,166978.0,477236.0,,197913.0,,370987.0,354839.0,,120000.0,,336544.0,,234722.0,,,,325224.0,89896.0,,74762.0,83333.0,40000.0,122939.0,361111.0,,,252000.0,100000.0,39350.0,,100000.0,,172631.0,
