,Ghana,Bhutan,Syrian Arab Republic,Madagascar,Bulgaria,French Guiana,United Republic of Tanzania,Thailand,Nepal,Ethiopia,Kenya,Czechia,United States of America,Bangladesh,Senegal,Serbia,Lao People's Democratic Republic,Zambia,Uganda,Papua New Guinea,South Africa,Togo,Benin,Uzbekistan,China,Cambodia,Serbia and Montenegro,Niger,Sudan (former),Morocco,Slovenia,Argentina,South Sudan,Spain,Kyrgyzstan,Malawi,India,Jamaica,Cabo Verde,Maldives,Turkey,Réunion,Ethiopia PDR,Egypt,Melanesia,Pakistan,Malaysia,Grenada,Greece,Czechoslovakia,Viet Nam,Zimbabwe,Democratic Republic of the Congo,Nigeria,Sudan,Mali,Hungary,Martinique,Central African Republic,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Romania,Djibouti,Mexico,"China, mainland",Sierra Leone,The former Yugoslav Republic of Macedonia,Algeria,Peru,Côte d'Ivoire,Bosnia and Herzegovina,Cameroon,Myanmar
1961,14222.0,,,8571.0,43320.0,,6444.0,11532.0,,,7813.0,,,6638.0,60000.0,,40000.0,,8108.0,,10217.0,3333.0,1000.0,,33158.0,,,7143.0,,58824.0,,11538.0,,15529.0,,,6315.0,18803.0,88889.0,5000.0,20000.0,,4000.0,26667.0,,12771.0,10714.0,,26931.0,11176.0,12500.0,,36667.0,15000.0,,,41617.0,,,,13907.0,14667.0,,8182.0,,7327.0,33158.0,20000.0,,,,,,12000.0,3600.0
1962,14222.0,,,8409.0,42979.0,,6522.0,12972.0,,,7813.0,,,6857.0,60000.0,,40000.0,,8378.0,,10213.0,2808.0,1000.0,,34211.0,,,7143.0,,70588.0,,11538.0,,18660.0,,,6672.0,27350.0,100000.0,5000.0,20000.0,,4000.0,28000.0,,12745.0,11000.0,,19931.0,11176.0,12500.0,,36774.0,15025.0,,,42775.0,,,,20108.0,14778.0,,8182.0,,7389.0,34211.0,20000.0,,,,,,12000.0,4819.0
1963,14222.0,,,8636.0,53644.0,,6809.0,14691.0,,,7813.0,,,6653.0,60000.0,,23000.0,,8421.0,,10417.0,3333.0,1000.0,,36667.0,,,7534.0,,70588.0,,11538.0,,16078.0,,,6551.0,26496.0,100000.0,5000.0,20000.0,,4000.0,28947.0,,12095.0,11111.0,,21500.0,11176.0,12500.0,,37419.0,15049.0,,,55804.0,,,,14475.0,14889.0,,8182.0,,7708.0,36667.0,21000.0,,,,,,12000.0,5043.0
1964,14222.0,,,8478.0,55710.0,,6875.0,13190.0,,,7879.0,,,6777.0,60000.0,,23000.0,,8684.0,,10408.0,3667.0,1000.0,,35000.0,,,7527.0,,70588.0,,11333.0,,18788.0,,,6634.0,17094.0,100000.0,5000.0,20000.0,,4000.0,29487.0,,12330.0,12500.0,,26862.0,11064.0,11818.0,,37500.0,15072.0,,,57343.0,,,,14917.0,15000.0,,8182.0,,8195.0,35000.0,22000.0,,,,,,12069.0,4216.0
1965,14222.0,,,8696.0,49073.0,,6939.0,14299.0,,,7941.0,,,6586.0,60000.0,,23000.0,,8718.0,,10400.0,3333.0,1000.0,,38049.0,,,7273.0,,70588.0,,11333.0,,19412.0,,,5741.0,24786.0,100000.0,5000.0,20000.0,,3964.0,26667.0,,10481.0,12500.0,,49935.0,5911.0,11818.0,,37538.0,15094.0,,,48036.0,,,,12678.0,15111.0,,8182.0,,9535.0,38049.0,23000.0,,,,,,12069.0,3775.0
1966,14286.0,,,8542.0,60600.0,,7000.0,15232.0,,,7941.0,,,6795.0,60000.0,,24000.0,,8974.0,,10600.0,3333.0,1000.0,,40000.0,,,8200.0,,70588.0,,11333.0,,23333.0,,,5798.0,27350.0,100000.0,5000.0,20833.0,,4079.0,26042.0,,12581.0,11111.0,,23269.0,11513.0,12000.0,,35758.0,15116.0,,,60530.0,,,,29956.0,15222.0,,11494.0,,9225.0,40000.0,24000.0,,,,,,12069.0,3115.0
1967,15529.0,,,8750.0,54850.0,,7200.0,14436.0,,,7667.0,,,6944.0,60000.0,,25000.0,,9000.0,,10588.0,3333.0,1000.0,,40000.0,,,8940.0,,70588.0,,11765.0,,20729.0,,,6358.0,38462.0,100000.0,5000.0,20000.0,,4100.0,26000.0,,12584.0,10400.0,,21762.0,11341.0,12000.0,,38182.0,15138.0,,,61558.0,,,,14231.0,15000.0,,8230.0,,10186.0,40000.0,24000.0,,,,,,12121.0,3778.0
1968,14826.0,,,8600.0,61983.0,,7255.0,15271.0,,,7667.0,,,6949.0,60000.0,,26000.0,,9024.0,,10769.0,3333.0,2000.0,,40476.0,,,7862.0,,70588.0,,11765.0,,21486.0,,,6018.0,41026.0,100000.0,5000.0,26000.0,,4099.0,26000.0,,12963.0,10400.0,,23278.0,8795.0,12174.0,,37647.0,15158.0,,,63158.0,,,,14761.0,15109.0,,5784.0,,10836.0,40476.0,24000.0,,,,,,12121.0,3603.0
1969,14831.0,,,8800.0,70678.0,,7451.0,14652.0,,,7576.0,,,7094.0,60000.0,,26000.0,,9268.0,,10755.0,3333.0,2000.0,,40000.0,,,6031.0,,70588.0,,14535.0,,18732.0,,,5792.0,32479.0,100000.0,5000.0,18000.0,,4114.0,26000.0,,12746.0,10000.0,,21217.0,16125.0,12174.0,,37143.0,15179.0,,,71273.0,,,,15117.0,15217.0,,6838.0,,11607.0,40000.0,24000.0,,,,,,12121.0,4496.0
1970,14831.0,,,8654.0,60960.0,,7500.0,15557.0,,,7576.0,,,7539.0,60000.0,,25000.0,,9250.0,,10926.0,3333.0,2000.0,,43902.0,,,6250.0,,70588.0,,12632.0,,23896.0,,,6643.0,23026.0,100000.0,5000.0,15000.0,,4148.0,27000.0,,13244.0,10625.0,,21500.0,11147.0,12083.0,,39697.0,15198.0,,,58519.0,,,,19044.0,15000.0,,7287.0,,11089.0,43902.0,24211.0,,,,,,12000.0,4119.0
1971,15050.0,,,8846.0,65686.0,,7692.0,16419.0,,,7576.0,,,7223.0,60000.0,,24545.0,,8974.0,,11111.0,3167.0,3000.0,,42727.0,,,6064.0,,70588.0,,6538.0,,21165.0,,,6558.0,27000.0,100000.0,5000.0,20000.0,,4202.0,27000.0,,13640.0,10000.0,,18950.0,11502.0,12000.0,,41818.0,15217.0,,,62565.0,,,,23769.0,15106.0,,10496.0,,11487.0,42727.0,24345.0,,,,,,12048.0,3991.0
