,Kenya,Belarus,Croatia,Syrian Arab Republic,Brazil,Ethiopia,Denmark,The former Yugoslav Republic of Macedonia,Greece,Ireland,Zimbabwe,Kyrgyzstan,Norway,Australia & New Zealand,Yugoslav SFR,Mongolia,Algeria,Slovenia,Ukraine,Israel,Belgium,Lesotho,Switzerland,Uruguay,Azerbaijan,Bosnia and Herzegovina,China,Colombia,Latvia,Lebanon,Uzbekistan,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Argentina,Portugal,Poland,"China, mainland",Russian Federation,Italy,Luxembourg,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Czechoslovakia,Serbia,Germany,Armenia,United Kingdom,Canada,Japan,Iraq,Cyprus,Spain,New Zealand,Bulgaria,United States of America,Democratic Republic of the Congo,Kuwait,Czechia,Bhutan,Ghana,Georgia,Tajikistan,Austria,Morocco,Ethiopia PDR,Sweden,USSR,Mexico,Romania,Ecuador,Tunisia,Albania,Turkmenistan,France,South Africa,Australia,Lithuania,Finland,Netherlands,Belgium-Luxembourg,Slovakia,Republic of Moldova,Turkey
1961,11331.0,-1.0,-1.0,3324.0,31231.0,-1.0,195284.0,-1.0,148630.0,148800.0,-1.0,-1.0,62062.0,1270740.0,355000.0,23000.0,58649.0,-1.0,-1.0,955.0,-1.0,642.0,15086.0,86260.0,-1.0,-1.0,1200000.0,-1.0,-1.0,1300.0,-1.0,82500.0,120767.0,-1.0,-1.0,-1.0,596700.0,268141.0,1602000.0,1200000.0,-1.0,428422.0,-1.0,6667.0,2300.0,48000.0,-1.0,464762.0,-1.0,1073586.0,-1.0,704292.0,3457000.0,81800.0,-1.0,2542.0,582900.0,17588.0,160424.0,9666550.0,20000.0,-1,-1.0,-1,-1.0,-1.0,-1.0,155360.0,26672.0,10000.0,518118.0,11533000.0,84517.0,243500.0,500.0,22600.0,19443.0,-1,1441170.0,80000.0,1253152.0,-1.0,472948.0,122948.0,136328.0,-1.0,-1.0,412000.0
1962,9996.0,-1.0,-1.0,3224.0,26050.0,-1.0,164042.0,-1.0,143696.0,140000.0,-1.0,-1.0,52938.0,1346288.0,310000.0,32000.0,48000.0,-1.0,-1.0,1176.0,-1.0,700.0,14387.0,80650.0,-1.0,-1.0,1700000.0,-1.0,-1.0,1100.0,-1.0,83130.0,96707.0,-1.0,-1.0,-1.0,411800.0,287533.0,1584000.0,1700000.0,-1.0,410883.0,-1.0,6667.0,2360.0,50000.0,-1.0,447992.0,-1.0,1177606.0,-1.0,616839.0,4277000.0,83800.0,-1.0,2676.0,548945.0,14035.0,152074.0,9056000.0,20000.0,-1,-1.0,-1,-1.0,-1.0,-1.0,150498.0,20295.0,10000.0,477436.0,6900000.0,85939.0,173536.0,550.0,14000.0,21057.0,-1,1356200.0,70000.0,1332253.0,-1.0,455900.0,118963.0,125151.0,-1.0,-1.0,410000.0
1963,7729.0,-1.0,-1.0,3190.0,29037.0,-1.0,185797.0,-1.0,126000.0,134200.0,-1.0,-1.0,43937.0,1381189.0,315000.0,22000.0,44977.0,-1.0,-1.0,1138.0,-1.0,700.0,12218.0,85300.0,-1.0,-1.0,1200000.0,-1.0,-1.0,1100.0,-1.0,80160.0,104005.0,-1.0,-1.0,-1.0,693200.0,296266.0,1682000.0,1200000.0,-1.0,399774.0,-1.0,7097.0,2400.0,50000.0,-1.0,409173.0,-1.0,1085496.0,-1.0,525687.0,3779000.0,75400.0,-1.0,2943.0,527263.0,8449.0,133125.0,8623000.0,1600.0,-1,-1.0,-1,-1.0,-1.0,-1.0,152155.0,24000.0,10000.0,481830.0,5746000.0,90750.0,129819.0,600.0,21000.0,20113.0,-1,1286900.0,80000.0,1372740.0,-1.0,443900.0,112388.0,114475.0,-1.0,-1.0,400000.0
1964,6677.0,-1.0,-1.0,2756.0,25986.0,-1.0,210657.0,-1.0,119290.0,116700.0,-1.0,-1.0,52140.0,1426184.0,306000.0,32000.0,49310.0,-1.0,-1.0,1300.0,-1.0,700.0,11226.0,81400.0,-1.0,-1.0,1100000.0,-1.0,-1.0,1400.0,-1.0,70400.0,77745.0,-1.0,-1.0,-1.0,569500.0,242343.0,1560700.0,1100000.0,-1.0,383975.0,-1.0,6774.0,2490.0,50000.0,-1.0,389394.0,-1.0,1061730.0,-1.0,457444.0,3231000.0,68600.0,-1.0,2676.0,508545.0,10926.0,129731.0,7996000.0,10000.0,-1,-1.0,-1,-1.0,-1.0,-1.0,142800.0,23000.0,10000.0,474860.0,5749000.0,91250.0,88800.0,500.0,25000.0,22278.0,-1,1094200.0,80000.0,1415258.0,-1.0,470000.0,102705.0,104330.0,-1.0,-1.0,410000.0
1965,5180.0,-1.0,-1.0,3136.0,30036.0,-1.0,203480.0,-1.0,120250.0,115088.0,-1.0,-1.0,45570.0,1540426.0,321000.0,34400.0,37020.0,-1.0,-1.0,267.0,-1.0,700.0,10354.0,102263.0,-1.0,-1.0,1200000.0,-1.0,-1.0,1300.0,-1.0,70252.0,65168.0,-1.0,-1.0,-1.0,420500.0,270852.0,1313700.0,1200000.0,-1.0,367156.0,-1.0,7187.0,8160.0,52000.0,-1.0,367493.0,-1.0,986779.0,-1.0,411035.0,3384000.0,62100.0,-1.0,1365.0,501624.0,15690.0,118899.0,7495726.0,13398.0,-1,-1.0,-1,-1.0,-1.0,-1.0,136343.0,22650.0,10000.0,445387.0,6628000.0,91830.0,115799.0,400.0,23000.0,25000.0,-1,1070000.0,60000.0,1524736.0,-1.0,471800.0,100329.0,98412.0,-1.0,-1.0,400000.0
1966,4775.0,-1.0,-1.0,2700.0,31546.0,-1.0,233668.0,-1.0,118060.0,98256.0,-1.0,-1.0,41227.0,1738925.0,320000.0,38900.0,38810.0,-1.0,-1.0,219.0,-1.0,700.0,10087.0,91730.0,-1.0,-1.0,1100000.0,-1.0,-1.0,1500.0,-1.0,66098.0,72222.0,-1.0,-1.0,-1.0,412400.0,217959.0,1380700.0,1100000.0,-1.0,358539.0,-1.0,6667.0,1400.0,54000.0,-1.0,388368.0,-1.0,1038601.0,-1.0,368606.0,3207000.0,54400.0,-1.0,1338.0,469000.0,15663.0,113332.0,7234626.0,14000.0,-1,-1.0,-1,-1.0,-1.0,-1.0,125856.0,22000.0,10000.0,460290.0,7162000.0,77611.0,137800.0,400.0,16000.0,20000.0,-1,1093800.0,60000.0,1723262.0,-1.0,478900.0,99301.0,103986.0,-1.0,-1.0,400000.0
1967,5382.0,-1.0,-1.0,2700.0,27650.0,-1.0,242806.0,-1.0,111270.0,96200.0,-1.0,-1.0,45044.0,1377083.0,301000.0,43700.0,36640.0,-1.0,-1.0,350.0,-1.0,700.0,9024.0,54150.0,-1.0,-1.0,1000000.0,-1.0,-1.0,1000.0,-1.0,68300.0,62500.0,-1.0,-1.0,-1.0,518800.0,226190.0,1402800.0,1000000.0,-1.0,357525.0,-1.0,6061.0,1345.0,55000.0,-1.0,434636.0,-1.0,1077720.0,-1.0,411594.0,2986174.0,45600.0,-1.0,1472.0,485617.0,9310.0,120343.0,6519638.0,13365.0,-1,-1.0,-1,-1.0,-1.0,-1.0,123789.0,14000.0,10000.0,454972.0,8688000.0,53622.0,126700.0,400.0,21800.0,18500.0,-1,1040200.0,100000.0,1367773.0,-1.0,455200.0,88105.0,109814.0,-1.0,-1.0,390000.0
1968,5302.0,-1.0,-1.0,3125.0,29377.0,-1.0,218220.0,-1.0,92350.0,88342.0,-1.0,-1.0,49938.0,1580614.0,285000.0,48900.0,60990.0,-1.0,-1.0,265.0,-1.0,700.0,8261.0,89200.0,-1.0,-1.0,800000.0,-1.0,-1.0,1200.0,-1.0,108540.0,56958.0,-1.0,-1.0,-1.0,443200.0,224000.0,1365300.0,800000.0,-1.0,322630.0,-1.0,6212.0,905.0,55000.0,-1.0,406744.0,-1.0,1076833.0,-1.0,382266.0,3007137.0,41400.0,-1.0,1338.0,507847.0,13759.0,95658.0,7166437.0,16000.0,-1,-1.0,-1,-1.0,-1.0,-1.0,118880.0,21000.0,10000.0,483952.0,8998000.0,42265.0,132099.0,500.0,21800.0,19000.0,-1,948600.0,70000.0,1566855.0,-1.0,489200.0,75603.0,99875.0,-1.0,-1.0,365000.0
1969,4614.0,-1.0,-1.0,2745.0,29833.0,-1.0,204685.0,-1.0,84350.0,76687.0,-1.0,-1.0,54128.0,1390130.0,272000.0,50000.0,66600.0,-1.0,-1.0,410.0,-1.0,700.0,10149.0,66596.0,-1.0,-1.0,1000000.0,-1.0,-1.0,1400.0,-1.0,80830.0,51394.0,-1.0,-1.0,-1.0,327400.0,217900.0,1367000.0,1000000.0,-1.0,311813.0,-1.0,6600.0,930.0,56000.0,-1.0,400586.0,-1.0,1132218.0,-1.0,384044.0,2953355.0,33700.0,-1.0,1605.0,506200.0,15783.0,75520.0,7272706.0,16000.0,-1,-1.0,-1,-1.0,-1.0,-1.0,101844.0,23000.0,10000.0,478687.0,9300000.0,37882.0,130700.0,500.0,21800.0,19000.0,-1,851100.0,70000.0,1374347.0,-1.0,482800.0,82511.0,99683.0,-1.0,-1.0,350200.0
1970,5000.0,-1.0,-1.0,2852.0,30705.0,-1.0,184370.0,-1.0,79000.0,67990.0,-1.0,-1.0,67691.0,1574177.0,283000.0,51900.0,66780.0,-1.0,-1.0,745.0,-1.0,700.0,8110.0,82950.0,-1.0,-1.0,1000000.0,-1.0,-1.0,1700.0,-1.0,72640.0,46600.0,-1.0,-1.0,-1.0,299700.0,191900.0,1531000.0,1000000.0,-1.0,302619.0,-1.0,7000.0,915.0,56000.0,-1.0,374532.0,-1.0,1034691.0,-1.0,377740.0,2785008.0,27400.0,-1.0,1605.0,473000.0,21008.0,71048.0,7524822.0,8000.0,-1,-1.0,-1,-1.0,-1.0,-1.0,101567.0,19000.0,10000.0,509379.0,9250000.0,53917.0,131300.0,1000.0,20000.0,19000.0,-1,805300.0,80000.0,1553169.0,-1.0,524300.0,54537.0,84571.0,-1.0,-1.0,320000.0
1971,5000.0,-1.0,-1.0,2440.0,34084.0,-1.0,185511.0,-1.0,80700.0,59933.0,-1.0,-1.0,84284.0,1262726.0,265000.0,57600.0,67400.0,-1.0,-1.0,900.0,-1.0,700.0,9840.0,69050.0,-1.0,-1.0,1000000.0,400.0,-1.0,1700.0,-1.0,75280.0,48000.0,-1.0,-1.0,-1.0,357000.0,167700.0,1330000.0,1000000.0,-1.0,277200.0,-1.0,7200.0,1020.0,55000.0,-1.0,340806.0,-1.0,1065536.0,-1.0,363586.0,2764329.0,29900.0,-1.0,1672.0,462700.0,22140.0,74812.0,6355580.0,0.0,-1,-1.0,-1,-1.0,-1.0,-1.0,98362.0,19000.0,10000.0,526181.0,9600000.0,54810.0,128200.0,1500.0,25000.0,20000.0,-1,830600.0,70000.0,1240586.0,-1.0,539700.0,45211.0,83505.0,-1.0,-1.0,309000.0
1972,5000.0,-1.0,-1.0,2773.0,27697.0,-1.0,162675.0,-1.0,78200.0,52124.0,-1.0,-1.0,85838.0,1011374.0,257000.0,60600.0,90120.0,-1.0,-1.0,720.0,-1.0,700.0,9140.0,65100.0,-1.0,-1.0,1100000.0,400.0,-1.0,1800.0,-1.0,83820.0,52400.0,-1.0,-1.0,-1.0,398700.0,168249.0,1359300.0,1100000.0,-1.0,249600.0,-1.0,3500.0,1220.0,55000.0,-1.0,318311.0,-1.0,1054761.0,-1.0,316436.0,2470167.0,25100.0,-1.0,1940.0,467200.0,16374.0,64765.0,5426961.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,96121.0,24200.0,11000.0,502546.0,11400000.0,41574.0,121200.0,1000.0,35000.0,20000.0,-1,761000.0,75000.0,995000.0,-1.0,501000.0,33343.0,79396.0,-1.0,-1.0,293000.0
1973,7000.0,-1.0,-1.0,2725.0,37373.0,-1.0,129106.0,-1.0,72400.0,49655.0,-1.0,-1.0,100228.0,1197259.0,251000.0,65700.0,92370.0,-1.0,-1.0,700.0,-1.0,700.0,9630.0,78141.0,-1.0,-1.0,1040000.0,400.0,-1.0,1100.0,-1.0,75670.0,40000.0,-1.0,-1.0,-1.0,394600.0,157048.0,1271200.0,1040000.0,-1.0,383200.0,-1.0,3800.0,1205.0,50000.0,-1.0,272309.0,-1.0,1059364.0,-1.0,283000.0,2710547.0,20600.0,-1.0,1338.0,470500.0,15079.0,45791.0,5572686.0,0.0,-1,-1.0,-1,-1.0,-1.0,-1.0,93551.0,20200.0,12000.0,474300.0,11900000.0,46527.0,104900.0,700.0,24000.0,20700.0,-1,693200.0,80000.0,1182180.0,-1.0,528300.0,30308.0,73470.0,-1.0,-1.0,279000.0
1974,8000.0,-1.0,-1.0,2662.0,34604.0,-1.0,121987.0,-1.0,76000.0,44308.0,-1.0,-1.0,103185.0,917984.0,249000.0,60500.0,76190.0,-1.0,-1.0,720.0,-1.0,700.0,11440.0,61349.0,-1.0,-1.0,800000.0,400.0,-1.0,1000.0,-1.0,96590.0,37000.0,-1.0,-1.0,-1.0,282200.0,170596.0,1182000.0,800000.0,-1.0,235700.0,-1.0,4000.0,1120.0,50000.0,-1.0,220785.0,-1.0,1073451.0,-1.0,255000.0,2470976.0,16800.0,-1.0,1605.0,475200.0,21451.0,47152.0,5102200.0,0.0,-1,-1.0,-1,-1.0,-1.0,-1.0,91834.0,19900.0,13000.0,435922.0,11500000.0,59992.0,84600.0,500.0,24000.0,21300.0,-1,666100.0,80000.0,896533.0,-1.0,550000.0,32546.0,71779.0,-1.0,-1.0,275000.0
