,Aruba,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Mexico,"Macedonia, FYR",Mali,Malta,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,Portugal,Paraguay,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Vietnam,Vanuatu,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,0.35447016512538115,,,,0.8655629593818672,,1.3757987680949737,,,0.28515232373265803,,0.3698746429929351,0.3359048313449529,0.3799282197808687,,,,,,,0.4281572839768784,0.8381896368209539,,,,0.9192082126028792,0.8904846867215073,1.111803807317427,1.368862903926666,0.7052131566138716,1.2711706187908238,0.919403225414834,0.5622048173357705,0.3508412951149135,1.274937244053456,0.8609013339946109,,,0.8030278612530659,,,,,,1.0711550129756766,0.6680639229517226,0.7299546134760121,0.9430869439111148,0.7083839853432345,,,,,1.1832960641072725,0.8659350891806502,,,,0.8349229531776408,,0.5412616055601098,,0.3445848101182762,,0.7732802088332256,0.4095561410338392,,0.453254913276072,1.005694561568732,1.1647494040784743,0.6757557665204067,,,,0.1907351754699325,0.7832585731170735,,1.441805018273154,,1.2423239160257984,0.8882255680512402,0.9532437225671055,1.1805797754314504,,,,0.7841449858999848,,0.7636993076912574,0.9143569614020364,0.7450123263272538,,,,,,0.6039520857604795,0.4265532105963959,,1.2354686858848258,,,0.4255197273506664,,0.3595312311278057,0.8192195610872994,,,,,,,0.4200789684536943,,0.7339668541103974,0.8055171476656368,,,0.33042839157905346,,0.9686705245129896,,1.3560362445513052,0.20369278363355475,,,0.6725147581647123,1.2041687367209482,1.6759249888006682,0.9359223076035916,0.9438463179044656,,1.1636500085411778,,,,,,0.40719805803004816,,,0.2755779043992724,0.916101314480956,,,0.6984445176246343,0.482454621016804,,,1.2300701076338747,,,1.1263576887990123,1.1205336239977255,0.5279273926865278,0.5541921103855875,0.6903493643284098,0.9173892427663494,,,,,0.9716177883140232,1.0655216008877242,0.5403640344173193,,0.4844584267059165,,0.6957699086163316,1.022617122479918,,,1.0100473395733096,,,,1.0441874054794378,,0.6298740689635388
1967,,0.2303015557240465,,,,0.943346041749866,,1.4654452673223817,,,0.3046575203730363,,0.5258167306986661,0.356737412636439,0.4761723592193362,,,,,,,0.4143227899058582,0.7523061690736578,,,,1.1314886565405222,0.9709681572162744,1.0503801804718005,1.4252173097288636,0.7362853762311271,1.0550184647125955,0.8796373267415679,0.6120580480330646,0.5344630982420062,1.4009807536147525,0.8210513718065108,,,0.86074208739811,,,,,,1.1095524216521522,0.6905366276653178,1.042032854485472,1.0184521195465497,0.6413709445990122,,,,,1.1300193233431497,0.8872786390505155,,,,0.9110428210445916,,0.4582591283552965,,0.40854164733226733,,0.9083427056400836,1.080118942369816,,0.5754412918034152,1.1479797311846798,0.8942031458824474,0.8739288850111389,,,,0.3561259533384181,0.7079278089542277,,1.518361871932748,,1.4681351260069986,0.7499256146244783,1.0462756479975868,1.3017806641722478,,,,0.8969953472661572,,0.6597317269856126,0.9874355167455312,0.94847026932986,,,,,,0.6775430905180808,0.5147247772611806,,1.5673928308779173,,,0.5892830207583746,,0.4119652596420222,0.8963985145567057,,0.7733585267366461,,,,,0.6921530431650833,,0.6007677764989611,0.8964543154441587,,,0.3854428263110553,,0.9334536869191132,,1.4420614564295662,0.22180972001788785,,1.3866948655572036,0.7425910484278394,1.2224154916759893,1.7271078386658258,1.0465310192117738,0.9752284310421684,,1.178138513057997,,,,,,0.3249389229292255,,,0.4376950778376411,0.9757146526949934,,,0.6568311182166907,0.5346080169460036,,,1.2469278593431399,,,1.1406205785487726,1.0408688671112178,0.5453434466234138,0.6961657622114277,0.5616745829203194,0.973829402612056,,,,,0.7829547023782515,1.120229092145533,0.5613427946476912,,0.5985425349946726,,0.8352274401277437,1.0335990920272915,,,1.067331257127539,,,,1.22042927066436,,0.774844407896394
1968,,0.2854994833147924,,,,0.9567607046480708,,1.4564186170776832,,,0.3612425228165522,,0.5458420210740293,0.3647951408958682,0.6243636338469887,,,,,,,0.6944841928598781,0.8344474206770148,,,,1.3557920003037365,0.7154198868777367,1.0037932117574648,1.3671843496482672,0.7447095461338766,1.093068052928168,0.7856861006632677,0.5892643397289411,0.4961275093276211,1.3048515784529937,0.9335147309308794,,,0.7951734830930385,,,,,,1.082677623459946,0.6781386765984296,1.2292448742014006,0.8097524995384049,0.5570433871709499,,,,,1.119409916757883,1.1435840692567,,,,0.935594187616646,,0.4903957567577253,,0.4671355644195218,,0.917473695125511,0.10534427454894303,,0.6680129659179644,0.9820281541097264,0.7328934065436236,0.8159743605745295,,,,0.3883552874237238,0.6427351312814822,,1.8262137201392488,,1.4775227247857077,1.0256286407170934,1.0650557744860654,1.5383687379837143,,,,0.8843472530462856,,0.6267593900846916,1.195595878828471,0.7931391990022797,,,,,,0.6996961831176365,0.5427027220571782,,1.36030929607272,,,0.5552675956444691,,0.4551818798006669,0.8551506909034166,,0.7534516687258141,,,,,0.8807298929469807,,0.7103319549127532,0.8872139664356862,,,0.4285619749508183,,0.7823529246409463,,1.2337933215111427,0.25089565544756925,,0.5548738822151332,0.7948327804439675,1.284467806349148,1.2678689418847409,0.9961822183130788,0.9581530715121188,,1.158106876959962,,,,,,0.361176712840352,1.2187339682763703,,0.42448833340857134,1.0871952529677926,,,0.5089980177674122,0.5369404805087739,,,1.0347577002777657,,,1.0962833516416173,0.8667163472261297,0.613384095773626,0.6635621027331792,0.4860164185211613,1.0264997533811036,,,,,0.8735912537333285,1.011264534372163,0.5909295639506058,,0.577414050006418,,0.6112084350823349,1.0118313976322946,,,1.266849840347258,,,,1.1206733844268832,,0.9317408476583244
1969,,0.2756621952150711,,,,1.0226424717952274,,1.4349573539914526,,,0.3533236541632925,,0.5397910493361351,0.4096565352599499,0.5331913819284875,,,,,,,0.6695520755010969,0.9528024593379664,,,,1.6306377523665219,0.6976164346167878,1.004330883473673,1.3303580568858444,0.6677406095480215,1.055568081427216,0.8323004379705725,0.4559174220918925,0.5467654961818383,1.1383644664963115,0.8726910635415808,,,0.8537719187868391,,,,,,1.1198900378855423,0.7728595433063553,1.3790932794510835,0.9584218708592598,0.5523327220606329,,,,,1.1046999339698018,1.062324879469803,,,,0.8779146252864901,,0.5027447407113981,,0.4280209814365887,,0.2862438990431477,0.7301040179311423,,0.486304252150952,0.8874169120637131,0.6971783866201786,0.8257344484033521,,,,0.4971557097283553,0.6950431872034355,,1.7116607301088076,,1.119124225479519,1.1333905496445134,1.0758609379718989,1.4986148329033533,,,,0.8257738379075452,,0.5928905980698513,1.276398541695092,0.8146069936457961,,,,,,0.8215543647410352,0.4975537793785889,,1.2646347551296513,,,0.6050655781567205,,0.4596640504654335,0.8373257340990724,,0.7391845716093505,,,,,0.6948647527776726,,0.78325522448741,0.7332007242466955,,,0.2652512358722443,,0.8086047346845916,,1.1099059524394137,0.20659446016413596,,0.3964291399712141,0.628877341325722,1.3101643596232584,1.1841571579644938,0.9540809400738084,1.2384464321039883,,1.1556162986309575,,,,,,0.2823713625200335,1.0422552464368906,,0.4957245089092012,1.2064454852548272,,,0.5589333142752245,0.5265482469229478,,,0.9449288256107136,,,1.0800233860151616,0.6962941669374031,0.6808358281444424,0.7184464024377712,0.5634585317929438,1.0369356778216094,,,,,0.7325111755390901,0.9567737692145458,0.569330404289192,,0.5975002206269704,,0.6371294389147621,1.0131124338462694,,,1.2628693371912898,,,,1.1184819971054654,,0.7200320753495631
