,USSR,Australia & New Zealand,Australia,Pakistan,Ethiopia,Kenya,Romania,Democratic People's Republic of Korea,Lebanon,Yemen,Albania,Brazil,Paraguay,Serbia,Slovenia,Montenegro,Argentina,Colombia,Spain,India,Ecuador,Madagascar,Republic of Moldova,Canada,Russian Federation,Switzerland,Belgium-Luxembourg,Egypt,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,France,Republic of Korea,Bolivia (Plurinational State of),Hungary,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,China,"China, mainland",Cyprus,Peru,Uruguay,New Zealand,Portugal,Netherlands,Guatemala,Slovakia,Bhutan,Turkmenistan,Iraq,Czechia,Nepal,Libya,Poland,Italy,Germany,Croatia,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Malta,Zimbabwe,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Afghanistan,Austria,Georgia,Azerbaijan,Bosnia and Herzegovina,Turkey,Cameroon,Tunisia,Venezuela (Bolivarian Republic of),Mexico,Czechoslovakia,South Africa,Bulgaria,Ukraine
1961,51000.0,66100.0,52970.0,7100.0,,-1.0,7700.0,15000.0,10000.0,,2000.0,53739.0,2700.0,,,,186000.0,-1.0,118000.0,43000.0,7677.0,4500.0,,69740.0,,-1.0,,3498.0,,87060.0,,325010.0,19722.0,21600.0,43900.0,,36700.0,37000.0,,1758988.0,432367.0,430000.0,375.0,28000.0,16359.0,13130.0,40458.0,895.0,-1.0,,-1.0,,1500.0,,-1.0,400.0,-1.0,1015000.0,37708.0,,,-1.0,,,1200.0,195.0,60000.0,-1.0,,1673.0,11100.0,2367.0,4300.0,,201300.0,12000.0,11227.0,,,,98100.0,,9500.0,450.0,70440.0,4534.0,89398.0,41067.0,
1962,54000.0,66939.0,52970.0,4800.0,,-1.0,9200.0,16000.0,8000.0,,1000.0,56168.0,2700.0,,,,183000.0,-1.0,105800.0,39000.0,7000.0,4500.0,,51168.0,,-1.0,,4173.0,,89556.0,,309910.0,19644.0,21800.0,42400.0,,35400.0,38000.0,,1684324.0,384346.0,382000.0,406.0,28000.0,16000.0,13969.0,21600.0,1172.0,-1.0,,-1.0,,1500.0,,-1.0,500.0,-1.0,1034900.0,44075.0,,,-1.0,,,3400.0,300.0,61000.0,-1.0,,6785.0,10400.0,2346.0,6400.0,,190200.0,12000.0,7298.0,,,,74210.0,,8700.0,496.0,66828.0,2555.0,77009.0,47736.0,
1963,69000.0,104855.0,83735.0,6100.0,,-1.0,5700.0,17000.0,8000.0,,900.0,79826.0,2750.0,,,,186000.0,-1.0,130500.0,49000.0,5595.0,4500.0,,53819.0,,-1.0,,5291.0,,80193.0,,455550.0,19244.0,22000.0,40200.0,,31200.0,38000.0,,1657198.0,407931.0,405000.0,508.0,29000.0,16000.0,21120.0,30900.0,966.0,-1.0,,-1.0,,1500.0,,-1.0,300.0,-1.0,1267000.0,27233.0,,,-1.0,,,1690.0,274.0,63000.0,-1.0,,3979.0,4000.0,2931.0,5700.0,,198600.0,12000.0,9343.0,,,,63270.0,,8300.0,547.0,74298.0,3069.0,104785.0,52333.0,
1964,76000.0,106006.0,84446.0,11300.0,,-1.0,10000.0,18000.0,11000.0,,900.0,71674.0,2800.0,,,,158000.0,-1.0,153200.0,45000.0,5664.0,4500.0,,64908.0,,-1.0,,5586.0,,116555.0,,415100.0,34822.0,22000.0,38300.0,,40000.0,39000.0,,1634111.0,387722.0,385000.0,508.0,35000.0,16359.0,21560.0,15000.0,797.0,-1.0,,-1.0,,1700.0,,-1.0,300.0,-1.0,1338800.0,37759.0,,,-1.0,,,13852.0,445.0,64000.0,-1.0,,4400.0,8400.0,2722.0,10400.0,,206600.0,14700.0,9061.0,,,,111000.0,,5300.0,603.0,73916.0,2902.0,116881.0,95812.0,
1965,79000.0,109743.0,91543.0,17000.0,,-1.0,18000.0,19000.0,9500.0,,900.0,94613.0,2800.0,,,,238000.0,-1.0,169500.0,48000.0,2967.0,1500.0,,36423.0,,-1.0,,5172.0,,105491.0,,484720.0,54345.0,22100.0,38470.0,,31100.0,40000.0,,1636469.0,418304.0,415000.0,538.0,20000.0,16000.0,18200.0,36300.0,701.0,-1.0,,-1.0,,1700.0,,-1.0,400.0,-1.0,1299800.0,18045.0,,,-1.0,,,11694.0,647.0,70000.0,-1.0,,4500.0,8391.0,3304.0,9550.0,,228700.0,16300.0,6646.0,,,,66000.0,,6200.0,665.0,76910.0,3073.0,136913.0,93296.0,
1966,123000.0,129256.0,106567.0,9000.0,,-1.0,18800.0,20000.0,5394.0,,10000.0,75685.0,2900.0,,,,113000.0,-1.0,138600.0,45000.0,2943.0,5000.0,,44462.0,,-1.0,,8204.0,,136850.0,,318100.0,63088.0,22200.0,68418.0,,46700.0,40000.0,,1599003.0,393985.0,391000.0,1016.0,31009.0,15833.0,22689.0,35000.0,570.0,-1.0,,-1.0,,1700.0,,-1.0,300.0,-1.0,1418800.0,29906.0,,,-1.0,,,14000.0,647.0,73000.0,-1.0,,4945.0,7424.0,2985.0,10750.0,,263800.0,18200.0,7839.0,,,,65000.0,,3700.0,909.0,78708.0,5634.0,130597.0,127224.0,
1967,210000.0,139211.0,115665.0,8000.0,,-1.0,19700.0,21000.0,10041.0,,900.0,116021.0,2950.0,,,,203300.0,-1.0,136400.0,49000.0,1685.0,1500.0,,35954.0,,-1.0,,9597.0,,154609.0,,424970.0,70663.0,22300.0,84193.0,,54200.0,40000.0,,1266837.0,383340.0,380000.0,2235.0,31085.0,20000.0,23546.0,38000.0,392.0,-1.0,,-1.0,,2000.0,,-1.0,300.0,-1.0,1125100.0,26080.0,,,-1.0,,,15000.0,1358.0,79000.0,-1.0,,6291.0,7720.0,3340.0,17200.0,,284600.0,22100.0,7873.0,,,,103000.0,,5500.0,1046.0,79121.0,5859.0,133828.0,175152.0,
1968,258000.0,147604.0,124244.0,8200.0,,-1.0,23700.0,22000.0,17316.0,,1000.0,90518.0,3000.0,,,,224200.0,-1.0,209300.0,50000.0,3475.0,3000.0,,43442.0,,-1.0,,14000.0,,173774.0,,614910.0,71538.0,22400.0,81160.0,,48500.0,40000.0,,1676476.0,374113.0,370000.0,2032.0,29747.0,25000.0,23360.0,27300.0,707.0,-1.0,,-1.0,,2000.0,,-1.0,300.0,-1.0,1279800.0,62844.0,,,-1.0,,,14000.0,440.0,79000.0,-1.0,,5946.0,7903.0,4113.0,16300.0,,295900.0,22300.0,7519.0,,,,99000.0,,7100.0,1204.0,82780.0,5924.0,136543.0,162956.0,
1969,243000.0,157076.0,131644.0,9000.0,,-1.0,27000.0,23000.0,7539.0,,1500.0,97434.0,3050.0,,,,248400.0,-1.0,190800.0,49000.0,2489.0,5000.0,,37637.0,,-1.0,,14000.0,,168744.0,,521850.0,68341.0,22000.0,125150.0,,58072.0,40000.0,,1731036.0,363824.0,360000.0,1828.0,31724.0,30000.0,25432.0,28650.0,376.0,-1.0,,-1.0,,2000.0,,-1.0,300.0,-1.0,882800.0,34263.0,,,-1.0,,,14000.0,563.0,86000.0,-1.0,200.0,5309.0,8094.0,3824.0,16200.0,,276500.0,22500.0,8316.0,,,,66000.0,,5600.0,1375.0,78596.0,10822.0,148209.0,153317.0,
1970,332000.0,139912.0,111337.0,8100.0,,-1.0,28600.0,24000.0,12114.0,,2000.0,119736.0,3136.0,,,,236100.0,-1.0,228600.0,48500.0,2500.0,6500.0,,49828.0,,-1.0,,10000.0,,174950.0,,488230.0,78098.0,22500.0,113455.0,,56671.0,40000.0,,1419192.0,378736.0,375000.0,2540.0,32710.0,37225.0,28575.0,35470.0,398.0,-1.0,,-1.0,,3000.0,,-1.0,250.0,-1.0,1127400.0,51320.0,,,-1.0,,,14000.0,505.0,91000.0,-1.0,250.0,4797.0,8400.0,3736.0,18000.0,,279300.0,21800.0,7650.0,,,,112000.0,,5550.0,1580.0,177546.0,12685.0,136398.0,166715.0,
