,Estonia,Kenya,Bolivia (Plurinational State of),Peru,Belarus,Croatia,United Kingdom,India,Armenia,Ethiopia,Brazil,Nepal,Austria,Denmark,Canada,United States of America,Greece,Afghanistan,Iraq,Cyprus,Netherlands,Japan,Eritrea,Bulgaria,Australia & New Zealand,Bangladesh,Iran (Islamic Republic of),Pakistan,Morocco,Tajikistan,Kyrgyzstan,Argentina,Ukraine,Germany,Belgium,Turkmenistan,Uruguay,Czechoslovakia,Ethiopia PDR,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Tunisia,Uzbekistan,Latvia,Yugoslav SFR,Portugal,Slovakia,Czechia,Azerbaijan,Hungary,Kazakhstan,Chile,Australia,France,Lithuania,Poland,"China, mainland",Russian Federation,Turkey,New Zealand,Italy,Belgium-Luxembourg
1961,-1.0,454.0,-1.0,-1.0,-1.0,-1,-1.0,1789000.0,-1.0,-1.0,46146.0,15000.0,-1.0,1635.0,844200.0,1017380.0,848.0,46800.0,9036.0,241.0,21651.0,11200.0,-1.0,8630.0,30587.0,19425.0,8000.0,5260.0,16000.0,-1,-1.0,1087000.0,-1.0,25701.0,-1.0,-1,117536.0,44114.0,102000.0,3160.0,-1.0,20125.0,1875000.0,27800.0,-1.0,8586.0,12059.0,-1,35000.0,2000.0,-1.0,-1.0,7900.0,271.0,-1.0,-1.0,-1,6742.0,-1.0,7700.0,25144.0,52000.0,-1.0,111000.0,35000.0,-1.0,34000.0,5443.0,7275.0,26645.0
1962,-1.0,728.0,-1.0,-1.0,-1.0,-1,-1.0,1977000.0,-1.0,-1.0,55389.0,16000.0,-1.0,919.0,585329.0,1136360.0,740.0,46800.0,11913.0,268.0,23965.0,11200.0,-1.0,8950.0,45634.0,19830.0,8000.0,4450.0,11000.0,-1,-1.0,1171700.0,-1.0,26570.0,-1.0,-1,144175.0,45427.0,104000.0,2640.0,-1.0,19012.0,2020000.0,30500.0,-1.0,8710.0,11370.0,-1,40000.0,2000.0,-1.0,-1.0,5840.0,273.0,-1.0,-1.0,-1,6196.0,-1.0,6900.0,39281.0,60351.0,-1.0,131200.0,40000.0,-1.0,29000.0,6353.0,6662.0,32696.0
1963,-1.0,243.0,-1.0,-1.0,-1.0,-1,-1.0,1904000.0,-1.0,-1.0,55900.0,17000.0,-1.0,495.0,680845.0,1283645.0,550.0,46800.0,11779.0,268.0,26608.0,8730.0,-1.0,8800.0,55225.0,23067.0,8000.0,6470.0,7000.0,-1,-1.0,1315300.0,-1.0,17752.0,-1.0,-1,159695.0,47625.0,106000.0,2300.0,-1.0,18010.0,1770000.0,37600.0,-1.0,7405.0,10944.0,-1,40000.0,2000.0,-1.0,-1.0,5880.0,270.0,-1.0,-1.0,-1,7737.0,-1.0,4450.0,47551.0,73903.0,-1.0,116200.0,40000.0,-1.0,29000.0,7674.0,6019.0,33917.0
1964,-1.0,240.0,-1.0,-1.0,-1.0,-1,-1.0,1995000.0,-1.0,-1.0,67428.0,18000.0,-1.0,404.0,800052.0,1143221.0,480.0,46800.0,13095.0,201.0,30651.0,8120.0,-1.0,8572.0,62105.0,20639.0,8000.0,6070.0,10000.0,-1,-1.0,1216700.0,-1.0,12089.0,-1.0,-1,131565.0,48615.0,108300.0,2460.0,-1.0,17767.0,1870000.0,46900.0,-1.0,2964.0,13916.0,-1,45000.0,2000.0,-1.0,-1.0,5370.0,271.0,-1.0,-1.0,-1,7910.0,-1.0,4450.0,54166.0,79099.0,-1.0,125000.0,45000.0,-1.0,26000.0,7939.0,5094.0,39187.0
1965,-1.0,240.0,-1.0,-1.0,-1.0,-1,-1.0,2042000.0,-1.0,-1.0,69768.0,19000.0,-1.0,263.0,936729.0,1122987.0,380.0,46800.0,16364.0,134.0,21623.0,5240.0,-1.0,8904.0,14424.0,21448.0,8000.0,6470.0,14000.0,-1,-1.0,1084300.0,-1.0,14445.0,-1.0,-1,112880.0,38030.0,110800.0,1570.0,-1.0,18141.0,1784000.0,51030.0,-1.0,1617.0,10857.0,-1,45000.0,2000.0,-1.0,-1.0,4840.0,287.0,-1.0,-1.0,-1,7387.0,-1.0,4450.0,9950.0,60277.0,-1.0,113700.0,45000.0,-1.0,24000.0,4474.0,4647.0,27012.0
1966,-1.0,240.0,-1.0,-1.0,-1.0,-1,-1.0,1723000.0,-1.0,-1.0,57887.0,20000.0,-1.0,188.0,776068.0,1042456.0,290.0,46800.0,16158.0,107.0,18317.0,3000.0,-1.0,9040.0,17197.0,21900.0,7000.0,6070.0,9000.0,-1,-1.0,1004000.0,-1.0,16098.0,-1.0,-1,68549.0,32794.0,110800.0,100.0,-1.0,18502.0,1676000.0,54400.0,-1.0,3313.0,10082.0,-1,40000.0,2000.0,-1.0,-1.0,4400.0,290.0,-1.0,-1.0,-1,10215.0,-1.0,1620.0,13997.0,62085.0,-1.0,105700.0,40000.0,-1.0,17500.0,3200.0,3950.0,23554.0
1967,-1.0,240.0,-1.0,-1.0,-1.0,-1,-1.0,1495400.0,-1.0,-1.0,44190.0,21000.0,-1.0,198.0,414150.0,799243.0,241.0,46800.0,16053.0,134.0,9529.0,1040.0,-1.0,11238.0,25346.0,17800.0,4000.0,6470.0,4000.0,-1,-1.0,800700.0,-1.0,15063.0,-1.0,-1,66100.0,32084.0,113000.0,-1.0,-1.0,15695.0,1665000.0,63500.0,-1.0,4312.0,10108.0,-1,40000.0,2000.0,-1.0,-1.0,4150.0,313.0,-1.0,-1.0,-1,11241.0,-1.0,1620.0,22046.0,55576.0,-1.0,122600.0,40000.0,-1.0,18000.0,3300.0,3694.0,14012.0
1968,-1.0,240.0,-1.0,-1.0,-1.0,-1,-1.0,1776700.0,-1.0,-1.0,44585.0,22000.0,-1.0,131.0,616894.0,846591.0,120.0,46200.0,15454.0,94.0,10370.0,410.0,-1.0,12305.0,31914.0,15000.0,5000.0,7280.0,4081.0,-1,-1.0,616300.0,-1.0,10762.0,-1.0,-1,51250.0,37110.0,115300.0,-1.0,-1.0,14757.0,1593000.0,66366.0,-1.0,4673.0,15123.0,-1,45000.0,2000.0,-1.0,-1.0,3180.0,307.0,-1.0,-1.0,-1,13162.0,-1.0,810.0,28569.0,31271.0,-1.0,116600.0,45000.0,-1.0,16000.0,3345.0,1353.0,14621.0
1969,-1.0,240.0,-1.0,5.0,-1.0,-1,-1.0,1696900.0,-1.0,-1.0,43949.0,23000.0,-1.0,371.0,947230.0,1054191.0,90.0,46800.0,16217.0,-1.0,8940.0,0.0,-1.0,9775.0,54066.0,14600.0,6000.0,6880.0,3900.0,-1,-1.0,809500.0,-1.0,10446.0,-1.0,-1,81680.0,37072.0,117600.0,-1.0,-1.0,11381.0,1549000.0,71986.0,-1.0,1090.0,16383.0,-1,43000.0,2000.0,-1.0,-1.0,2806.0,279.0,-1.0,-1.0,-1,13380.0,-1.0,810.0,49210.0,42276.0,-1.0,99800.0,43000.0,-1.0,17000.0,4856.0,1137.0,15579.0
1970,-1.0,240.0,-1.0,30.0,-1.0,-1,-1.0,1802800.0,-1.0,-1.0,32006.0,24000.0,-1.0,132.0,1340867.0,1147672.0,100.0,46800.0,17219.0,-1.0,5188.0,-1.0,-1.0,9002.0,46498.0,14600.0,6000.0,5670.0,7900.0,-1,-1.0,790800.0,-1.0,10649.0,-1.0,-1,144348.0,30019.0,120000.0,-1.0,-1.0,26910.0,1432000.0,78676.0,-1.0,402.0,8417.0,-1,45000.0,2000.0,-1.0,-1.0,2218.0,131.0,-1.0,-1.0,-1,14400.0,-1.0,810.0,41642.0,39703.0,-1.0,98300.0,45000.0,-1.0,11000.0,4856.0,875.0,8203.0
