,Romania,Netherlands,Germany,The former Yugoslav Republic of Macedonia,Austria,Hungary,Czechia,Bulgaria
1961,73.0,0.0,383.0,-1.0,0.0,50.0,-1.0,3.0
1962,60.0,0.0,319.0,-1.0,0.0,60.0,-1.0,5.0
1963,68.0,0.0,226.0,-1.0,0.0,50.0,-1.0,2.0
1964,67.0,1.0,161.0,-1.0,0.0,60.0,-1.0,1.0
1965,78.0,5.0,127.0,-1.0,0.0,80.0,-1.0,2.0
1966,84.0,2.0,100.0,-1.0,0.0,90.0,-1.0,3.0
1967,61.0,1.0,59.0,-1.0,0.0,60.0,-1.0,5.0
1968,77.0,3.0,42.0,-1.0,0.0,50.0,-1.0,3.0
1969,77.0,5.0,64.0,-1.0,0.0,40.0,-1.0,1.0
1970,54.0,7.0,61.0,-1.0,0.0,50.0,-1.0,1.0
1971,76.0,9.0,73.0,-1.0,0.0,50.0,-1.0,1.0
1972,58.0,17.0,120.0,-1.0,0.0,30.0,-1.0,1.0
1973,68.0,12.0,140.0,-1.0,0.0,30.0,-1.0,1.0
1974,78.0,17.0,123.0,-1.0,0.0,30.0,-1.0,1.0
1975,98.0,34.0,104.0,-1.0,0.0,20.0,-1.0,3.0
1976,110.0,44.0,110.0,-1.0,0.0,21.0,-1.0,1.0
1977,101.0,21.0,237.0,-1.0,0.0,49.0,-1.0,0.0
1978,95.0,6.0,226.0,-1.0,0.0,58.0,-1.0,1.0
1979,100.0,2.0,217.0,-1.0,0.0,21.0,-1.0,1.0
1980,97.0,2.0,242.0,-1.0,0.0,24.0,-1.0,0.0
1981,76.0,15.0,268.0,-1.0,0.0,36.0,-1.0,0.0
1982,72.0,19.0,347.0,-1.0,0.0,27.0,-1.0,0.0
1983,78.0,19.0,378.0,-1.0,0.0,19.0,-1.0,0.0
1984,78.0,6.0,348.0,-1.0,0.0,28.0,-1.0,0.0
1985,78.0,2.0,281.0,-1.0,0.0,16.0,-1.0,0.0
1986,14.0,2.0,251.0,-1.0,0.0,30.0,-1.0,0.0
1987,18.0,5.0,202.0,-1.0,0.0,28.0,-1.0,0.0
1988,12.0,5.0,250.0,-1.0,0.0,25.0,-1.0,0.0
1989,16.0,2.0,230.0,-1.0,0.0,30.0,-1.0,0.0
1990,8.0,3.0,230.0,-1.0,0.0,616.0,-1.0,0.0
1991,4.0,1.0,230.0,-1.0,0.0,19.0,-1.0,0.0
1992,2.0,8.0,200.0,46.0,0.0,40.0,-1.0,0.0
1993,70.0,22.0,200.0,55.0,0.0,40.0,0.0,0.0
1994,100.0,11.0,200.0,74.0,0.0,60.0,0.0,0.0
1995,100.0,2.0,200.0,38.0,0.0,30.0,0.0,0.0
1996,200.0,5.0,200.0,21.0,0.0,30.0,0.0,0.0
1997,200.0,9.0,200.0,15.0,0.0,25.0,0.0,0.0
1998,200.0,11.0,200.0,23.0,0.0,30.0,0.0,0.0
1999,100.0,5.0,200.0,25.0,0.0,25.0,0.0,0.0
2000,120.0,6.0,200.0,15.0,0.0,25.0,0.0,0.0
2001,120.0,5.0,200.0,15.0,0.0,25.0,0.0,0.0
2002,120.0,4.0,200.0,15.0,0.0,25.0,0.0,0.0
2003,120.0,3.0,200.0,15.0,0.0,25.0,0.0,0.0
2004,120.0,2.0,200.0,15.0,0.0,25.0,0.0,0.0
2005,120.0,5.0,200.0,15.0,0.0,25.0,0.0,0.0
2006,120.0,6.0,200.0,12.0,0.0,25.0,0.0,4.0
2007,120.0,7.0,200.0,11.0,0.0,25.0,0.0,4.0
2008,120.0,5.0,200.0,31.0,0.0,25.0,0.0,5.0
2009,130.0,6.0,200.0,21.0,0.0,25.0,0.0,7.0
2010,140.0,4.0,200.0,14.0,0.0,25.0,0.0,4.0
2011,150.0,3.0,200.0,9.0,0.0,25.0,0.0,4.0
2012,150.0,3.0,200.0,5.0,0.0,25.0,0.0,4.0
2013,150.0,4.0,200.0,4.0,0.0,25.0,0.0,4.0
2014,150.0,4.0,200.0,4.0,0.0,25.0,191.0,4.0
