,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Switzerland,USSR,Slovakia,United Kingdom,Denmark,Latvia,Kyrgyzstan,Austria,Hungary,New Zealand,Estonia,Australia & New Zealand,Lithuania,Finland,Russian Federation,Czechia,Norway,Republic of Moldova
1961,-1.0,29980.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,89047.0,-1.0,-1.0,-1.0,-1.0,-1.0,75556.0,-1.0,75556.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,30397.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,88733.0,-1.0,-1.0,-1.0,-1.0,-1.0,79620.0,-1.0,79620.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,30983.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,96824.0,-1.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,30010.0,-1.0,-1.0,-1.0,-1.0,36667.0,-1.0,86754.0,-1.0,-1.0,-1.0,-1.0,-1.0,81818.0,-1.0,81818.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,29906.0,-1.0,-1.0,-1.0,-1.0,36667.0,-1.0,95029.0,-1.0,-1.0,-1.0,-1.0,-1.0,84615.0,-1.0,84615.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,30065.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,92292.0,-1.0,-1.0,-1.0,-1.0,-1.0,41852.0,-1.0,41852.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,27648.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,93988.0,-1.0,-1.0,-1.0,-1.0,-1.0,33077.0,-1.0,33077.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,30084.0,-1.0,-1.0,-1.0,-1.0,36667.0,-1.0,96131.0,-1.0,-1.0,-1.0,-1.0,-1.0,46538.0,-1.0,46538.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,30434.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,99262.0,-1.0,-1.0,-1.0,-1.0,-1.0,38750.0,-1.0,38750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,30489.0,-1.0,-1.0,-1.0,-1.0,35000.0,-1.0,98477.0,-1.0,-1.0,-1.0,-1.0,-1.0,73913.0,-1.0,73913.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1971,-1.0,29968.0,-1.0,-1.0,-1.0,-1.0,38182.0,-1.0,80500.0,-1.0,-1.0,-1.0,-1.0,-1.0,79000.0,-1.0,79000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1972,-1.0,29516.0,-1.0,-1.0,-1.0,-1.0,38182.0,-1.0,96131.0,-1.0,-1.0,-1.0,-1.0,-1.0,55238.0,-1.0,55238.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1973,-1.0,25664.0,-1.0,-1.0,-1.0,-1.0,35455.0,-1.0,95354.0,-1.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1974,-1.0,29962.0,-1.0,-1.0,-1.0,-1.0,38182.0,-1.0,96923.0,-1.0,-1.0,-1.0,-1.0,-1.0,70588.0,-1.0,70588.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1975,-1.0,25387.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,91250.0,-1.0,-1.0,-1.0,-1.0,-1.0,64118.0,-1.0,64118.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1976,-1.0,29965.0,-1.0,-1.0,-1.0,-1.0,46429.0,-1.0,88750.0,-1.0,-1.0,-1.0,-1.0,-1.0,47857.0,-1.0,47857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1977,-1.0,30061.0,-1.0,-1.0,-1.0,-1.0,42143.0,-1.0,74286.0,-1.0,-1.0,-1.0,-1.0,-1.0,65455.0,-1.0,65455.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
