,"China, Taiwan Province of",Israel,Japan,Chile,Slovenia,Iran (Islamic Republic of),Australia & New Zealand,Australia,Brazil,Uzbekistan,"China, mainland",Mexico,Azerbaijan,Nepal,Republic of Korea,Spain,Italy,China,New Zealand
1961,2250.0,,393500.0,,,20.0,,,15298.0,,495000.0,-1.0,,-1.0,13271.0,,70740.0,497250.0,
1962,2109.0,,322500.0,,,20.0,,,16005.0,,440000.0,-1.0,,-1.0,16594.0,,72830.0,442109.0,
1963,1804.0,,383500.0,,,20.0,,,16239.0,,475000.0,-1.0,,-1.0,14114.0,,75200.0,476804.0,
1964,2340.0,,464000.0,,,20.0,,,17198.0,,465000.0,-1.0,,-1.0,23602.0,,73500.0,467340.0,
1965,1997.0,,346400.0,,,20.0,,,19988.0,,515000.0,-1.0,,-1.0,23510.0,,72000.0,516997.0,
1966,2101.0,,419300.0,,,20.0,,,19586.0,,495000.0,-1.0,,-1.0,22075.0,,71400.0,497101.0,
1967,2203.0,,504400.0,,,20.0,,,20037.0,,475000.0,-1.0,,-1.0,23609.0,,73600.0,477203.0,
1968,2333.0,,450100.0,,,25.0,,,20427.0,,470000.0,-1.0,,-1.0,34579.0,,73300.0,472333.0,
1969,2152.0,,444100.0,,,25.0,,,20849.0,,414000.0,-1.0,,-1.0,33854.0,,74000.0,416152.0,
1970,2341.0,,342700.0,,,25.0,,,21659.0,,455000.0,-1.0,,-1.0,30310.0,,59600.0,457341.0,
1971,2411.0,,303200.0,,,30.0,,,21558.0,,427000.0,-1.0,,-1.0,22887.0,,59200.0,429411.0,
1972,2359.0,,306900.0,,,30.0,,,25188.0,,480000.0,-1.0,,-1.0,31115.0,,61700.0,482359.0,
1973,2515.0,,347200.0,,,30.0,,,19374.0,,535000.0,-1.0,,-1.0,32284.0,,59000.0,537515.0,
1974,2745.0,,283600.0,,,30.0,,,20446.0,,538000.0,-1.0,,-1.0,41928.0,,63500.0,540745.0,
1975,2843.0,,274700.0,,,60.0,,,22114.0,,528000.0,-1.0,,-1.0,20890.0,,60000.0,530843.0,
1976,3826.0,1700.0,264100.0,,,60.0,,,22364.0,,530000.0,-1.0,,-1.0,16946.0,,60690.0,533826.0,
1977,4422.0,2400.0,275400.0,,,60.0,,,23801.0,,525000.0,-1.0,,-1.0,30138.0,,62100.0,529422.0,
1978,4463.0,1900.0,287000.0,,,60.0,,,36340.0,,570000.0,-1.0,,-1.0,29984.0,,57800.0,574463.0,
1979,5267.0,2500.0,263900.0,,,65.0,,,40385.0,,506500.0,-1.0,,-1.0,33386.0,,58500.0,511767.0,
1980,6238.0,3400.0,265200.0,,,65.0,,,39958.0,,560400.0,-1.0,,-1.0,31837.0,,61100.0,566638.0,
1981,7313.0,5600.0,260500.0,,,90.0,,,37598.0,,506000.0,52.0,,-1.0,39254.0,,62800.0,513313.0,
1982,6621.0,8100.0,333700.0,,,252.0,,,38396.0,,482000.0,140.0,,-1.0,57807.0,,65400.0,488621.0,
1983,7850.0,12700.0,309900.0,,,150.0,82.0,82.0,45298.0,,553000.0,126.0,,-1.0,91052.0,,76700.0,560850.0,
