,India,Ukraine,Kenya,Melanesia,Iceland,Serbia,Israel,Armenia,Tunisia,Viet Nam,United Kingdom,Uzbekistan,Canada,"China, mainland",Greece,Afghanistan,Zimbabwe,Iran (Islamic Republic of),Belgium,Papua New Guinea,South Africa,Spain,Norway,Bulgaria,Australia & New Zealand,United States of America,Bangladesh,Pakistan,Croatia,Senegal,Republic of Moldova,Kyrgyzstan,Costa Rica,Georgia,Germany,Slovenia,Austria,Morocco,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Egypt,Bosnia and Herzegovina,Réunion,China,Ireland,Malta,Latvia,Yugoslav SFR,Portugal,Slovakia,Czechia,Azerbaijan,Montenegro,Kazakhstan,Estonia,Australia,France,Jordan,Lithuania,Finland,Netherlands,Russian Federation,Turkey,New Zealand,Italy,Belgium-Luxembourg
1961,1000.0,-1.0,-1.0,50000.0,8.0,-1.0,-1.0,-1.0,-1.0,6435.0,2540.0,-1.0,-1.0,1000.0,-1.0,60000.0,-1.0,7000.0,-1.0,50000.0,1866.0,-1.0,-1.0,-1.0,1755.0,13991.0,2000.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,63009.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,1000.0,50.0,-1.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1555.0,-1,-1,-1.0,-1.0,1720.0,-1.0,85800.0,200.0,600.0,2385.0
1962,1000.0,-1.0,-1.0,51000.0,8.0,-1.0,-1.0,-1.0,-1.0,6490.0,3048.0,-1.0,-1.0,1200.0,-1.0,60000.0,-1.0,7000.0,-1.0,51000.0,1598.0,-1.0,-1.0,-1.0,1385.0,15412.0,3000.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,57717.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,1000.0,50.0,-1.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1189.0,-1,-1,-1.0,-1.0,1301.0,-1.0,81310.0,196.0,600.0,2100.0
1963,1000.0,-1.0,-1.0,52000.0,8.0,-1.0,-1.0,-1.0,-1.0,10810.0,2235.0,-1.0,-1.0,1500.0,-1.0,60000.0,-1.0,7500.0,-1.0,52000.0,1764.0,-1.0,-1.0,-1.0,1329.0,12764.0,3000.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,69472.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,1000.0,50.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1113.0,-1,-1,-1.0,-1.0,430.0,-1.0,76680.0,216.0,800.0,2120.0
1964,1000.0,-1.0,-1.0,53000.0,10.0,-1.0,-1.0,-1.0,-1.0,14210.0,2947.0,-1.0,-1.0,1200.0,-1.0,60000.0,-1.0,7500.0,-1.0,53000.0,1533.0,-1.0,-1.0,-1.0,1057.0,15082.0,3000.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,65692.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,1100.0,50.0,-1.0,4400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,833.0,-1,-1,-1.0,-1.0,1268.0,-1.0,87000.0,224.0,700.0,2120.0
1965,1000.0,-1.0,-1.0,55000.0,12.0,-1.0,-1.0,-1.0,-1.0,11730.0,2845.0,-1.0,-1.0,1400.0,-1.0,60000.0,-1.0,8000.0,-1.0,55000.0,1473.0,-1.0,-1.0,-1.0,1120.0,18418.0,3000.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,69712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1400.0,1200.0,60.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,811.0,-1,-1,-1.0,-1.0,1366.0,-1.0,90000.0,309.0,500.0,1140.0
1966,1000.0,-1.0,-1.0,57000.0,13.0,-1.0,-1.0,-1.0,-1.0,7340.0,2845.0,-1.0,-1.0,1500.0,-1.0,60000.0,-1.0,8000.0,-1.0,57000.0,1602.0,-1.0,-1.0,-1.0,1082.0,22569.0,3700.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,26000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,1300.0,60.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,871.0,-1,-1,-1.0,-1.0,901.0,-1.0,94000.0,211.0,600.0,1700.0
1967,1000.0,-1.0,-1.0,59000.0,13.0,-1.0,-1.0,-1.0,-1.0,4245.0,2439.0,-1.0,-1.0,1500.0,-1.0,60000.0,-1.0,8500.0,-1.0,59000.0,1778.0,-1.0,-1.0,-1.0,1030.0,19676.0,3000.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,50.0,-1.0,28000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,1500.0,60.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,755.0,-1,-1,-1.0,-1.0,1154.0,-1.0,100000.0,275.0,400.0,1500.0
1968,1000.0,-1.0,-1.0,62000.0,13.0,-1.0,-1.0,-1.0,-1.0,2945.0,2743.0,-1.0,-1.0,1600.0,-1.0,60500.0,-1.0,9000.0,-1.0,62000.0,2208.0,-1.0,-1.0,-1.0,1104.0,18422.0,3300.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,50.0,-1.0,29000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1600.0,1600.0,70.0,-1.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,732.0,-1,-1,-1.0,-1.0,840.0,-1.0,106000.0,372.0,200.0,2050.0
1969,1000.0,-1.0,-1.0,65000.0,13.0,-1.0,-1.0,-1.0,-1.0,2560.0,2439.0,-1.0,-1.0,2000.0,-1.0,60500.0,-1.0,9000.0,-1.0,65000.0,2428.0,-1.0,-1.0,-1.0,1097.0,18937.0,2852.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,70.0,-1.0,29500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,1800.0,70.0,-1.0,600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,706.0,-1,-1,-1.0,-1.0,753.0,-1.0,97000.0,391.0,100.0,1700.0
1970,1000.0,-1.0,-1.0,67000.0,13.0,-1.0,-1.0,-1.0,-1.0,1575.0,2337.0,-1.0,-1.0,1800.0,-1.0,55000.0,-1.0,9500.0,-1.0,67000.0,1916.0,-1.0,-1.0,-1.0,1325.0,20359.0,2400.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,80.0,-1.0,29500.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,1800.0,2000.0,70.0,-1.0,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,800.0,-1,-1,-1.0,-1.0,1004.0,-1.0,106000.0,525.0,100.0,1800.0
1971,1000.0,-1.0,-1.0,70000.0,13.0,-1.0,-1.0,-1.0,-1.0,3000.0,2439.0,-1.0,-1.0,2000.0,-1.0,50000.0,-1.0,19460.0,-1.0,70000.0,2670.0,-1.0,-1.0,-1.0,1370.0,16418.0,2200.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,90.0,-1.0,29500.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.0,-1.0,-1.0,2000.0,2600.0,80.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,762.0,-1,-1,-1.0,-1.0,704.0,-1.0,101109.0,608.0,-1.0,1300.0
