,Luxembourg,Ukraine,Germany,Serbia,Belgium,Serbia and Montenegro,Czechoslovakia,USSR,Finland,Sweden,Switzerland,Malta,Slovakia,Bosnia and Herzegovina,United Kingdom,Denmark,Canada,Greece,Poland,Latvia,Turkmenistan,Czechia,Austria,Spain,Norway,Estonia,Yugoslav SFR,France,Lithuania,Slovenia,Croatia,Netherlands,Russian Federation,Kyrgyzstan,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,-1.0,1697670.0,-1.0,-1.0,-1.0,45914.0,98000.0,45856.0,544700.0,20400.0,220.0,-1,-1,174223.0,759416.0,1251500.0,8466.0,563000.0,-1.0,-1,-1.0,43990.0,4022.0,5253.0,-1.0,40100.0,185680.0,-1.0,-1.0,-1.0,161719.0,-1,-1.0,310000.0,-1.0,23514.0
1962,-1.0,-1.0,2228539.0,-1.0,-1.0,-1.0,63714.0,82600.0,35700.0,448050.0,26300.0,330.0,-1,-1,157062.0,718852.0,1475300.0,7563.0,512000.0,-1.0,-1,-1.0,49571.0,4515.0,2000.0,-1.0,33600.0,195060.0,-1.0,-1.0,-1.0,167287.0,-1,-1.0,350000.0,-1.0,23402.0
1963,-1.0,-1.0,1983130.0,-1.0,-1.0,-1.0,70116.0,158500.0,67200.0,428450.0,19400.0,370.0,-1,-1,120422.0,619401.0,1443900.0,6926.0,597000.0,-1.0,-1,-1.0,62855.0,3451.0,2619.0,-1.0,30600.0,396300.0,-1.0,-1.0,-1.0,145179.0,-1,-1.0,385000.0,-1.0,30713.0
1964,-1.0,-1.0,2127786.0,-1.0,-1.0,-1.0,62701.0,150400.0,40900.0,456300.0,19400.0,350.0,-1,-1,103129.0,659666.0,1452300.0,6222.0,528000.0,-1.0,-1,-1.0,65380.0,2200.0,2462.0,-1.0,26800.0,392960.0,-1.0,-1.0,-1.0,125115.0,-1,-1.0,300000.0,-1.0,30157.0
1965,-1.0,-1.0,1811317.0,-1.0,-1.0,-1.0,83851.0,177400.0,58800.0,410200.0,11200.0,310.0,-1,-1,92969.0,479291.0,1649300.0,6067.0,610000.0,-1.0,-1,-1.0,57500.0,2321.0,1981.0,-1.0,30800.0,412150.0,-1.0,-1.0,-1.0,89226.0,-1,-1.0,285000.0,-1.0,31638.0
1966,-1.0,-1.0,1783816.0,-1.0,-1.0,-1.0,69634.0,144500.0,51500.0,267300.0,14100.0,430.0,-1,-1,94981.0,400967.0,1662400.0,5265.0,501000.0,-1.0,-1,-1.0,77179.0,3180.0,2111.0,-1.0,29200.0,474560.0,-1.0,-1.0,-1.0,61194.0,-1,-1.0,320000.0,-1.0,33713.0
1967,-1.0,-1.0,1978912.0,-1.0,-1.0,-1.0,89815.0,142000.0,60400.0,259220.0,14200.0,410.0,-1,-1,119306.0,327837.0,1568805.0,5063.0,515000.0,-1.0,-1,-1.0,83018.0,2651.0,2319.0,-1.0,25500.0,576260.0,-1.0,-1.0,-1.0,50195.0,-1,-1.0,300000.0,-1.0,46216.0
1968,-1.0,-1.0,2056928.0,-1.0,-1.0,-1.0,67647.0,156000.0,50800.0,262190.0,12800.0,389.0,-1,-1,153729.0,279573.0,1686950.0,2305.0,552000.0,-1.0,-1,-1.0,89958.0,1564.0,2569.0,-1.0,20700.0,562230.0,-1.0,-1.0,-1.0,28037.0,-1,-1.0,270000.0,-1.0,41614.0
1969,-1.0,-1.0,2015110.0,-1.0,-1.0,-1.0,67271.0,149000.0,60100.0,177100.0,9900.0,210.0,-1,-1,219975.0,200330.0,1792582.0,2296.0,595000.0,-1.0,-1,-1.0,93251.0,1380.0,1184.0,-1.0,21670.0,553970.0,-1.0,-1.0,-1.0,20183.0,-1,-1.0,297000.0,-1.0,45621.0
1970,-1.0,-1.0,1569138.0,-1.0,-1.0,-1.0,43918.0,128000.0,64700.0,209190.0,11100.0,190.0,-1,-1,257671.0,141926.0,2026320.0,1826.0,773000.0,-1.0,-1,-1.0,97885.0,700.0,1433.0,-1.0,18000.0,472590.0,-1.0,-1.0,-1.0,8214.0,-1,-1.0,256000.0,-1.0,38577.0
1971,-1.0,-1.0,1761199.0,-1.0,-1.0,-1.0,40935.0,153000.0,59600.0,201710.0,14000.0,95.0,-1,-1,206715.0,132179.0,2185676.0,1816.0,857000.0,-1.0,-1,-1.0,99049.0,200.0,1529.0,-1.0,17000.0,633000.0,-1.0,-1.0,-1.0,6626.0,-1,-1.0,310000.0,-1.0,46083.0
1972,-1.0,-1.0,1648978.0,-1.0,-1.0,-1.0,26374.0,130000.0,55500.0,188810.0,13200.0,90.0,-1,-1,221949.0,112000.0,2128665.0,1315.0,1079000.0,-1.0,-1,-1.0,91892.0,1200.0,1314.0,-1.0,15000.0,663180.0,-1.0,-1.0,-1.0,3884.0,-1,-1.0,280000.0,-1.0,41546.0
1973,-1.0,-1.0,1501953.0,-1.0,-1.0,-1.0,17849.0,170000.0,47600.0,159530.0,12600.0,95.0,-1,-1,192483.0,74831.0,1980229.0,1288.0,1339000.0,-1.0,-1,-1.0,108683.0,1500.0,2266.0,-1.0,13000.0,629280.0,-1.0,-1.0,-1.0,2086.0,-1,-1.0,259000.0,-1.0,47630.0
1974,-1.0,-1.0,1536150.0,-1.0,-1.0,-1.0,20232.0,218000.0,48900.0,244450.0,13000.0,48.0,-1,-1,150850.0,62338.0,1648351.0,1349.0,1470000.0,-1.0,-1,-1.0,110092.0,1900.0,1870.0,-1.0,13000.0,582670.0,-1.0,-1.0,-1.0,1646.0,-1,-1.0,225000.0,-1.0,47403.0
1975,-1.0,-1.0,1317214.0,-1.0,-1.0,-1.0,12087.0,147000.0,47400.0,164620.0,8800.0,56.0,-1,-1,118000.0,46230.0,1819600.0,1301.0,1414428.0,-1.0,-1,-1.0,119068.0,1900.0,806.0,-1.0,11400.0,592960.0,-1.0,-1.0,-1.0,1300.0,-1,-1.0,250000.0,-1.0,45375.0
1976,-1.0,-1.0,925614.0,-1.0,-1.0,-1.0,7803.0,180000.0,56400.0,165010.0,7900.0,115.0,-1,-1,89000.0,32903.0,1558800.0,1263.0,1620041.0,-1.0,-1,-1.0,128051.0,3240.0,1353.0,-1.0,8700.0,410500.0,-1.0,-1.0,-1.0,1000.0,-1,-1.0,233000.0,-1.0,31049.0
