,Israel,Réunion,Japan,Poland,Syrian Arab Republic,Australia & New Zealand,Afghanistan,New Zealand,Egypt,Georgia,Greece,Yemen,Portugal,France,Italy,Lao People's Democratic Republic,Hungary,Germany,Turkey,Bulgaria,Tunisia,Iran (Islamic Republic of),Uzbekistan,China,Finland,Armenia,Morocco,"China, mainland",Algeria,Zimbabwe,Lithuania,Cameroon,Ukraine,India,Malta
1961,,,85806.0,,,150000.0,63509.0,150000.0,,,,,25000.0,,,79167.0,,,29347.0,144429.0,,42857.0,,,,,,,,,,,,,
1962,,,73125.0,,,150000.0,63509.0,150000.0,,,,,25000.0,,,79167.0,,,26061.0,71176.0,,42857.0,,,,,,,,,,,,,
1963,,,55625.0,,,133333.0,63509.0,133333.0,,,,,25000.0,,,78000.0,,,26960.0,129000.0,,44521.0,,,,,,,,,,,,,
1964,100000.0,,63226.0,,,125000.0,73179.0,125000.0,,,,,25000.0,,,82000.0,,,27035.0,66650.0,,45333.0,,,,,,,,,,,,,
1965,100000.0,,74667.0,,,120000.0,76730.0,120000.0,,,,,25000.0,,,80000.0,,,26834.0,78889.0,,46154.0,,,,,,,,,,,,,
1966,,,40345.0,,16667.0,116667.0,77778.0,116667.0,,,,,25000.0,,,85000.0,,,26980.0,124923.0,,46250.0,,,,,,,,,,,,,
1967,,,80357.0,,23077.0,111111.0,84439.0,111111.0,,,,,25000.0,,,86000.0,,,26625.0,70609.0,,46951.0,,,,,,,,,,,,,
1968,,,75926.0,,30298.0,107692.0,87467.0,107692.0,,,,,25000.0,,,88000.0,,,30450.0,105531.0,,47024.0,,,,,,,,,,,,,
1969,,,57692.0,,16769.0,111111.0,86667.0,111111.0,,,,,28571.0,,,90000.0,,,29823.0,104840.0,,46667.0,,,,,,,,,,,,,
1970,,,71538.0,,21738.0,108696.0,83461.0,108696.0,,,,,28571.0,,,83636.0,,,31944.0,101190.0,,46237.0,,,,,,,,,,,,,
1971,,,46000.0,,22761.0,111111.0,65649.0,111111.0,,,,,27778.0,,,87273.0,,,33262.0,94789.0,,45263.0,,,,,,,,,,,,,
1972,,,72500.0,,37597.0,111111.0,79156.0,111111.0,,,,,27778.0,,,90909.0,,,32594.0,88409.0,,44898.0,,,,,,,,,,,,,
1973,,,58333.0,,37343.0,111111.0,80535.0,111111.0,,,,,27778.0,,,83333.0,,,31817.0,57132.0,,46000.0,,,,,,,,,,,,,
1974,,,65000.0,,40802.0,111111.0,79904.0,111111.0,,,,,27273.0,,,85000.0,,,40555.0,79889.0,,45714.0,,,,,,,,,,,,,
1975,,,60000.0,,25203.0,111111.0,79952.0,111111.0,,,,,27273.0,,,80000.0,,,41546.0,80323.0,,46364.0,,,,,,,,,,,,,
1976,,,69583.0,,40072.0,111111.0,74940.0,111111.0,,,,,27273.0,,,100000.0,,,41449.0,81257.0,,48696.0,,,,,,,,,,,,,
1977,120000.0,,27917.0,,36599.0,112903.0,44286.0,112903.0,,,,,29167.0,,,90000.0,,,41328.0,95000.0,,50000.0,,,,,,,,,,,,,
1978,120000.0,,57806.0,,46595.0,112903.0,65228.0,112903.0,,,,,29167.0,,,84000.0,,,39057.0,75000.0,,50833.0,,,,,,,,,,,,,
1979,120000.0,,73950.0,,51595.0,112903.0,64516.0,112903.0,,,,,30550.0,,,83333.0,,,40697.0,85833.0,,48696.0,,,,,,,,,,,,,
