,Guinea,Côte d'Ivoire,Benin,Niger,Guinea-Bissau,Gambia,Burkina Faso,Nigeria,Mali,Senegal
1961,80000.0,4000.0,1875.0,350.0,18000.0,6000.0,15258.0,33000.0,20000.0,-1.0
1962,85000.0,5000.0,2000.0,350.0,18500.0,6000.0,1706.0,36000.0,20000.0,-1.0
1963,75000.0,8600.0,2335.0,350.0,19000.0,6000.0,8600.0,37000.0,20000.0,-1.0
1964,80000.0,7900.0,2275.0,370.0,18000.0,6500.0,11600.0,38000.0,20000.0,-1.0
1965,80000.0,7000.0,2000.0,370.0,17000.0,6500.0,10000.0,38000.0,20000.0,-1.0
1966,80000.0,7000.0,2300.0,400.0,10000.0,6500.0,10000.0,39000.0,27363.0,-1.0
1967,82000.0,7500.0,2300.0,400.0,10000.0,6500.0,9615.0,40000.0,27500.0,-1.0
1968,80000.0,7500.0,2400.0,500.0,10000.0,6800.0,9400.0,41000.0,28000.0,-1.0
1969,80000.0,7500.0,2400.0,500.0,9000.0,6800.0,10000.0,25000.0,35000.0,-1.0
1970,78000.0,1900.0,2000.0,500.0,9000.0,7000.0,11090.0,18000.0,47000.0,-1.0
1971,82000.0,1900.0,2000.0,500.0,9000.0,7000.0,8200.0,18000.0,28000.0,-1.0
1972,82000.0,1900.0,2550.0,600.0,8000.0,7000.0,10000.0,14000.0,37000.0,-1.0
1973,80000.0,1900.0,1492.0,800.0,8000.0,7400.0,8000.0,14000.0,40000.0,-1.0
1974,78000.0,1900.0,2700.0,800.0,8000.0,1500.0,6580.0,17000.0,45000.0,-1.0
1975,78000.0,2025.0,2000.0,900.0,9000.0,1200.0,9000.0,16000.0,50000.0,-1.0
1976,80000.0,2025.0,2000.0,1300.0,10000.0,900.0,9000.0,14000.0,48000.0,-1.0
1977,78000.0,2085.0,2000.0,1000.0,8000.0,600.0,9000.0,14000.0,45000.0,-1.0
1978,75000.0,2150.0,2000.0,1400.0,8000.0,900.0,9579.0,16000.0,39100.0,-1.0
1979,80000.0,2150.0,2000.0,2450.0,8000.0,200.0,3481.0,16000.0,17300.0,-1.0
1980,80000.0,5400.0,2000.0,2600.0,8000.0,1300.0,5667.0,18000.0,25700.0,-1.0
1981,78000.0,5680.0,2000.0,900.0,5000.0,2200.0,4676.0,20000.0,49100.0,-1.0
1982,75000.0,5975.0,2000.0,2300.0,5000.0,1200.0,5783.0,20000.0,23500.0,-1.0
1983,78000.0,6285.0,1388.0,1500.0,5000.0,400.0,6359.0,18000.0,49700.0,-1.0
1984,110000.0,6611.0,2580.0,2500.0,7000.0,100.0,4858.0,23000.0,24535.0,-1.0
