,Austria,Slovakia,USSR,Poland,Turkey,Belarus,Denmark,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Czechia,Republic of Moldova,Italy,Croatia,Hungary,Germany,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Albania,Peru,United States of America,Serbia and Montenegro,Armenia,Serbia,Slovenia,Uzbekistan,Chile,Canada,Kazakhstan,Spain,Bosnia and Herzegovina,Bulgaria,Ukraine,Azerbaijan
1961,,,21250.0,,36518.0,,,,40640.0,,,,,,,,,31950.0,,,50000.0,,,53200.0,,,,,,,57628.0,,,,195217.0,,
1962,,,20000.0,,39261.0,,,,51660.0,,,,,,,,,28571.0,,,50000.0,,,57680.0,,,,,,,57298.0,,,,152617.0,,
1963,,,25556.0,,37345.0,,,,45640.0,,,,,,,,,28571.0,,,50000.0,,,27081.0,,,,,,,57684.0,,,,148412.0,,
1964,,,25667.0,,40204.0,,,,58440.0,,,,,,,,,28571.0,,,50000.0,,,93867.0,,,,,,,57555.0,,,,143595.0,,
1965,,,26897.0,,37077.0,,,,55820.0,,,,,,,,,28571.0,,,50000.0,,,60884.0,,,,,,,57543.0,,,,125582.0,,
1966,,,25714.0,,37498.0,,,,62092.0,,,,,,,,,28571.0,,,52500.0,,,31235.0,,,,,,,57577.0,,,,156400.0,,
1967,,,22333.0,,36406.0,,,,60833.0,,,,,,,,,27778.0,,,50000.0,,,31621.0,,,,,,,57328.0,,,,139718.0,,
1968,,,45333.0,,42735.0,,,,59700.0,,,,,,,,,17662.0,,,50000.0,,,50161.0,,,,,,,57504.0,,,,139840.0,,
1969,,,17333.0,,41447.0,,,,88300.0,,,,,,,,,34933.0,,,49474.0,,,58290.0,,,,,,,57443.0,,,,146258.0,,
1970,,,19737.0,,50449.0,,,,74517.0,,,,,,,,,46267.0,,,52632.0,,,47022.0,,,,,,,57591.0,,,,150330.0,,
1971,,,27937.0,,46687.0,,,,77558.0,,,,,,,,,46486.0,,,55000.0,,,55410.0,,,,,,,57519.0,,,,118293.0,,
1972,,,23030.0,,50000.0,,,,66500.0,,,,,,,,,44110.0,,,60000.0,,,64491.0,,,,,,,57441.0,,,,106375.0,,
1973,,,31111.0,,48679.0,,,,79208.0,,,,,,,,,23889.0,,,57273.0,,,36991.0,,,,,,,57250.0,,,,111493.0,,
1974,,,26042.0,,44373.0,,,,70000.0,,,,,,,,,25329.0,,,60000.0,,,57546.0,,,,,,,57677.0,,,,101347.0,,
1975,,,29800.0,,48800.0,,,,46273.0,,,,,,,,,25997.0,,,58333.0,,,65524.0,,,,,,,112544.0,,,,128011.0,,
1976,,,30889.0,,54150.0,,,,68436.0,,,,,,,,,36677.0,,,62500.0,,,36516.0,,,,,,,79541.0,,,,107400.0,,
1977,,,39149.0,,55117.0,,,,50236.0,,,,,,,,,20603.0,,,61538.0,,,55105.0,,,,,,,108338.0,,,,76735.0,,
1978,,,30851.0,,60241.0,,,,45455.0,,,,,,,,,18390.0,,,53846.0,,,49783.0,,,,,,,81754.0,,,,85169.0,,
1979,,,36029.0,,60002.0,,,,64136.0,,,,,,,,,22409.0,,,57143.0,,,46815.0,,,,,,,105778.0,,,,83710.0,,
1980,,,29455.0,,63945.0,,,,70091.0,,,,,,,,,21120.0,,,64286.0,,,58194.0,,,,,,,118952.0,,,,69180.0,,
1981,,,36667.0,,60000.0,,,,80736.0,,,,,,,,,18433.0,,,66667.0,,,36596.0,,,,,,,47769.0,,,,87915.0,,
1982,,,40000.0,,62000.0,,,,67945.0,,,,,,,,,18718.0,,,73333.0,,,86462.0,,,,,,,91372.0,,,,56848.0,,
1983,,,45455.0,,64598.0,,,,98900.0,,,,,,,,,17990.0,,,75000.0,,,42078.0,,,,,,,83936.0,,,,75821.0,,
1984,,,39091.0,,60936.0,,,,47767.0,,,,,,,,,16565.0,,,81250.0,,,69683.0,,,,,,,94000.0,,,,81462.0,,
1985,51867.0,,42727.0,16959.0,75335.0,,,,30270.0,24980.0,,,,,33845.0,75222.0,,17835.0,,37839.0,82353.0,24333.0,,70162.0,,,,,,,89622.0,,,,83713.0,,
1986,52829.0,,46875.0,25097.0,71640.0,,,,27269.0,17505.0,,,,,32765.0,74129.0,,14087.0,,31819.0,88235.0,38000.0,,52154.0,,,,,,,51494.0,,,,91888.0,,
