,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Iran (Islamic Republic of),Malawi,Eritrea,Rwanda,Portugal,Australia & New Zealand,Barbados,Mozambique,Guatemala,Algeria,Slovenia,Madagascar,Tajikistan,Ukraine,Haiti,Bhutan,Belgium,Chad,Lesotho,Switzerland,Sri Lanka,Grenada,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,Réunion,China,Malta,Colombia,Latvia,Sudan (former),Sweden,Lebanon,United Republic of Tanzania,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,South Africa,France,Togo,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Uganda,Paraguay,Bolivia (Plurinational State of),Peru,Yugoslav SFR,Serbia and Montenegro,Cameroon,Serbia,Germany,Armenia,Dominican Republic,South Sudan,Benin,Canada,Japan,Pakistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,Belize,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Thailand,Somalia,Czechoslovakia,Cuba,Czechia,Argentina,Cambodia,Timor-Leste,Costa Rica,Democratic People's Republic of Korea,India,El Salvador,Austria,Niger,Morocco,Ethiopia PDR,Congo,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Viet Nam,Ireland,Côte d'Ivoire,Albania,Slovakia,Jamaica,Italy,Australia,Panama,Lithuania,Netherlands,Mauritania,Angola,Turkey,Swaziland,Belgium-Luxembourg
1961,14700.0,1882.0,-1.0,-1.0,12836.0,1806.0,129.0,108650.0,80.0,350.0,-1.0,13600.0,-1.0,7585.0,0.0,2170.0,2831.0,4550.0,-1.0,3603.0,10394.0,36.0,0.0,0.0,2921.0,36.0,-1.0,3600.0,-1.0,-1.0,3600.0,0.0,-1.0,5250.0,274.0,0.0,165.0,1.0,325.0,-1.0,50.0,-1.0,65.0,281882.0,34.0,5655.0,-1.0,156.0,450.0,105.0,9090.0,0.0,9001.0,8000.0,-1.0,5600.0,8845.0,645.0,1100.0,2240.0,280000.0,-1.0,1725.0,7000.0,1338.0,420.0,2819.0,74585.0,-1.0,6000.0,-1.0,785.0,-1.0,1160.0,-1.0,1918.0,1855.0,18724.0,4032.0,238.0,2000.0,84.0,13000.0,26.0,13180.0,34000.0,2946.0,5040.0,2976.0,120.0,128.0,3400.0,-1.0,2100.0,1400.0,71.0,1776.0,23520.0,201773.0,1513.0,23.0,0.0,250.0,4400.0,164.0,1756.0,50211.0,8280.0,29061.0,1672.0,3062.0,5303.0,0.0,0.0,2540.0,-1.0,3.0,58000.0,36.0,600.0,-1.0,668.0,0.0,3450.0,11280.0,50.0,176.0
1962,14700.0,1826.0,-1.0,-1.0,16908.0,1856.0,125.0,119297.0,80.0,363.0,-1.0,13000.0,-1.0,7693.0,0.0,2100.0,2841.0,4830.0,-1.0,3600.0,10277.0,91.0,0.0,0.0,3459.0,51.0,-1.0,3738.0,-1.0,-1.0,3800.0,0.0,-1.0,5250.0,274.0,0.0,147.0,1.0,325.0,-1.0,50.0,-1.0,65.0,225826.0,52.0,4883.0,-1.0,225.0,400.0,140.0,9447.0,0.0,8494.0,7000.0,-1.0,6300.0,8975.0,746.0,1100.0,3220.0,224000.0,-1.0,1724.0,7000.0,1320.0,598.0,2705.0,74865.0,-1.0,6000.0,-1.0,803.0,-1.0,1160.0,-1.0,1954.0,2006.0,19585.0,4088.0,256.0,2400.0,91.0,13000.0,29.0,13636.0,32000.0,2720.0,5120.0,6048.0,176.0,160.0,3250.0,-1.0,2482.0,2200.0,76.0,2072.0,27440.0,211200.0,1278.0,22.0,0.0,365.0,4400.0,176.0,1833.0,51323.0,9600.0,32816.0,1696.0,3310.0,5458.0,0.0,0.0,4000.0,-1.0,3.0,55000.0,91.0,600.0,-1.0,720.0,0.0,3450.0,10500.0,41.0,242.0
1963,16100.0,2074.0,-1.0,-1.0,17968.0,1739.0,147.0,125222.0,80.0,375.0,-1.0,13500.0,-1.0,7430.0,0.0,2100.0,2945.0,5110.0,-1.0,3244.0,10576.0,55.0,0.0,0.0,4232.0,61.0,-1.0,3762.0,-1.0,-1.0,3800.0,0.0,-1.0,5250.0,392.0,0.0,131.0,1.0,325.0,-1.0,300.0,-1.0,65.0,226074.0,38.0,4940.0,-1.0,287.0,200.0,154.0,10383.0,0.0,7687.0,5400.0,-1.0,6500.0,7110.0,810.0,1100.0,3780.0,224000.0,-1.0,1994.0,7500.0,1500.0,610.0,2775.0,73360.0,-1.0,5400.0,-1.0,723.0,-1.0,1400.0,-1.0,1256.0,2357.0,19699.0,4256.0,323.0,2600.0,76.0,12000.0,38.0,15952.0,34000.0,2671.0,5200.0,6067.0,240.0,159.0,3100.0,-1.0,2702.0,2000.0,84.0,1749.0,28400.0,219972.0,983.0,23.0,0.0,320.0,4450.0,180.0,1858.0,62731.0,8400.0,33660.0,2148.0,3739.0,5566.0,0.0,0.0,3660.0,-1.0,3.0,51000.0,55.0,400.0,-1.0,784.0,0.0,3600.0,11000.0,46.0,292.0
1964,16100.0,1715.0,-1.0,-1.0,15920.0,1638.0,168.0,130901.0,80.0,383.0,-1.0,14000.0,-1.0,7838.0,0.0,2450.0,2955.0,5390.0,-1.0,3808.0,9894.0,55.0,0.0,0.0,4025.0,53.0,-1.0,3619.0,-1.0,-1.0,3760.0,0.0,-1.0,5100.0,314.0,0.0,193.0,1.0,325.0,-1.0,600.0,-1.0,40.0,225715.0,38.0,4940.0,-1.0,283.0,200.0,175.0,7949.0,0.0,7014.0,6000.0,-1.0,6600.0,6350.0,855.0,1100.0,5040.0,224000.0,-1.0,2117.0,7500.0,1890.0,613.0,3239.0,71610.0,-1.0,5400.0,-1.0,532.0,-1.0,1360.0,-1.0,1274.0,2694.0,18677.0,4204.0,353.0,2600.0,99.0,12000.0,41.0,12928.0,36000.0,2703.0,5320.0,7229.0,520.0,210.0,3000.0,-1.0,3056.0,2080.0,118.0,2096.0,27200.0,212652.0,1082.0,24.0,0.0,286.0,4500.0,188.0,2015.0,63506.0,6720.0,30263.0,2078.0,2695.0,5691.0,0.0,0.0,2400.0,-1.0,2.0,49000.0,55.0,300.0,-1.0,667.0,0.0,3570.0,11000.0,38.0,204.0
1965,16100.0,1785.0,-1.0,-1.0,16776.0,1617.0,145.0,132984.0,80.0,388.0,-1.0,14000.0,-1.0,7558.0,0.0,2800.0,2964.0,5600.0,-1.0,4620.0,10182.0,91.0,0.0,0.0,3588.0,46.0,-1.0,3614.0,-1.0,-1.0,3800.0,0.0,-1.0,5150.0,314.0,0.0,159.0,1.0,206.0,-1.0,500.0,-1.0,50.0,201785.0,17.0,4160.0,-1.0,264.0,300.0,172.0,10533.0,0.0,7769.0,7600.0,-1.0,6500.0,5735.0,834.0,1100.0,5740.0,200000.0,-1.0,2264.0,8150.0,1932.0,613.0,4472.0,17670.0,-1.0,5400.0,-1.0,625.0,-1.0,1760.0,-1.0,1268.0,3343.0,17984.0,4008.0,373.0,2600.0,61.0,12000.0,56.0,11554.0,37000.0,3157.0,5400.0,8160.0,584.0,237.0,3000.0,-1.0,3129.0,2120.0,122.0,1728.0,24960.0,217422.0,1216.0,22.0,0.0,411.0,3150.0,196.0,2402.0,67201.0,5760.0,30514.0,3103.0,3001.0,5604.0,0.0,0.0,3540.0,-1.0,4.0,47000.0,91.0,500.0,-1.0,718.0,0.0,3570.0,11000.0,47.0,278.0
1966,17500.0,1836.0,-1.0,-1.0,18164.0,1399.0,170.0,146023.0,80.0,395.0,-1.0,13500.0,-1.0,7128.0,0.0,2800.0,2974.0,5810.0,-1.0,4650.0,9011.0,109.0,0.0,0.0,3721.0,44.0,-1.0,3701.0,-1.0,-1.0,3800.0,0.0,-1.0,5000.0,392.0,0.0,142.0,1.0,208.0,-1.0,550.0,-1.0,40.0,201836.0,19.0,4485.0,-1.0,238.0,300.0,78.0,11250.0,0.0,8208.0,6400.0,-1.0,7700.0,5565.0,917.0,1100.0,4480.0,200000.0,-1.0,2362.0,10950.0,1932.0,600.0,5089.0,14424.0,-1.0,3781.0,-1.0,582.0,-1.0,1376.0,-1.0,1684.0,2436.0,19497.0,5052.0,485.0,2800.0,52.0,12000.0,36.0,9802.0,36287.0,2962.0,5520.0,7968.0,608.0,251.0,3000.0,-1.0,3157.0,2360.0,105.0,1480.0,24960.0,226446.0,1307.0,25.0,0.0,439.0,3200.0,200.0,2531.0,57899.0,5400.0,29668.0,3017.0,3156.0,6339.0,0.0,0.0,3820.0,-1.0,5.0,45000.0,109.0,500.0,-1.0,826.0,0.0,3581.0,10600.0,49.0,255.0
1967,18200.0,1976.0,-1.0,-1.0,16592.0,1420.0,188.0,146532.0,80.0,400.0,-1.0,10500.0,-1.0,6316.0,0.0,2800.0,2983.0,6069.0,-1.0,4689.0,8575.0,182.0,0.0,0.0,4641.0,128.0,-1.0,3790.0,-1.0,-1.0,3600.0,0.0,-1.0,4850.0,431.0,0.0,194.0,1.0,221.0,-1.0,450.0,-1.0,40.0,193976.0,23.0,4550.0,-1.0,173.0,300.0,81.0,9890.0,0.0,6406.0,5400.0,-1.0,7000.0,5250.0,975.0,1100.0,3640.0,192000.0,-1.0,2398.0,13500.0,1800.0,609.0,3959.0,14333.0,-1.0,4140.0,-1.0,444.0,-1.0,1107.0,-1.0,1654.0,2575.0,13908.0,4196.0,468.0,2850.0,46.0,11000.0,65.0,8387.0,31298.0,3153.0,5600.0,12000.0,608.0,172.0,2250.0,-1.0,4610.0,2640.0,147.0,1104.0,24960.0,222201.0,1458.0,22.0,0.0,450.0,3250.0,208.0,2573.0,53720.0,4200.0,27205.0,3281.0,3131.0,5698.0,0.0,0.0,4220.0,-1.0,5.0,41000.0,182.0,400.0,-1.0,654.0,0.0,3581.0,10700.0,45.0,190.0
1968,18200.0,1946.0,-1.0,-1.0,16276.0,1365.0,240.0,145331.0,80.0,413.0,-1.0,11000.0,-1.0,6282.0,0.0,2800.0,2993.0,6335.0,-1.0,4871.0,8525.0,237.0,0.0,0.0,3924.0,156.0,-1.0,3998.0,-1.0,-1.0,3680.0,0.0,-1.0,4741.0,549.0,0.0,170.0,1.0,228.0,-1.0,550.0,-1.0,40.0,185946.0,17.0,4323.0,-1.0,118.0,200.0,95.0,9302.0,0.0,5282.0,4000.0,-1.0,6100.0,4920.0,1050.0,1100.0,3220.0,184000.0,-1.0,2362.0,12000.0,1612.0,609.0,4887.0,12845.0,-1.0,5177.0,-1.0,504.0,-1.0,1400.0,-1.0,1562.0,2549.0,13130.0,3604.0,431.0,3000.0,42.0,11000.0,77.0,7566.0,34926.0,3158.0,5400.0,12451.0,800.0,139.0,1750.0,-1.0,4571.0,2320.0,147.0,1520.0,25200.0,223833.0,1512.0,24.0,0.0,250.0,3350.0,216.0,2607.0,49666.0,3840.0,24114.0,3225.0,3105.0,5110.0,0.0,0.0,3600.0,-1.0,9.0,38000.0,237.0,400.0,-1.0,819.0,0.0,3600.0,11000.0,57.0,263.0
1969,19250.0,2010.0,-1.0,-1.0,15252.0,1617.0,193.0,139391.0,80.0,420.0,-1.0,12200.0,-1.0,6300.0,0.0,2660.0,3002.0,6601.0,-1.0,4787.0,8568.0,209.0,0.0,0.0,6932.0,198.0,-1.0,3954.0,-1.0,-1.0,3680.0,0.0,-1.0,4750.0,706.0,0.0,149.0,1.0,284.0,-1.0,550.0,-1.0,40.0,186010.0,15.0,4316.0,-1.0,134.0,400.0,79.0,11801.0,0.0,6868.0,2600.0,-1.0,5800.0,4955.0,1102.0,1400.0,2800.0,184000.0,-1.0,2210.0,13500.0,3264.0,84.0,4648.0,12722.0,-1.0,5891.0,-1.0,539.0,-1.0,1120.0,-1.0,1650.0,2326.0,12108.0,4388.0,460.0,2800.0,46.0,10500.0,122.0,7020.0,35380.0,3016.0,5568.0,14342.0,1888.0,121.0,1750.0,-1.0,3546.0,1520.0,210.0,1200.0,25200.0,233880.0,1662.0,26.0,0.0,200.0,3450.0,220.0,2477.0,52408.0,4800.0,23934.0,3102.0,3083.0,4900.0,0.0,0.0,3740.0,-1.0,15.0,36000.0,209.0,400.0,-1.0,861.0,0.0,3600.0,9900.0,58.0,292.0
1970,19600.0,1940.0,-1.0,-1.0,14244.0,1550.0,199.0,157451.0,80.0,425.0,-1.0,13700.0,-1.0,5570.0,0.0,2800.0,3012.0,6867.0,-1.0,4815.0,7901.0,379.0,0.0,0.0,8137.0,209.0,-1.0,4424.0,-1.0,-1.0,3800.0,0.0,-1.0,4750.0,745.0,0.0,106.0,1.0,228.0,-1.0,650.0,-1.0,30.0,153940.0,19.0,4472.0,-1.0,134.0,400.0,71.0,11700.0,0.0,8389.0,3100.0,-1.0,5800.0,4010.0,1050.0,1600.0,3360.0,152000.0,-1.0,2240.0,22950.0,2988.0,112.0,4327.0,12467.0,-1.0,6186.0,-1.0,542.0,-1.0,1320.0,-1.0,1523.0,3207.0,13638.0,4612.0,458.0,2900.0,38.0,10600.0,85.0,6853.0,35380.0,2858.0,5768.0,9446.0,1696.0,148.0,1750.0,-1.0,4781.0,1600.0,210.0,933.0,25200.0,225615.0,1835.0,26.0,0.0,250.0,3500.0,228.0,2251.0,58954.0,4080.0,21486.0,2551.0,3055.0,4830.0,0.0,0.0,3600.0,-1.0,16.0,24000.0,379.0,400.0,-1.0,951.0,0.0,3600.0,10200.0,61.0,349.0
