,Austria,Slovakia,USSR,Poland,Turkey,Belarus,Denmark,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,Czechia,Republic of Moldova,Italy,Croatia,Hungary,Germany,Russian Federation,Peru,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Albania,Kazakhstan,United States of America,Serbia and Montenegro,Armenia,Serbia,Slovenia,Uzbekistan,Chile,Canada,Belgium-Luxembourg,Spain,Bosnia and Herzegovina,Bulgaria,Ukraine,Azerbaijan
1961,3498.0,,51000.0,56400.0,23200.0,,-1.0,,,4064.0,10724.0,,,-1.0,,55400.0,119140.0,,-1.0,2556.0,-1.0,35900.0,3000.0,7000.0,,149385.0,,,,,,,11929.0,-1.0,-1.0,,8980.0,,
1962,2814.0,,54000.0,36300.0,24330.0,,-1.0,,,5166.0,5207.0,,,-1.0,,48800.0,131500.0,,-1.0,4000.0,-1.0,31100.0,3000.0,6000.0,,159890.0,,,,,,,4813.0,-1.0,-1.0,,9157.0,,
1963,3026.0,,69000.0,43400.0,23800.0,,-1.0,,,4564.0,7552.0,,,-1.0,,43700.0,121786.0,,-1.0,4000.0,-1.0,31600.0,3500.0,5000.0,,73309.0,,,,,,,7845.0,-1.0,-1.0,,10092.0,,
1964,2651.0,,77000.0,54700.0,26000.0,,-1.0,,,5844.0,9877.0,,,-1.0,,35700.0,126349.0,,-1.0,4000.0,-1.0,32500.0,3500.0,5000.0,,247996.0,,,,,,,13698.0,-1.0,-1.0,,10626.0,,
1965,2540.0,,78000.0,33700.0,24000.0,,-1.0,,,5582.0,4057.0,,,-1.0,,26799.0,85215.0,,-1.0,4000.0,-1.0,23500.0,4000.0,5000.0,,160126.0,,,,,,,10070.0,-1.0,-1.0,,12307.0,,
1966,2965.0,,72000.0,68200.0,25000.0,,-1.0,,,7451.0,10114.0,,,-1.0,,37340.0,130041.0,,-1.0,2000.0,-1.0,27800.0,4200.0,6000.0,,81148.0,,,,,,,5988.0,-1.0,-1.0,,15640.0,,
1967,2676.0,,67000.0,33300.0,25000.0,,-1.0,,,7300.0,6530.0,,,-1.0,,27324.0,128395.0,,-1.0,2000.0,-1.0,27100.0,4500.0,5000.0,,80095.0,,,,,,,10319.0,-1.0,-1.0,,15369.0,,
1968,3507.0,,136000.0,50400.0,25000.0,,-1.0,,,7164.0,9101.0,,,-1.0,,40720.0,161442.0,,-1.0,1360.0,-1.0,31100.0,4500.0,6000.0,,124650.0,,,,,,,7303.0,-1.0,-1.0,,20976.0,,
1969,3325.0,,52000.0,45600.0,26000.0,,-1.0,,,10596.0,9783.0,,,-1.0,,30932.0,126965.0,,-1.0,2620.0,-1.0,36480.0,4700.0,6500.0,,142926.0,,,,,,,9593.0,-1.0,-1.0,,17551.0,,
1970,3362.0,,75000.0,30100.0,32000.0,,-1.0,,,8942.0,9679.0,,,-1.0,,40478.0,150580.0,,-1.0,3470.0,-1.0,38687.0,5000.0,7000.0,,112853.0,,,,,,,6623.0,-1.0,-1.0,,15033.0,,
1971,3189.0,,176000.0,20300.0,31000.0,,-1.0,,,9307.0,4046.0,,,-1.0,,50337.0,144900.0,,-1.0,3440.0,-1.0,47241.0,5500.0,7000.0,,125781.0,,,,,,,10342.0,-1.0,-1.0,,16561.0,,
1972,2283.0,,76000.0,26700.0,35000.0,,-1.0,,,7980.0,2040.0,,,-1.0,,34399.0,121650.0,,-1.0,3220.0,-1.0,47734.0,6000.0,7500.0,,141429.0,,,,,,,8214.0,-1.0,-1.0,,17020.0,,
1973,3368.0,,112000.0,25500.0,34450.0,,-1.0,,,9505.0,7626.0,,,-1.0,,44220.0,120707.0,,-1.0,1720.0,-1.0,40867.0,6300.0,7500.0,,79197.0,,,,,,,5038.0,-1.0,-1.0,,16724.0,,
1974,3175.0,,125000.0,24900.0,33000.0,,-1.0,,,7700.0,3008.0,,,-1.0,,33764.0,119014.0,,-1.0,1773.0,-1.0,52846.0,6600.0,7500.0,,120156.0,,,,,,,7671.0,-1.0,-1.0,,15202.0,,
1975,3440.0,,149000.0,18938.0,36600.0,,-1.0,,,5090.0,6760.0,,,-1.0,,34878.0,118020.0,,-1.0,1799.0,-1.0,42507.0,7000.0,7500.0,,131768.0,,,,,,,7653.0,-1.0,-1.0,,23042.0,,
1976,2778.0,,139000.0,41067.0,42600.0,,-1.0,,,7528.0,6029.0,,,-1.0,,24895.0,123127.0,,-1.0,2483.0,-1.0,51943.0,7500.0,8000.0,,66496.0,,,,,,,4852.0,-1.0,-1.0,,19332.0,,
1977,2399.0,,184000.0,36117.0,44000.0,,-1.0,,,5526.0,3019.0,,,-1.0,,29321.0,101677.0,,-1.0,1366.0,-1.0,46342.0,8000.0,8000.0,,95662.0,,,,,,,7042.0,-1.0,-1.0,,17649.0,,
1978,2950.0,,145000.0,35353.0,50000.0,,-1.0,,,5000.0,3830.0,,,-1.0,,40389.0,120451.0,,-1.0,1188.0,-1.0,43302.0,7000.0,8500.0,,82191.0,,,,,,,5314.0,-1.0,-1.0,,22144.0,,
1979,3065.0,,245000.0,37568.0,50000.0,,-1.0,,,7055.0,4555.0,,,-1.0,,42109.0,141800.0,,-1.0,1414.0,-1.0,63483.0,8000.0,8500.0,,77292.0,,,,,,,8568.0,-1.0,-1.0,,25113.0,,
1980,3454.0,,162000.0,41945.0,60000.0,,-1.0,,,7710.0,5015.0,,,-1.0,,37588.0,142237.0,,-1.0,1301.0,-1.0,57721.0,9000.0,7700.0,,98930.0,,,,,,,9992.0,-1.0,-1.0,,20754.0,,
1981,2330.0,,198000.0,36508.0,60000.0,,-1.0,,,8881.0,3790.0,,,-1.0,,61989.0,80350.0,,-1.0,1106.0,-1.0,89664.0,10000.0,8700.0,,60420.0,,,,,,,3105.0,-1.0,-1.0,,29012.0,,
1982,3739.0,,220000.0,43344.0,62000.0,,-1.0,,,7474.0,8854.0,,,-1.0,,61055.0,159832.0,,-1.0,1095.0,-1.0,98372.0,11000.0,8100.0,,141020.0,,,,,,,7127.0,-1.0,-1.0,,25013.0,,
1983,3974.0,,250000.0,80441.0,66000.0,,-1.0,,,11868.0,9816.0,,,-1.0,,66822.0,144009.0,,-1.0,1029.0,-1.0,119768.0,12000.0,7700.0,,69850.0,,,,,,,6547.0,-1.0,-1.0,,28812.0,,
1984,4320.0,,215000.0,76271.0,65000.0,,-1.0,,,5732.0,9866.0,,,-1.0,,56352.0,154971.0,,-1.0,926.0,-1.0,106940.0,13000.0,7100.0,,123200.0,,,,,,,7614.0,-1.0,-1.0,,30141.0,,
1985,3501.0,,235000.0,66142.0,85000.0,,-1.0,,,7401.0,8743.0,,,-1.0,,55167.0,158793.0,,-1.0,972.0,-1.0,128653.0,14000.0,7300.0,,129800.0,,,,,,,7349.0,-1.0,-1.0,,32648.0,,
1986,3698.0,,225000.0,60232.0,80000.0,,-1.0,,,6640.0,6722.0,,,-1.0,,53079.0,142736.0,,-1.0,748.0,-1.0,108185.0,15000.0,11400.0,,101700.0,,,,,,,4377.0,-1.0,-1.0,,36755.0,,
1987,3391.0,,205000.0,13342.0,75000.0,,-1.0,,,5633.0,8473.0,,,-1.0,,83474.0,151636.0,,-1.0,613.0,-1.0,123062.0,15000.0,9100.0,,163300.0,,,,,,,7572.0,,-1.0,,35697.0,,
1988,3151.0,,220000.0,97643.0,80000.0,,-1.0,,,4455.0,9902.0,,,-1.0,,72446.0,152882.0,,-1.0,400.0,-1.0,140353.0,15000.0,9000.0,,107000.0,,,,,,,6379.0,,-1.0,,35025.0,,
