,Paraguay,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,United Kingdom,Israel,Malta,Dominican Republic,Syrian Arab Republic,Brazil,Belgium,Nepal,Ethiopia,Denmark,Canada,Greece,Iraq,Cyprus,Netherlands,Japan,Eritrea,Guyana,Bulgaria,Australia & New Zealand,Guatemala,Sudan,Algeria,Slovenia,Morocco,Czechia,Ukraine,Argentina,Luxembourg,Germany,Austria,Czechoslovakia,Ethiopia PDR,Lebanon,Mexico,Switzerland,Slovakia,Azerbaijan,Spain,Egypt,Sudan (former),China,Tunisia,Colombia,Libya,Albania,Portugal,Uruguay,Jamaica,Uzbekistan,Occupied Palestinian Territory,Ecuador,Hungary,Sierra Leone,Australia,France,Jordan,Lithuania,Poland,"China, mainland",Russian Federation,Turkey,Italy,Belgium-Luxembourg
1961,7000.0,6667.0,9651.0,-1.0,-1.0,33333.0,2857.0,11675.0,7347.0,9447.0,4902.0,-1.0,-1.0,-1.0,23581.0,-1.0,9216.0,12399.0,5634.0,27641.0,12629.0,-1.0,-1.0,10173.0,3925.0,4502.0,-1.0,4079.0,-1.0,4000.0,-1.0,-1.0,38233.0,-1.0,23147.0,24810.0,16815.0,8913.0,7500.0,7213.0,-1.0,-1.0,-1.0,7228.0,10622.0,9197.0,9471.0,2257.0,-1.0,4000.0,-1.0,3657.0,25000.0,7500.0,-1.0,-1.0,5900.0,-1.0,10000.0,3925.0,14569.0,4167.0,-1.0,-1.0,9471.0,-1.0,12195.0,7214.0,33099.0
1962,7037.0,6667.0,12573.0,-1.0,-1.0,-1.0,3509.0,11920.0,7451.0,12318.0,4458.0,-1.0,-1.0,-1.0,16057.0,-1.0,9118.0,12517.0,5763.0,28180.0,10664.0,-1.0,-1.0,6724.0,12198.0,4513.0,-1.0,2462.0,-1.0,6667.0,-1.0,-1.0,40453.0,-1.0,25120.0,22977.0,14048.0,9130.0,8889.0,7407.0,-1.0,-1.0,-1.0,9413.0,20395.0,20757.0,10476.0,5404.0,-1.0,2750.0,-1.0,5276.0,25000.0,7419.0,-1.0,-1.0,6429.0,-1.0,10000.0,12198.0,14346.0,4688.0,-1.0,-1.0,10476.0,-1.0,13250.0,8320.0,32801.0
1963,5938.0,6667.0,12694.0,-1.0,-1.0,-1.0,4167.0,6824.0,7654.0,11300.0,4632.0,-1.0,-1.0,-1.0,19977.0,-1.0,7271.0,11197.0,5219.0,30808.0,4642.0,-1.0,-1.0,7916.0,8864.0,4507.0,-1.0,2615.0,-1.0,8000.0,-1.0,-1.0,39604.0,-1.0,23410.0,26129.0,15784.0,9167.0,9000.0,7866.0,-1.0,-1.0,-1.0,9205.0,16408.0,9375.0,10938.0,5135.0,-1.0,2250.0,-1.0,5329.0,25000.0,7385.0,-1.0,-1.0,6297.0,-1.0,10000.0,8864.0,17616.0,6306.0,-1.0,-1.0,10938.0,-1.0,12927.0,9860.0,29083.0
1964,7000.0,6667.0,11925.0,-1.0,-1.0,-1.0,5000.0,16808.0,7841.0,11595.0,3666.0,-1.0,-1.0,-1.0,24466.0,-1.0,8643.0,7232.0,4772.0,35123.0,10663.0,-1.0,-1.0,9572.0,9010.0,4507.0,-1.0,9211.0,-1.0,8125.0,-1.0,-1.0,39204.0,-1.0,22868.0,30592.0,12553.0,9600.0,9077.0,7973.0,-1.0,-1.0,-1.0,8915.0,20344.0,11110.0,11719.0,4650.0,-1.0,2667.0,-1.0,4711.0,25000.0,7500.0,-1.0,-1.0,5189.0,-1.0,10000.0,9010.0,13609.0,6705.0,-1.0,-1.0,11719.0,-1.0,11579.0,8787.0,24166.0
1965,7488.0,6667.0,10272.0,-1.0,-1.0,-1.0,6522.0,20282.0,7871.0,10222.0,4381.0,-1.0,-1.0,-1.0,22422.0,-1.0,9798.0,10567.0,8220.0,21497.0,11032.0,-1.0,-1.0,5184.0,11188.0,4514.0,-1.0,6734.0,-1.0,8974.0,-1.0,-1.0,38915.0,-1.0,25360.0,30829.0,19664.0,9600.0,10000.0,8060.0,-1.0,-1.0,-1.0,8689.0,18907.0,14102.0,11672.0,8714.0,-1.0,2667.0,-1.0,3780.0,25000.0,7273.0,-1.0,-1.0,6393.0,-1.0,10000.0,11188.0,16647.0,6775.0,-1.0,-1.0,11672.0,-1.0,12857.0,10633.0,23573.0
1966,7065.0,7021.0,9746.0,-1.0,-1.0,-1.0,4651.0,-1.0,7617.0,10164.0,4483.0,-1.0,-1.0,-1.0,10000.0,-1.0,11174.0,10526.0,10399.0,24177.0,11343.0,-1.0,-1.0,9489.0,12621.0,4516.0,-1.0,6406.0,-1.0,5901.0,-1.0,-1.0,39339.0,-1.0,25578.0,30796.0,12670.0,10577.0,10498.0,8100.0,-1.0,-1.0,-1.0,9385.0,21687.0,14286.0,9032.0,3300.0,-1.0,3015.0,-1.0,4588.0,25256.0,7417.0,-1.0,-1.0,5845.0,-1.0,10323.0,12621.0,17986.0,5587.0,-1.0,-1.0,9032.0,-1.0,12286.0,9861.0,25799.0
1967,7000.0,6944.0,9942.0,-1.0,-1.0,-1.0,3922.0,-1.0,7694.0,11966.0,4775.0,-1.0,-1.0,-1.0,26667.0,-1.0,11355.0,10342.0,9351.0,28393.0,9643.0,-1.0,-1.0,7363.0,6238.0,4554.0,-1.0,6533.0,-1.0,6500.0,-1.0,-1.0,34395.0,-1.0,28401.0,32938.0,16314.0,10566.0,15468.0,8312.0,-1.0,-1.0,-1.0,10201.0,14927.0,15967.0,9032.0,3333.0,-1.0,3020.0,-1.0,6020.0,25000.0,7500.0,-1.0,-1.0,5881.0,-1.0,10313.0,6238.0,18901.0,24885.0,-1.0,-1.0,9032.0,-1.0,12286.0,10544.0,28404.0
1968,5952.0,6734.0,8891.0,-1.0,-1.0,-1.0,5000.0,-1.0,8148.0,8353.0,4472.0,-1.0,-1.0,-1.0,38186.0,-1.0,9209.0,11630.0,5511.0,22487.0,11613.0,-1.0,-1.0,9569.0,4950.0,4561.0,-1.0,5989.0,-1.0,14847.0,-1.0,-1.0,36111.0,-1.0,29620.0,29061.0,13294.0,10545.0,11004.0,7898.0,-1.0,-1.0,-1.0,10985.0,21808.0,13497.0,8065.0,4340.0,-1.0,2878.0,-1.0,6202.0,25000.0,7438.0,-1.0,-1.0,5956.0,-1.0,10625.0,4950.0,18910.0,7385.0,-1.0,-1.0,8065.0,-1.0,13030.0,8663.0,27426.0
1969,6005.0,4000.0,9359.0,-1.0,-1.0,-1.0,5909.0,-1.0,8323.0,12406.0,4637.0,-1.0,-1.0,-1.0,29007.0,-1.0,10607.0,10532.0,9100.0,23190.0,11299.0,-1.0,-1.0,9231.0,4653.0,4351.0,-1.0,6050.0,-1.0,9299.0,-1.0,-1.0,35172.0,-1.0,27334.0,30663.0,15698.0,10727.0,9072.0,5688.0,-1.0,-1.0,-1.0,9915.0,20934.0,12420.0,8000.0,4000.0,-1.0,3023.0,-1.0,5136.0,25000.0,6536.0,-1.0,-1.0,5286.0,-1.0,10938.0,4653.0,19936.0,3855.0,-1.0,-1.0,8000.0,-1.0,12857.0,10956.0,30138.0
1970,6011.0,8947.0,8798.0,-1.0,-1.0,-1.0,5581.0,-1.0,8645.0,10834.0,4338.0,-1.0,-1.0,-1.0,37198.0,-1.0,12696.0,11301.0,8263.0,20408.0,11429.0,-1.0,-1.0,9692.0,5743.0,4693.0,-1.0,5883.0,-1.0,10492.0,-1.0,-1.0,30476.0,-1.0,28919.0,32794.0,18320.0,10714.0,10302.0,5785.0,-1.0,-1.0,-1.0,10480.0,21913.0,15525.0,8710.0,3600.0,-1.0,2525.0,-1.0,5873.0,26720.0,8009.0,-1.0,-1.0,6252.0,-1.0,11076.0,5743.0,20232.0,4465.0,-1.0,-1.0,8710.0,-1.0,13448.0,10392.0,25203.0
