,"China, mainland",China
1961,620000.0,620000.0
1962,620000.0,620000.0
1963,630000.0,630000.0
1964,630000.0,630000.0
1965,640000.0,640000.0
1966,640000.0,640000.0
1967,650000.0,650000.0
1968,650000.0,650000.0
1969,660000.0,660000.0
1970,660000.0,660000.0
1971,670000.0,670000.0
1972,670000.0,670000.0
1973,680000.0,680000.0
1974,680000.0,680000.0
1975,690000.0,690000.0
1976,690000.0,690000.0
1977,710000.0,710000.0
1978,730000.0,730000.0
1979,740000.0,740000.0
1980,740000.0,740000.0
1981,732000.0,732000.0
1982,760000.0,760000.0
1983,732000.0,732000.0
1984,770000.0,770000.0
1985,777000.0,777000.0
1986,738000.0,738000.0
1987,680000.0,680000.0
1988,760000.0,760000.0
1989,763000.0,763000.0
1990,770000.0,770000.0
1991,775000.0,775000.0
1992,770000.0,770000.0
1993,780000.0,780000.0
1994,795000.0,795000.0
1995,780000.0,780000.0
1996,785000.0,785000.0
1997,790000.0,790000.0
1998,800000.0,800000.0
1999,810295.0,810295.0
2000,820000.0,820000.0
2001,835000.0,835000.0
2002,850000.0,850000.0
2003,865000.0,865000.0
2004,870000.0,870000.0
2005,890000.0,890000.0
2006,900000.0,900000.0
2007,920000.0,920000.0
2008,950000.0,950000.0
2009,965000.0,965000.0
2010,957260.0,957260.0
2011,950000.0,950000.0
2012,985000.0,985000.0
2013,995000.0,995000.0
2014,992000.0,992000.0
