,Seychelles,Burundi,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Myanmar,Zambia,Malaysia,Cameroon,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Japan,Zimbabwe,Bangladesh,Republic of Korea,Melanesia,Papua New Guinea,Rwanda,Guatemala,Iran (Islamic Republic of),Democratic Republic of the Congo,Mauritius,Madagascar,Argentina,Uganda,Georgia,India,El Salvador,Ethiopia PDR,Malawi,Sri Lanka,USSR,Azerbaijan,Panama,China,Colombia,United Republic of Tanzania,Viet Nam,Ecuador,Montenegro,South Africa,Réunion,Portugal,Thailand,Kenya,"China, mainland",Russian Federation,Mali,Turkey
1961,10.0,-1.0,100.0,1239.0,18064.0,8100.0,5200.0,-1.0,2635.0,83.0,5000.0,-1.0,-1.0,-1.0,77100.0,81527.0,1100.0,26542.0,50.0,10.0,10.0,160.0,-1.0,10922.0,7000.0,1274.0,-1.0,6486.0,5100.0,-1.0,354397.0,-1.0,-1.0,14288.0,206488.0,39592.0,-1.0,-1.0,97064.0,-1.0,4459.0,7500.0,40.0,-1.0,2000.0,100.0,128.0,-1.0,12641.0,79000.0,-1.0,-1.0,5450.0
1962,10.0,-1.0,100.0,1212.0,19753.0,8100.0,5200.0,-1.0,2839.0,136.0,5044.0,-1.0,-1.0,-1.0,80400.0,77608.0,1300.0,23387.0,50.0,10.0,10.0,210.0,-1.0,11934.0,8000.0,1270.0,-1.0,5828.0,6319.0,-1.0,346736.0,-1.0,-1.0,13336.0,211850.0,43831.0,-1.0,-1.0,93753.0,-1.0,4310.0,7500.0,40.0,-1.0,2000.0,100.0,250.0,-1.0,16428.0,74000.0,-1.0,-1.0,8259.0
1963,13.0,-1.0,110.0,1220.0,21104.0,8600.0,5300.0,-1.0,2731.0,242.0,6133.0,-1.0,-1.0,-1.0,75600.0,81239.0,1223.0,24599.0,50.0,10.0,10.0,300.0,-1.0,12479.0,8500.0,1418.0,-1.0,11205.0,6170.0,-1.0,346413.0,-1.0,-1.0,11929.0,219798.0,47922.0,-1.0,-1.0,105104.0,-1.0,5019.0,8000.0,40.0,-1.0,2000.0,100.0,300.0,-1.0,18082.0,84000.0,-1.0,-1.0,10100.0
1964,13.0,-1.0,115.0,1290.0,18306.0,9005.0,8600.0,-1.0,3108.0,341.0,6231.0,-1.0,-1.0,-1.0,74400.0,83427.0,1392.0,28233.0,70.0,10.0,10.0,320.0,-1.0,10450.0,7000.0,1382.0,-1.0,12519.0,7615.0,-1.0,372486.0,-1.0,-1.0,12383.0,218513.0,47457.0,-1.0,-1.0,110306.0,-1.0,4812.0,9000.0,45.0,-1.0,2000.0,100.0,300.0,-1.0,20241.0,92000.0,-1.0,-1.0,10035.0
1965,15.0,-1.0,120.0,1365.0,20730.0,10746.0,10500.0,-1.0,3351.0,517.0,6228.0,-1.0,-1.0,-1.0,79800.0,77571.0,1608.0,26592.0,70.0,15.0,15.0,340.0,-1.0,12608.0,8500.0,1738.0,-1.0,13838.0,8366.0,-1.0,366374.0,-1.0,-1.0,12973.0,228236.0,48265.0,-1.0,-1.0,121330.0,-1.0,5682.0,10600.0,50.0,-1.0,2000.0,110.0,300.0,-1.0,19823.0,100600.0,-1.0,-1.0,13000.0
1966,15.0,-1.0,130.0,1700.0,21510.0,13983.0,11100.0,-1.0,3446.0,650.0,3365.0,-1.0,-1.0,-1.0,71700.0,83290.0,2268.0,28600.0,80.0,15.0,15.0,348.0,-1.0,12000.0,10000.0,1976.0,-1.0,18799.0,11215.0,-1.0,375983.0,-1.0,-1.0,15377.0,222312.0,58359.0,-1.0,-1.0,127510.0,-1.0,6911.0,12000.0,50.0,-1.0,2000.0,110.0,350.0,-1.0,25419.0,106000.0,-1.0,-1.0,23000.0
1967,17.0,18.0,128.0,1695.0,24403.0,14419.0,11300.0,-1.0,3095.0,750.0,3512.0,-1.0,-1.0,-1.0,76020.0,85284.0,2896.0,29300.0,80.0,39.0,39.0,430.0,-1.0,16000.0,5000.0,2190.0,-1.0,17400.0,11242.0,-1.0,384759.0,-1.0,-1.0,16828.0,220742.0,57477.0,-1.0,-1.0,137403.0,-1.0,7399.0,9000.0,50.0,-1.0,2000.0,110.0,400.0,-1.0,22812.0,113000.0,-1.0,-1.0,21786.0
1968,19.0,79.0,176.0,1875.0,24418.0,14250.0,10900.0,-1.0,3468.0,1071.0,3854.0,-1.0,-1.0,-1.0,75574.0,85112.0,3008.0,28500.0,100.0,74.0,74.0,830.0,-1.0,20000.0,8000.0,2310.0,-1.0,18600.0,15163.0,-1.0,402489.0,-1.0,-1.0,15830.0,224803.0,56105.0,-1.0,-1.0,142418.0,-1.0,8292.0,13500.0,100.0,-1.0,2000.0,120.0,500.0,-1.0,29764.0,118000.0,-1.0,-1.0,27557.0
1969,21.0,92.0,225.0,2175.0,26248.0,16054.0,10900.0,-1.0,3488.0,978.0,4586.0,-1.0,-1.0,-1.0,71570.0,89804.0,3630.0,30318.0,150.0,330.0,330.0,976.0,-1.0,19000.0,7859.0,3197.0,-1.0,21700.0,17627.0,-1.0,393588.0,-1.0,-1.0,16919.0,219639.0,59927.0,-1.0,-1.0,148248.0,-1.0,8800.0,14000.0,200.0,-1.0,2000.0,150.0,400.0,-1.0,36060.0,122000.0,-1.0,-1.0,34373.0
1970,23.0,147.0,500.0,1808.0,27468.0,16972.0,10900.0,-1.0,3381.0,1028.0,5848.0,-1.0,-1.0,-1.0,64166.0,91398.0,3945.0,31295.0,276.0,749.0,749.0,1245.0,-1.0,19500.0,7301.0,3240.0,-1.0,25800.0,18200.0,-1.0,418517.0,-1.0,-1.0,18733.0,212210.0,66812.0,-1.0,-1.0,163468.0,-1.0,8492.0,14700.0,300.0,-1.0,800.0,195.0,300.0,-1.0,41077.0,136000.0,-1.0,-1.0,33431.0
1971,25.0,325.0,627.0,2408.0,26984.0,16536.0,11000.0,-1.0,3325.0,1110.0,6547.0,-1.0,-1.0,-1.0,60922.0,93111.0,4269.0,12007.0,270.0,1211.0,1211.0,1819.0,-1.0,16000.0,7500.0,4089.0,-1.0,29900.0,18000.0,-1.0,435468.0,-1.0,-1.0,18597.0,217773.0,68649.0,-1.0,-1.0,179984.0,-1.0,9182.0,15500.0,400.0,-1.0,1500.0,195.0,300.0,-1.0,36290.0,153000.0,-1.0,-1.0,33585.0
1972,27.0,487.0,580.0,2581.0,26229.0,18678.0,11600.0,-1.0,3365.0,1296.0,6568.0,-1.0,-1.0,-1.0,59924.0,95072.0,5202.0,24068.0,245.0,2195.0,2195.0,2396.0,40.0,22000.0,7600.0,4678.0,-1.0,30500.0,23400.0,-1.0,455996.0,-1.0,-1.0,20684.0,208858.0,71320.0,-1.0,-1.0,196229.0,-1.0,11613.0,15000.0,600.0,-1.0,2000.0,195.0,400.0,50.0,53322.0,170000.0,-1.0,-1.0,46500.0
1973,29.0,656.0,570.0,2464.0,28639.0,18795.0,14100.0,-1.0,3462.0,1471.0,6471.0,-1.0,-1.0,-1.0,67584.0,101181.0,4565.0,27216.0,168.0,3025.0,3025.0,2803.0,50.0,23000.0,7100.0,4079.0,-1.0,29900.0,22000.0,-1.0,471952.0,-1.0,-1.0,23600.0,211285.0,74823.0,-1.0,-1.0,210639.0,-1.0,13291.0,15000.0,975.0,-1.0,2500.0,200.0,300.0,100.0,56578.0,182000.0,-1.0,-1.0,43202.0
1974,36.0,829.0,570.0,2817.0,24173.0,17639.0,14000.0,24.0,3237.0,935.0,6445.0,-1.0,254.0,-1.0,65017.0,95238.0,5893.0,32169.0,232.0,4155.0,4155.0,3432.0,60.0,24000.0,6700.0,3984.0,30.0,32600.0,22000.0,-1.0,489475.0,-1.0,-1.0,23405.0,204037.0,80826.0,-1.0,-1.0,222173.0,-1.0,12258.0,17000.0,1200.0,-1.0,3000.0,200.0,300.0,150.0,53440.0,198000.0,-1.0,60.0,42781.0
1975,45.0,819.0,650.0,2988.0,26092.0,13143.0,14000.0,68.0,3066.0,1572.0,7681.0,-1.0,366.0,-1.0,70089.0,105448.0,6884.0,29388.0,200.0,4714.0,4714.0,3995.0,100.0,18000.0,6700.0,3139.0,60.0,38400.0,18400.0,-1.0,487137.0,-1.0,-1.0,26238.0,213928.0,86314.0,-1.0,-1.0,237092.0,-1.0,13873.0,18000.0,1012.0,-1.0,2836.0,210.0,260.0,150.0,56730.0,211000.0,-1.0,80.0,55572.0
1976,45.0,1278.0,1130.0,3179.0,24758.0,13825.0,14000.0,10.0,3206.0,1003.0,7820.0,61.0,395.0,-1.0,73765.0,100097.0,5983.0,34097.0,200.0,4984.0,4984.0,4976.0,130.0,19800.0,6800.0,4334.0,80.0,30900.0,15400.0,-1.0,511817.0,-1.0,15.0,28307.0,196606.0,91949.0,-1.0,-1.0,258258.0,-1.0,13049.0,17251.0,1400.0,-1.0,3459.0,210.0,242.0,200.0,61984.0,233500.0,-1.0,80.0,59547.0
1977,43.0,1457.0,1100.0,2976.0,26303.0,17000.0,14800.0,82.0,3542.0,1730.0,7741.0,65.0,413.0,-1.0,82928.0,102301.0,6171.0,37022.0,200.0,6500.0,6500.0,5356.0,60.0,26100.0,6700.0,4727.0,100.0,39060.0,15200.0,-1.0,556267.0,-1.0,27.0,31628.0,208572.0,106355.0,-1.0,-1.0,278403.0,-1.0,18450.0,18299.0,1306.0,-1.0,3459.0,220.0,267.0,400.0,86291.0,252100.0,-1.0,90.0,77592.0
1978,43.0,1431.0,1455.0,2347.0,25854.0,18069.0,14300.0,144.0,3451.0,1800.0,9196.0,63.0,326.0,-1.0,92110.0,104738.0,8630.0,38305.0,200.0,6319.0,6319.0,5342.0,70.0,27000.0,6700.0,5186.0,120.0,23947.0,10900.0,-1.0,563846.0,-1.0,38.0,31690.0,198780.0,111230.0,-1.0,-1.0,293854.0,-1.0,17009.0,20040.0,1700.0,-1.0,4561.0,220.0,318.0,600.0,93373.0,268000.0,-1.0,100.0,86206.0
1979,46.0,1612.0,1566.0,2602.0,27055.0,18900.0,12400.0,249.0,3171.0,2107.0,9398.0,68.0,387.0,-1.0,97217.0,98000.0,9791.0,36610.0,200.0,8034.0,8034.0,5670.0,110.0,30600.0,6000.0,5072.0,150.0,29062.0,1800.0,-1.0,543776.0,-1.0,59.0,32609.0,208417.0,117600.0,-1.0,-1.0,304155.0,-1.0,17307.0,20297.0,1456.0,-1.0,5025.0,250.0,319.0,700.0,99275.0,277100.0,-1.0,110.0,101955.0
1980,42.0,1454.0,1440.0,2112.0,24479.0,19500.0,12600.0,314.0,3281.0,1882.0,9707.0,290.0,535.0,-1.0,106175.0,102300.0,9661.0,39708.0,200.0,8361.0,8361.0,6627.0,100.0,32200.0,6100.0,4386.0,200.0,35572.0,1500.0,-1.0,569550.0,-1.0,81.0,29915.0,191375.0,129850.0,-1.0,-1.0,328479.0,-1.0,16418.0,21014.0,1457.0,-1.0,12000.0,270.0,225.0,800.0,89893.0,304000.0,-1.0,64.0,95889.0
1981,43.0,2271.0,640.0,2031.0,25223.0,22190.0,12800.0,363.0,3438.0,2131.0,10081.0,110.0,625.0,-1.0,109135.0,102300.0,9916.0,38772.0,200.0,8691.0,8691.0,6846.0,130.0,33100.0,4810.0,5052.0,220.0,22785.0,1700.0,-1.0,559583.0,-1.0,115.0,31965.0,210148.0,136500.0,-1.0,-1.0,368223.0,-1.0,15537.0,21178.0,1653.0,-1.0,5500.0,290.0,190.0,1000.0,90941.0,343000.0,-1.0,98.0,42606.0
1982,37.0,2178.0,480.0,1758.0,24051.0,21000.0,13800.0,402.0,3188.0,1800.0,11272.0,115.0,714.0,-1.0,92732.0,98500.0,10602.0,40937.0,200.0,8487.0,8487.0,7100.0,100.0,35265.0,4481.0,5287.0,220.0,33015.0,2580.0,-1.0,560732.0,-1.0,162.0,38484.0,187816.0,140400.0,-1.0,-1.0,421051.0,-1.0,17551.0,25378.0,1653.0,-1.0,6631.0,290.0,169.0,1500.0,95600.0,397000.0,-1.0,76.0,68038.0
1983,131.0,2334.0,200.0,1676.0,24308.0,15000.0,19000.0,444.0,3328.0,2104.0,9196.0,133.0,827.0,-1.0,110317.0,102700.0,10551.0,42202.0,300.0,10193.0,10193.0,6670.0,130.0,36258.0,4748.0,6142.0,220.0,40804.0,3054.0,-1.0,581484.0,-1.0,209.0,32011.0,179287.0,145500.0,-1.0,-1.0,424858.0,-1.0,15195.0,24609.0,520.0,-1.0,7097.0,300.0,231.0,2000.0,119300.0,400550.0,-1.0,80.0,100982.0
