,USSR,Burkina Faso,Syrian Arab Republic,Bahrain,Fiji,Australia,Panama,The former Yugoslav Republic of Macedonia,Slovakia,Thailand,Belize,Ethiopia,Kenya,Guyana,Romania,Serbia,Lao People's Democratic Republic,Lebanon,Yemen,Tunisia,Albania,Paraguay,Niger,Australia & New Zealand,Democratic People's Republic of Korea,Slovenia,El Salvador,Montenegro,Argentina,Colombia,Spain,India,Jamaica,Ecuador,Indonesia,Republic of Moldova,Canada,Jordan,Belgium-Luxembourg,South Sudan,Egypt,Melanesia,Malaysia,Greece,Czechoslovakia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,United Arab Emirates,Hungary,Dominican Republic,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,"China, mainland",French Polynesia,Madagascar,Cyprus,Peru,Rwanda,New Zealand,Cameroon,Netherlands,Guatemala,Saint Kitts and Nevis,Cuba,Austria,Puerto Rico,United States of America,Bhutan,Philippines,Iraq,Libya,United Republic of Tanzania,Belgium,Nepal,Czechia,Costa Rica,Italy,Qatar,Senegal,Germany,Benin,Montserrat,Uzbekistan,China,Finland,Serbia and Montenegro,Sudan (former),Morocco,Antigua and Barbuda,Chile,Honduras,Uruguay,Zimbabwe,Ireland,Algeria,"China, Taiwan Province of",Israel,Japan,Maldives,Switzerland,Namibia,Trinidad and Tobago,Georgia,United Kingdom,Azerbaijan,Mauritius,Oman,Bosnia and Herzegovina,Barbados,Turkey,Portugal,Bolivia (Plurinational State of),Sudan,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Djibouti,Brunei Darussalam,Mexico,Cook Islands,Ukraine,Kuwait,South Africa,Guadeloupe,Sri Lanka,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Occupied Palestinian Territory
1961,70000.0,,10000.0,,-1.0,,800.0,,,6000.0,-1.0,,-1.0,-1.0,104000.0,,-1.0,-1.0,,45500.0,-1.0,10000.0,-1.0,,18000.0,,1000.0,,59000.0,3600.0,356700.0,17000.0,610.0,1955.0,90000.0,,4489.0,5563.0,,,54000.0,0.0,-1.0,14678.0,21094.0,2830.0,37118.0,,388000.0,,,146432.0,3491.0,,141000.0,-1.0,,46000.0,3120000.0,5.0,-1.0,300.0,13150.0,-1.0,,,,2000.0,-1.0,10000.0,5257.0,3248.0,180937.0,,3800.0,6000.0,1900.0,-1.0,,-1.0,,-1.0,231100.0,,,-1.0,8000.0,30.0,,3120500.0,-1.0,,2600.0,26000.0,,19000.0,-1.0,3262.0,-1.0,,,500.0,11500.0,21000.0,1.0,-1.0,-1.0,250.0,,,,200.0,-1.0,,,240000.0,500.0,3000.0,,15.0,6900.0,7.0,-1.0,96798.0,,,-1.0,-1.0,,11000.0,12000.0,5.0,,208836.0,-1.0
1962,72000.0,,10000.0,,-1.0,,900.0,,,6100.0,-1.0,,-1.0,-1.0,104000.0,,-1.0,-1.0,,50100.0,-1.0,10500.0,-1.0,,20000.0,,1000.0,,59900.0,3800.0,333500.0,17200.0,635.0,2300.0,90000.0,,4616.0,11297.0,,,62000.0,0.0,-1.0,15695.0,20866.0,4920.0,34960.0,,398000.0,,,134101.0,3494.0,,162000.0,-1.0,,49000.0,2385000.0,5.0,-1.0,300.0,12100.0,-1.0,,,,2000.0,-1.0,10000.0,5446.0,3701.0,168509.0,,4000.0,6000.0,2300.0,-1.0,,-1.0,,-1.0,240600.0,,,-1.0,8300.0,30.0,,2385800.0,-1.0,,2600.0,27000.0,,19000.0,-1.0,3000.0,-1.0,,,800.0,12000.0,21000.0,1.0,-1.0,-1.0,300.0,,,,300.0,-1.0,,,250000.0,500.0,3000.0,,15.0,7000.0,7.0,-1.0,109206.0,,,-1.0,-1.0,,12000.0,12000.0,5.0,,201496.0,-1.0
1963,74000.0,,10000.0,,-1.0,,1000.0,,,6200.0,-1.0,,-1.0,-1.0,138000.0,,-1.0,-1.0,,51500.0,-1.0,10800.0,-1.0,,19000.0,,1100.0,,48450.0,4000.0,402700.0,17300.0,635.0,2314.0,121000.0,,6064.0,9844.0,,,68000.0,0.0,-1.0,17894.0,29060.0,5900.0,33805.0,,407000.0,,,232069.0,3599.0,,187000.0,-1.0,,52000.0,2130000.0,5.0,-1.0,310.0,11610.0,-1.0,,,,2100.0,-1.0,10000.0,7222.0,3515.0,180756.0,,4200.0,6160.0,2400.0,-1.0,,-1.0,,-1.0,298300.0,,,-1.0,8500.0,30.0,,2131000.0,-1.0,,2800.0,28000.0,3.0,19100.0,-1.0,3000.0,-1.0,,,1000.0,11600.0,22500.0,1.0,-1.0,-1.0,331.0,,,,300.0,-1.0,,,255000.0,500.0,3000.0,,15.0,7100.0,7.0,-1.0,122701.0,,,-1.0,-1.0,,13000.0,13000.0,5.0,,206531.0,-1.0
1964,76000.0,,10100.0,,-1.0,,1000.0,,,6300.0,-1.0,,-1.0,-1.0,115400.0,,-1.0,-1.0,,48600.0,-1.0,11300.0,-1.0,,20000.0,,1100.0,,61050.0,4200.0,367300.0,19000.0,680.0,3180.0,127000.0,,3216.0,11825.0,,,68000.0,0.0,-1.0,19683.0,29054.0,6310.0,46786.0,,418000.0,,,146094.0,4352.0,,186000.0,-1.0,,55000.0,1900000.0,6.0,-1.0,330.0,12901.0,-1.0,,,,2100.0,-1.0,10000.0,6383.0,3833.0,175721.0,,4400.0,8480.0,1900.0,-1.0,,-1.0,,-1.0,323400.0,,,-1.0,9000.0,30.0,,1901741.0,-1.0,,2800.0,21000.0,5.0,19200.0,-1.0,3000.0,-1.0,,,1741.0,14200.0,24000.0,1.0,-1.0,-1.0,358.0,,,,250.0,-1.0,,,265000.0,500.0,3000.0,,15.0,7300.0,7.0,-1.0,133619.0,,,-1.0,-1.0,,16243.0,13000.0,6.0,,221265.0,-1.0
1965,78000.0,,9881.0,,-1.0,,1100.0,,,6400.0,-1.0,,-1.0,-1.0,107700.0,,-1.0,-1.0,,56000.0,-1.0,11700.0,-1.0,,20000.0,,1100.0,,73800.0,4400.0,383000.0,19200.0,794.0,2542.0,155000.0,,2855.0,12929.0,,,69000.0,0.0,-1.0,22976.0,13347.0,7970.0,46316.0,,427000.0,,,128780.0,4888.0,,170000.0,-1.0,,57000.0,2000000.0,6.0,-1.0,356.0,12687.0,-1.0,,,,2177.0,-1.0,11582.0,4220.0,4241.0,176492.0,,4600.0,10688.0,2500.0,-1.0,,-1.0,,-1.0,315600.0,,,-1.0,9300.0,30.0,,2002362.0,-1.0,,3000.0,26000.0,8.0,19400.0,-1.0,3000.0,-1.0,,,2362.0,12500.0,52600.0,1.0,-1.0,-1.0,420.0,,,,302.0,-1.0,,,273000.0,500.0,3000.0,,20.0,7500.0,7.0,-1.0,134440.0,,,-1.0,-1.0,,20231.0,14000.0,6.0,,191250.0,-1.0
1966,80000.0,,11443.0,,-1.0,,1100.0,,,6600.0,-1.0,,-1.0,-1.0,150900.0,,-1.0,-1.0,,67000.0,-1.0,12000.0,-1.0,,20000.0,,1150.0,,67500.0,4600.0,361700.0,19800.0,794.0,2414.0,170000.0,,2689.0,9000.0,,,87131.0,0.0,-1.0,24167.0,22663.0,8690.0,67039.0,,438000.0,,,197073.0,8071.0,,230000.0,-1.0,,60000.0,2000000.0,6.0,-1.0,457.0,16486.0,-1.0,,,,2268.0,-1.0,12761.0,14092.0,4309.0,182525.0,,4800.0,10361.0,1800.0,-1.0,,-1.0,,-1.0,360600.0,,,-1.0,9500.0,30.0,,2002977.0,-1.0,,3100.0,31000.0,10.0,19500.0,-1.0,3226.0,-1.0,,1500.0,2977.0,16800.0,76800.0,1.0,-1.0,-1.0,407.0,,,,334.0,-1.0,,,255000.0,500.0,3500.0,,20.0,7897.0,7.0,-1.0,167129.0,,,-1.0,-1.0,,19367.0,14000.0,6.0,,261000.0,-1.0
1967,82000.0,,14784.0,,-1.0,,1400.0,,,6800.0,-1.0,,-1.0,-1.0,159300.0,,-1.0,-1.0,,55400.0,-1.0,12600.0,-1.0,,21000.0,,1200.0,,75390.0,4800.0,384100.0,20150.0,794.0,1699.0,170000.0,,6324.0,8564.0,,,95371.0,0.0,-1.0,23192.0,32514.0,9940.0,66826.0,,450000.0,,20.0,202954.0,8659.0,,238000.0,-1.0,,65000.0,2030000.0,7.0,-1.0,610.0,17223.0,-1.0,,,,2300.0,-1.0,21017.0,18449.0,4173.0,196314.0,,4800.0,11715.0,2000.0,-1.0,,-1.0,,-1.0,375100.0,,,-1.0,9500.0,80.0,,2033530.0,-1.0,,3200.0,30000.0,14.0,19600.0,-1.0,3400.0,-1.0,,3000.0,3530.0,17250.0,81600.0,3.0,-1.0,-1.0,401.0,,,,431.0,-1.0,,,255000.0,500.0,3500.0,,20.0,8055.0,7.0,-1.0,199522.0,,,-1.0,-1.0,,28916.0,15000.0,7.0,,265795.0,-1.0
1968,84000.0,,14725.0,,-1.0,,1800.0,,,7000.0,-1.0,,-1.0,-1.0,170800.0,,-1.0,-1.0,,53000.0,-1.0,13000.0,-1.0,,22000.0,,1300.0,,72450.0,5000.0,392200.0,20200.0,771.0,1837.0,175500.0,,7357.0,6386.0,,,112000.0,0.0,-1.0,24881.0,27077.0,12390.0,84171.0,,461000.0,,20.0,178990.0,9046.0,,233000.0,-1.0,,65000.0,2080000.0,7.0,-1.0,864.0,16031.0,-1.0,,,,2576.0,-1.0,19894.0,19161.0,3493.0,222985.0,,5000.0,10995.0,2200.0,-1.0,,-1.0,,-1.0,395400.0,,,-1.0,9700.0,60.0,,2085245.0,-1.0,,3200.0,26000.0,18.0,19700.0,-1.0,3500.0,-1.0,,6000.0,5245.0,24700.0,95600.0,1.0,-1.0,-1.0,422.0,,,,463.0,-1.0,,,254808.0,500.0,4000.0,,25.0,7738.0,7.0,-1.0,191721.0,,,-1.0,-1.0,,24108.0,15000.0,7.0,,281607.0,-1.0
1969,86000.0,,10985.0,,-1.0,,1400.0,,,7200.0,-1.0,,-1.0,-1.0,139500.0,,-1.0,-1.0,,85000.0,-1.0,13500.0,-1.0,,23000.0,,1311.0,,85060.0,5200.0,372100.0,20800.0,771.0,2000.0,189000.0,,7990.0,3937.0,,,140000.0,0.0,-1.0,26643.0,30356.0,12640.0,62473.0,,472000.0,,25.0,180551.0,10167.0,,246120.0,-1.0,,75000.0,2100000.0,8.0,-1.0,813.0,17040.0,-1.0,,,,2400.0,-1.0,12027.0,20193.0,4400.0,197811.0,,5200.0,11801.0,2200.0,-1.0,,-1.0,,-1.0,417000.0,,,-1.0,10000.0,30.0,,2105757.0,-1.0,,3300.0,27000.0,20.0,19800.0,-1.0,3600.0,-1.0,,10000.0,5757.0,27000.0,103700.0,2.0,-1.0,-1.0,389.0,,,,617.0,-1.0,,,290151.0,600.0,4000.0,,30.0,7281.0,7.0,-1.0,178384.0,,,-1.0,-1.0,,19812.0,16000.0,8.0,,243098.0,-1.0
1970,88000.0,,11920.0,,-1.0,,700.0,,,7400.0,-1.0,,-1.0,-1.0,122600.0,,-1.0,-1.0,,91900.0,-1.0,14000.0,-1.0,,23000.0,,1440.0,,46580.0,5400.0,394500.0,20900.0,496.0,2200.0,190000.0,,5640.0,5775.0,,,121000.0,0.0,-1.0,27684.0,29100.0,17140.0,53484.0,,484000.0,,30.0,141180.0,11304.0,,260136.0,-1.0,,94500.0,1470000.0,8.0,-1.0,457.0,19030.0,-1.0,,,,2300.0,-1.0,11534.0,20056.0,3175.0,175630.0,,5300.0,10518.0,2200.0,-1.0,,-1.0,,-1.0,423900.0,,,-1.0,10000.0,42.0,,1476910.0,-1.0,,3300.0,27000.0,25.0,19900.0,-1.0,3702.0,-1.0,,14000.0,6910.0,29800.0,127700.0,2.0,-1.0,-1.0,403.0,,,,390.0,-1.0,,,307000.0,600.0,4000.0,,30.0,6851.0,7.0,-1.0,190835.0,,,-1.0,-1.0,,32198.0,16000.0,8.0,,255678.0,-1.0
