,Slovakia,USSR,Poland,Belarus,Denmark,Cameroon,Kyrgyzstan,Georgia,Greece,Azerbaijan,France,Republic of Moldova,Italy,Slovenia,Hungary,Turkey,Tajikistan,Portugal,Tunisia,Iran (Islamic Republic of),Uzbekistan,China,United States of America,Armenia,"China, mainland",Chile,Cyprus,Mongolia,Spain,Croatia,Bulgaria,Ukraine,Romania
1961,,,,,,,,,,,,,10528.0,,,3707.0,,12500.0,,20000.0,,,14167.0,,,,4048.0,,6043.0,,,,
1962,,,,,,,,,,,,,10115.0,,,5774.0,,12500.0,,20000.0,,,9695.0,,,,4286.0,,7797.0,,,,
1963,,,,,,,,,,,,,11071.0,,,4139.0,,14000.0,,17143.0,,,9071.0,,,,4536.0,,8403.0,,,,
1964,,,,,,,,,,,,,8912.0,,,8753.0,,14545.0,,18571.0,,,10618.0,,,,3643.0,,7364.0,,,,
1965,,,,,,,,,,,,,11622.0,,,2735.0,,16667.0,,18571.0,,,10272.0,,,,3571.0,,8299.0,,,,
1966,,,,,,,,,,,,,13435.0,,,8164.0,,18571.0,,18571.0,,,16669.0,,,,3961.0,,6583.0,,,,
1967,,,,,,,,,,,,,11212.0,,,3000.0,,18919.0,,18571.0,,,10309.0,,,,3544.0,,6379.0,,,,
1968,,,,,,,,,,,,,14061.0,,,6121.0,,18365.0,,18571.0,,,10657.0,,,,3168.0,,7284.0,,,,
1969,,,,,,,,,,,,,8945.0,,,7592.0,,12934.0,,17143.0,,,10440.0,,,,3312.0,,4918.0,,,,
1970,,,,,,,,,,,,,13059.0,,,11419.0,,8675.0,,17143.0,,,12727.0,,,,16494.0,,8112.0,,,,
1971,,,,,,,,,,,,,13641.0,,,7323.0,,14158.0,,18125.0,,,15350.0,,,,9903.0,,7597.0,,,,
1972,,,,,,,,,,,,,12409.0,,,8122.0,,12350.0,,18750.0,,,13449.0,,,,15174.0,,6940.0,,,,
1973,,,,,,,,,,,,,13148.0,,,10350.0,,12976.0,,15000.0,,,16218.0,,,,14920.0,,5576.0,,,,
1974,,,,,,,,,,,,,15524.0,,,9407.0,,10661.0,,15000.0,,,8886.0,,,,13583.0,,7407.0,,,,
1975,,,,,,,,,,,,,14575.0,,,11997.0,,11151.0,,16250.0,,,15246.0,,,,19037.0,,6849.0,,,,
1976,,,,,,,,,,,,,14012.0,,,9064.0,,12291.0,,17500.0,,,9022.0,,,,20107.0,,8966.0,,,,
1977,,,,,,,,,,,,,12363.0,,,10588.0,,13333.0,,18750.0,,,15035.0,,,,19037.0,,9053.0,,,,
1978,,,,,,,,,,,,,14686.0,,,11120.0,,13333.0,,18750.0,,,17965.0,,,,22761.0,,5683.0,,,,
1979,,,,,,,,,,,,,13317.0,,,10102.0,,13100.0,,14000.0,,,16559.0,,,,18955.0,,10212.0,,,,
1980,,,,,,,,,,,,,14330.0,,,8350.0,,13033.0,,12000.0,,,15697.0,,,,22761.0,,8413.0,,,,
1981,,,,,,,,,,,,,18588.0,,,11771.0,,12968.0,,12500.0,,,14989.0,,,,23507.0,,6501.0,,,,
1982,,,,,,,,,,,,,15936.0,,,7378.0,,13326.0,,15321.0,,,19169.0,,,,26567.0,,5423.0,,,,
1983,,,,,,,,,,,,,19771.0,,,13140.0,,13337.0,,27805.0,,,8631.0,,,,23881.0,,8637.0,,,,
1984,,,,,,,,,,,,,11619.0,,,9980.0,,13337.0,,18108.0,,,13663.0,,,,20896.0,,3640.0,,,,
1985,,12500.0,,,,,,,11610.0,,15385.0,,16843.0,,13862.0,5940.0,,13343.0,,18754.0,,12069.0,23669.0,,12069.0,,18692.0,,8118.0,,,,
1986,,12500.0,,,,,,,18951.0,,16923.0,,15454.0,,13462.0,9861.0,,13336.0,,15175.0,,12037.0,13591.0,,12037.0,,11215.0,,5702.0,,,,
1987,,12647.0,,,,,,,14341.0,,17857.0,,16301.0,,13829.0,8999.0,,13356.0,,14646.0,,12203.0,18946.0,,12203.0,,15888.0,,8030.0,,,,
1988,,12500.0,,,,,,,32708.0,,16875.0,,19153.0,,13600.0,12730.0,,11613.0,,12806.0,,12333.0,13993.0,,12333.0,,9524.0,,6189.0,,,,
1989,,12500.0,,,,,,,15944.0,,22500.0,,18735.0,,13429.0,17628.0,,13333.0,10000.0,11717.0,,12258.0,10621.0,,12258.0,,6190.0,,7988.0,,,,
1990,,12500.0,,,,,,,15117.0,,22531.0,,16222.0,,13840.0,11690.0,,10983.0,10000.0,12765.0,,12308.0,17828.0,,12308.0,,4762.0,,6644.0,,,,
1991,,12571.0,,,,,,,16667.0,,18859.0,,18833.0,,13500.0,10582.0,,10695.0,10000.0,13971.0,,12388.0,20800.0,,12388.0,,9048.0,,5665.0,,2214.0,,
1992,,,,12500.0,,,12500.0,17143.0,15313.0,7647.0,20610.0,13333.0,17301.0,,15600.0,17875.0,12308.0,12000.0,9980.0,15174.0,10000.0,12143.0,22971.0,,12143.0,,9000.0,,9151.0,20000.0,,3475.0,
1993,,,,12885.0,,,12500.0,15385.0,14021.0,7022.0,17400.0,12500.0,13042.0,,13500.0,9857.0,12195.0,12697.0,10000.0,14580.0,9025.0,12414.0,34119.0,,12414.0,,7000.0,,3886.0,22031.0,,4603.0,
1994,,,,13000.0,,,11655.0,20000.0,18200.0,7170.0,18500.0,12177.0,19536.0,,13336.0,15596.0,12002.0,12643.0,10000.0,14444.0,8923.0,13100.0,17247.0,,13100.0,,11000.0,,7870.0,20000.0,,4223.0,
1995,,,,13586.0,,,10585.0,20000.0,18922.0,7059.0,19697.0,11869.0,17236.0,,12784.0,13844.0,11950.0,8540.0,9989.0,13333.0,8000.0,13460.0,31254.0,,13460.0,,5000.0,,6995.0,21932.0,,2760.0,
1996,,,,13884.0,,,9407.0,18750.0,18900.0,6286.0,22000.0,11762.0,17443.0,,15977.0,13639.0,11250.0,8857.0,9992.0,12262.0,8182.0,13942.0,14901.0,,13942.0,,7000.0,,3196.0,22380.0,,1825.0,
1997,,,,14167.0,,,7692.0,18070.0,16916.0,5625.0,20574.0,11563.0,14173.0,,16752.0,12448.0,10667.0,9395.0,9995.0,12308.0,10000.0,15000.0,35971.0,,15000.0,,5000.0,11111.0,7539.0,25000.0,,2100.0,
1998,,,,14420.0,,,5333.0,17934.0,14739.0,5511.0,17390.0,11366.0,18612.0,,22751.0,17465.0,12500.0,6820.0,9998.0,12930.0,9260.0,12353.0,11613.0,,12353.0,,6000.0,12500.0,6159.0,25000.0,,2357.0,
1999,,,,18000.0,,9867.0,5328.0,17608.0,19379.0,7495.0,20454.0,11333.0,17223.0,,20901.0,15678.0,12317.0,11055.0,10000.0,11251.0,9328.0,17143.0,30312.0,,17143.0,,5000.0,11139.0,9929.0,30000.0,,2267.0,
2000,,,,14620.0,,9935.0,4956.0,18235.0,18908.0,7975.0,21850.0,10856.0,14309.0,,20455.0,13703.0,12474.0,10285.0,10003.0,11007.0,9366.0,15000.0,17790.0,,15000.0,,6364.0,10954.0,10686.0,21539.0,,2200.0,
2001,,,,14002.0,,10004.0,7306.0,18159.0,22958.0,9202.0,17079.0,10518.0,17101.0,,16707.0,18092.0,12601.0,9110.0,10006.0,11132.0,9380.0,15714.0,38267.0,,15714.0,,9091.0,10000.0,11854.0,15000.0,,3402.0,
2002,,,,13383.0,,10072.0,7306.0,18246.0,24300.0,9135.0,22616.0,10000.0,17378.0,,14419.0,17128.0,12741.0,9872.0,10000.0,11321.0,9405.0,15000.0,14970.0,,15000.0,,6000.0,11034.0,11855.0,15098.0,,1809.0,
