,Ukraine,Bolivia (Plurinational State of),Peru,Belarus,Croatia,Serbia,India,Armenia,Syrian Arab Republic,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Pakistan,Yugoslav SFR,Belgium,Netherlands,Greece,New Zealand,Guyana,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Morocco,Republic of Moldova,Kyrgyzstan,Cyprus,Argentina,Luxembourg,Georgia,Germany,Austria,Czechoslovakia,Sweden,Switzerland,Mexico,USSR,Romania,Azerbaijan,Spain,Jordan,Bosnia and Herzegovina,China,Tunisia,Uzbekistan,South Africa,Latvia,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Israel,Suriname,Australia,France,Lithuania,Poland,"China, mainland",Russian Federation,Turkey,Norway,Italy,Belgium-Luxembourg
1961,-1.0,15714.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,8438.0,37848.0,-1.0,50985.0,-1.0,60391.0,-1.0,-1.0,-1.0,-1.0,36148.0,80755.0,-1.0,195874.0,60015.0,58772.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18288.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22500.0,-1.0,-1.0,206087.0,-1.0,-1.0,-1.0,-1.0,-1.0,27875.0,-1.0,-1.0,105714.0,-1.0,127273.0,-1.0,-1.0,27273.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59171.0,63965.0,-1.0,-1.0,-1.0,-1.0,44211.0,-1.0,-1.0,113000.0
1962,-1.0,16429.0,-1.0,-1.0,-1.0,-1.0,25833.0,-1.0,9956.0,48996.0,-1.0,50851.0,-1.0,50780.0,-1.0,-1.0,-1.0,-1.0,39946.0,66667.0,-1.0,156162.0,59501.0,61328.0,50820.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15852.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21818.0,-1.0,-1.0,175600.0,-1.0,-1.0,-1.0,-1.0,-1.0,21375.0,-1.0,-1.0,111786.0,-1.0,100000.0,-1.0,-1.0,27273.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59171.0,67346.0,-1.0,-1.0,-1.0,-1.0,34432.0,-1.0,-1.0,153000.0
1963,-1.0,15625.0,-1.0,-1.0,-1.0,-1.0,25600.0,-1.0,7850.0,32768.0,-1.0,50756.0,-1.0,46400.0,-1.0,-1.0,-1.0,-1.0,37444.0,65000.0,-1.0,147654.0,48509.0,36432.0,51613.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16755.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27727.0,-1.0,-1.0,177500.0,-1.0,-1.0,-1.0,-1.0,-1.0,21357.0,-1.0,-1.0,105517.0,-1.0,100000.0,-1.0,-1.0,27273.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47568.0,85623.0,-1.0,-1.0,-1.0,-1.0,36745.0,-1.0,-1.0,103000.0
1964,-1.0,15882.0,-1.0,-1.0,-1.0,-1.0,25385.0,-1.0,14511.0,35308.0,-1.0,50712.0,-1.0,38038.0,-1.0,-1.0,-1.0,-1.0,43835.0,64063.0,-1.0,144164.0,56538.0,59678.0,52381.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18372.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27200.0,-1.0,-1.0,148286.0,-1.0,-1.0,-1.0,-1.0,-1.0,31250.0,-1.0,-1.0,119655.0,-1.0,128713.0,-1.0,-1.0,34783.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56202.0,80892.0,-1.0,-1.0,-1.0,-1.0,38825.0,-1.0,-1.0,128500.0
1965,-1.0,16111.0,-1.0,-1.0,-1.0,-1.0,25185.0,-1.0,12220.0,32513.0,-1.0,50611.0,-1.0,47500.0,-1.0,-1.0,-1.0,-1.0,39954.0,62500.0,-1.0,125963.0,56204.0,42989.0,54839.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29167.0,-1.0,-1.0,141714.0,-1.0,-1.0,-1.0,-1.0,-1.0,37158.0,-1.0,-1.0,126000.0,-1.0,150000.0,-1.0,-1.0,27273.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55911.0,83017.0,-1.0,-1.0,-1.0,-1.0,40916.0,-1.0,-1.0,24000.0
1966,-1.0,16667.0,-1.0,-1.0,-1.0,-1.0,26923.0,-1.0,13125.0,33867.0,-1.0,50908.0,-1.0,43529.0,-1.0,-1.0,-1.0,-1.0,48883.0,68689.0,-1.0,153046.0,58777.0,54819.0,55556.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33302.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26500.0,-1.0,-1.0,133514.0,-1.0,-1.0,-1.0,-1.0,-1.0,26733.0,-1.0,-1.0,120690.0,-1.0,90992.0,-1.0,-1.0,29483.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58367.0,73475.0,-1.0,-1.0,-1.0,-1.0,38394.0,-1.0,-1.0,37500.0
1967,-1.0,16667.0,-1.0,-1.0,-1.0,-1.0,27692.0,-1.0,9813.0,33013.0,-1.0,50907.0,-1.0,53125.0,-1.0,-1.0,-1.0,-1.0,49035.0,65574.0,-1.0,140959.0,42428.0,49890.0,56250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35872.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33000.0,-1.0,-1.0,119744.0,-1.0,-1.0,-1.0,-1.0,-1.0,36733.0,-1.0,-1.0,102740.0,-1.0,54343.0,-1.0,-1.0,30480.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41492.0,102214.0,-1.0,-1.0,-1.0,-1.0,42492.0,-1.0,-1.0,36500.0
1968,-1.0,16667.0,-1.0,-1.0,-1.0,-1.0,27407.0,-1.0,9586.0,45725.0,-1.0,50662.0,-1.0,53125.0,-1.0,-1.0,-1.0,-1.0,51352.0,65152.0,-1.0,137202.0,53151.0,39794.0,56923.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37079.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34400.0,-1.0,-1.0,117923.0,-1.0,-1.0,-1.0,-1.0,-1.0,21733.0,-1.0,-1.0,74315.0,-1.0,81484.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52607.0,105636.0,-1.0,-1.0,-1.0,-1.0,51838.0,-1.0,-1.0,103000.0
1969,-1.0,16667.0,-1.0,-1.0,-1.0,-1.0,27143.0,-1.0,5680.0,44000.0,-1.0,50685.0,-1.0,67470.0,-1.0,-1.0,-1.0,-1.0,51393.0,63478.0,-1.0,140844.0,48445.0,54674.0,57576.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20525.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21200.0,-1.0,-1.0,103400.0,-1.0,-1.0,-1.0,-1.0,-1.0,38200.0,-1.0,-1.0,82474.0,-1.0,43488.0,-1.0,-1.0,29167.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47725.0,81870.0,-1.0,-1.0,-1.0,-1.0,49632.0,-1.0,53742.0,94000.0
1970,-1.0,16667.0,62295.0,-1.0,-1.0,-1.0,27857.0,-1.0,11518.0,45161.0,-1.0,51365.0,-1.0,76163.0,-1.0,-1.0,-1.0,-1.0,55189.0,75616.0,-1.0,150172.0,50146.0,52292.0,58209.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47655.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26765.0,-1.0,-1.0,79697.0,-1.0,-1.0,-1.0,-1.0,-1.0,37800.0,-1.0,-1.0,73038.0,-1.0,57884.0,-1.0,-1.0,28333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48907.0,83276.0,-1.0,-1.0,-1.0,-1.0,52273.0,-1.0,66794.0,126000.0
