,Ukraine,Democratic People's Republic of Korea,India,Austria,Serbia and Montenegro,Croatia,Czechoslovakia,Saudi Arabia,Sweden,Germany,USSR,Romania,Netherlands,Syrian Arab Republic,Bosnia and Herzegovina,China,Pakistan,Japan,Portugal,Yugoslav SFR,Republic of Korea,Cyprus,Chile,Hungary,Spain,Bulgaria,Bangladesh,France,Poland,"China, mainland",Russian Federation,Czechia,Italy,Turkey
1961,-1.0,2200.0,-1,8.0,-1.0,-1.0,3600.0,-1,794.0,1190.0,100000.0,17030.0,-1.0,413.0,-1.0,45000.0,-1,1430.0,122.0,39525.0,5659.0,-1,3800.0,20000.0,7843.0,10800.0,-1,2335.0,15300.0,45000.0,-1.0,-1.0,12170.0,10700.0
1962,-1.0,2200.0,-1,9.0,-1.0,-1.0,2400.0,-1,700.0,1776.0,100000.0,13114.0,-1.0,428.0,-1.0,55000.0,-1,1330.0,172.0,43090.0,5567.0,-1,3800.0,18800.0,9744.0,5959.0,-1,2600.0,14800.0,55000.0,-1.0,-1.0,14040.0,9000.0
1963,-1.0,2200.0,-1,-1.0,-1.0,-1.0,3300.0,-1,685.0,1636.0,100000.0,12595.0,-1.0,668.0,-1.0,65000.0,-1,560.0,113.0,39680.0,5179.0,-1,3800.0,22900.0,7760.0,6284.0,-1,1732.0,13000.0,65000.0,-1.0,-1.0,14170.0,9500.0
1964,-1.0,2200.0,-1,-1.0,-1.0,-1.0,3800.0,-1,567.0,2020.0,115000.0,14131.0,-1.0,362.0,-1.0,70000.0,-1,791.0,217.0,45260.0,4926.0,-1,3800.0,25600.0,4333.0,8187.0,-1,2912.0,15920.0,70000.0,-1.0,-1.0,9570.0,9000.0
1965,-1.0,2200.0,-1,-1.0,-1.0,-1.0,4400.0,-1,374.0,1275.0,105000.0,13882.0,-1.0,600.0,-1.0,75000.0,-1,700.0,137.0,47400.0,5576.0,-1,3800.0,29200.0,1886.0,7371.0,-1,3043.0,19117.0,75000.0,-1.0,-1.0,9860.0,10000.0
1966,-1.0,2200.0,-1,-1.0,-1.0,-1.0,6100.0,-1,-1.0,1363.0,114000.0,17414.0,-1.0,400.0,-1.0,83000.0,-1,700.0,114.0,49440.0,5812.0,-1,3800.0,27700.0,1261.0,12235.0,-1,1392.0,20122.0,83000.0,-1.0,-1.0,11320.0,10000.0
1967,-1.0,2200.0,-1,-1.0,-1.0,-1.0,5400.0,-1,-1.0,1220.0,101200.0,21658.0,-1.0,400.0,-1.0,85000.0,-1,600.0,70.0,41760.0,6111.0,-1,3800.0,27100.0,834.0,12655.0,-1,1316.0,22800.0,85000.0,-1.0,-1.0,7210.0,7000.0
1968,-1.0,2200.0,-1,-1.0,-1.0,-1.0,4300.0,-1,-1.0,1190.0,100800.0,21940.0,-1.0,421.0,-1.0,87000.0,-1,600.0,87.0,11696.0,6314.0,-1,3800.0,17300.0,350.0,6867.0,-1,346.0,21125.0,87000.0,-1.0,-1.0,4750.0,9400.0
1969,-1.0,2200.0,-1,-1.0,-1.0,-1.0,1700.0,-1,-1.0,890.0,96700.0,22522.0,-1.0,368.0,-1.0,87000.0,-1,600.0,101.0,13410.0,7337.0,-1,3800.0,21600.0,333.0,9501.0,-1,100.0,16194.0,87000.0,-1.0,-1.0,2135.0,8200.0
1970,-1.0,2200.0,-1,-1.0,-1.0,-1.0,2000.0,-1,-1.0,946.0,93000.0,14728.0,-1.0,755.0,-1.0,90000.0,-1,500.0,86.0,16960.0,6611.0,-1,3600.0,16500.0,314.0,8865.0,-1,205.0,13600.0,90000.0,-1.0,-1.0,1008.0,8400.0
1971,-1.0,2300.0,-1,-1.0,-1.0,-1.0,2500.0,-1,-1.0,1042.0,95900.0,21600.0,-1.0,426.0,-1.0,92000.0,-1,500.0,-1.0,14560.0,4831.0,-1,3600.0,15300.0,112.0,7533.0,-1,200.0,11400.0,92000.0,-1.0,-1.0,465.0,8000.0
1972,-1.0,2300.0,-1,-1.0,-1.0,-1.0,3000.0,-1,-1.0,273.0,90300.0,18758.0,-1.0,371.0,-1.0,95000.0,-1,400.0,-1.0,11200.0,4534.0,-1,3500.0,14800.0,93.0,6946.0,-1,200.0,11000.0,95000.0,-1.0,-1.0,292.0,8500.0
1973,-1.0,2300.0,-1,-1.0,-1.0,-1.0,2600.0,-1,-1.0,0.0,80600.0,22426.0,-1.0,356.0,-1.0,97000.0,-1,400.0,-1.0,11360.0,4170.0,-1,3000.0,18500.0,98.0,6397.0,-1,200.0,8900.0,97000.0,-1.0,-1.0,170.0,8300.0
1974,-1.0,2300.0,-1,-1.0,-1.0,-1.0,2600.0,-1,-1.0,-1.0,75500.0,23098.0,-1.0,304.0,-1.0,96000.0,-1,400.0,-1.0,11000.0,3545.0,-1,3200.0,15600.0,1526.0,4899.0,-1,200.0,11200.0,96000.0,-1.0,-1.0,188.0,8900.0
1975,-1.0,2300.0,-1,-1.0,-1.0,-1.0,2472.0,-1,-1.0,-1.0,61100.0,25651.0,-1.0,276.0,-1.0,94000.0,-1,300.0,-1.0,8320.0,2576.0,-1,3600.0,10600.0,107.0,6235.0,-1,200.0,11372.0,94000.0,-1.0,-1.0,125.0,7000.0
1976,-1.0,2300.0,-1,-1.0,-1.0,-1.0,1615.0,-1,-1.0,-1.0,60500.0,24900.0,-1.0,225.0,-1.0,92000.0,-1,300.0,-1.0,8960.0,663.0,-1,3800.0,13600.0,126.0,6311.0,-1,200.0,10465.0,92000.0,-1.0,-1.0,81.0,12000.0
