,Ukraine,Burundi,Peru,Mozambique,Myanmar,Dominican Republic,Philippines,Syrian Arab Republic,Brazil,Benin,Ethiopia,Indonesia,Pakistan,Sudan,Bangladesh,Republic of Korea,Bulgaria,United States of America,Iran (Islamic Republic of),Togo,El Salvador,Madagascar,Argentina,Cambodia,Haiti,Paraguay,India,Cabo Verde,Morocco,Ethiopia PDR,USSR,Mexico,Romania,Ecuador,Sudan (former),China,Angola,Libya,Yugoslav SFR,United Republic of Tanzania,Viet Nam,South Africa,Hungary,Thailand,Kenya,"China, mainland",Russian Federation,Nicaragua,Uganda,Italy
1961,-1.0,1923.0,20000.0,3784.0,-1.0,2970.0,8333.0,3500.0,7332.0,3075.0,-1.0,3333.0,7500.0,-1.0,5012.0,4135.0,7575.0,9828.0,6154.0,2000.0,3000.0,1800.0,7545.0,10667.0,5000.0,15000.0,2243.0,7500.0,10000.0,5000.0,1781.0,6796.0,8354.0,9005.0,7625.0,3500.0,3751.0,6476.0,10959.0,6486.0,4516.0,5882.0,8230.0,9276.0,13043.0,3500.0,-1.0,-1.0,4722.0,12000.0
1962,-1.0,2000.0,17384.0,3281.0,-1.0,3042.0,8125.0,4500.0,7916.0,3072.0,-1.0,3333.0,7486.0,-1.0,5012.0,4311.0,7317.0,9639.0,5882.0,4943.0,3333.0,2059.0,8133.0,7184.0,5000.0,14400.0,2111.0,7500.0,10000.0,5000.0,1980.0,6767.0,5433.0,9013.0,9586.0,3500.0,3731.0,8454.0,13222.0,6513.0,5102.0,6152.0,10836.0,9977.0,3048.0,3500.0,-1.0,-1.0,4639.0,16667.0
1963,-1.0,2000.0,17977.0,2990.0,-1.0,3134.0,8000.0,4500.0,7808.0,4256.0,-1.0,3333.0,7525.0,-1.0,5012.0,3439.0,6488.0,9677.0,5882.0,4508.0,3333.0,2167.0,6967.0,10667.0,5000.0,14000.0,2107.0,7500.0,10000.0,5000.0,3182.0,6713.0,6471.0,9016.0,9738.0,3182.0,3731.0,10442.0,14319.0,6663.0,5000.0,6000.0,7842.0,11850.0,3154.0,3182.0,-1.0,-1.0,4545.0,16667.0
1964,-1.0,2000.0,17980.0,3750.0,-1.0,3134.0,7889.0,8000.0,8926.0,4027.0,-1.0,3333.0,7495.0,-1.0,5012.0,5109.0,6449.0,9720.0,5882.0,3536.0,3333.0,1475.0,5844.0,10714.0,5000.0,12500.0,2426.0,7500.0,10000.0,5000.0,3000.0,6567.0,6019.0,8997.0,6717.0,3462.0,3704.0,12453.0,12517.0,6734.0,5000.0,6136.0,20000.0,10285.0,3231.0,3462.0,-1.0,-1.0,4976.0,17500.0
1965,-1.0,2000.0,17946.0,3333.0,-1.0,3244.0,8063.0,3000.0,9007.0,4057.0,-1.0,3333.0,7475.0,-1.0,5012.0,5538.0,6429.0,9408.0,5882.0,2975.0,3000.0,1616.0,6371.0,11000.0,5000.0,12500.0,1970.0,8333.0,10000.0,4977.0,3911.0,5634.0,5297.0,9005.0,12999.0,4444.0,3846.0,14833.0,14419.0,5924.0,5000.0,6000.0,-1.0,9541.0,3714.0,4444.0,-1.0,-1.0,5000.0,5000.0
1966,-1.0,2000.0,17946.0,2931.0,-1.0,3351.0,7879.0,3000.0,9487.0,4050.0,-1.0,3333.0,7505.0,-1.0,5012.0,6845.0,13500.0,9466.0,5882.0,2919.0,3000.0,1434.0,6066.0,11000.0,5200.0,12011.0,2739.0,8000.0,10000.0,5117.0,4121.0,4933.0,9810.0,10543.0,14072.0,5909.0,3846.0,4920.0,19132.0,6732.0,5000.0,6062.0,-1.0,10072.0,3944.0,5909.0,-1.0,-1.0,4900.0,5000.0
1967,-1.0,2000.0,17949.0,3896.0,-1.0,3486.0,7879.0,2600.0,9849.0,4050.0,-1.0,3333.0,7647.0,-1.0,5012.0,6380.0,13704.0,9583.0,5294.0,4706.0,3333.0,1799.0,6614.0,10000.0,4800.0,11990.0,2758.0,8333.0,10000.0,5256.0,4740.0,4287.0,7422.0,10492.0,15322.0,6364.0,3846.0,10333.0,14984.0,5983.0,5000.0,6087.0,-1.0,8217.0,2925.0,6364.0,-1.0,-1.0,4358.0,5000.0
1968,-1.0,2000.0,12821.0,2667.0,-1.0,3622.0,7857.0,3600.0,9822.0,3250.0,-1.0,3333.0,7500.0,-1.0,6212.0,7109.0,6831.0,9750.0,5294.0,4825.0,3333.0,1737.0,7366.0,10000.0,5000.0,12963.0,2938.0,8125.0,10000.0,5438.0,4837.0,4278.0,3943.0,5811.0,10474.0,5500.0,3846.0,2160.0,9135.0,6663.0,5000.0,6150.0,-1.0,10562.0,3599.0,5500.0,-1.0,-1.0,4333.0,-1.0
1969,-1.0,2000.0,20000.0,3750.0,-1.0,3757.0,7857.0,3091.0,10020.0,3333.0,-1.0,3808.0,7500.0,-1.0,6315.0,7442.0,13655.0,9987.0,5294.0,4271.0,3750.0,1385.0,9625.0,8571.0,4941.0,13008.0,3060.0,7778.0,10000.0,5616.0,3829.0,4616.0,7827.0,10141.0,12167.0,4722.0,2545.0,6100.0,19471.0,4935.0,5000.0,6124.0,-1.0,10445.0,2680.0,4722.0,-1.0,-1.0,5269.0,-1.0
1970,-1.0,2000.0,20000.0,3750.0,-1.0,3816.0,8333.0,8000.0,9149.0,8000.0,-1.0,3865.0,7647.0,-1.0,6469.0,7589.0,12191.0,9244.0,5294.0,2543.0,4000.0,2000.0,6565.0,7500.0,5000.0,11628.0,3103.0,7647.0,10000.0,5792.0,2936.0,6271.0,5913.0,10616.0,7701.0,5667.0,2545.0,3800.0,11683.0,6000.0,5000.0,6375.0,-1.0,9705.0,3333.0,5667.0,-1.0,-1.0,3705.0,-1.0
