,Malaysia,Ecuador,Indonesia,Kenya,Equatorial Guinea,Costa Rica,Philippines
1961,4400.0,120.0,400.0,,400.0,520.0,91500.0
1962,4000.0,120.0,400.0,,400.0,725.0,106700.0
1963,4000.0,140.0,400.0,,500.0,940.0,134285.0
1964,4400.0,150.0,300.0,,500.0,1120.0,117500.0
1965,3200.0,180.0,300.0,,426.0,908.0,107800.0
1966,3259.0,2500.0,300.0,,257.0,965.0,135300.0
1967,3281.0,2800.0,300.0,,118.0,950.0,117600.0
1968,3519.0,3000.0,400.0,,300.0,950.0,103400.0
1969,2671.0,3500.0,380.0,,400.0,950.0,105900.0
1970,373.0,3600.0,700.0,,400.0,950.0,122400.0
1971,111.0,4500.0,1000.0,,400.0,950.0,104600.0
1972,4.0,4375.0,1300.0,,450.0,1000.0,110100.0
1973,,6557.0,1000.0,,450.0,1000.0,119226.0
1974,,9492.0,500.0,,460.0,1000.0,125876.0
1975,,10425.0,215.0,,460.0,1000.0,133556.0
1976,,13850.0,202.0,10.0,470.0,1000.0,139337.0
1977,,16550.0,205.0,10.0,470.0,1000.0,150574.0
1978,,10690.0,192.0,10.0,470.0,1000.0,129760.0
1979,,10690.0,217.0,10.0,480.0,1000.0,148349.0
1980,,11046.0,251.0,10.0,480.0,1000.0,157179.0
1981,,9240.0,289.0,10.0,500.0,1000.0,128300.0
1982,,7100.0,347.0,10.0,500.0,1000.0,119740.0
1983,,7600.0,399.0,20.0,500.0,1000.0,89303.0
1984,,18315.0,419.0,35.0,510.0,1000.0,88983.0
1985,,9956.0,286.0,40.0,510.0,1000.0,82214.0
1986,,6800.0,320.0,70.0,510.0,1000.0,83614.0
1987,,15948.0,424.0,40.0,510.0,1000.0,81979.0
1988,,22029.0,450.0,40.0,510.0,1000.0,84100.0
1989,,13945.0,460.0,40.0,510.0,1000.0,66000.0
1990,0.0,17198.0,500.0,38.0,540.0,896.0,59418.0
1991,0.0,16360.0,503.0,30.0,432.0,1237.0,63991.0
1992,0.0,20490.0,520.0,30.0,425.0,1232.0,62684.0
1993,-1.0,20184.0,580.0,31.0,418.0,1100.0,59517.0
1994,-1.0,15551.0,630.0,32.0,411.0,1223.0,66410.0
1995,-1.0,17959.0,600.0,32.0,430.0,1230.0,64833.0
1996,-1.0,21782.0,569.0,33.0,443.0,1236.0,70431.0
1997,-1.0,23287.0,551.0,34.0,500.0,1243.0,67110.0
1998,-1.0,24000.0,533.0,33.0,429.0,1250.0,71217.0
1999,-1.0,24500.0,516.0,34.0,416.0,1256.0,73125.0
2000,-1.0,25000.0,501.0,30.0,404.0,1264.0,77180.0
2001,-1.0,25000.0,487.0,34.0,391.0,1270.0,72861.0
2002,-1.0,26000.0,476.0,35.0,379.0,1277.0,63028.0
2003,-1.0,28000.0,471.0,36.0,366.0,1283.0,69765.0
2004,-1.0,30558.0,465.0,37.0,354.0,1400.0,74465.0
2005,-1.0,29107.0,461.0,38.0,342.0,1350.0,74010.0
2006,-1.0,28000.0,460.0,39.0,330.0,1300.0,69802.0
2007,-1.0,32000.0,463.0,40.0,318.0,1250.0,66437.0
2008,-1.0,32000.0,469.0,41.0,306.0,1200.0,68386.0
2009,-1.0,30828.0,480.0,42.0,295.0,1244.0,65825.0
2010,-1.0,31954.0,496.0,43.0,282.0,1245.0,66512.0
2011,-1.0,33763.0,517.0,44.0,230.0,1246.0,68612.0
2012,-1.0,33880.0,520.0,45.0,250.0,1200.0,68510.0
2013,-1.0,34540.0,600.0,50.0,250.0,1225.0,64830.0
2014,-1.0,35199.0,624.0,47.0,238.0,1248.0,68053.0
