,"China, Taiwan Province of",Jamaica,Japan,Poland,Argentina,Turkey,Peru,China,United States of America,Egypt,Mexico,Morocco,French Polynesia,France,Philippines,Côte d'Ivoire,Polynesia,Venezuela (Bolivarian Republic of),Iraq,Barbados
1961,64726.0,11111.0,63889.0,,64070.0,50000.0,23077.0,64726.0,51293.0,,,,88889.0,58582.0,,,88889.0,50000.0,,
1962,65938.0,16000.0,64660.0,,68176.0,50000.0,23077.0,65938.0,50120.0,,,,88889.0,58833.0,,,88889.0,50000.0,,
1963,67843.0,18182.0,67037.0,,67836.0,51429.0,23077.0,67843.0,50662.0,,,,90000.0,63236.0,,,90000.0,50000.0,,
1964,71492.0,20000.0,67087.0,,69755.0,51429.0,23077.0,71492.0,47038.0,,,,90000.0,63891.0,,,90000.0,50000.0,,
1965,72950.0,23077.0,65603.0,,70802.0,51429.0,19006.0,72950.0,50288.0,,,,91111.0,64092.0,,,91111.0,50000.0,,
1966,70634.0,22319.0,68934.0,,73547.0,50000.0,31641.0,70634.0,45964.0,,,,92222.0,67869.0,,,92222.0,50761.0,,
1967,71870.0,37778.0,67521.0,,71203.0,50000.0,32636.0,71870.0,49788.0,,,,93333.0,65166.0,,,93333.0,51479.0,,
1968,74248.0,29851.0,70979.0,,82072.0,45231.0,34076.0,74248.0,49909.0,,,,94444.0,64687.0,,,94444.0,50000.0,,
1969,85141.0,33833.0,70427.0,,70831.0,64365.0,37821.0,85141.0,48452.0,,,,94444.0,66162.0,,,94444.0,49882.0,,
1970,84734.0,32821.0,69024.0,,73264.0,62500.0,37979.0,84734.0,51987.0,,,,95556.0,60877.0,,,95556.0,50921.0,,
1971,86925.0,34229.0,73175.0,,62821.0,62500.0,36977.0,86925.0,52023.0,,,,96667.0,58717.0,,,96667.0,56058.0,,
1972,91044.0,36494.0,77097.0,,72239.0,61053.0,50384.0,91044.0,50467.0,,,,97778.0,53013.0,,,97778.0,52088.0,,
1973,100436.0,35091.0,76250.0,,78143.0,60000.0,50021.0,100436.0,52970.0,,,,98889.0,54373.0,,,98889.0,52160.0,,
1974,108406.0,33382.0,76696.0,,83435.0,60000.0,50703.0,108406.0,53596.0,,,,100000.0,59064.0,,,100000.0,53899.0,,
1975,103036.0,39200.0,78214.0,,76119.0,62500.0,47141.0,103036.0,51628.0,,,,105556.0,52239.0,,,105556.0,53734.0,,
1976,108669.0,38043.0,76754.0,,81622.0,64706.0,51792.0,108669.0,52010.0,,,,116000.0,46292.0,,,116000.0,43694.0,,
1977,106210.0,47410.0,81638.0,,83000.0,70175.0,44323.0,106210.0,54702.0,,,,94000.0,56102.0,,,94000.0,46727.0,,
1978,108755.0,55205.0,80172.0,,77377.0,71429.0,52877.0,108755.0,52744.0,,,,104167.0,56602.0,,,104167.0,48980.0,49550.0,
1979,110503.0,49825.0,82542.0,,80000.0,70000.0,48593.0,110503.0,55329.0,,,,108000.0,64451.0,,,108000.0,50751.0,47440.0,
