,Fiji,Philippines,Sri Lanka,United Republic of Tanzania,Samoa,Ethiopia,Kenya,Guyana,Costa Rica,Zambia,Uganda,Benin,Uzbekistan,Brazil,Cambodia,Niger,Honduras,Zimbabwe,Kyrgyzstan,Malawi,India,Saint Lucia,Ecuador,Indonesia,Ethiopia PDR,"China, Macao SAR",Melanesia,Malaysia,Mexico,Tajikistan,Polynesia,Viet Nam,Bolivia (Plurinational State of),Thailand,Peru,Ghana,Brunei Darussalam,Guatemala,"China, mainland",Madagascar,Côte d'Ivoire,Rwanda,Cameroon,China
1981,816.0,,5060.0,,3333.0,,,,17241.0,,5000.0,2500.0,,17582.0,26000.0,,5000.0,6977.0,,,2657.0,,,7695.0,5000.0,15000.0,816.0,21519.0,16910.0,,3333.0,9456.0,,19667.0,,,4063.0,,2500.0,4962.0,,,3000.0,2624.0
1982,816.0,,5056.0,,3333.0,,,,17500.0,,5000.0,2500.0,,22723.0,26230.0,,5000.0,6977.0,,,2631.0,,,7908.0,5000.0,15000.0,816.0,19733.0,12568.0,,3333.0,7242.0,,16000.0,,,4444.0,,2941.0,4308.0,,,2318.0,3054.0
1983,816.0,,5057.0,,3333.0,,,,17308.0,,5000.0,2500.0,,15602.0,29032.0,,5000.0,7018.0,,4000.0,2409.0,,,8813.0,5000.0,15294.0,816.0,18462.0,16360.0,,3333.0,6715.0,,19333.0,,,4146.0,,3333.0,4262.0,,,2727.0,3445.0
1984,813.0,,4890.0,,4167.0,,,,17460.0,,5000.0,2500.0,,21608.0,31746.0,,5000.0,7018.0,,3750.0,2116.0,,,8689.0,5000.0,15294.0,813.0,15759.0,13629.0,,4167.0,6158.0,,17143.0,,,4146.0,,3889.0,4265.0,,,2727.0,3996.0
1985,813.0,,5046.0,,4167.0,,,,17333.0,4000.0,5000.0,2500.0,,19741.0,37500.0,,4857.0,7143.0,,4000.0,1665.0,6250.0,,7573.0,5000.0,15000.0,813.0,35230.0,34539.0,,4167.0,6052.0,,17143.0,,,4750.0,4615.0,3889.0,4516.0,5000.0,,2609.0,3987.0
1986,813.0,,4074.0,,4167.0,,,,17442.0,4000.0,6000.0,2500.0,,22061.0,41538.0,,5000.0,7143.0,,4000.0,2718.0,6000.0,,9096.0,5000.0,15000.0,813.0,25131.0,6730.0,,4167.0,9197.0,,17143.0,,,3714.0,10769.0,3333.0,4639.0,5000.0,,2500.0,3411.0
1987,813.0,,4256.0,,3846.0,,,,17347.0,5000.0,6000.0,2500.0,,22053.0,43077.0,,5000.0,8571.0,,5000.0,2360.0,6000.0,,9391.0,5000.0,15000.0,813.0,14618.0,7010.0,,3846.0,8102.0,6522.0,17143.0,,,3514.0,4615.0,4167.0,4800.0,5000.0,,2542.0,4238.0
1988,844.0,,4373.0,,4615.0,,,,17400.0,5000.0,6000.0,2500.0,,24953.0,44308.0,,5000.0,8642.0,,6000.0,3207.0,6071.0,,9325.0,5000.0,14286.0,844.0,20818.0,9337.0,,4615.0,8124.0,6522.0,17143.0,,,4500.0,4615.0,4982.0,4801.0,5000.0,,2542.0,5028.0
1989,844.0,,5316.0,,4615.0,,,,17400.0,5000.0,6000.0,2500.0,,22683.0,45455.0,,5000.0,8642.0,,7000.0,2747.0,6500.0,,9206.0,5000.0,14286.0,844.0,25390.0,8495.0,,4615.0,11562.0,6538.0,15220.0,,,5000.0,2769.0,5164.0,5719.0,5000.0,,2440.0,5201.0
1990,740.0,,5597.0,,3846.0,,,,17395.0,8750.0,5148.0,2653.0,,22924.0,48485.0,,5000.0,8602.0,,5709.0,3218.0,7143.0,,9348.0,4286.0,15000.0,740.0,27094.0,6989.0,,3846.0,12190.0,6552.0,20364.0,,,5116.0,4499.0,7852.0,2353.0,5292.0,,2677.0,7883.0
1991,861.0,37521.0,5963.0,,3973.0,,5000.0,,30000.0,9000.0,6364.0,2340.0,,22746.0,51847.0,3846.0,4941.0,8571.0,,7692.0,2765.0,6250.0,,8252.0,6667.0,14892.0,861.0,25812.0,7146.0,,3973.0,13020.0,6471.0,41667.0,,,4286.0,5941.0,9000.0,3164.0,13008.0,,2423.0,9042.0
1992,879.0,36446.0,6334.0,,3846.0,,6000.0,,43574.0,9091.0,6957.0,2365.0,6667.0,11348.0,53731.0,4000.0,5000.0,8368.0,6667.0,8182.0,2824.0,7600.0,,8552.0,6667.0,15000.0,879.0,26003.0,18367.0,,3846.0,15905.0,6486.0,40441.0,,,4092.0,5966.0,10000.0,3681.0,12761.0,,2868.0,10031.0
