,Austria,USSR,Poland,Norway,Belgium-Luxembourg,Estonia,Belgium,Latvia,Czechoslovakia,France,Czechia,Lithuania,Germany,Turkey,Yugoslav SFR,Sweden,Finland,Greece,Slovenia,United Kingdom,Malta,Canada,Denmark,Spain,Croatia,Netherlands
1961,4000.0,23699.0,54880.0,100.0,1492.0,,,,2817.0,16485.0,,,111353.0,47000.0,4000.0,44000.0,3965.0,749.0,,9153.0,15.0,73000.0,28678.0,828.0,,0.0
1962,5200.0,43309.0,63680.0,96.0,1571.0,,,,3296.0,30150.0,,,102628.0,52000.0,4000.0,41000.0,4563.0,683.0,,7249.0,17.0,71000.0,25367.0,744.0,,0.0
1963,5200.0,26659.0,58240.0,95.0,1616.0,,,,3355.0,26205.0,,,103497.0,58000.0,4000.0,32000.0,4121.0,578.0,,5717.0,16.0,68000.0,24205.0,585.0,,0.0
1964,5300.0,19740.0,56800.0,84.0,1883.0,,,,4140.0,25545.0,,,94084.0,45000.0,4000.0,34000.0,3809.0,449.0,,5424.0,14.0,71000.0,17931.0,578.0,,0.0
1965,5700.0,19703.0,45280.0,91.0,2027.0,,,,3441.0,30000.0,,,92872.0,43000.0,4000.0,27000.0,3913.0,371.0,,5349.0,19.0,76000.0,15534.0,519.0,,0.0
1966,5800.0,16280.0,45600.0,83.0,2205.0,,,,3465.0,32085.0,,,89267.0,48000.0,5000.0,22000.0,4082.0,280.0,,6511.0,18.0,82000.0,12640.0,503.0,,0.0
1967,6000.0,15355.0,46240.0,74.0,2319.0,,,,2808.0,30718.0,,,89322.0,45000.0,5000.0,18000.0,4017.0,201.0,,8178.0,18.0,78000.0,10144.0,270.0,,0.0
1968,6000.0,15170.0,50240.0,49.0,2415.0,,,,2355.0,29745.0,,,89303.0,40000.0,3000.0,19000.0,3653.0,154.0,,11469.0,11.0,78000.0,7555.0,210.0,,0.0
1969,7000.0,12395.0,64800.0,48.0,2623.0,,,,1824.0,27735.0,,,81125.0,45000.0,3000.0,17000.0,3601.0,120.0,,14315.0,9.0,81000.0,5781.0,135.0,,0.0
1970,7000.0,15910.0,59520.0,48.0,2303.0,,,,1364.0,31650.0,,,72148.0,38000.0,3000.0,17000.0,3367.0,108.0,,10010.0,5.0,90000.0,5017.0,30.0,,0.0
1971,6000.0,17390.0,73120.0,44.0,2240.0,,,,1021.0,30600.0,,,67148.0,46000.0,3000.0,15000.0,3055.0,90.0,,11321.0,5.0,96000.0,4030.0,180.0,,0.0
1972,7000.0,22940.0,73760.0,71.0,2215.0,,,,630.0,29115.0,,,62533.0,42000.0,3000.0,14000.0,2847.0,84.0,,9211.0,4.0,96000.0,3034.0,375.0,,0.0
1973,7100.0,22940.0,76320.0,54.0,2388.0,,,,667.0,27840.0,,,57698.0,39000.0,2000.0,16000.0,2951.0,78.0,,7735.0,3.0,93000.0,2326.0,240.0,,0.0
