,Ukraine,Germany,Serbia,Bolivia (Plurinational State of),Austria,Belarus,Croatia,Poland,USSR,Armenia,Slovakia,Azerbaijan,Bosnia and Herzegovina,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Albania,Yugoslav SFR,Uzbekistan,Peru,Chile,Hungary,Spain,Kazakhstan,Bulgaria,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Portugal,Republic of Moldova,Slovenia,Czechoslovakia,Russian Federation,Czechia,Italy,Turkey
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21250.0,-1.0,-1.0,-1.0,-1.0,-1.0,57628.0,-1.0,40640.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,195217.0,53200.0,50000.0,-1.0,31950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36518.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,57298.0,-1.0,51660.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,152617.0,57680.0,50000.0,-1.0,28571.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39261.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25556.0,-1.0,-1.0,-1.0,-1.0,-1.0,57684.0,-1.0,45640.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148412.0,27081.0,50000.0,-1.0,28571.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37345.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25667.0,-1.0,-1.0,-1.0,-1.0,-1.0,57555.0,-1.0,58440.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,143595.0,93867.0,50000.0,-1.0,28571.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40204.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26897.0,-1.0,-1.0,-1.0,-1.0,-1.0,57543.0,-1.0,55820.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,125582.0,60884.0,50000.0,-1.0,28571.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37077.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25714.0,-1.0,-1.0,-1.0,-1.0,-1.0,57577.0,-1.0,62092.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,156400.0,31235.0,52500.0,-1.0,28571.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37498.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22333.0,-1.0,-1.0,-1.0,-1.0,-1.0,57328.0,-1.0,60833.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,139718.0,31621.0,50000.0,-1.0,27778.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36406.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45333.0,-1.0,-1.0,-1.0,-1.0,-1.0,57504.0,-1.0,59700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,139840.0,50161.0,50000.0,-1.0,17662.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42735.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17333.0,-1.0,-1.0,-1.0,-1.0,-1.0,57443.0,-1.0,88300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,146258.0,58290.0,49474.0,-1.0,34933.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41447.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19737.0,-1.0,-1.0,-1.0,-1.0,-1.0,57591.0,-1.0,74517.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150330.0,47022.0,52632.0,-1.0,46267.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50449.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27937.0,-1.0,-1.0,-1.0,-1.0,-1.0,57519.0,-1.0,77558.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,118293.0,55410.0,55000.0,-1.0,46486.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46687.0
1972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23030.0,-1.0,-1.0,-1.0,-1.0,-1.0,57441.0,-1.0,66500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,106375.0,64491.0,60000.0,-1.0,44110.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31111.0,-1.0,-1.0,-1.0,-1.0,-1.0,57250.0,-1.0,79208.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,111493.0,36991.0,57273.0,-1.0,23889.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48679.0
1974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26042.0,-1.0,-1.0,-1.0,-1.0,-1.0,57677.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,101347.0,57546.0,60000.0,-1.0,25329.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44373.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29800.0,-1.0,-1.0,-1.0,-1.0,-1.0,112544.0,-1.0,46273.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,128011.0,65524.0,58333.0,-1.0,25997.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48800.0
1976,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30889.0,-1.0,-1.0,-1.0,-1.0,-1.0,79541.0,-1.0,68436.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,107400.0,36516.0,62500.0,-1.0,36677.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54150.0
1977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39149.0,-1.0,-1.0,-1.0,-1.0,-1.0,108338.0,-1.0,50236.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76735.0,55105.0,61538.0,-1.0,20603.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55117.0
1978,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30851.0,-1.0,-1.0,-1.0,-1.0,-1.0,81754.0,-1.0,45455.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85169.0,49783.0,53846.0,-1.0,18390.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60241.0
1979,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36029.0,-1.0,-1.0,-1.0,-1.0,-1.0,105778.0,-1.0,64136.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83710.0,46815.0,57143.0,-1.0,22409.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60002.0
1980,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29455.0,-1.0,-1.0,-1.0,-1.0,-1.0,118952.0,-1.0,70091.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69180.0,58194.0,64286.0,-1.0,21120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63945.0
1981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36667.0,-1.0,-1.0,-1.0,-1.0,-1.0,47769.0,-1.0,80736.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87915.0,36596.0,66667.0,-1.0,18433.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60000.0
1982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,-1.0,-1.0,91372.0,-1.0,67945.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56848.0,86462.0,73333.0,-1.0,18718.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62000.0
1983,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45455.0,-1.0,-1.0,-1.0,-1.0,-1.0,83936.0,-1.0,98900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75821.0,42078.0,75000.0,-1.0,17990.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64598.0
1984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39091.0,-1.0,-1.0,-1.0,-1.0,-1.0,94000.0,-1.0,47767.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81462.0,69683.0,81250.0,-1.0,16565.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60936.0
1985,-1.0,75222.0,-1.0,-1.0,51867.0,-1.0,-1.0,16959.0,42727.0,-1.0,-1.0,-1.0,-1.0,-1.0,89622.0,-1.0,30270.0,24333.0,37839.0,-1.0,-1.0,-1.0,33845.0,-1.0,-1.0,83713.0,70162.0,82353.0,-1.0,17835.0,-1.0,-1.0,24980.0,-1.0,-1.0,-1.0,75335.0
1986,-1.0,74129.0,-1.0,-1.0,52829.0,-1.0,-1.0,25097.0,46875.0,-1.0,-1.0,-1.0,-1.0,-1.0,51494.0,-1.0,27269.0,38000.0,31819.0,-1.0,-1.0,-1.0,32765.0,-1.0,-1.0,91888.0,52154.0,88235.0,-1.0,14087.0,-1.0,-1.0,17505.0,-1.0,-1.0,-1.0,71640.0
1987,-1.0,76046.0,-1.0,-1.0,48443.0,-1.0,-1.0,15514.0,34167.0,-1.0,-1.0,-1.0,-1.0,-1.0,78875.0,-1.0,26322.0,30333.0,36517.0,-1.0,-1.0,-1.0,45366.0,-1.0,-1.0,93939.0,80562.0,88235.0,-1.0,11857.0,-1.0,-1.0,20973.0,-1.0,-1.0,-1.0,67283.0
1988,-1.0,77723.0,-1.0,-1.0,45014.0,-1.0,-1.0,43591.0,38596.0,-1.0,-1.0,-1.0,-1.0,-1.0,67862.0,-1.0,24750.0,30000.0,42403.0,-1.0,-1.0,-1.0,41398.0,-1.0,-1.0,79602.0,53634.0,88235.0,-1.0,8000.0,-1.0,-1.0,24449.0,-1.0,-1.0,-1.0,70878.0
1989,-1.0,67894.0,-1.0,-1.0,57529.0,-1.0,-1.0,36379.0,39815.0,-1.0,-1.0,-1.0,-1.0,-1.0,74600.0,-1.0,25568.0,37667.0,45679.0,-1.0,-1.0,-1.0,48740.0,-1.0,-1.0,91754.0,60025.0,92807.0,-1.0,12500.0,-1.0,-1.0,33637.0,-1.0,-1.0,-1.0,71048.0
1990,-1.0,64197.0,-1.0,16212.0,40670.0,-1.0,-1.0,33390.0,38772.0,-1.0,-1.0,-1.0,-1.0,-1.0,53315.0,-1.0,27639.0,52416.0,37652.0,-1.0,-1.0,-1.0,36632.0,-1.0,-1.0,71205.0,47954.0,62859.0,-1.0,12229.0,-1.0,-1.0,26296.0,-1.0,-1.0,-1.0,80093.0
1991,-1.0,51245.0,-1.0,16119.0,39640.0,-1.0,-1.0,31527.0,34286.0,-1.0,-1.0,-1.0,-1.0,-1.0,62009.0,-1.0,15209.0,39903.0,36624.0,-1.0,-1.0,-1.0,41669.0,-1.0,-1.0,64252.0,44242.0,82887.0,-1.0,15625.0,-1.0,-1.0,32481.0,-1.0,-1.0,-1.0,85205.0
1992,48571.0,300516.0,-1.0,16029.0,50450.0,35000.0,41480.0,40714.0,-1.0,-1.0,-1.0,-1.0,22866.0,-1.0,91038.0,66558.0,43128.0,40646.0,-1.0,35000.0,-1.0,-1.0,51554.0,-1.0,-1.0,62086.0,77472.0,61575.0,47747.0,14545.0,20000.0,79385.0,37461.0,29969.0,-1.0,-1.0,83718.0
1993,65068.0,97820.0,-1.0,16143.0,51140.0,31818.0,38986.0,46682.0,-1.0,-1.0,33333.0,-1.0,20000.0,-1.0,71461.0,54114.0,41170.0,41389.0,-1.0,33681.0,-1.0,-1.0,43004.0,60781.0,-1.0,34146.0,78173.0,60654.0,42320.0,13294.0,50000.0,101231.0,-1.0,30000.0,37790.0,53846.0,77586.0
1994,43478.0,82792.0,-1.0,16154.0,46420.0,15000.0,34677.0,37185.0,-1.0,-1.0,27848.0,-1.0,19116.0,-1.0,79335.0,52036.0,41034.0,42131.0,-1.0,34066.0,-1.0,-1.0,43646.0,59994.0,-1.0,71801.0,72279.0,57692.0,39511.0,14000.0,31429.0,113933.0,-1.0,18833.0,32589.0,52857.0,76271.0
