,Paraguay,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,United Kingdom,Israel,Malta,Dominican Republic,South Sudan,Brazil,Belgium,Nepal,Ethiopia,Denmark,Canada,Greece,Iraq,Syrian Arab Republic,Cyprus,Netherlands,Japan,Eritrea,Guyana,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Guatemala,Sudan,Algeria,Slovenia,Morocco,Kyrgyzstan,Ukraine,Argentina,Luxembourg,Germany,Austria,Czechoslovakia,Ethiopia PDR,Lebanon,Mexico,Switzerland,Slovakia,Azerbaijan,Spain,Egypt,Sudan (former),China,Tunisia,Uzbekistan,Colombia,Libya,Albania,Portugal,Uruguay,Jamaica,Czechia,Occupied Palestinian Territory,Ecuador,Hungary,Sierra Leone,Australia,France,Jordan,Lithuania,Poland,"China, mainland",Russian Federation,Turkey,Italy,Belgium-Luxembourg
1961,2100.0,4000.0,23500.0,-1.0,-1.0,2000.0,100.0,683.0,3600.0,-1,56248.0,-1.0,-1.0,-1.0,23911.0,-1.0,29620.0,15380.0,7809.0,1710.0,3491.0,22100.0,-1.0,-1.0,235.0,157.0,-1,8328.0,-1.0,11012.0,-1.0,60000.0,-1,-1.0,4500.0,-1.0,80900.0,1635.0,11328.0,205000.0,1500.0,22767.0,-1.0,-1.0,-1.0,112900.0,161078.0,8500.0,3400000.0,6500.0,-1.0,-1.0,2000.0,-1.0,25200.0,500.0,45.0,-1.0,-1.0,16170.0,-1.0,300.0,157.0,54780.0,1200.0,-1.0,-1.0,3400000.0,-1.0,50000.0,387700.0,12197.0
1962,1900.0,4000.0,32978.0,-1.0,-1.0,-1.0,100.0,683.0,3800.0,-1,53692.0,-1.0,-1.0,-1.0,14419.0,-1.0,27348.0,14793.0,12109.0,1782.0,3035.0,22500.0,-1.0,-1.0,552.0,494.0,-1,7041.0,-1.0,16000.0,-1.0,100000.0,-1,-1.0,5000.0,-1.0,104195.0,1976.0,15309.0,210000.0,1600.0,29805.0,-1.0,-1.0,-1.0,144400.0,328135.0,13550.0,4400000.0,15400.0,-1.0,-1.0,1100.0,-1.0,37602.0,500.0,46.0,-1.0,-1.0,18000.0,-1.0,300.0,494.0,51070.0,1500.0,-1.0,-1.0,4400000.0,-1.0,53000.0,438000.0,14088.0
1963,1900.0,4000.0,34920.0,-1.0,-1.0,-1.0,100.0,591.0,3980.0,-1,65645.0,-1.0,-1.0,-1.0,15063.0,-1.0,19020.0,13989.0,10680.0,1510.0,3774.0,8310.0,-1.0,-1.0,1208.0,359.0,-1,8383.0,-1.0,17000.0,-1.0,120000.0,-1,-1.0,5200.0,-1.0,99351.0,6135.0,19739.0,220000.0,900.0,36627.0,-1.0,-1.0,-1.0,141200.0,263296.0,8302.0,3500000.0,19000.0,-1.0,-1.0,900.0,-1.0,40563.0,500.0,48.0,-1.0,-1.0,15707.0,-1.0,300.0,359.0,49500.0,1400.0,-1.0,-1.0,3500000.0,-1.0,53000.0,493500.0,9138.0
1964,2590.0,4000.0,35321.0,-1.0,-1.0,-1.0,100.0,1074.0,4940.0,-1,51298.0,-1.0,-1.0,-1.0,14719.0,-1.0,18851.0,9800.0,11852.0,1253.0,5978.0,17700.0,-1.0,-1.0,984.0,182.0,-1,8067.0,-1.0,21083.0,-1.0,130000.0,-1,-1.0,6500.0,-1.0,102804.0,7076.0,15211.0,240000.0,1180.0,37303.0,-1.0,-1.0,-1.0,122000.0,365768.0,8330.0,3750000.0,18600.0,-1.0,-1.0,800.0,-1.0,28708.0,500.0,45.0,-1.0,-1.0,19546.0,-1.0,300.0,182.0,37840.0,2049.0,-1.0,-1.0,3750000.0,-1.0,44000.0,402200.0,7153.0
1965,3070.0,4000.0,20786.0,-1.0,-1.0,-1.0,150.0,1294.0,4880.0,-1,68968.0,-1.0,-1.0,-1.0,7935.0,-1.0,20820.0,16300.0,11855.0,2004.0,1393.0,17100.0,-1.0,-1.0,197.0,226.0,-1,8260.0,-1.0,15906.0,-1.0,140000.0,-1,-1.0,6600.0,-1.0,113832.0,7735.0,19851.0,240000.0,1500.0,37906.0,-1.0,-1.0,-1.0,114009.0,343900.0,10489.0,3735000.0,24400.0,-1.0,-1.0,800.0,-1.0,27423.0,500.0,40.0,-1.0,-1.0,23639.0,-1.0,300.0,226.0,40180.0,2645.0,-1.0,-1.0,3735000.0,-1.0,45000.0,439100.0,5978.0
1966,3250.0,4000.0,20467.0,-1.0,-1.0,-1.0,100.0,-1.0,4570.0,-1,73601.0,-1.0,-1.0,-1.0,1000.0,-1.0,21889.0,18000.0,12804.0,1435.0,1146.0,15200.0,-1.0,-1.0,130.0,260.0,-1,7000.0,-1.0,13901.0,-1.0,97950.0,-1,-1.0,6900.0,-1.0,118016.0,15506.0,16795.0,275000.0,1559.0,38639.0,-1.0,-1.0,-1.0,126700.0,380805.0,10147.0,2800000.0,16500.0,-1.0,-1.0,900.0,-1.0,26695.0,543.0,89.0,-1.0,-1.0,20686.0,-1.0,320.0,260.0,37230.0,2000.0,-1.0,-1.0,2800000.0,-1.0,43000.0,397200.0,5423.0
1967,3360.0,4000.0,22395.0,-1.0,-1.0,-1.0,100.0,-1.0,4770.0,-1,92945.0,-1.0,-1.0,-1.0,16000.0,-1.0,20907.0,18900.0,14000.0,1930.0,866.0,10800.0,-1.0,-1.0,67.0,126.0,-1,6284.0,-1.0,15144.0,-1.0,107250.0,-1,-1.0,5400.0,-1.0,131964.0,16805.0,19710.0,280000.0,976.0,39010.0,-1.0,-1.0,-1.0,133100.0,190000.0,12333.0,2800000.0,18000.0,-1.0,-1.0,900.0,-1.0,34600.0,500.0,90.0,-1.0,-1.0,19757.0,-1.0,330.0,126.0,39010.0,5400.0,-1.0,-1.0,2800000.0,-1.0,43000.0,408000.0,6158.0
1968,2500.0,4000.0,16938.0,-1.0,-1.0,-1.0,120.0,-1.0,4970.0,-1,83644.0,-1.0,-1.0,-1.0,32000.0,-1.0,14347.0,20257.0,7593.0,965.0,443.0,10800.0,-1.0,-1.0,111.0,100.0,-1,6477.0,-1.0,13793.0,-1.0,170000.0,-1,-1.0,5200.0,-1.0,121696.0,12258.0,11949.0,290000.0,734.0,34224.0,-1.0,-1.0,-1.0,143686.0,284000.0,12954.0,2500000.0,21700.0,-1.0,-1.0,1000.0,-1.0,39071.0,500.0,90.0,-1.0,-1.0,20005.0,-1.0,340.0,100.0,38870.0,1717.0,-1.0,-1.0,2500000.0,-1.0,43000.0,324500.0,4838.0
1969,2420.0,4600.0,20117.0,-1.0,-1.0,-1.0,130.0,-1.0,5160.0,-1,84361.0,-1.0,-1.0,-1.0,59000.0,-1.0,13969.0,17682.0,9226.0,2032.0,269.0,8700.0,-1.0,-1.0,60.0,94.0,-1,6680.0,-1.0,14454.0,-1.0,155300.0,-1,-1.0,5100.0,-1.0,114284.0,2496.0,12161.0,295000.0,567.0,30058.0,-1.0,-1.0,-1.0,130427.0,299000.0,12000.0,2400000.0,20000.0,-1.0,-1.0,1200.0,-1.0,31224.0,500.0,183.0,-1.0,-1.0,10963.0,-1.0,350.0,94.0,40190.0,569.0,-1.0,-1.0,2400000.0,-1.0,45000.0,401800.0,5244.0
1970,2170.0,5100.0,21028.0,-1.0,-1.0,-1.0,120.0,-1.0,5360.0,-1,73434.0,-1.0,-1.0,-1.0,60000.0,-1.0,15489.0,20118.0,8785.0,1727.0,100.0,8000.0,-1.0,-1.0,63.0,116.0,-1,6886.0,-1.0,17232.0,-1.0,189900.0,-1,-1.0,3200.0,-1.0,96032.0,2312.0,9986.0,300000.0,478.0,30694.0,-1.0,-1.0,-1.0,135400.0,278000.0,15000.0,2700000.0,18000.0,-1.0,-1.0,1000.0,-1.0,30245.0,505.0,185.0,-1.0,-1.0,15009.0,-1.0,350.0,116.0,38520.0,522.0,-1.0,-1.0,2700000.0,-1.0,39000.0,369100.0,2732.0
