,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Croatia,Burkina Faso,Israel,Malta,Philippines,South Sudan,Brazil,Lao People's Democratic Republic,Australia & New Zealand,Cook Islands,Ethiopia,Yugoslav SFR,Pakistan,United States of America,Greece,Thailand,Zimbabwe,Sudan,Iraq,Republic of Korea,Venezuela (Bolivarian Republic of),Cyprus,Guadeloupe,South Africa,Japan,New Zealand,Yemen,Portugal,Bahamas,Bangladesh,Iran (Islamic Republic of),French Polynesia,Djibouti,Algeria,Kuwait,Nepal,French Guiana,Argentina,Haiti,Paraguay,Georgia,Cuba,El Salvador,Morocco,Ethiopia PDR,Congo,Lebanon,Mexico,Uruguay,Ecuador,Spain,Jordan,Bosnia and Herzegovina,Réunion,China,Tunisia,Colombia,Libya,Albania,Jamaica,Uzbekistan,Occupied Palestinian Territory,Azerbaijan,Montenegro,Chile,Syrian Arab Republic,Australia,France,Egypt,Polynesia,"China, mainland",Sudan (former),Mali,Swaziland,Italy,Turkey
1974,-1.0,19250.0,18450.0,245400.0,500.0,-1.0,-1.0,73100.0,-1.0,14158.0,-1.0,403976.0,6500.0,29624.0,7668.0,-1.0,-1.0,130000.0,558823.0,34629.0,300000.0,5500.0,-1,13000.0,30766.0,-1.0,3048.0,50.0,23048.0,3383000.0,1348.0,-1.0,18025.0,-1.0,3675.0,59000.0,33.0,-1.0,150223.0,1.0,-1.0,30.0,230000.0,8600.0,38422.0,-1.0,11653.0,1500.0,188000.0,7100.0,-1.0,20028.0,122300.0,32000.0,19194.0,590800.0,2691.0,-1.0,-1.0,471400.0,19000.0,-1.0,1730.0,-1.0,20414.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28276.0,15870.0,90000.0,7701.0,226000.0,1000.0,-1,-1.0,326900.0,112000.0
1975,-1.0,20000.0,18319.0,236500.0,500.0,-1.0,-1.0,72000.0,-1.0,19048.0,-1.0,445446.0,5800.0,27385.0,3942.0,-1.0,-1.0,195000.0,618697.0,41273.0,300000.0,5500.0,-1,19000.0,67392.0,-1.0,3353.0,55.0,14038.0,3665000.0,1227.0,-1.0,17228.0,-1.0,3580.0,64000.0,34.0,-1.0,148684.0,2.0,-1.0,30.0,229500.0,8700.0,40343.0,-1.0,10158.0,1541.0,106000.0,7100.0,-1.0,17000.0,155500.0,31000.0,27638.0,651700.0,2781.0,-1.0,-1.0,461500.0,23900.0,-1.0,1706.0,-1.0,19883.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26158.0,15773.0,96601.0,3976.0,225000.0,1000.0,-1,-1.0,342670.0,105000.0
1976,-1.0,18700.0,18038.0,261100.0,500.0,-1.0,-1.0,74000.0,-1.0,29953.0,-1.0,445113.0,6000.0,28717.0,5004.0,-1.0,-1.0,140000.0,664056.0,42379.0,350000.0,6000.0,-1,29000.0,43136.0,-1.0,3048.0,48.0,19936.0,3089000.0,1746.0,-1.0,14988.0,-1.0,3580.0,70000.0,35.0,-1.0,146968.0,2.0,-1.0,15.0,229000.0,8900.0,52446.0,-1.0,17800.0,1541.0,118000.0,7200.0,-1.0,19000.0,69600.0,30000.0,35000.0,660100.0,1328.0,-1.0,-1.0,449100.0,30600.0,-1.0,2146.0,-1.0,19116.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26971.0,28872.0,84912.0,5039.0,188000.0,1000.0,-1,-1.0,346550.0,126000.0
1977,-1.0,21100.0,19210.0,250600.0,500.0,-1.0,-1.0,82600.0,-1.0,32080.0,-1.0,444163.0,5500.0,32262.0,5078.0,-1.0,-1.0,162000.0,576967.0,31866.0,350000.0,6000.0,-1,35000.0,101816.0,-1.0,3556.0,30.0,17351.0,3539000.0,1580.0,-1.0,22036.0,-1.0,3556.0,76000.0,36.0,-1.0,145715.0,16.0,-1.0,10.0,250000.0,8600.0,49824.0,-1.0,12818.0,1690.0,197000.0,7200.0,-1.0,27000.0,58188.0,29000.0,27661.0,712900.0,2057.0,-1.0,-1.0,517600.0,37600.0,-1.0,2699.0,-1.0,8673.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30682.0,25360.0,75674.0,5114.0,267000.0,1000.0,-1,-1.0,344900.0,135000.0
1978,-1.0,22200.0,19587.0,254100.0,500.0,-1.0,-1.0,73800.0,-1.0,34367.0,-1.0,446358.0,5000.0,29725.0,3500.0,-1.0,-1.0,191000.0,607811.0,36716.0,350000.0,6000.0,-1,44000.0,107535.0,-1.0,2794.0,30.0,22497.0,3026000.0,2120.0,-1.0,19170.0,-1.0,2398.0,82000.0,20.0,-1.0,150227.0,10.0,-1.0,20.0,255000.0,8800.0,47333.0,-1.0,22662.0,1943.0,272000.0,7300.0,-1.0,27000.0,101231.0,27000.0,27592.0,911400.0,11389.0,-1.0,-1.0,511100.0,44100.0,-1.0,2239.0,-1.0,8555.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27605.0,27850.0,85176.0,3520.0,257000.0,1000.0,-1,-1.0,316800.0,150000.0
1979,-1.0,22780.0,21103.0,271200.0,500.0,-1.0,-1.0,86650.0,-1.0,35053.0,-1.0,510752.0,6500.0,34790.0,3000.0,-1.0,-1.0,226300.0,578781.0,28689.0,350000.0,6000.0,-1,45000.0,145457.0,-1.0,3048.0,15.0,23864.0,3618000.0,2543.0,1450.0,22429.0,-1.0,2422.0,81000.0,60.0,-1.0,144445.0,2.0,-1.0,15.0,224000.0,9000.0,48752.0,-1.0,20666.0,1900.0,247000.0,7300.0,-1.0,30000.0,105841.0,28000.0,28381.0,802840.0,5363.0,-1.0,-1.0,643200.0,30700.0,-1.0,2715.0,-1.0,3717.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32247.0,33400.0,98006.0,3060.0,372000.0,1000.0,-1,-1.0,315350.0,155000.0
1980,-1.0,22730.0,19198.0,254600.0,500.0,-1.0,-1.0,89700.0,-1.0,33066.0,-1.0,490143.0,8000.0,32964.0,3000.0,-1.0,-1.0,240800.0,755690.0,47126.0,350000.0,6500.0,-1,35000.0,161434.0,-1.0,3251.0,17.0,26305.0,2892000.0,4313.0,1500.0,16000.0,-1.0,2431.0,84000.0,16.0,-1.0,128694.0,-1.0,-1.0,15.0,378000.0,9100.0,43946.0,-1.0,25980.0,1900.0,270000.0,7400.0,-1.0,30000.0,120219.0,26643.0,30848.0,905800.0,12615.0,-1.0,-1.0,731600.0,29900.0,-1.0,3380.0,-1.0,14249.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28651.0,20600.0,70194.0,3016.0,477000.0,1000.0,-1,-1.0,304800.0,167000.0
1981,-1.0,26850.0,21704.0,264500.0,500.0,-1.0,-1.0,90200.0,-1.0,31850.0,-1.0,548899.0,9000.0,37967.0,2500.0,-1.0,100.0,301500.0,564270.0,49075.0,375000.0,6500.0,-1,42000.0,208654.0,-1.0,3048.0,19.0,24899.0,2819000.0,4392.0,1369.0,16000.0,-1.0,2433.0,95000.0,25.0,-1.0,116380.0,-1.0,-1.0,10.0,387000.0,9200.0,82991.0,-1.0,30464.0,2000.0,280000.0,7500.0,-1.0,35000.0,95094.0,31098.0,34933.0,722600.0,20077.0,-1.0,-1.0,799500.0,33800.0,-1.0,3000.0,-1.0,8703.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33575.0,31264.0,74162.0,2525.0,535000.0,1000.0,-1,-1.0,379400.0,175000.0
1982,-1.0,27450.0,22072.0,233265.0,500.0,-1.0,-1.0,130700.0,-1.0,25779.0,-1.0,588695.0,10000.0,33200.0,2000.0,-1.0,100.0,323700.0,530700.0,60023.0,458225.0,6600.0,-1,48000.0,278784.0,25000.0,3658.0,22.0,25304.0,2864000.0,4084.0,1435.0,18000.0,-1.0,1973.0,105165.0,19.0,-1.0,108865.0,-1.0,-1.0,9.0,402600.0,9200.0,58982.0,-1.0,18886.0,2100.0,293000.0,7600.0,-1.0,35000.0,240947.0,35700.0,33512.0,879100.0,18056.0,-1.0,-1.0,862265.0,33000.0,-1.0,2203.0,-1.0,7139.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29116.0,35300.0,114000.0,2019.0,629000.0,1000.0,-1,-1.0,337850.0,198000.0
1983,-1.0,25050.0,22435.0,222590.0,500.0,-1.0,-1.0,149400.0,-1.0,29840.0,-1.0,627570.0,12000.0,30976.0,2000.0,-1.0,300.0,338000.0,610500.0,59249.0,375319.0,6700.0,-1,54000.0,330623.0,25000.0,3300.0,136.0,25598.0,2859000.0,5000.0,1435.0,18000.0,-1.0,2260.0,101588.0,40.0,-1.0,80587.0,-1.0,-1.0,9.0,391000.0,9300.0,48880.0,-1.0,30932.0,2150.0,245000.0,7700.0,-1.0,35000.0,213800.0,30000.0,29102.0,1234400.0,20000.0,-1.0,-1.0,1090590.0,19350.0,-1.0,2649.0,-1.0,9293.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25976.0,28000.0,106381.0,2040.0,868000.0,1000.0,-1,-1.0,469900.0,230000.0
