,USSR,Poland,Turkey,Pakistan,Czechoslovakia,France,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Yugoslav SFR,Iran (Islamic Republic of),China,Serbia and Montenegro,"China, mainland",Chile,Cyprus,Spain,Croatia,Portugal,Ukraine
1961,100000.0,6000.0,13700.0,,1538.0,2065.0,31000.0,12601.0,3928.0,3461.0,,11971.0,44000.0,,90000.0,,90000.0,3600.0,,6915.0,,122.0,
1962,100000.0,7000.0,13000.0,,1264.0,2300.0,24400.0,14724.0,5000.0,4793.0,,10965.0,48700.0,,100000.0,,100000.0,3600.0,,3385.0,,152.0,
1963,100000.0,7000.0,11300.0,,1022.0,2400.0,23500.0,12213.0,4959.0,4372.0,,10459.0,44400.0,,120000.0,,120000.0,3600.0,,6625.0,,113.0,
1964,100000.0,8000.0,10000.0,,1205.0,2985.0,26100.0,8765.0,6157.0,4548.0,,10180.0,45300.0,,130000.0,,130000.0,3600.0,,3785.0,,166.0,
1965,120000.0,8000.0,10000.0,,751.0,3010.0,21200.0,8858.0,4584.0,2903.0,,11412.0,47400.0,,140000.0,,140000.0,3600.0,,1658.0,,115.0,
1966,111000.0,9000.0,10000.0,,910.0,869.0,23400.0,9410.0,4604.0,2598.0,,15108.0,45500.0,,153000.0,,153000.0,3600.0,,1084.0,,123.0,
1967,102000.0,8000.0,9360.0,,1235.0,598.0,28000.0,6066.0,3643.0,2048.0,,13698.0,38900.0,,155000.0,,155000.0,3600.0,,832.0,,60.0,
1968,98000.0,6000.0,9600.0,,1050.0,199.0,28835.0,4002.0,2866.0,1875.0,,11459.0,17200.0,,157000.0,,157000.0,3600.0,,327.0,,79.0,
1969,88000.0,4000.0,8300.0,,343.0,80.0,28892.0,1861.0,1611.0,1462.0,,11677.0,16450.0,,157000.0,,157000.0,3600.0,,299.0,,93.0,
1970,68000.0,3000.0,8400.0,,209.0,130.0,23062.0,899.0,1814.0,1698.0,,10039.0,17952.0,,160000.0,,160000.0,2800.0,,276.0,,93.0,
1971,62000.0,3000.0,8500.0,,452.0,130.0,25577.0,454.0,2159.0,1548.0,,9397.0,16043.0,,163000.0,,163000.0,2800.0,,92.0,,-1.0,
1972,49000.0,3000.0,8000.0,,298.0,130.0,24900.0,269.0,1130.0,474.0,,8870.0,11683.0,,165000.0,,165000.0,2400.0,,85.0,,-1.0,
1973,65000.0,2000.0,7700.0,,325.0,3000.0,27500.0,161.0,1628.0,0.0,,7291.0,10757.0,,167000.0,,167000.0,1500.0,,194.0,,-1.0,
1974,69000.0,2000.0,8000.0,,223.0,4000.0,31900.0,142.0,1411.0,,,9064.0,10518.0,,165000.0,,165000.0,1500.0,,1407.0,,-1.0,
1975,55000.0,2000.0,6950.0,,236.0,3843.0,31800.0,162.0,1255.0,,,5557.0,9035.0,,164000.0,,164000.0,1600.0,,384.0,,-1.0,
1976,53000.0,2000.0,8000.0,,182.0,3850.0,32900.0,205.0,1698.0,,,7249.0,7577.0,,162000.0,,162000.0,1500.0,,318.0,,-1.0,
1977,50000.0,2000.0,7200.0,,129.0,4900.0,32300.0,237.0,1892.0,,,5002.0,6420.0,,160000.0,,160000.0,1000.0,,437.0,,-1.0,
1978,50000.0,1806.0,8000.0,,204.0,4425.0,31800.0,250.0,1519.0,,,5298.0,5384.0,,159700.0,,159700.0,1000.0,,686.0,,-1.0,
1979,50000.0,480.0,8000.0,,217.0,3346.0,33100.0,80.0,1722.0,,,5742.0,4215.0,,155000.0,,155000.0,1000.0,,233.0,,-1.0,
1980,50000.0,978.0,9400.0,,82.0,3673.0,35500.0,38.0,1849.0,,,3908.0,3511.0,,120000.0,,120000.0,1000.0,,211.0,,-1.0,
1981,50000.0,1030.0,9000.0,,,2800.0,36900.0,18.0,1611.0,,,5481.0,3669.0,,95000.0,,95000.0,1000.0,,211.0,,-1.0,
1982,52000.0,919.0,7400.0,,,2600.0,36600.0,1.0,1823.0,,,5059.0,4035.0,,66000.0,,66000.0,1000.0,,223.0,,-1.0,
1983,50000.0,640.0,6000.0,,,2400.0,38700.0,2.0,1783.0,,,5361.0,4898.0,,40690.0,,40690.0,1000.0,,14.0,,-1.0,
1984,50000.0,422.0,6875.0,,,2400.0,46700.0,2.0,1643.0,,,5703.0,4784.0,,43000.0,,43000.0,1000.0,,62.0,,-1.0,
1985,50000.0,436.0,4160.0,,,3050.0,46600.0,,988.0,,,5349.0,4753.0,,46000.0,,46000.0,1000.0,,105.0,,-1.0,
1986,50000.0,542.0,3550.0,,,2600.0,37200.0,-1.0,1195.0,,,4582.0,6020.0,,63000.0,,63000.0,1000.0,,69.0,,-1.0,
1987,50000.0,729.0,4030.0,,,2200.0,39300.0,-1.0,1199.0,,,2767.0,3451.0,,53000.0,,53000.0,1000.0,,,,-1.0,
1988,50000.0,664.0,3400.0,,,1600.0,36300.0,-1.0,1158.0,,,1337.0,817.0,,53000.0,,53000.0,1000.0,,,,-1.0,
1989,50000.0,531.0,4200.0,,,1400.0,46100.0,-1.0,987.0,,,664.0,1716.0,,24000.0,,24000.0,1000.0,,3.0,,-1.0,
1990,17300.0,163.0,2500.0,0.0,0.0,1700.0,16600.0,-1.0,1081.0,0.0,,517.0,1255.0,,21000.0,,21000.0,1023.0,,20.0,,-1.0,
1991,17900.0,18.0,3096.0,-1.0,0.0,1900.0,14000.0,-1.0,1606.0,0.0,,618.0,981.0,,18200.0,,18200.0,907.0,,9.0,,-1.0,
1992,,10.0,3370.0,-1.0,0.0,1900.0,9900.0,-1.0,387.0,0.0,9680.0,0.0,,,18300.0,800.0,18300.0,932.0,,4.0,,-1.0,6272.0
1993,,38.0,2988.0,-1.0,,2900.0,2300.0,-1.0,165.0,-1.0,6980.0,50.0,,-1.0,19000.0,204.0,19000.0,957.0,-1.0,4.0,,-1.0,5000.0
1994,,107.0,2500.0,-1.0,,3100.0,800.0,-1.0,400.0,-1.0,2090.0,0.0,,-1.0,17000.0,940.0,17000.0,993.0,-1.0,4.0,-1.0,-1.0,3000.0
1995,,60.0,1600.0,-1.0,,3000.0,1100.0,-1.0,468.0,-1.0,864.0,20.0,,-1.0,16000.0,847.0,16000.0,1010.0,-1.0,3.0,-1.0,-1.0,2100.0
1996,,50.0,2450.0,-1.0,,3800.0,3300.0,-1.0,1031.0,-1.0,2000.0,0.0,,-1.0,14970.0,679.0,14970.0,1025.0,-1.0,4.0,-1.0,-1.0,2000.0
1997,,80.0,1600.0,-1.0,,5300.0,2678.0,-1.0,1107.0,-1.0,1165.0,48.0,,,14880.0,502.0,14880.0,1054.0,,4.0,-1.0,-1.0,2000.0
1998,,30.0,800.0,-1.0,,4650.0,3080.0,-1.0,1030.0,-1.0,1427.0,8.0,,,12180.0,343.0,12180.0,1047.0,,3.0,-1.0,-1.0,2000.0
1999,,48.0,536.0,-1.0,,8145.0,1300.0,-1.0,171.0,-1.0,1500.0,0.0,,,11320.0,253.0,11320.0,1076.0,,3.0,-1.0,-1.0,1900.0
2000,,46.0,883.0,-1.0,,8000.0,500.0,-1.0,58.0,-1.0,1000.0,-1.0,,,9700.0,73.0,9700.0,1100.0,,3.0,-1.0,-1.0,2900.0
2001,,47.0,700.0,-1.0,,6600.0,600.0,-1.0,68.0,-1.0,900.0,-1.0,,,12300.0,50.0,12300.0,1150.0,,3.0,,-1.0,2100.0
2002,,46.0,660.0,-1.0,,7520.0,1000.0,-1.0,925.0,-1.0,703.0,-1.0,,,14800.0,83.0,14800.0,1200.0,,3.0,,-1.0,1300.0
2003,,47.0,650.0,-1.0,,6300.0,1200.0,-1.0,950.0,-1.0,865.0,-1.0,,,9900.0,79.0,9900.0,1250.0,,3.0,,-1.0,700.0
2004,,47.0,375.0,-1.0,,9000.0,1000.0,-1.0,809.0,-1.0,1076.0,-1.0,,,10000.0,74.0,10000.0,1270.0,,3.0,,-1.0,1300.0
2005,,40.0,65.0,-1.0,,8200.0,797.0,-1.0,893.0,-1.0,1032.0,-1.0,,,11000.0,46.0,11000.0,1300.0,,3.0,,-1.0,1220.0
2006,,54.0,65.0,,,8755.0,786.0,-1.0,1080.0,-1.0,600.0,-1.0,,,14451.0,,14451.0,1371.0,,3.0,,-1.0,1127.0
2007,,55.0,56.0,,,9336.0,888.0,-1.0,1170.0,-1.0,570.0,-1.0,,,17800.0,,17800.0,1427.0,,4.0,,-1.0,1133.0
2008,,57.0,29.0,,,8700.0,893.0,-1.0,1250.0,-1.0,930.0,-1.0,,,11800.0,,11800.0,1532.0,,4.0,,-1.0,1081.0
2009,,58.0,66.0,,,9597.0,898.0,-1.0,1250.0,-1.0,300.0,-1.0,,,5900.0,,5900.0,1610.0,,4.0,,-1.0,1033.0
2010,,58.0,22.0,,,6369.0,904.0,-1.0,1041.0,-1.0,400.0,-1.0,,,5100.0,,5100.0,1673.0,,2.0,,-1.0,988.0
2011,,59.0,16.0,,,5868.0,909.0,-1.0,951.0,-1.0,700.0,-1.0,,,5700.0,,5700.0,1868.0,,2.0,,-1.0,946.0
2012,,60.0,6.0,,,9188.0,914.0,-1.0,1038.0,-1.0,1424.0,-1.0,,,5280.0,,5280.0,2200.0,,1.0,,-1.0,908.0
2013,,60.0,1.0,221.0,,10909.0,920.0,-1.0,1157.0,-1.0,1644.0,-1.0,,,5725.0,,5725.0,2200.0,,11.0,,-1.0,871.0
2014,,73.0,1.0,87.0,,10874.0,926.0,-1.0,1193.0,-1.0,1969.0,-1.0,,,5809.0,,5809.0,2257.0,,0.0,,-1.0,837.0
