,"China, Hong Kong SAR","China, Taiwan Province of",Croatia,Saudi Arabia,Philippines,Syrian Arab Republic,Martinique,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Republic of Korea,Melanesia,Yemen,Rwanda,Algeria,American Samoa,Senegal,Madagascar,Haiti,Ukraine,Israel,Fiji,Belgium,United Arab Emirates,Sri Lanka,Azerbaijan,Egypt,Sudan (former),China,Uzbekistan,Colombia,Libya,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Hungary,Kazakhstan,Mauritius,Portugal,"China, mainland",Peru,Democratic People's Republic of Korea,Cameroon,Serbia,Malta,Dominican Republic,Pakistan,Spain,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Japan,Bahrain,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Sudan,Kuwait,Kyrgyzstan,Ghana,Costa Rica,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Congo,Qatar,Gabon,USSR,Romania,Honduras,Jordan,Puerto Rico,Mexico,Tunisia,Côte d'Ivoire,Albania,Jamaica,Trinidad and Tobago,Italy,Polynesia,Réunion,Thailand,Lithuania,France,Netherlands,Oman,Republic of Moldova,Turkey
1961,100000.0,74950.0,-1.0,80000.0,20000.0,87500.0,200000.0,30435.0,-1.0,74777.0,90668.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,37500.0,100000.0,-1.0,308594.0,50000.0,-1.0,-1.0,70373.0,-1.0,201555.0,250000.0,85677.0,-1.0,133333.0,20000.0,216667.0,-1.0,-1.0,-1.0,-1.0,133333.0,-1.0,85714.0,-1.0,110000.0,-1.0,-1.0,-1.0,43740.0,-1.0,234286.0,109589.0,114286.0,142857.0,70000.0,167341.0,-1.0,-1.0,213333.0,141600.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,66000.0,-1.0,-1.0,-1.0,140000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,142700.0,-1.0,83943.0,-1.0,120219.0,-1.0,44444.0,200000.0,234989.0,-1.0,-1.0,57471.0,-1.0,199930.0,1428571.0,-1.0,-1.0,156522.0
1962,114286.0,73528.0,-1.0,80000.0,23913.0,95119.0,200000.0,30000.0,-1.0,95278.0,89558.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,32000.0,100000.0,-1.0,321918.0,50000.0,-1.0,-1.0,86220.0,-1.0,209790.0,250000.0,91624.0,-1.0,135000.0,20000.0,215385.0,-1.0,-1.0,-1.0,-1.0,152000.0,-1.0,91714.0,-1.0,115000.0,-1.0,-1.0,-1.0,45260.0,-1.0,233939.0,108108.0,125000.0,142857.0,50000.0,185447.0,-1.0,-1.0,210256.0,176011.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,67308.0,-1.0,-1.0,-1.0,147059.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,137696.0,-1.0,83597.0,-1.0,120219.0,-1.0,44444.0,200000.0,234997.0,-1.0,-1.0,55682.0,-1.0,196277.0,1428571.0,-1.0,-1.0,156118.0
1963,134667.0,76128.0,-1.0,90000.0,24264.0,95113.0,181818.0,30400.0,-1.0,93944.0,86859.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,32000.0,100000.0,-1.0,482972.0,50000.0,-1.0,-1.0,73055.0,-1.0,212935.0,250000.0,95555.0,-1.0,135246.0,20000.0,180000.0,-1.0,-1.0,-1.0,-1.0,156560.0,-1.0,95667.0,-1.0,120000.0,-1.0,-1.0,-1.0,45922.0,-1.0,231471.0,115583.0,100000.0,142857.0,60000.0,197510.0,-1.0,-1.0,210256.0,141407.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,67901.0,-1.0,-1.0,-1.0,147059.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,127321.0,-1.0,82873.0,-1.0,120000.0,-1.0,47895.0,195043.0,233916.0,-1.0,-1.0,54783.0,-1.0,172394.0,1428571.0,-1.0,-1.0,155738.0
1964,101385.0,80205.0,-1.0,90000.0,24547.0,87368.0,218182.0,29630.0,-1.0,103245.0,99750.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,34000.0,100000.0,-1.0,419355.0,50000.0,-1.0,-1.0,87697.0,-1.0,217990.0,250000.0,94717.0,-1.0,136885.0,20000.0,181250.0,-1.0,-1.0,-1.0,-1.0,130109.0,-1.0,94815.0,-1.0,109091.0,-1.0,-1.0,-1.0,45660.0,-1.0,226765.0,153760.0,100000.0,142857.0,50000.0,204449.0,-1.0,-1.0,210000.0,151830.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,67647.0,-1.0,-1.0,-1.0,147059.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,119484.0,-1.0,83576.0,-1.0,120000.0,-1.0,49000.0,201125.0,234218.0,-1.0,-1.0,54911.0,-1.0,211599.0,1428571.0,-1.0,-1.0,156250.0
1965,141455.0,80624.0,-1.0,90000.0,28291.0,89332.0,200000.0,30000.0,-1.0,114545.0,47372.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,34000.0,100000.0,-1.0,271667.0,50000.0,-1.0,-1.0,86280.0,-1.0,221749.0,247826.0,99877.0,-1.0,137097.0,20000.0,142857.0,-1.0,-1.0,-1.0,-1.0,131930.0,-1.0,100000.0,-1.0,109091.0,-1.0,-1.0,-1.0,45545.0,-1.0,231765.0,145456.0,100000.0,124255.0,45000.0,207867.0,-1.0,-1.0,210000.0,171896.0,-1.0,-1.0,-1.0,-1.0,52835.0,-1.0,-1.0,68571.0,-1.0,-1.0,-1.0,145833.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,124607.0,-1.0,83596.0,-1.0,118182.0,-1.0,50800.0,195400.0,239495.0,-1.0,-1.0,50647.0,-1.0,218692.0,1428571.0,-1.0,-1.0,157059.0
1966,111111.0,81308.0,-1.0,90000.0,29596.0,92430.0,300000.0,29655.0,-1.0,126142.0,99138.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,100000.0,-1.0,261345.0,50000.0,-1.0,160000.0,87960.0,-1.0,224872.0,252174.0,102172.0,-1.0,138710.0,20000.0,146402.0,-1.0,-1.0,-1.0,-1.0,151040.0,-1.0,102308.0,-1.0,113636.0,-1.0,-1.0,-1.0,45855.0,-1.0,227353.0,150307.0,100300.0,189907.0,50000.0,223862.0,-1.0,-1.0,209877.0,172102.0,-1.0,-1.0,-1.0,-1.0,62159.0,-1.0,-1.0,68333.0,-1.0,-1.0,-1.0,142857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,152266.0,-1.0,83510.0,-1.0,118182.0,-1.0,46897.0,202857.0,241925.0,-1.0,-1.0,53191.0,-1.0,218189.0,1428571.0,-1.0,-1.0,155390.0
1967,111111.0,82129.0,-1.0,90000.0,30853.0,103155.0,375000.0,30000.0,-1.0,135047.0,108960.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,100000.0,-1.0,260000.0,50000.0,-1.0,156250.0,75567.0,-1.0,223268.0,252174.0,103696.0,-1.0,139683.0,20000.0,130066.0,-1.0,-1.0,-1.0,-1.0,137536.0,-1.0,103846.0,-1.0,108333.0,-1.0,-1.0,-1.0,44621.0,-1.0,246486.0,175538.0,114000.0,184727.0,50000.0,247408.0,-1.0,-1.0,243129.0,175183.0,-1.0,-1.0,-1.0,-1.0,66042.0,-1.0,-1.0,68421.0,-1.0,-1.0,-1.0,142857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,203833.0,-1.0,84279.0,-1.0,116667.0,-1.0,53529.0,217833.0,242672.0,-1.0,-1.0,52000.0,-1.0,219748.0,1428571.0,-1.0,-1.0,161538.0
1968,111111.0,83526.0,-1.0,90000.0,36666.0,120032.0,350000.0,30994.0,-1.0,140238.0,119611.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,33333.0,100000.0,-1.0,271667.0,50000.0,-1.0,200000.0,82313.0,-1.0,216311.0,250000.0,113514.0,-1.0,142857.0,20833.0,150527.0,-1.0,-1.0,-1.0,-1.0,140902.0,-1.0,113725.0,-1.0,112500.0,-1.0,-1.0,-1.0,45759.0,-1.0,236389.0,127113.0,119907.0,171923.0,75000.0,258350.0,-1.0,-1.0,277653.0,165518.0,-1.0,-1.0,-1.0,-1.0,66043.0,-1.0,-1.0,70000.0,142000.0,-1.0,-1.0,142857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,156977.0,-1.0,87289.0,-1.0,116667.0,-1.0,38182.0,222105.0,243459.0,-1.0,-1.0,52105.0,-1.0,232540.0,1428571.0,-1.0,-1.0,162480.0
1969,181818.0,95505.0,-1.0,90000.0,33806.0,109341.0,382000.0,31579.0,-1.0,154535.0,124551.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,33333.0,100000.0,-1.0,244654.0,50000.0,-1.0,250000.0,67145.0,-1.0,241237.0,254167.0,117495.0,-1.0,143750.0,20000.0,113073.0,-1.0,-1.0,-1.0,-1.0,149318.0,-1.0,117647.0,-1.0,112500.0,-1.0,-1.0,-1.0,45350.0,-1.0,234279.0,133933.0,123256.0,166929.0,50000.0,253881.0,-1.0,-1.0,289284.0,161514.0,-1.0,-1.0,-1.0,-1.0,37500.0,-1.0,-1.0,70000.0,145000.0,-1.0,-1.0,142857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,107202.0,-1.0,156105.0,-1.0,120000.0,-1.0,36000.0,220222.0,248525.0,-1.0,-1.0,51979.0,-1.0,232215.0,1428571.0,-1.0,-1.0,180332.0
1970,111111.0,105353.0,-1.0,90000.0,38800.0,110767.0,400000.0,33333.0,-1.0,161097.0,106159.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,33333.0,100000.0,-1.0,388136.0,50000.0,-1.0,200000.0,66280.0,-1.0,216227.0,250000.0,124642.0,-1.0,146875.0,20000.0,115812.0,-1.0,-1.0,-1.0,-1.0,166906.0,-1.0,124857.0,-1.0,107692.0,-1.0,-1.0,-1.0,44952.0,-1.0,213497.0,126672.0,124812.0,172789.0,50000.0,260578.0,-1.0,-1.0,262131.0,176688.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,-1.0,72195.0,86667.0,-1.0,-1.0,142857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,104714.0,-1.0,164423.0,-1.0,120000.0,-1.0,62069.0,223778.0,251538.0,-1.0,-1.0,52083.0,-1.0,236533.0,1428571.0,-1.0,-1.0,179775.0
