,Kenya,"China, Taiwan Province of",Croatia,Syrian Arab Republic,Brazil,Australia,Nepal,Ethiopia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Republic of Korea,Kyrgyzstan,Yemen,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Slovenia,Madagascar,Tajikistan,Ukraine,Israel,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Uzbekistan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Portugal,Poland,"China, mainland",Russian Federation,Italy,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Germany,Armenia,Canada,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,India,Austria,Morocco,Bhutan,USSR,Mexico,Romania,Ecuador,Jordan,Tunisia,Albania,Turkmenistan,France,South Africa,Réunion,Netherlands,Belgium-Luxembourg,Slovakia,Republic of Moldova,Turkey
1961,-1.0,280.0,-1.0,1000.0,8452.0,6448.0,-1.0,-1.0,-1.0,30500.0,-1.0,3308.0,-1.0,-1.0,7648.0,-1.0,-1.0,5500.0,-1.0,1800.0,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,404.0,-1.0,60280.0,-1.0,-1.0,-1.0,1950.0,-1.0,-1.0,12200.0,-1.0,-1.0,-1.0,4500.0,-1.0,60000.0,-1.0,85500.0,4500.0,2500.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,7680.0,20100.0,1810.0,-1.0,200.0,250.0,8700.0,1200.0,2440.0,142000.0,9000.0,5300.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,20000.0,5152.0,-1.0,1579.0,100.0,10000.0,-1.0,-1.0,52573.0,9000.0,-1.0,-1,-1,-1.0,-1.0,9722.0
1962,-1.0,280.0,-1.0,1600.0,9104.0,6448.0,-1.0,-1.0,-1.0,31500.0,-1.0,3358.0,-1.0,-1.0,7690.0,-1.0,-1.0,5200.0,-1.0,1800.0,-1.0,-1.0,400.0,-1.0,-1.0,-1.0,335.0,-1.0,63280.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,12200.0,-1.0,-1.0,-1.0,3000.0,-1.0,63000.0,-1.0,88400.0,4500.0,2500.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,5640.0,20600.0,1810.0,-1.0,220.0,275.0,8900.0,1242.0,4479.0,137550.0,9000.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,22000.0,5315.0,-1.0,1048.0,200.0,9500.0,-1.0,-1.0,51943.0,9000.0,-1.0,-1,-1,-1.0,-1.0,10054.0
1963,-1.0,358.0,-1.0,1600.0,11899.0,8295.0,-1.0,-1.0,-1.0,32500.0,-1.0,3440.0,-1.0,-1.0,9695.0,-1.0,-1.0,2000.0,-1.0,1800.0,-1.0,-1.0,400.0,-1.0,-1.0,-1.0,399.0,-1.0,63358.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,12500.0,-1.0,-1.0,-1.0,3500.0,-1.0,63000.0,-1.0,91400.0,4600.0,2500.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,5930.0,20700.0,1810.0,-1.0,242.0,300.0,9900.0,1400.0,6282.0,130550.0,9000.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,10800.0,-1.0,-1.0,-1.0,23000.0,5453.0,-1.0,958.0,200.0,9000.0,-1.0,-1.0,52339.0,11000.0,-1.0,-1,-1,-1.0,-1.0,10030.0
1964,-1.0,340.0,-1.0,1600.0,12262.0,9313.0,-1.0,-1.0,-1.0,33500.0,-1.0,5024.0,-1.0,-1.0,10813.0,-1.0,-1.0,4200.0,-1.0,1800.0,-1.0,-1.0,700.0,-1.0,-1.0,-1.0,590.0,-1.0,70340.0,-1.0,-1.0,-1.0,560.0,-1.0,-1.0,12500.0,-1.0,-1.0,-1.0,3000.0,-1.0,70000.0,-1.0,94000.0,4600.0,2900.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,7150.0,21000.0,1920.0,-1.0,267.0,308.0,13700.0,1500.0,8098.0,125570.0,9000.0,1600.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,30000.0,5435.0,-1.0,1483.0,200.0,6000.0,-1.0,-1.0,46947.0,12000.0,-1.0,-1,-1,-1.0,-1.0,10340.0
1965,-1.0,386.0,-1.0,1600.0,12710.0,9644.0,-1.0,-1.0,-1.0,34200.0,-1.0,10520.0,-1.0,-1.0,11044.0,-1.0,-1.0,4200.0,-1.0,600.0,-1.0,-1.0,700.0,-1.0,-1.0,-1.0,770.0,-1.0,75386.0,-1.0,-1.0,-1.0,510.0,-1.0,-1.0,13000.0,-1.0,-1.0,-1.0,4900.0,-1.0,75000.0,-1.0,96000.0,4600.0,1900.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,21000.0,2020.0,-1.0,294.0,313.0,15500.0,1400.0,10388.0,121440.0,9000.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,35000.0,5603.0,-1.0,797.0,200.0,7000.0,-1.0,-1.0,49397.0,13000.0,-1.0,-1,-1,-1.0,-1.0,10338.0
1966,-1.0,391.0,-1.0,1597.0,13624.0,10403.0,-1.0,-1.0,-1.0,36000.0,-1.0,10728.0,-1.0,-1.0,11843.0,-1.0,-1.0,3700.0,-1.0,2000.0,-1.0,-1.0,700.0,-1.0,-1.0,-1.0,932.0,-1.0,100391.0,-1.0,-1.0,-1.0,551.0,-1.0,-1.0,13100.0,-1.0,-1.0,-1.0,4900.0,-1.0,100000.0,-1.0,101200.0,4600.0,2668.0,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,4900.0,21400.0,2230.0,-1.0,324.0,375.0,16000.0,1440.0,12426.0,118250.0,9000.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,10500.0,-1.0,-1.0,-1.0,40000.0,5769.0,-1.0,688.0,239.0,4000.0,-1.0,-1.0,50302.0,13000.0,-1.0,-1,-1,-1.0,-1.0,10720.0
1967,-1.0,448.0,-1.0,1700.0,13537.0,10432.0,-1.0,-1.0,-1.0,34700.0,-1.0,11398.0,-1.0,-1.0,11912.0,-1.0,-1.0,3800.0,-1.0,600.0,-1.0,-1.0,900.0,-1.0,-1.0,-1.0,840.0,-1.0,100448.0,-1.0,-1.0,-1.0,727.0,-1.0,-1.0,13500.0,-1.0,-1.0,-1.0,4900.0,-1.0,100000.0,-1.0,97600.0,4600.0,2739.0,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,3970.0,21600.0,2490.0,-1.0,357.0,425.0,16100.0,1480.0,14054.0,114240.0,9000.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,60000.0,5832.0,-1.0,473.0,266.0,6000.0,-1.0,-1.0,42183.0,13000.0,-1.0,-1,-1,-1.0,-1.0,10574.0
1968,-1.0,504.0,-1.0,1664.0,15918.0,10403.0,-1.0,-1.0,-1.0,29000.0,-1.0,11632.0,-1.0,-1.0,11908.0,-1.0,-1.0,3900.0,-1.0,1200.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,1260.0,-1.0,115504.0,-1.0,-1.0,-1.0,847.0,-1.0,-1.0,13500.0,-1.0,-1.0,-1.0,4800.0,-1.0,115000.0,-1.0,81000.0,4600.0,2804.0,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,4780.0,21400.0,2440.0,-1.0,394.0,450.0,19800.0,1505.0,14454.0,114080.0,9000.0,1100.0,-1.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1.0,-1.0,-1.0,70000.0,6077.0,-1.0,655.0,115.0,8000.0,-1.0,-1.0,44678.0,14000.0,-1.0,-1,-1,-1.0,-1.0,9960.0
1969,-1.0,630.0,-1.0,1775.0,12352.0,10017.0,-1.0,-1.0,-1.0,29200.0,50.0,11566.0,-1.0,-1.0,11590.0,-1.0,-1.0,4000.0,-1.0,1700.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,1260.0,-1.0,95630.0,-1.0,-1.0,-1.0,575.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,5490.0,-1.0,95000.0,-1.0,82000.0,4600.0,3531.0,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,4140.0,20800.0,2480.0,-1.0,435.0,450.0,22500.0,1573.0,14055.0,110600.0,9000.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,11500.0,-1.0,-1.0,-1.0,75000.0,6573.0,-1.0,578.0,122.0,6000.0,-1.0,-1.0,45735.0,15000.0,-1.0,-1,-1,-1.0,-1.0,10440.0
1970,-1.0,631.0,-1.0,1768.0,12747.0,9854.0,-1.0,-1.0,-1.0,29500.0,60.0,11834.0,-1.0,-1.0,11429.0,-1.0,-1.0,4200.0,-1.0,2000.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,1260.0,-1.0,105631.0,-1.0,-1.0,-1.0,792.0,-1.0,-1.0,14500.0,-1.0,-1.0,-1.0,6800.0,-1.0,105000.0,-1.0,83000.0,4700.0,3166.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,5480.0,20100.0,2500.0,-1.0,483.0,500.0,30400.0,1575.0,13011.0,103840.0,9000.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,102000.0,15377.0,-1.0,590.0,119.0,6000.0,-1.0,-1.0,44000.0,14000.0,-1.0,-1,-1,-1.0,-1.0,11178.0
