,Iran (Islamic Republic of),Uzbekistan,Cyprus,Italy,China,Spain,Mexico,United States of America,Australia,Azerbaijan,Syrian Arab Republic,Jordan,Australia & New Zealand,Tunisia,"China, mainland",Madagascar,Pakistan,Kyrgyzstan,Greece,Afghanistan,Turkey
1961,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3077.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3800.0
1962,4667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3526.0
1963,3333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6699.0
1964,5333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0
1965,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5320.0
1966,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2344.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9358.0
1967,2000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2344.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5165.0
1968,5441.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2337.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13013.0
1969,5147.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2405.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2894.0
1970,4800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6034.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9089.0
1971,7744.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1725.0,-1.0,-1.0,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5597.0
1972,6962.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7605.0,-1.0,-1.0,88.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17425.0
1973,6889.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2166.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3867.0
1974,9130.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6548.0,-1.0,-1.0,115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11926.0
1975,5652.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9147.0,6250.0,-1.0,82.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15500.0
1976,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3273.0,5556.0,-1.0,73.0,-1.0,-1.0,-1.0,-1.0,-1.0,7957.0,2350.0
1977,5745.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30246.0,-1.0,-1.0,4064.0,5000.0,-1.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,5745.0,19311.0
1978,8214.0,-1.0,556.0,-1.0,-1.0,-1.0,-1.0,8303.0,-1.0,-1.0,4311.0,4545.0,-1.0,67.0,-1.0,-1.0,-1.0,-1.0,-1.0,8085.0,2864.0
1979,938.0,-1.0,556.0,-1.0,-1.0,-1.0,-1.0,7589.0,-1.0,-1.0,3086.0,3448.0,-1.0,59.0,-1.0,-1.0,6154.0,-1.0,-1.0,4348.0,9267.0
1980,2054.0,-1.0,545.0,-1.0,-1.0,-1.0,-1.0,11205.0,-1.0,-1.0,4174.0,15455.0,-1.0,114.0,-1.0,-1.0,14063.0,-1.0,-1.0,7111.0,3251.0
1981,10714.0,-1.0,667.0,-1.0,-1.0,-1.0,-1.0,5824.0,-1.0,-1.0,4233.0,17778.0,-1.0,92.0,-1.0,-1.0,16000.0,-1.0,-1.0,5909.0,10058.0
1982,10446.0,-1.0,667.0,-1.0,-1.0,-1.0,-1.0,16269.0,-1.0,-1.0,3349.0,17407.0,-1.0,78.0,-1.0,-1.0,17722.0,-1.0,-1.0,7442.0,5230.0
1983,11780.0,-1.0,750.0,-1.0,-1.0,-1.0,-1.0,9512.0,-1.0,-1.0,3695.0,20000.0,-1.0,84.0,-1.0,-1.0,19318.0,-1.0,-1.0,5952.0,10058.0
