,Slovakia,United States of America,Romania,USSR,Norway,Australia,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Morocco,Germany,Latvia,Finland,Serbia and Montenegro,Australia & New Zealand,Serbia,Slovenia,Chile,Montenegro,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,New Zealand,Austria,Poland,Belarus,Denmark,Switzerland,Estonia,Greece,Czechoslovakia,Bosnia and Herzegovina,France,Zimbabwe,Croatia,Hungary,Russian Federation,Bulgaria,Yugoslav SFR,Ghana,Mexico,Sweden,Azerbaijan,Ireland,United Kingdom,Lithuania,Portugal,Netherlands,Ukraine
1961,,3350.0,-1.0,10000.0,300.0,395.0,,,,,,,-1.0,-1.0,,40.0,,595.0,,,,,1700.0,-1.0,-1.0,,200.0,-1.0,,,-1.0,-1.0,,,-1.0,,761.0,-1.0,,-1.0,,2000.0,,,-1.0,-1.0,,,3000.0,,,-1.0,
1962,,3120.0,-1.0,10000.0,300.0,395.0,,,,,,,-1.0,-1.0,,40.0,,616.0,,,,,1700.0,-1.0,-1.0,,221.0,-1.0,,,-1.0,-1.0,,,-1.0,,812.0,-1.0,,-1.0,,1900.0,,,-1.0,-1.0,,,3000.0,,,-1.0,
1963,,3120.0,-1.0,10000.0,300.0,365.0,,,,,,,-1.0,-1.0,,40.0,,595.0,,,,,2200.0,-1.0,-1.0,,230.0,-1.0,,,-1.0,-1.0,,,-1.0,,816.0,-1.0,,-1.0,,2100.0,,,-1.0,-1.0,,,3000.0,,,-1.0,
1964,,3420.0,-1.0,11000.0,400.0,367.0,,,,,,,-1.0,-1.0,,25.0,,590.0,,,,,2400.0,-1.0,-1.0,,223.0,-1.0,,,-1.0,-1.0,,,-1.0,,1004.0,-1.0,,-1.0,,2100.0,,,-1.0,-1.0,,,3200.0,,,-1.0,
1965,,4270.0,-1.0,11000.0,400.0,338.0,,,,,,,-1.0,-1.0,,24.0,,561.0,,,,,2200.0,-1.0,-1.0,,223.0,-1.0,4576.0,,-1.0,-1.0,,,-1.0,,1011.0,-1.0,,-1.0,,2200.0,,,-1.0,-1.0,,,3000.0,,,-1.0,
1966,,4290.0,-1.0,10000.0,413.0,317.0,,,,,,,-1.0,-1.0,,20.0,,528.0,,,,,2500.0,-1.0,-1.0,,211.0,-1.0,4711.0,,-1.0,-1.0,,,-1.0,,1039.0,-1.0,,-1.0,,2300.0,,,-1.0,-1.0,,,3000.0,,,-1.0,
1967,,4170.0,-1.0,10000.0,430.0,286.0,,,,,,,-1.0,-1.0,,18.0,,496.0,,,,,2800.0,-1.0,-1.0,,210.0,-1.0,4848.0,,-1.0,-1.0,,,-1.0,,1002.0,-1.0,,-1.0,,2400.0,,,-1.0,-1.0,,,2800.0,,,-1.0,
1968,,3660.0,-1.0,10000.0,456.0,229.0,,,,,,,-1.0,-1.0,,17.0,,438.0,,,,,2100.0,-1.0,-1.0,,209.0,-1.0,4895.0,,-1.0,-1.0,,,-1.0,,1006.0,-1.0,,-1.0,,2500.0,,,-1.0,-1.0,,,3300.0,,,-1.0,
1969,,3550.0,-1.0,10000.0,414.0,240.0,,,,,,,-1.0,-1.0,,13.0,,471.0,,,,,2200.0,-1.0,-1.0,,231.0,-1.0,5412.0,,-1.0,-1.0,,,-1.0,,1125.0,-1.0,,-1.0,,2687.0,,,-1.0,-1.0,,,3700.0,,,-1.0,
1970,,3500.0,-1.0,17000.0,424.0,255.0,,,,,,,-1.0,-1.0,,20.0,,552.0,,,,,1800.0,-1.0,-1.0,,297.0,-1.0,5417.0,,-1.0,-1.0,,,-1.0,,1100.0,-1.0,,-1.0,,3687.0,,,-1.0,-1.0,,,3300.0,,,-1.0,
