,Guinea,India,El Salvador,Kenya,Peru,Mozambique,Gambia,Myanmar,Burkina Faso,Malaysia,Mexico,Dominican Republic,Nigeria,Honduras,Brazil,Benin,United Republic of Tanzania,China,Indonesia,Côte d'Ivoire,Sri Lanka,Angola,Togo,Viet Nam,Philippines,Guinea-Bissau,Belize,Thailand,Ghana,"China, mainland",Madagascar,Mali,Senegal
1961,-1.0,4250.0,8571.0,3000.0,-1.0,5944.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,4667.0,-1.0,-1.0,250.0,6024.0,-1.0,-1.0,500.0,-1.0,3333.0,-1.0,7000.0,-1.0,2000.0,-1.0,10000.0,-1.0,-1.0,1600.0,-1.0,-1.0
1962,-1.0,4400.0,8571.0,3500.0,-1.0,6000.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,5833.0,-1.0,-1.0,250.0,6481.0,-1.0,-1.0,500.0,-1.0,3333.0,-1.0,7000.0,14545.0,2000.0,-1.0,10000.0,-1.0,-1.0,1700.0,-1.0,-1.0
1963,-1.0,4279.0,8611.0,3500.0,-1.0,6478.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,6000.0,-1.0,-1.0,250.0,6250.0,-1.0,-1.0,500.0,-1.0,3333.0,-1.0,7000.0,14444.0,2000.0,-1.0,10000.0,-1.0,-1.0,1800.0,-1.0,-1.0
1964,-1.0,4419.0,8611.0,3615.0,-1.0,6783.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,6129.0,-1.0,-1.0,250.0,7100.0,-1.0,-1.0,500.0,-1.0,3333.0,-1.0,7000.0,14474.0,2000.0,-1.0,10000.0,-1.0,-1.0,1800.0,-1.0,-1.0
1965,-1.0,4348.0,8649.0,3462.0,-1.0,6476.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,6197.0,-1.0,-1.0,250.0,6726.0,-1.0,-1.0,500.0,-1.0,3333.0,-1.0,7000.0,14408.0,2000.0,-1.0,10000.0,-1.0,-1.0,1900.0,-1.0,-1.0
1966,-1.0,4302.0,8649.0,3536.0,-1.0,6263.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,6216.0,-1.0,-1.0,300.0,6933.0,-1.0,-1.0,500.0,-1.0,3667.0,-1.0,7000.0,14442.0,2000.0,-1.0,10000.0,-1.0,-1.0,2000.0,-1.0,-1.0
1967,-1.0,4585.0,8684.0,3471.0,-1.0,5611.0,-1.0,-1.0,-1.0,18000.0,-1.0,-1.0,6234.0,-1.0,-1.0,364.0,5986.0,-1.0,-1.0,500.0,-1.0,4000.0,-1.0,7000.0,14500.0,2000.0,-1.0,10000.0,-1.0,-1.0,2000.0,-1.0,-1.0
1968,-1.0,4611.0,8462.0,3542.0,-1.0,6197.0,-1.0,-1.0,-1.0,17619.0,-1.0,-1.0,6250.0,-1.0,-1.0,436.0,5675.0,-1.0,-1.0,500.0,-1.0,4000.0,-1.0,7000.0,14637.0,2000.0,-1.0,10000.0,-1.0,-1.0,2157.0,-1.0,-1.0
1969,-1.0,4533.0,8500.0,3600.0,-1.0,6168.0,-1.0,-1.0,-1.0,17727.0,-1.0,-1.0,6250.0,-1.0,-1.0,482.0,5230.0,-1.0,-1.0,500.0,-1.0,4000.0,-1.0,7000.0,14419.0,2000.0,-1.0,10000.0,-1.0,-1.0,2255.0,-1.0,-1.0
1970,-1.0,4386.0,8293.0,3265.0,-1.0,6345.0,-1.0,-1.0,-1.0,17932.0,-1.0,-1.0,6250.0,-1.0,-1.0,685.0,5777.0,-1.0,-1.0,365.0,-1.0,4333.0,-1.0,7000.0,14352.0,2083.0,-1.0,10000.0,-1.0,-1.0,2353.0,-1.0,-1.0
