,USSR,Australia & New Zealand,Australia,Pakistan,Uruguay,Kenya,Romania,Lebanon,Yemen,Albania,Paraguay,Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Ecuador,Swaziland,Madagascar,Republic of Moldova,Canada,Russian Federation,Switzerland,Belgium-Luxembourg,Estonia,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,France,Republic of Korea,Egypt,New Zealand,Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,Lithuania,Portugal,Netherlands,Slovakia,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Libya,Poland,Italy,Germany,Croatia,Sweden,Uzbekistan,China,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Denmark,Zimbabwe,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Afghanistan,Austria,Grenada,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Turkey,Cameroon,Tunisia,Occupied Palestinian Territory,Georgia,Latvia,Bolivia (Plurinational State of),Czechoslovakia,South Africa,Bulgaria,Ukraine
1961,142000.0,3618.0,3328.0,3000.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,2300.0,3000.0,650.0,-1.0,600.0,,2400.0,,2200.0,800.0,,,900.0,,17609.0,,382.0,290.0,,,5319.0,-1.0,9000.0,,50380.0,63000.0,189.0,650.0,,2500.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,16000.0,-1.0,,-1.0,,63800.0,,,-1.0,1000.0,3000.0,-1.0,,1000.0,3600.0,800.0,900.0,8670.0,,4320.0,-1.0,-1.0,5000.0,,,17615.0,-1.0,2000.0,-1.0,,,80.0,-1.0,2000.0,18871.0,
1962,145000.0,3620.0,3328.0,2800.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,2400.0,3200.0,341.0,-1.0,600.0,,2060.0,,1370.0,800.0,,,900.0,,17937.0,,242.0,292.0,,,5950.0,-1.0,9000.0,,50820.0,66000.0,200.0,650.0,,2300.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,15700.0,-1.0,,-1.0,,66850.0,,,-1.0,1000.0,2900.0,-1.0,,1000.0,3700.0,850.0,900.0,9140.0,,4320.0,-1.0,-1.0,5500.0,,,17918.0,-1.0,1700.0,-1.0,,,80.0,-1.0,2000.0,20443.0,
1963,148000.0,3661.0,3380.0,3700.0,-1.0,-1.0,-1.0,600.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,2400.0,2700.0,394.0,-1.0,600.0,,2980.0,,2100.0,800.0,,,900.0,,17931.0,,242.0,281.0,,,6704.0,-1.0,9000.0,,52570.0,68000.0,211.0,760.0,,2500.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,15600.0,-1.0,,-1.0,,69138.0,,,-1.0,1000.0,3000.0,-1.0,,1000.0,3300.0,1138.0,900.0,9720.0,,4320.0,-1.0,-1.0,6000.0,,,18060.0,-1.0,2500.0,-1.0,,,80.0,-1.0,2200.0,21742.0,
1964,150000.0,3748.0,3448.0,4000.0,-1.0,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,3800.0,3700.0,352.0,-1.0,470.0,,2830.0,,1380.0,800.0,,,900.0,,18074.0,,275.0,300.0,,,6830.0,-1.0,9000.0,,54150.0,75000.0,222.0,800.0,,2400.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,15700.0,-1.0,,-1.0,,76214.0,,,-1.0,1000.0,3000.0,-1.0,,1000.0,3600.0,1214.0,900.0,10600.0,,4570.0,-1.0,-1.0,4000.0,,,18035.0,-1.0,2000.0,-1.0,,,80.0,-1.0,2300.0,23042.0,
1965,163000.0,3846.0,3526.0,3200.0,-1.0,-1.0,-1.0,275.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,4500.0,3500.0,384.0,-1.0,620.0,,1890.0,,1850.0,600.0,,,800.0,,16945.0,,280.0,320.0,,,7156.0,-1.0,9100.0,,54830.0,80000.0,244.0,820.0,,2400.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,13600.0,-1.0,,-1.0,,81313.0,,,-1.0,1000.0,2900.0,-1.0,,1000.0,3500.0,1313.0,900.0,11900.0,,4820.0,-1.0,-1.0,3800.0,,,18223.0,-1.0,2500.0,-1.0,,,80.0,-1.0,2400.0,24195.0,
1966,173000.0,3720.0,3408.0,3700.0,-1.0,-1.0,-1.0,278.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,4400.0,3700.0,400.0,-1.0,620.0,,2330.0,,1800.0,600.0,,,800.0,,24212.0,,218.0,312.0,,,7307.0,-1.0,9100.0,,54110.0,105000.0,267.0,870.0,,2500.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,14500.0,-1.0,,-1.0,,106341.0,,,-1.0,1085.0,2900.0,-1.0,,1100.0,3000.0,1341.0,1300.0,13400.0,,5320.0,-1.0,-1.0,3900.0,,,18143.0,-1.0,2000.0,-1.0,,,80.0,-1.0,2200.0,25175.0,
1967,165000.0,3733.0,3413.0,3500.0,-1.0,-1.0,-1.0,365.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,4700.0,4000.0,450.0,-1.0,700.0,,1950.0,,1750.0,600.0,,,800.0,,20537.0,,420.0,320.0,,,7389.0,-1.0,9100.0,,55080.0,110000.0,300.0,915.0,,2500.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,13700.0,-1.0,,-1.0,,111444.0,,,-1.0,1690.0,3000.0,-1.0,,1600.0,2600.0,1444.0,1300.0,14700.0,,5940.0,-1.0,-1.0,3500.0,,,17818.0,-1.0,2500.0,-1.0,,,80.0,-1.0,2200.0,27627.0,
1968,168000.0,3710.0,3374.0,3300.0,-1.0,-1.0,-1.0,352.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,5000.0,4200.0,500.0,-1.0,700.0,,1560.0,,1900.0,700.0,,,800.0,,17912.0,388.0,420.0,336.0,,,7613.0,-1.0,9200.0,,56820.0,125000.0,333.0,1044.0,,2320.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,13000.0,-1.0,,-1.0,,126761.0,,,-1.0,277.0,3000.0,-1.0,,1560.0,3300.0,1761.0,1200.0,15300.0,,5810.0,-1.0,-1.0,6000.0,,,15325.0,-1.0,2700.0,-1.0,,,80.0,-1.0,2200.0,30636.0,
1969,170000.0,3640.0,3295.0,4400.0,-1.0,-1.0,-1.0,396.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,5600.0,4500.0,470.0,-1.0,780.0,,1280.0,,1800.0,700.0,,,800.0,,17814.0,303.0,420.0,345.0,,,7510.0,-1.0,9200.0,,57260.0,115000.0,356.0,1119.0,,2200.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,12500.0,-1.0,,-1.0,,116837.0,,,-1.0,165.0,2600.0,-1.0,,1669.0,3300.0,1837.0,1000.0,15700.0,,5910.0,-1.0,-1.0,4000.0,,,15590.0,-1.0,1900.0,-1.0,,,80.0,-1.0,2200.0,31819.0,
1970,260000.0,3688.0,3336.0,700.0,-1.0,-1.0,-1.0,495.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,6000.0,4700.0,450.0,-1.0,850.0,,1690.0,,1850.0,600.0,,,750.0,,18000.0,291.0,420.0,352.0,,,8388.0,-1.0,9200.0,,56860.0,125000.0,378.0,1014.0,,2070.0,,,-1.0,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,-1.0,11600.0,-1.0,,-1.0,,126834.0,,,-1.0,346.0,2600.0,-1.0,,1657.0,3300.0,1834.0,1000.0,15900.0,,5950.0,-1.0,-1.0,4500.0,,,15960.0,-1.0,2200.0,-1.0,,,100.0,-1.0,2200.0,32756.0,
