,"China, mainland",Mali,Ghana,Benin,Côte d'Ivoire,Nigeria,China,Burkina Faso,Togo
1961,,69000.0,26000.0,5250.0,3000.0,27000.0,,38000.0,1000.0
1962,,70000.0,26000.0,6480.0,3000.0,35000.0,,34000.0,1000.0
1963,,71000.0,26000.0,9000.0,3000.0,51000.0,,30000.0,2000.0
1964,,72500.0,39000.0,3050.0,6000.0,36000.0,,40000.0,2000.0
1965,,74000.0,36000.0,7500.0,3000.0,54000.0,,37000.0,1000.0
1966,,76500.0,36000.0,7735.0,5000.0,41000.0,,40000.0,3000.0
1967,,78000.0,42000.0,8700.0,1500.0,66000.0,,35000.0,1000.0
1968,,80000.0,42000.0,5800.0,2500.0,59000.0,,42000.0,3000.0
1969,,81000.0,44000.0,6500.0,3000.0,67000.0,,44000.0,3000.0
1970,,82000.0,44000.0,8900.0,3000.0,67000.0,,44000.0,3000.0
1971,,83000.0,44000.0,5800.0,5000.0,70000.0,,40000.0,4554.0
1972,,80000.0,40000.0,6000.0,1500.0,75000.0,,44000.0,4500.0
1973,,82000.0,40000.0,5200.0,1500.0,79000.0,,44000.0,4441.0
1974,,78000.0,42000.0,9600.0,2500.0,83000.0,,40000.0,5000.0
1975,,78000.0,48000.0,7475.0,4500.0,88000.0,,45000.0,5395.0
1976,,82000.0,42000.0,8000.0,7500.0,92000.0,,80000.0,5000.0
1977,,87000.0,44000.0,8870.0,3000.0,96000.0,,60000.0,6709.0
1978,,85000.0,44000.0,9000.0,6500.0,100000.0,,42385.0,5000.0
1979,,90000.0,44000.0,8928.0,7000.0,105000.0,,55000.0,5090.0
1980,,85000.0,44000.0,9148.0,9300.0,110000.0,,80000.0,9265.0
1981,,85000.0,45000.0,9368.0,9100.0,116000.0,,100000.0,6348.0
1982,,85000.0,46000.0,6000.0,7400.0,122000.0,,80000.0,4403.0
1983,,85000.0,55000.0,7000.0,25700.0,98000.0,,80000.0,12757.0
1984,,85000.0,50000.0,25500.0,13200.0,99000.0,,100000.0,936.0
1985,,85000.0,55000.0,26000.0,60800.0,100000.0,,158824.0,20878.0
1986,,85000.0,63000.0,25000.0,11285.0,103000.0,,87369.0,4468.0
1987,,85000.0,50000.0,20000.0,18518.0,104000.0,,91968.0,16692.0
1988,,85000.0,65000.0,20000.0,10974.0,109000.0,,87719.0,9000.0
1989,,85000.0,50000.0,7000.0,9431.0,252000.0,,120856.0,4227.0
1990,,99944.0,52000.0,7000.0,20551.0,289000.0,,88173.0,6396.0
1991,,149334.0,52048.0,10000.0,11712.0,326000.0,,90000.0,3000.0
1992,,149645.0,50000.0,8000.0,12122.0,331000.0,,82800.0,10000.0
1993,,149956.0,52691.0,11000.0,8219.0,336000.0,,76200.0,6500.0
1994,-1.0,150268.0,55000.0,15500.0,19785.0,353000.0,-1.0,70100.0,7000.0
1995,-1.0,150579.0,52000.0,15000.0,36245.0,384000.0,-1.0,75700.0,8520.0
1996,,150890.0,55000.0,14060.0,17554.0,367000.0,,70000.0,2504.0
1997,,151201.0,54244.0,14062.0,32242.0,368000.0,,70608.0,6500.0
1998,,151512.0,53000.0,14064.0,29156.0,368000.0,,69077.0,7000.0
1999,,151824.0,52000.0,14073.0,30346.0,369000.0,,67667.0,6500.0
2000,,152135.0,65000.0,14093.0,30874.0,369000.0,,66368.0,8500.0
2001,,152446.0,61135.0,14124.0,30564.0,370000.0,,65153.0,8000.0
2002,,152757.0,60000.0,12904.0,31572.0,371000.0,,60943.0,8388.0
2003,,153069.0,65000.0,13262.0,26078.0,410000.0,,66252.0,8691.0
2004,,152484.0,61562.0,12059.0,26194.0,414000.0,,65638.0,8972.0
2005,,101684.0,60895.0,12216.0,27058.0,409939.0,,72145.0,9000.0
2006,,53407.0,52359.0,12382.0,27951.0,414788.0,,69357.0,9300.0
2007,,182202.0,48958.0,12557.0,28874.0,425000.0,,67084.0,12000.0
2008,,190000.0,39082.0,12741.0,29100.0,384699.0,,64828.0,10500.0
2009,,168316.0,37459.0,12933.0,29820.0,332770.0,,62457.0,10900.0
2010,,171945.0,35793.0,13131.0,32631.0,325610.0,,65000.0,11250.0
2011,,208000.0,32655.0,13000.0,32306.0,326990.0,,54726.0,11200.0
2012,,210000.0,33310.0,14000.0,31836.0,361814.0,,47000.0,12000.0
2013,,195000.0,33630.0,15000.0,31162.0,359248.0,,45000.0,12800.0
2014,,48960.0,34300.0,14895.0,31891.0,359720.0,,44599.0,12292.0
