,Bhutan,India,El Salvador,Peru,"China, Taiwan Province of",Mozambique,Ethiopia PDR,Nepal,Malaysia,Cuba,USSR,Brazil,China,Egypt,Myanmar,Ethiopia,Indonesia,Pakistan,Japan,Mali,Zimbabwe,Bangladesh,Uzbekistan,Viet Nam,Thailand,Chile,Spain,South Africa,Democratic Republic of the Congo,Iran (Islamic Republic of),Guatemala,Central African Republic,"China, mainland",Madagascar,Angola,Nigeria,Cameroon,Cambodia,Russian Federation
1961,-1.0,10091.0,17500.0,9600.0,12461.0,10000.0,-1.0,10667.0,-1.0,10000.0,15800.0,13505.0,17751.0,25000.0,8160.0,-1.0,13333.0,8519.0,20556.0,-1.0,6667.0,15596.0,-1.0,13951.0,12556.0,-1.0,17665.0,10000.0,12121.0,4064.0,7143.0,-1.0,18636.0,12050.0,10000.0,-1.0,-1.0,8962.0,-1.0
1962,-1.0,9406.0,17500.0,9518.0,13957.0,10000.0,-1.0,11333.0,-1.0,10000.0,16800.0,11662.0,11012.0,25000.0,7286.0,-1.0,13333.0,7320.0,21250.0,-1.0,6667.0,16823.0,-1.0,14082.0,11844.0,-1.0,17931.0,10000.0,12297.0,5340.0,7500.0,1231.0,10645.0,5435.0,10000.0,-1.0,-1.0,10000.0,-1.0
1963,-1.0,9728.0,17500.0,9475.0,14830.0,10000.0,-1.0,11543.0,-1.0,10000.0,17800.0,12238.0,13334.0,25000.0,5784.0,-1.0,13333.0,7030.0,20000.0,-1.0,6667.0,15831.0,-1.0,13583.0,13897.0,-1.0,17250.0,10000.0,13196.0,5949.0,7273.0,1400.0,13200.0,8500.0,10000.0,-1.0,-1.0,9583.0,-1.0
1964,-1.0,10355.0,17500.0,9512.0,19283.0,10000.0,-1.0,11160.0,-1.0,10000.0,15360.0,12178.0,14386.0,25000.0,5492.0,-1.0,14286.0,7429.0,19259.0,-1.0,6667.0,14500.0,-1.0,15385.0,14038.0,-1.0,16667.0,10000.0,10728.0,5000.0,17500.0,1333.0,13988.0,10267.0,10000.0,-1.0,-1.0,10000.0,-1.0
1965,-1.0,8536.0,18125.0,9600.0,17876.0,10000.0,-1.0,12129.0,-1.0,10000.0,16478.0,13332.0,14633.0,25000.0,6614.0,-1.0,16667.0,6701.0,15229.0,-1.0,6667.0,14666.0,-1.0,15944.0,14128.0,-1.0,16667.0,10000.0,10930.0,5000.0,16667.0,1200.0,14381.0,9444.0,10000.0,-1.0,-1.0,10000.0,-1.0
1966,-1.0,9561.0,18621.0,11552.0,16437.0,10000.0,-1.0,12105.0,-1.0,10000.0,17870.0,13644.0,10263.0,27619.0,5940.0,-1.0,20000.0,7327.0,-1.0,-1.0,6667.0,14247.0,-1.0,13130.0,13274.0,-1.0,18182.0,11000.0,12020.0,5000.0,8571.0,1500.0,10029.0,8675.0,13333.0,-1.0,-1.0,8333.0,-1.0
1967,33333.0,10461.0,18696.0,12546.0,18776.0,15000.0,-1.0,11875.0,-1.0,10010.0,22826.0,10007.0,11527.0,25714.0,5976.0,-1.0,19873.0,6190.0,-1.0,-1.0,6667.0,12935.0,-1.0,15833.0,12278.0,-1.0,64722.0,10909.0,12495.0,5000.0,8750.0,2480.0,11307.0,9855.0,10000.0,-1.0,-1.0,8889.0,-1.0
1968,40000.0,7796.0,18696.0,12979.0,16304.0,12000.0,-1.0,9787.0,-1.0,10020.0,19522.0,11183.0,13506.0,26667.0,7085.0,-1.0,20000.0,6514.0,-1.0,3026.0,6667.0,11734.0,-1.0,16667.0,12717.0,-1.0,-1.0,10000.0,12500.0,5000.0,8333.0,2478.0,13378.0,10344.0,12000.0,-1.0,-1.0,9844.0,-1.0
1969,40000.0,10274.0,18636.0,15133.0,18661.0,8333.0,-1.0,9348.0,-1.0,9911.0,22826.0,10839.0,12677.0,25517.0,6637.0,-1.0,25019.0,6774.0,-1.0,7643.0,6667.0,13650.0,-1.0,15000.0,10426.0,-1.0,-1.0,10000.0,12571.0,5000.0,7933.0,1365.0,12374.0,9035.0,10000.0,-1.0,-1.0,7304.0,-1.0
1970,33333.0,9500.0,18333.0,15463.0,19482.0,11333.0,-1.0,9478.0,-1.0,10000.0,21739.0,11995.0,11867.0,31200.0,7027.0,-1.0,20798.0,6970.0,-1.0,4977.0,6667.0,13353.0,-1.0,17949.0,9776.0,-1.0,-1.0,10000.0,10000.0,5000.0,7442.0,2186.0,11630.0,8563.0,8500.0,-1.0,-1.0,8000.0,-1.0
1971,33333.0,10262.0,18621.0,16843.0,15760.0,9500.0,-1.0,9669.0,-1.0,10000.0,22980.0,10152.0,11556.0,32182.0,7019.0,-1.0,15697.0,6708.0,-1.0,6761.0,6667.0,11141.0,-1.0,15851.0,9438.0,-1.0,-1.0,10000.0,7886.0,7222.0,12787.0,3938.0,11515.0,8880.0,8000.0,-1.0,-1.0,6364.0,-1.0
1972,33333.0,10213.0,18621.0,16926.0,19336.0,6667.0,-1.0,10036.0,-1.0,10000.0,23438.0,9998.0,11381.0,27083.0,8224.0,-1.0,12442.0,6869.0,-1.0,6146.0,6667.0,13320.0,-1.0,16000.0,9901.0,-1.0,-1.0,10909.0,10810.0,5172.0,13600.0,3568.0,11347.0,10313.0,7333.0,-1.0,-1.0,9808.0,-1.0
1973,33333.0,11045.0,18621.0,14268.0,18260.0,7500.0,-1.0,10191.0,-1.0,10000.0,23921.0,10494.0,11172.0,26087.0,8566.0,-1.0,18901.0,6721.0,-1.0,5397.0,6667.0,12499.0,-1.0,15000.0,11353.0,-1.0,-1.0,10909.0,8558.0,5000.0,12814.0,2952.0,11160.0,3951.0,11000.0,-1.0,-1.0,10000.0,-1.0
1974,33333.0,9838.0,18621.0,13708.0,15127.0,7500.0,-1.0,12116.0,-1.0,10002.0,24094.0,9101.0,10980.0,25641.0,8595.0,-1.0,22222.0,7113.0,-1.0,7175.0,6667.0,12351.0,-1.0,18333.0,10110.0,-1.0,-1.0,10909.0,4654.0,5000.0,11200.0,2806.0,10976.0,2587.0,11000.0,-1.0,-1.0,10000.0,-1.0
1975,33333.0,10629.0,18621.0,15787.0,16018.0,6667.0,-1.0,12531.0,-1.0,9999.0,22625.0,10291.0,11771.0,29000.0,8556.0,-1.0,22469.0,6815.0,-1.0,7152.0,6667.0,15301.0,-1.0,19919.0,11173.0,-1.0,-1.0,10909.0,5365.0,5000.0,10100.0,2778.0,11768.0,2620.0,10000.0,-1.0,-1.0,10000.0,-1.0
1976,33333.0,10897.0,9628.0,15056.0,16364.0,6667.0,-1.0,12059.0,-1.0,10000.0,27000.0,9830.0,11130.0,29000.0,8829.0,-1.0,17198.0,6982.0,-1.0,5014.0,6667.0,13347.0,-1.0,19866.0,12881.0,-1.0,-1.0,10909.0,1796.0,5000.0,10231.0,3333.0,11128.0,2785.0,10000.0,-1.0,5000.0,10000.0,-1.0
1977,35000.0,10453.0,9857.0,15000.0,15714.0,6667.0,-1.0,13636.0,-1.0,9999.0,26000.0,10477.0,11429.0,25227.0,8240.0,-1.0,11038.0,7050.0,-1.0,6850.0,6667.0,13175.0,-1.0,16695.0,10139.0,-1.0,-1.0,10909.0,1115.0,5000.0,8300.0,3750.0,11428.0,3125.0,10000.0,-1.0,5000.0,10000.0,-1.0
1978,35000.0,11174.0,16944.0,15000.0,12386.0,6667.0,0.0,13950.0,-1.0,10002.0,25853.0,11156.0,13201.0,25000.0,9599.0,-1.0,11126.0,7572.0,-1.0,7163.0,6667.0,13967.0,-1.0,17367.0,12198.0,10000.0,-1.0,10909.0,1116.0,5556.0,9091.0,4282.0,13201.0,6364.0,10000.0,-1.0,4444.0,10000.0,-1.0
1979,35000.0,10935.0,11000.0,15000.0,14815.0,6667.0,0.0,13947.0,-1.0,10000.0,26583.0,11142.0,15083.0,25000.0,10109.0,-1.0,11967.0,7116.0,-1.0,7429.0,6667.0,14158.0,-1.0,17804.0,10714.0,10000.0,-1.0,10909.0,965.0,5385.0,9371.0,4040.0,15083.0,5274.0,10000.0,-1.0,5000.0,10000.0,-1.0
1980,35000.0,10654.0,11667.0,17600.0,8571.0,6667.0,3333.0,11845.0,-1.0,10000.0,29083.0,10815.0,17540.0,24444.0,10305.0,-1.0,13142.0,6641.0,-1.0,6200.0,6667.0,14039.0,-1.0,16944.0,12999.0,10000.0,-1.0,10909.0,1301.0,5500.0,9516.0,1284.0,17540.0,5274.0,10000.0,-1.0,5294.0,6667.0,-1.0
1981,35000.0,12206.0,11667.0,14938.0,14286.0,6667.0,3333.0,11410.0,-1.0,10001.0,25000.0,10479.0,20588.0,22857.0,10825.0,-1.0,13059.0,6570.0,-1.0,6667.0,6667.0,14691.0,-1.0,19619.0,11159.0,10000.0,-1.0,10909.0,1343.0,5500.0,9800.0,1622.0,20588.0,7279.0,10000.0,5300.0,5556.0,8571.0,-1.0
