,Burkina Faso,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Singapore,Lao People's Democratic Republic,Zambia,United States Virgin Islands,Lebanon,Papua New Guinea,Somalia,Suriname,Brazil,Mozambique,Niger,Australia & New Zealand,El Salvador,Saint Lucia,Chad,Colombia,Spain,Central African Republic,Bahamas,Jamaica,Ecuador,Cabo Verde,Indonesia,Argentina,Antigua and Barbuda,Belgium-Luxembourg,Angola,Ethiopia PDR,Egypt,Melanesia,Malaysia,Mexico,Yemen,Haiti,Democratic Republic of the Congo,Nigeria,Sudan,Mali,Congo,Martinique,Dominican Republic,Iran (Islamic Republic of),Peru,Ghana,Philippines,"China, mainland",French Polynesia,India,Guinea-Bissau,Rwanda,Portugal,Guatemala,South Sudan,Saint Kitts and Nevis,Cuba,Puerto Rico,American Samoa,Bhutan,Dominica,Iraq,Madagascar,Swaziland,United Republic of Tanzania,Burundi,Samoa,Nepal,Costa Rica,Bangladesh,Senegal,Mauritius,Uganda,Benin,China,Cambodia,Sudan (former),Morocco,Sierra Leone,Honduras,Uruguay,Zimbabwe,Syrian Arab Republic,Gabon,Malawi,"China, Taiwan Province of",Réunion,Japan,Afghanistan,Trinidad and Tobago,United States of America,Grenada,Wallis and Futuna Islands,Nicaragua,Oman,Viet Nam,Barbados,Russian Federation,Cameroon,Bolivia (Plurinational State of),Paraguay,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Djibouti,Guinea,Guadeloupe,Sri Lanka,Côte d'Ivoire,Polynesia,South Africa,Myanmar,Ukraine,Liberia
1961,,1166000.0,9730296.0,679463.0,11640000.0,11700.0,2000000.0,247367.0,,525000.0,3618829.0,,4500.0,,104000.0,2800.0,7800.0,116792.0,138782.0,59377392.0,1528175.0,32280.0,9730296.0,895900.0,66700.0,10000.0,13399200.0,318000.0,-1.0,-1.0,4438093.0,5614095.0,10000.0,10931200.0,9650000.0,183820.0,-1.0,642437.0,650000.0,4186000.0,1173800.0,32000.0,19167984.0,5000.0,2850000.0,480000.0,172000.0,,15000.0,190000.0,1140218.0,7811195.0,179000.0,8100000.0,30000.0,17460000.0,4268100.0,1150.0,110001008.0,3500.0,,25000.0,1533000.0,,419595.0,55885920.0,9755814.0,10.0,,6400.0,,838000.0,617327.0,387370.0,,10.0,140000.0,1069722.0,4018280.0,,4942981.0,1211000.0,,12415994.0,230000.0,140000.0,,,804300.0,105102.0,335384.0,3100.0,8500.0,,8147894.0,2410371.0,1447300.0,45000.0,2517954.0,17787104.0,10400.0,15.0,1307534.0,-1.0,1415900.0,1400117.0,,50000.0,552000.0,646700.0,34395.0,2519028.0,,,1914000.0,117000.0,,1185.0,8513000.0,812219.0,,20000.0
1962,,1853000.0,12940301.0,646011.0,14356700.0,10000.0,1980000.0,216916.0,,570700.0,3670000.0,,4500.0,,137000.0,3000.0,7800.0,128842.0,153982.0,62534512.0,1668813.0,33000.0,12940301.0,1030000.0,44500.0,10000.0,14558900.0,337000.0,-1.0,-1.0,4171889.0,5474000.0,10000.0,10211100.0,9778000.0,197705.0,-1.0,694000.0,650000.0,4808000.0,1860800.0,36000.0,21115600.0,5000.0,2836000.0,570000.0,185000.0,,20000.0,230000.0,1071893.0,8086944.0,202000.0,7950000.0,40000.0,19360000.0,3443000.0,1150.0,103967008.0,3750.0,,50000.0,1973400.0,,395628.0,36721104.0,8766321.0,10.0,,6400.0,,850000.0,584014.0,503340.0,,10.0,93000.0,1085835.0,4488688.0,,4624500.0,1310000.0,,9829314.0,250000.0,140000.0,,,781500.0,151733.0,605724.0,2100.0,9000.0,,6386314.0,1702619.0,1975800.0,45000.0,2136204.0,18178096.0,11400.0,15.0,1300000.0,-1.0,1480000.0,1458032.0,,51609.0,533000.0,672000.0,36079.0,2632476.0,,,1895000.0,112000.0,,1185.0,9751000.0,1089173.0,,21000.0
1963,,2374401.0,12312569.0,776415.0,18438000.0,12200.0,1695000.0,213736.0,,592500.0,3468923.0,,4500.0,,128000.0,2000.0,7900.0,117338.0,186641.0,63722896.0,1501195.0,30700.0,12312569.0,987700.0,33000.0,13000.0,12642162.0,345000.0,-1.0,-1.0,4602693.0,6386460.0,10000.0,8959500.0,11950000.0,259448.0,-1.0,648000.0,663000.0,5153000.0,2382301.0,37000.0,22326992.0,5000.0,2872000.0,545000.0,265000.0,,25000.0,310000.0,1209603.0,7402298.0,194000.0,8285310.0,51819.0,20610000.0,7801500.0,1150.0,91913008.0,4000.0,,45000.0,2020300.0,,356286.0,31418896.0,9182948.0,10.0,,7315.0,,1015000.0,703075.0,631092.0,,10.0,161420.0,1258117.0,4824984.0,,5746672.0,1520000.0,,14556529.0,270000.0,146000.0,,,791800.0,177137.0,820363.0,5200.0,9000.0,,6755029.0,1920448.0,1642600.0,45000.0,2417149.0,21851344.0,11200.0,15.0,1200000.0,-1.0,1600000.0,1708996.0,,112666.0,815000.0,700000.0,,2813223.0,,,1746000.0,129000.0,,1185.0,9939000.0,1292050.0,,22000.0
1964,,2356410.0,15312357.0,920793.0,16139000.0,6600.0,2387000.0,300000.0,,690900.0,3038191.0,,9000.0,,209000.0,2000.0,7900.0,90595.0,153471.0,66398976.0,1334166.0,43087.0,15312357.0,1018900.0,10000.0,15000.0,14115308.0,342000.0,-1.0,-1.0,4719538.0,7776300.0,9500.0,10959400.0,11827000.0,259448.0,-1.0,647000.0,689000.0,4890000.0,2364310.0,39000.0,26989616.0,5000.0,2810000.0,425000.0,348000.0,,25000.0,350000.0,826488.0,7783595.0,292000.0,8100000.0,61776.0,21984000.0,12160800.0,1300.0,104225008.0,4250.0,,45000.0,2156800.0,,383554.0,37202800.0,8892382.0,12.0,,7315.0,,1015425.0,861821.0,770322.0,,11.0,140000.0,1330361.0,5448808.0,,4375014.0,1550000.0,,19165654.0,290000.0,238000.0,,,796900.0,199830.0,1298628.0,2350.0,9500.0,,7004854.0,1769478.0,3077100.0,45000.0,2294827.0,22727680.0,11400.0,15.0,1400000.0,-1.0,1730000.0,1500000.0,,38508.0,1085000.0,964100.0,,3227409.0,,,1841300.0,155000.0,,1338.0,10661000.0,1170591.0,,23000.0
1965,,2205649.0,14382227.0,950640.0,18667008.0,6400.0,3913000.0,331015.0,,607700.0,3459687.0,,8500.0,,150000.0,841.0,8000.0,149708.0,241167.0,75852864.0,1408980.0,41105.0,14382227.0,1366000.0,10000.0,17000.0,12720453.0,435000.0,-1.0,-1.0,4775421.0,8086730.0,9000.0,11224800.0,13950000.0,135000.0,-1.0,679290.0,728000.0,4739000.0,2213649.0,41000.0,30955680.0,5000.0,2738000.0,470000.0,452000.0,,25000.0,430000.0,908351.0,5544081.0,392000.0,8000000.0,100386.0,21150000.0,13390000.0,1300.0,122077008.0,4500.0,,45000.0,2115900.0,,347663.0,50695296.0,7989509.0,12.0,,6500.0,,1010470.0,1013592.0,843520.0,,11.0,126000.0,1397153.0,6330696.0,,5984489.0,1480000.0,,23118700.0,299000.0,195000.0,,,807900.0,204731.0,1525423.0,1430.0,9500.0,,9728700.0,2244000.0,2694200.0,51000.0,2544069.0,21466688.0,16500.0,15.0,1400000.0,-1.0,1845400.0,1760000.0,,44314.0,889000.0,991600.0,,3704424.0,,,1880000.0,150000.0,,1338.0,8406000.0,1084290.0,,24000.0
1966,,2227536.0,16952688.0,838559.0,22309408.0,4745.0,3045000.0,417955.0,,654600.0,3388798.0,550.0,8300.0,,,838.0,8000.0,238683.0,250677.0,75787520.0,1499699.0,12450.0,16952688.0,1487500.0,,19000.0,13000000.0,431000.0,-1.0,10000.0,4963390.0,9004200.0,8912.0,9549900.0,11960000.0,80000.0,-1.0,712512.0,826000.0,5189000.0,2235536.0,47000.0,32228624.0,5000.0,2681200.0,470000.0,441000.0,,24871.0,591365.0,816749.0,6638333.0,382000.0,9002009.0,40000.0,19215008.0,11408200.0,1300.0,123990000.0,4500.0,,49962.0,2532300.0,,353926.0,37800000.0,8586459.0,14.0,,5500.0,,1036120.0,1301259.0,890940.0,,12.0,192000.0,1664443.0,7671200.0,,4842915.0,1600000.0,,20577970.0,306000.0,276000.0,,,898300.0,184123.0,1900000.0,852.0,10000.0,34000.0,9169770.0,2002266.0,2595600.0,51000.0,2321459.0,22239520.0,17316.0,15.0,1291748.0,-1.0,1568700.0,1584000.0,,119665.0,907000.0,988000.0,,4034353.0,,,1884000.0,132000.0,,1341.0,14102760.0,1447747.0,,25000.0
1967,,2197335.0,17025232.0,1067583.0,21982208.0,4600.0,2535000.0,569956.0,,896400.0,3830614.0,540.0,8000.0,,,195.0,8100.0,326882.0,240704.0,77086528.0,1862396.0,21300.0,17025232.0,1560800.0,-1.0,21000.0,13000000.0,424000.0,-1.0,20000.0,4562951.0,7528250.0,9919.0,10211700.0,8576000.0,50000.0,-1.0,722282.0,855000.0,5261000.0,2205435.0,48000.0,32106864.0,5000.0,2650000.0,550000.0,534000.0,,33002.0,928158.0,668947.0,7055664.0,433000.0,8433150.0,80000.0,21280000.0,12640300.0,1500.0,92827008.0,4750.0,,53331.0,2683400.0,,333040.0,51200000.0,7402766.0,14.0,,4980.0,,980280.0,1355962.0,933520.0,,12.0,147000.0,1645187.0,8200000.0,,5814468.0,1650000.0,,19641930.0,495000.0,695000.0,,,986500.0,136485.0,1422000.0,925.0,10000.0,171800.0,7001630.0,2168477.0,2830100.0,57000.0,2185100.0,24177248.0,19293.0,18.0,1570462.0,-1.0,1300000.0,1855300.0,,79893.0,1065800.0,988000.0,,4185940.0,,,1652000.0,160000.0,,1544.0,16913456.0,1583690.0,,30000.0
1968,,2871495.0,18708304.0,1148535.0,18659008.0,7100.0,2379000.0,652827.0,,1137181.0,3557703.0,455.0,7500.0,181204.0,,226.0,8200.0,276790.0,230000.0,76610496.0,2231887.0,24670.0,18708304.0,1508700.0,-1.0,22000.0,13300000.0,406870.0,-1.0,14500.0,4519377.0,9528500.0,11223.0,8858300.0,9500000.0,12000.0,-1.0,684648.0,858000.0,6073945.0,2879695.0,54000.0,31683232.0,5000.0,2636200.0,554700.0,545000.0,,49677.0,821186.0,509346.0,5687696.0,452000.0,7737181.0,152000.0,21860000.0,10341000.0,1500.0,95500000.0,4750.0,1500.0,46287.0,2290600.0,,326136.0,45700000.0,5978585.0,16.0,,5080.0,,948975.0,1326297.0,1029840.0,,13.0,169400.0,1726711.0,7710800.0,,5152489.0,1672000.0,,18888400.0,445000.0,967000.0,,,1099700.0,105550.0,1363000.0,835.0,12000.0,212200.0,8547400.0,2272643.0,2717800.0,57000.0,2469489.0,22520752.0,19074.0,18.0,1645567.0,-1.0,1000000.0,1391000.0,,100000.0,1271100.0,702000.0,,3727572.0,,,1440000.0,135000.0,,1547.0,13719694.0,1445645.0,,35000.0
1969,,2376923.0,15784354.0,1189464.0,21971008.0,4325.0,4399000.0,537206.0,,1540657.0,4178422.0,500.0,8000.0,256701.0,,262.0,8300.0,393391.0,220000.0,75247088.0,2571000.0,24860.0,15784354.0,1469000.0,-1.0,23600.0,13300000.0,458000.0,-1.0,8500.0,4068252.0,7000000.0,14377.0,9990100.0,10680000.0,40000.0,-1.0,683078.0,861500.0,6867000.0,2385223.0,58000.0,32445808.0,5000.0,2608300.0,600000.0,574000.0,,55174.0,770000.0,531241.0,8328978.0,550000.0,6898210.0,100000.0,21980000.0,10496900.0,1500.0,124676096.0,4500.0,3696.0,49023.0,2658600.0,,246888.0,43800000.0,5349640.0,16.0,,4670.0,,1112910.0,1428809.0,1141180.0,,13.0,189400.0,1792224.0,7414100.0,,5824244.0,1650000.0,,17738420.0,402000.0,938725.0,,,1240200.0,126225.0,1665000.0,610.0,12000.0,312070.0,7241520.0,2436979.0,2652900.0,60000.0,2484096.0,20515872.0,16600.0,18.0,1750389.0,-1.0,886300.0,1284300.0,,150000.0,1411969.0,821300.0,,4251695.0,,,1790206.0,145000.0,,1547.0,14787864.0,1307911.0,,40000.0
1970,,2885983.0,17644816.0,1185365.0,26369504.0,4190.0,5102000.0,687029.0,,1731200.0,3754447.0,500.0,7000.0,321586.0,,260.0,8500.0,450400.0,225000.0,79752944.0,2730000.0,36800.0,17644816.0,1587000.0,-1.0,22500.0,12700000.0,410000.0,-1.0,27000.0,4121087.0,6500000.0,8082.0,9747900.0,9700000.0,41000.0,-1.0,763989.0,1129500.0,6934000.0,2894483.0,71000.0,34651424.0,4500.0,2705000.0,623200.0,607000.0,,60504.0,667214.0,484882.0,8654779.0,539000.0,8067975.0,120000.0,26140000.0,13457000.0,1700.0,135024000.0,4500.0,4315.0,52237.0,2632500.0,,331216.0,82900000.0,5343975.0,18.0,,4300.0,89764.0,1155000.0,1735835.0,1089630.0,5000.0,14.0,215700.0,2134787.0,7518800.0,,5119995.0,1750000.0,,19702958.0,525000.0,826000.0,,,1363400.0,160662.0,1760000.0,1375.0,13000.0,288483.0,6245958.0,1936828.0,2663000.0,55000.0,2610173.0,21768688.0,13530.0,18.0,1861714.0,-1.0,1052100.0,1456000.0,,174300.0,1467734.0,1415000.0,,4908737.0,,,1832064.0,160000.0,,1750.0,12143897.0,1312098.0,,45000.0
