,"China, Taiwan Province of",Cuba,Indonesia,Bhutan,Russian Federation,Angola,Ethiopia PDR,Egypt,Pakistan,Malaysia,Thailand,Japan,Ethiopia,Nigeria,Democratic Republic of the Congo,Bangladesh,Mali,Zimbabwe,USSR,Nepal,Cameroon,Iran (Islamic Republic of),Peru,Brazil,Cambodia,Mozambique,Guatemala,Viet Nam,"China, mainland",El Salvador,Chile,Madagascar,Uzbekistan,Spain,South Africa,Central African Republic,Myanmar,China,India
1961,12461.0,10000.0,13333.0,,,10000.0,,25000.0,8519.0,,12556.0,20556.0,,,12121.0,15596.0,,6667.0,15800.0,10667.0,,4064.0,9600.0,13505.0,8962.0,10000.0,7143.0,13951.0,18636.0,17500.0,,12050.0,,17665.0,10000.0,,8160.0,17751.0,10091.0
1962,13957.0,10000.0,13333.0,,,10000.0,,25000.0,7320.0,,11844.0,21250.0,,,12297.0,16823.0,,6667.0,16800.0,11333.0,,5340.0,9518.0,11662.0,10000.0,10000.0,7500.0,14082.0,10645.0,17500.0,,5435.0,,17931.0,10000.0,1231.0,7286.0,11012.0,9406.0
1963,14830.0,10000.0,13333.0,,,10000.0,,25000.0,7030.0,,13897.0,20000.0,,,13196.0,15831.0,,6667.0,17800.0,11543.0,,5949.0,9475.0,12238.0,9583.0,10000.0,7273.0,13583.0,13200.0,17500.0,,8500.0,,17250.0,10000.0,1400.0,5784.0,13334.0,9728.0
1964,19283.0,10000.0,14286.0,,,10000.0,,25000.0,7429.0,,14038.0,19259.0,,,10728.0,14500.0,,6667.0,15360.0,11160.0,,5000.0,9512.0,12178.0,10000.0,10000.0,17500.0,15385.0,13988.0,17500.0,,10267.0,,16667.0,10000.0,1333.0,5492.0,14386.0,10355.0
1965,17876.0,10000.0,16667.0,,,10000.0,,25000.0,6701.0,,14128.0,15229.0,,,10930.0,14666.0,,6667.0,16478.0,12129.0,,5000.0,9600.0,13332.0,10000.0,10000.0,16667.0,15944.0,14381.0,18125.0,,9444.0,,16667.0,10000.0,1200.0,6614.0,14633.0,8536.0
1966,16437.0,10000.0,20000.0,,,13333.0,,27619.0,7327.0,,13274.0,,,,12020.0,14247.0,,6667.0,17870.0,12105.0,,5000.0,11552.0,13644.0,8333.0,10000.0,8571.0,13130.0,10029.0,18621.0,,8675.0,,18182.0,11000.0,1500.0,5940.0,10263.0,9561.0
1967,18776.0,10010.0,19873.0,33333.0,,10000.0,,25714.0,6190.0,,12278.0,,,,12495.0,12935.0,,6667.0,22826.0,11875.0,,5000.0,12546.0,10007.0,8889.0,15000.0,8750.0,15833.0,11307.0,18696.0,,9855.0,,64722.0,10909.0,2480.0,5976.0,11527.0,10461.0
1968,16304.0,10020.0,20000.0,40000.0,,12000.0,,26667.0,6514.0,,12717.0,,,,12500.0,11734.0,3026.0,6667.0,19522.0,9787.0,,5000.0,12979.0,11183.0,9844.0,12000.0,8333.0,16667.0,13378.0,18696.0,,10344.0,,,10000.0,2478.0,7085.0,13506.0,7796.0
1969,18661.0,9911.0,25019.0,40000.0,,10000.0,,25517.0,6774.0,,10426.0,,,,12571.0,13650.0,7643.0,6667.0,22826.0,9348.0,,5000.0,15133.0,10839.0,7304.0,8333.0,7933.0,15000.0,12374.0,18636.0,,9035.0,,,10000.0,1365.0,6637.0,12677.0,10274.0
1970,19482.0,10000.0,20798.0,33333.0,,8500.0,,31200.0,6970.0,,9776.0,,,,10000.0,13353.0,4977.0,6667.0,21739.0,9478.0,,5000.0,15463.0,11995.0,8000.0,11333.0,7442.0,17949.0,11630.0,18333.0,,8563.0,,,10000.0,2186.0,7027.0,11867.0,9500.0
