,Cuba,Pacific Islands Trust Territory,Haiti,Micronesia (Federated States of),Venezuela (Bolivarian Republic of),Dominica,Panama,Sri Lanka,Puerto Rico,French Guiana,United Republic of Tanzania,Belize,Rwanda,Kenya,Guyana,Costa Rica,Lao People's Democratic Republic,Uganda,Suriname,Equatorial Guinea,Tonga,El Salvador,Sierra Leone,Honduras,Colombia,New Caledonia,Central African Republic,Gabon,Malawi,Bahamas,Saint Lucia,Jamaica,Ecuador,Trinidad and Tobago,Melanesia,Grenada,Nicaragua,Democratic Republic of the Congo,Nigeria,Micronesia,Congo,Martinique,Dominican Republic,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Peru,Ghana,Guinea,Guadeloupe,Guinea-Bissau,Côte d'Ivoire,Polynesia,Cameroon,Myanmar,Guatemala,Liberia
1961,8600.0,2000.0,33000.0,,60108.0,,-1.0,39502.0,5541.0,150.0,132600.0,-1.0,99000.0,1000.0,6262.0,5000.0,,616000.0,516.0,-1.0,500.0,1000.0,4000.0,5257.0,187400.0,700.0,18000.0,18000.0,22000.0,-1.0,,700.0,19106.0,360.0,700.0,-1.0,5200.0,220000.0,200000.0,2000.0,4000.0,100.0,55400.0,2000.0,,37000.0,110000.0,50000.0,90.0,7000.0,320000.0,500.0,95000.0,24281.0,4300.0,15000.0
1962,9100.0,2000.0,34000.0,,60007.0,,-1.0,39246.0,5980.0,150.0,129000.0,-1.0,147000.0,1000.0,6880.0,5100.0,,649000.0,451.0,-1.0,400.0,1000.0,4000.0,5107.0,189200.0,700.0,18000.0,18000.0,22000.0,-1.0,,660.0,16386.0,380.0,700.0,-1.0,5200.0,223000.0,200000.0,2000.0,4000.0,110.0,53600.0,3000.0,,24880.0,110000.0,55000.0,90.0,7000.0,360000.0,400.0,120000.0,26305.0,4800.0,15000.0
1963,9800.0,2023.0,34000.0,,58911.0,,-1.0,39000.0,6367.0,100.0,144000.0,-1.0,88000.0,1000.0,5782.0,5400.0,,705000.0,450.0,-1.0,400.0,1000.0,4000.0,5051.0,191600.0,700.0,18000.0,19000.0,23000.0,-1.0,,600.0,18131.0,400.0,700.0,-1.0,5700.0,225000.0,200000.0,2023.0,4000.0,120.0,54800.0,2000.0,,24880.0,120000.0,45000.0,90.0,7000.0,345000.0,400.0,120000.0,30352.0,5500.0,15000.0
1964,10000.0,607.0,35000.0,,59507.0,,-1.0,42000.0,5502.0,105.0,157000.0,-1.0,94285.0,1000.0,6984.0,5600.0,,746000.0,304.0,-1.0,400.0,1000.0,4000.0,4978.0,196800.0,750.0,18000.0,19000.0,23000.0,-1.0,,600.0,22374.0,450.0,750.0,-1.0,6200.0,227000.0,200000.0,607.0,4000.0,130.0,55200.0,4000.0,,44460.0,120000.0,50000.0,90.0,8000.0,365000.0,400.0,166000.0,31971.0,6100.0,15000.0
1965,9200.0,607.0,36000.0,,57043.0,,-1.0,45000.0,6445.0,140.0,157000.0,-1.0,100185.0,1000.0,7004.0,5700.0,,464000.0,257.0,-1.0,350.0,1000.0,4000.0,4898.0,170500.0,750.0,18000.0,20000.0,24000.0,-1.0,,365.0,35701.0,520.0,750.0,-1.0,4600.0,230000.0,200000.0,607.0,4000.0,130.0,55300.0,4000.0,,47510.0,125000.0,50000.0,90.0,8000.0,375000.0,350.0,106000.0,33589.0,6100.0,15000.0
1966,9500.0,600.0,37000.0,,54669.0,,-1.0,20825.0,6500.0,140.0,207000.0,-1.0,121000.0,1000.0,6301.0,5800.0,,468900.0,385.0,-1.0,300.0,1000.0,4000.0,4940.0,225000.0,750.0,20000.0,20000.0,24000.0,-1.0,,416.0,39478.0,580.0,750.0,-1.0,4400.0,233000.0,200000.0,600.0,4500.0,130.0,56000.0,4606.0,,59375.0,127000.0,50000.0,100.0,8000.0,380000.0,300.0,112000.0,34399.0,5600.0,15000.0
1967,8522.0,600.0,37000.0,,51380.0,,-1.0,24199.0,6400.0,130.0,137000.0,-1.0,130000.0,1000.0,6786.0,5800.0,,629100.0,448.0,-1.0,250.0,1000.0,4000.0,5175.0,230000.0,750.0,20000.0,21000.0,24000.0,-1.0,,1050.0,40136.0,480.0,750.0,-1.0,4800.0,236000.0,200000.0,600.0,4500.0,130.0,49000.0,5296.0,,60675.0,135000.0,55000.0,100.0,8000.0,380000.0,250.0,140638.0,36827.0,6500.0,15000.0
1968,5428.0,600.0,37000.0,,55222.0,,-1.0,52903.0,5700.0,130.0,113000.0,-1.0,134500.0,1000.0,5471.0,5700.0,,800100.0,800.0,-1.0,250.0,1000.0,4000.0,5421.0,230000.0,750.0,20000.0,21000.0,24000.0,-1.0,,1062.0,38096.0,500.0,750.0,-1.0,4800.0,240000.0,200000.0,600.0,4500.0,140.0,49500.0,5636.0,,60790.0,140000.0,50000.0,100.0,8000.0,380000.0,250.0,156873.0,37636.0,5900.0,15000.0
1969,3805.0,600.0,38000.0,,60581.0,,-1.0,44514.0,6400.0,120.0,149500.0,-1.0,136500.0,1000.0,5795.0,5800.0,,738000.0,529.0,-1.0,250.0,1000.0,4000.0,5960.0,240000.0,750.0,20000.0,23000.0,24000.0,-1.0,,954.0,35202.0,560.0,750.0,-1.0,5000.0,220000.0,200000.0,600.0,4500.0,140.0,58200.0,5900.0,,65700.0,146000.0,50000.0,100.0,8000.0,385000.0,250.0,150640.0,38041.0,5900.0,15000.0
1970,5254.0,600.0,38500.0,,61593.0,,-1.0,44199.0,6681.0,180.0,210000.0,-1.0,150100.0,1000.0,6920.0,5500.0,,909000.0,397.0,-1.0,300.0,1010.0,4000.0,6289.0,240000.0,800.0,20000.0,23000.0,24000.0,-1.0,,1235.0,35930.0,580.0,800.0,-1.0,5100.0,249900.0,180000.0,600.0,4500.0,145.0,60400.0,6200.0,,68497.0,146000.0,45000.0,100.0,8000.0,390000.0,300.0,171461.0,38850.0,7000.0,15000.0
1971,5427.0,600.0,39000.0,,61394.0,,-1.0,48000.0,4716.0,210.0,138000.0,-1.0,152660.0,1000.0,7517.0,5500.0,,905000.0,163.0,-1.0,280.0,1012.0,4000.0,6618.0,324900.0,800.0,20000.0,23500.0,24200.0,-1.0,,2279.0,36698.0,540.0,800.0,-1.0,5200.0,256900.0,180000.0,600.0,4500.0,145.0,60500.0,6500.0,5.0,68163.0,150000.0,55000.0,100.0,8000.0,400000.0,280.0,184688.0,38850.0,7000.0,15000.0
1972,7969.0,600.0,39000.0,,59641.0,,-1.0,49835.0,4323.0,210.0,120000.0,-1.0,152778.0,1000.0,7365.0,6000.0,,916500.0,151.0,-1.0,280.0,1200.0,4000.0,6947.0,324800.0,800.0,20000.0,23500.0,24300.0,-1.0,,2626.0,36023.0,500.0,800.0,-1.0,5300.0,265400.0,180000.0,600.0,5000.0,150.0,59100.0,6800.0,7.0,61388.0,155000.0,60000.0,100.0,8300.0,415000.0,280.0,167516.0,38850.0,7000.0,15000.0
1973,9555.0,600.0,39000.0,,57810.0,,-1.0,22843.0,4323.0,140.0,114000.0,-1.0,156050.0,1000.0,7487.0,6429.0,,974600.0,254.0,-1.0,270.0,1400.0,4000.0,6837.0,326700.0,800.0,20000.0,24500.0,24500.0,-1.0,,2781.0,35283.0,465.0,800.0,-1.0,5500.0,269600.0,180000.0,600.0,5000.0,150.0,60200.0,7400.0,12.0,62007.0,170000.0,55000.0,400.0,8300.0,400000.0,270.0,187192.0,38850.0,7500.0,15000.0
1974,9501.0,600.0,39000.0,,59869.0,,-1.0,28259.0,4323.0,140.0,133500.0,-1.0,181078.0,1000.0,3000.0,5000.0,,1063400.0,139.0,-1.0,260.0,1500.0,4000.0,7629.0,327900.0,800.0,19427.0,24500.0,26000.0,-1.0,,2556.0,57895.0,405.0,800.0,-1.0,6000.0,275500.0,180000.0,600.0,5000.0,155.0,59800.0,7850.0,19.0,62937.0,180000.0,50000.0,400.0,8300.0,430000.0,260.0,206525.0,39642.0,7500.0,15000.0
