,"China, Taiwan Province of",Uzbekistan,Romania,Israel,Norway,Australia,Venezuela (Bolivarian Republic of),Mexico,The former Yugoslav Republic of Macedonia,Slovakia,Philippines,Belgium,Kenya,Luxembourg,Czechia,Costa Rica,Republic of Moldova,Italy,Serbia,USSR,Germany,South Africa,Slovenia,Ukraine,Brazil,Finland,Paraguay,Australia & New Zealand,Morocco,Lithuania,Jordan,Chile,Malta,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,New Zealand,Cyprus,Austria,Ecuador,Réunion,Japan,Poland,Canada,Sweden,Belarus,Denmark,Colombia,Estonia,Georgia,Greece,Czechoslovakia,France,Republic of Korea,Egypt,Tunisia,Serbia and Montenegro,Zimbabwe,Croatia,Hungary,Lebanon,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Turkey,Latvia,China,Kuwait,"China, mainland",United Kingdom,Ireland,Algeria,Saint Pierre and Miquelon,Peru,Switzerland,Bosnia and Herzegovina,Bulgaria,Netherlands,Guatemala
1961,,,-1.0,100.0,800.0,341.0,38.0,5284.0,,,-1.0,,-1.0,,,-1.0,,7231.0,,9000.0,,200.0,,,-1.0,175.0,-1.0,421.0,-1.0,,,,-1.0,-1.0,400.0,2700.0,,80.0,20.0,460.0,,,8400.0,-1.0,5282.0,-1.0,,-1.0,-1.0,,,400.0,,1500.0,50.0,,-1.0,,-1.0,,-1.0,55.0,,400.0,,,-1.0,,,35770.0,1400.0,,-1.0,-1.0,-1.0,6000.0,500.0,,,135.0,900.0,,6514.0,,-1.0
1962,,,-1.0,100.0,900.0,341.0,41.0,6559.0,,,-1.0,,-1.0,,,-1.0,,8019.0,,9000.0,,200.0,,,-1.0,175.0,-1.0,468.0,-1.0,,,,-1.0,-1.0,400.0,2000.0,,127.0,20.0,460.0,,,8400.0,-1.0,5470.0,-1.0,,-1.0,-1.0,,,400.0,,1200.0,50.0,,-1.0,,-1.0,,-1.0,60.0,,380.0,,,-1.0,,,35580.0,1400.0,,-1.0,-1.0,-1.0,6250.0,500.0,,,135.0,900.0,,6644.0,,-1.0
1963,,,-1.0,100.0,900.0,402.0,44.0,6280.0,,,-1.0,,-1.0,,,-1.0,,8540.0,,10000.0,,250.0,,,-1.0,178.0,-1.0,562.0,-1.0,,,,-1.0,-1.0,400.0,2000.0,,160.0,20.0,550.0,,,8400.0,-1.0,5380.0,-1.0,,-1.0,-1.0,,,400.0,,1400.0,120.0,,-1.0,,-1.0,,-1.0,100.0,,400.0,,,-1.0,,,32400.0,1450.0,,-1.0,-1.0,-1.0,6000.0,500.0,,,135.0,900.0,,5575.0,,-1.0
1964,,,-1.0,100.0,900.0,391.0,48.0,5215.0,,,-1.0,,-1.0,,,-1.0,,9181.0,,10000.0,,250.0,,,-1.0,173.0,-1.0,577.0,-1.0,,,,-1.0,-1.0,500.0,2000.0,,186.0,25.0,600.0,,,9300.0,-1.0,6280.0,-1.0,,-1.0,-1.0,,,400.0,,1300.0,120.0,,-1.0,,-1.0,,-1.0,110.0,,400.0,,,-1.0,,,30330.0,1450.0,,-1.0,-1.0,-1.0,6250.0,500.0,,,135.0,900.0,,4262.0,,-1.0
1965,,,-1.0,100.0,1000.0,390.0,52.0,6395.0,,,-1.0,,-1.0,,,-1.0,,9525.0,,10000.0,,250.0,,,-1.0,170.0,-1.0,590.0,-1.0,,,,-1.0,-1.0,500.0,2100.0,,200.0,30.0,600.0,,,9600.0,26371.0,3900.0,-1.0,,-1.0,-1.0,,,400.0,,1400.0,250.0,,-1.0,,-1.0,,-1.0,110.0,,400.0,,,-1.0,,,32050.0,1450.0,,-1.0,-1.0,-1.0,6100.0,500.0,,,135.0,900.0,,2866.0,,-1.0
1966,,,-1.0,100.0,1013.0,376.0,56.0,8832.0,,,-1.0,,-1.0,,,-1.0,,10377.0,,15000.0,,250.0,,,-1.0,158.0,-1.0,568.0,-1.0,,,,-1.0,-1.0,500.0,2300.0,,192.0,30.0,600.0,,,10400.0,29819.0,7200.0,-1.0,,-1.0,-1.0,,,600.0,,1400.0,250.0,,-1.0,,-1.0,,-1.0,110.0,,400.0,,,-1.0,,,32010.0,1500.0,,-1.0,-1.0,-1.0,6250.0,500.0,,,175.0,900.0,,2754.0,,-1.0
1967,,,-1.0,100.0,1166.0,373.0,61.0,8302.0,,,-1.0,,-1.0,,,-1.0,,11283.0,,17000.0,,200.0,,,-1.0,171.0,-1.0,565.0,-1.0,,,,-1.0,-1.0,500.0,2800.0,,192.0,30.0,640.0,,,11500.0,30006.0,7680.0,-1.0,,-1.0,-1.0,,,600.0,,1400.0,500.0,,-1.0,,-1.0,,-1.0,96.0,,400.0,,,-1.0,,,27120.0,1600.0,,-1.0,-1.0,-1.0,6500.0,500.0,,,165.0,986.0,,3500.0,,-1.0
1968,,,-1.0,200.0,1354.0,391.0,66.0,6989.0,,,-1.0,,-1.0,,,-1.0,,10976.0,,17000.0,,200.0,,,-1.0,275.0,-1.0,580.0,-1.0,,6.0,,-1.0,-1.0,500.0,3400.0,,189.0,30.0,640.0,,,11600.0,30221.0,7720.0,-1.0,,-1.0,-1.0,,,600.0,,1500.0,450.0,,-1.0,,-1.0,,-1.0,101.0,,400.0,,,-1.0,,,25330.0,2000.0,,-1.0,-1.0,-1.0,6300.0,500.0,,,275.0,500.0,,5989.0,,-1.0
1969,,,-1.0,200.0,1556.0,432.0,72.0,6576.0,,,-1.0,,-1.0,,,-1.0,,10893.0,,17000.0,,250.0,,,-1.0,360.0,-1.0,640.0,-1.0,,,,-1.0,-1.0,500.0,3200.0,,208.0,40.0,700.0,,,12500.0,23622.0,6300.0,-1.0,,-1.0,-1.0,,,600.0,,1600.0,600.0,,-1.0,,-1.0,,-1.0,104.0,,480.0,,,-1.0,,,23100.0,2060.0,,-1.0,-1.0,-1.0,6500.0,500.0,,,200.0,400.0,,7017.0,,-1.0
1970,,,-1.0,140.0,1612.0,433.0,78.0,7873.0,,,-1.0,,-1.0,,,-1.0,,11042.0,,18000.0,,250.0,,,-1.0,343.0,-1.0,681.0,-1.0,,,,-1.0,-1.0,500.0,3700.0,,248.0,40.0,700.0,,,12800.0,23162.0,7540.0,-1.0,,-1.0,-1.0,,,600.0,,8100.0,600.0,,-1.0,,-1.0,,-1.0,93.0,,550.0,,,-1.0,,,20400.0,2100.0,,-1.0,-1.0,-1.0,6250.0,500.0,,,395.0,270.0,,6727.0,,-1.0
