,Belarus,Croatia,Serbia,Israel,Armenia,Syrian Arab Republic,Ethiopia,The former Yugoslav Republic of Macedonia,Greece,Iraq,Sweden,Cyprus,Eritrea,Bulgaria,Australia & New Zealand,Yugoslav SFR,Serbia and Montenegro,Algeria,Slovenia,Czechoslovakia,Czechia,Ukraine,Germany,Austria,Morocco,Ethiopia PDR,USSR,Mexico,Slovakia,Italy,Spain,Egypt,Bosnia and Herzegovina,Tunisia,Malta,Latvia,Albania,Lebanon,Occupied Palestinian Territory,Hungary,Kazakhstan,Australia,Jordan,Lithuania,Poland,Russian Federation,Republic of Moldova,Turkey
1961,-1.0,-1.0,-1.0,300.0,-1,45324.0,-1.0,-1.0,56278.0,911.0,6470.0,10167.0,-1.0,57170.0,405.0,42700.0,-1.0,1000.0,-1.0,19520.0,-1.0,-1.0,12519.0,700.0,11119.0,30000.0,1425000.0,-1.0,-1.0,33278.0,76460.0,-1.0,-1.0,-1.0,932.0,-1.0,7283.0,4000.0,-1.0,38664.0,-1,405.0,16070.0,-1.0,50000.0,-1.0,-1.0,225800.0
1962,-1.0,-1.0,-1.0,340.0,-1,63023.0,-1.0,-1.0,58565.0,937.0,4860.0,12040.0,-1.0,38316.0,405.0,38700.0,-1.0,1000.0,-1.0,21186.0,-1.0,-1.0,13258.0,718.0,18663.0,30000.0,1685000.0,-1.0,-1.0,35474.0,79275.0,-1.0,-1.0,-1.0,1000.0,-1.0,6740.0,3000.0,-1.0,39795.0,-1,405.0,18870.0,-1.0,48000.0,-1.0,-1.0,222500.0
1963,-1.0,-1.0,-1.0,650.0,-1,59000.0,-1.0,-1.0,50170.0,1030.0,4014.0,11639.0,-1.0,28088.0,405.0,37200.0,-1.0,1000.0,-1.0,22679.0,-1.0,-1.0,13201.0,919.0,20550.0,31000.0,1500000.0,-1.0,-1.0,35311.0,82430.0,-1.0,-1.0,-1.0,630.0,-1.0,7238.0,2500.0,-1.0,42793.0,-1,405.0,14880.0,-1.0,47000.0,-1.0,-1.0,215000.0
1964,-1.0,-1.0,-1.0,725.0,-1,65900.0,-1.0,-1.0,39450.0,689.0,4414.0,10702.0,-1.0,29489.0,405.0,34400.0,-1.0,1180.0,-1.0,21583.0,-1.0,-1.0,13923.0,741.0,20400.0,32000.0,1450000.0,-1.0,-1.0,33674.0,77300.0,-1.0,-1.0,-1.0,613.0,-1.0,6955.0,4235.0,-1.0,29591.0,-1,405.0,16400.0,-1.0,49000.0,-1.0,-1.0,205000.0
1965,-1.0,-1.0,-1.0,1475.0,-1,74200.0,-1.0,-1.0,37940.0,675.0,3427.0,6288.0,-1.0,26701.0,405.0,35400.0,-1.0,1000.0,-1.0,19280.0,-1.0,-1.0,13828.0,749.0,20100.0,33000.0,1293000.0,-1.0,-1.0,29870.0,84581.0,-1.0,-1.0,-1.0,485.0,-1.0,7000.0,5150.0,-1.0,28927.0,-1,405.0,24640.0,-1.0,58000.0,-1.0,-1.0,200000.0
1966,-1.0,-1.0,-1.0,850.0,-1,52300.0,-1.0,-1.0,35200.0,788.0,3285.0,11371.0,-1.0,22711.0,405.0,35400.0,-1.0,180.0,-1.0,17094.0,-1.0,-1.0,12781.0,903.0,20000.0,35000.0,1280000.0,-1.0,-1.0,26757.0,82200.0,410.0,-1.0,-1.0,485.0,-1.0,7200.0,5022.0,-1.0,39497.0,-1,405.0,14420.0,-1.0,61000.0,-1.0,-1.0,205000.0
1967,-1.0,-1.0,-1.0,2395.0,-1,50700.0,-1.0,-1.0,37710.0,1130.0,2517.0,7358.0,-1.0,20638.0,405.0,32200.0,-1.0,990.0,-1.0,11514.0,-1.0,-1.0,11838.0,869.0,19500.0,35000.0,1267000.0,-1.0,-1.0,24708.0,76000.0,420.0,-1.0,-1.0,445.0,-1.0,7100.0,5656.0,-1.0,27493.0,-1,405.0,8730.0,-1.0,52000.0,-1.0,-1.0,205000.0
1968,-1.0,-1.0,-1.0,1060.0,-1,50400.0,-1.0,-1.0,24820.0,945.0,2310.0,6689.0,-1.0,11895.0,405.0,31200.0,-1.0,870.0,-1.0,9670.0,-1.0,-1.0,9910.0,715.0,25200.0,33000.0,1137000.0,-1.0,-1.0,23732.0,71974.0,420.0,-1.0,-1.0,445.0,-1.0,6900.0,5778.0,-1.0,11367.0,-1,405.0,7020.0,-1.0,42000.0,-1.0,-1.0,198000.0
1969,-1.0,-1.0,-1.0,1475.0,-1,63300.0,-1.0,-1.0,20260.0,838.0,2387.0,7358.0,-1.0,8998.0,809.0,26000.0,-1.0,1940.0,-1.0,7838.0,-1.0,-1.0,10922.0,380.0,17000.0,33000.0,1177000.0,-1.0,-1.0,22250.0,75434.0,420.0,-1.0,-1.0,445.0,-1.0,6900.0,5465.0,-1.0,14835.0,-1,809.0,6317.0,-1.0,39000.0,-1.0,-1.0,186670.0
1970,-1.0,-1.0,-1.0,1845.0,-1,52800.0,-1.0,-1.0,21000.0,945.0,2307.0,11238.0,-1.0,8723.0,800.0,23900.0,-1.0,2740.0,-1.0,6770.0,-1.0,-1.0,8682.0,405.0,20000.0,33000.0,1130000.0,-1.0,-1.0,21054.0,76700.0,420.0,-1.0,-1.0,404.0,-1.0,6900.0,5723.0,-1.0,13394.0,-1,800.0,8285.0,-1.0,39000.0,-1.0,-1.0,178900.0
1971,-1.0,-1.0,-1.0,3240.0,-1,63400.0,-1.0,-1.0,23000.0,673.0,2226.0,12040.0,-1.0,5919.0,809.0,21800.0,-1.0,2200.0,-1.0,5118.0,-1.0,-1.0,10467.0,385.0,22000.0,35000.0,975000.0,-1.0,-1.0,15111.0,79000.0,420.0,-1.0,-1.0,302.0,-1.0,6600.0,5746.0,-1.0,10922.0,-1,809.0,6897.0,-1.0,34000.0,-1.0,-1.0,170000.0
1972,-1.0,-1.0,-1.0,805.0,-1,63500.0,-1.0,-1.0,17800.0,973.0,2228.0,10034.0,-1.0,3781.0,600.0,19200.0,-1.0,2490.0,-1.0,3693.0,-1.0,-1.0,10354.0,325.0,28800.0,38000.0,1133000.0,-1.0,-1.0,13386.0,77700.0,420.0,-1.0,-1.0,380.0,-1.0,6600.0,6294.0,-1.0,17848.0,-1,600.0,7185.0,-1.0,29000.0,-1.0,-1.0,167500.0
1973,-1.0,-1.0,-1.0,1950.0,-1,69200.0,-1.0,-1.0,18570.0,623.0,5948.0,14047.0,-1.0,2437.0,800.0,16500.0,-1.0,2750.0,-1.0,2780.0,-1.0,-1.0,8540.0,435.0,41000.0,40000.0,1101000.0,-1.0,-1.0,11305.0,64000.0,420.0,-1.0,-1.0,421.0,-1.0,6500.0,12000.0,-1.0,12000.0,-1,800.0,8133.0,-1.0,26000.0,-1.0,-1.0,156500.0
1974,-1.0,-1.0,-1.0,2820.0,-1,69100.0,-1.0,-1.0,20100.0,645.0,5201.0,12040.0,-1.0,1939.0,950.0,14800.0,-1.0,2210.0,-1.0,3103.0,-1.0,-1.0,7660.0,375.0,38100.0,32000.0,994000.0,-1.0,-1.0,10926.0,77000.0,420.0,-1.0,-1.0,428.0,-1.0,6500.0,7259.0,-1.0,13500.0,-1,950.0,7933.0,-1.0,30000.0,-1.0,-1.0,163000.0
