,Slovakia,Eritrea,USSR,Australia & New Zealand,Australia,Iraq,The former Yugoslav Republic of Macedonia,Ethiopia,Czechia,Republic of Moldova,Italy,Morocco,Germany,Latvia,Albania,Occupied Palestinian Territory,Serbia and Montenegro,Serbia,Slovenia,Malta,Spain,Lebanon,Cyprus,Austria,Israel,Poland,Turkey,Belarus,Ethiopia PDR,Egypt,Greece,Czechoslovakia,Bosnia and Herzegovina,Croatia,Hungary,Jordan,Russian Federation,Syrian Arab Republic,Tunisia,Yugoslav SFR,Mexico,Sweden,Algeria,Lithuania,Bulgaria,Ukraine
1961,,,8386.0,6716.0,6716.0,6257.0,,,,,7380.0,2307.0,8291.0,,3240.0,,,,,18573.0,6513.0,7000.0,6874.0,15086.0,5000.0,9400.0,9699.0,,6667.0,,7573.0,12909.0,,,3775.0,3983.0,,5746.0,,31616.0,,17774.0,5000.0,,4418.0,
1962,,,9377.0,6716.0,6716.0,7705.0,,,,,5973.0,7553.0,9431.0,,3688.0,,,,,20000.0,7598.0,7333.0,6940.0,15000.0,4412.0,9375.0,9169.0,,6667.0,,8190.0,9401.0,,,2139.0,4240.0,,7807.0,,29457.0,,13272.0,5000.0,,3713.0,
1963,,,6200.0,7383.0,7383.0,6243.0,,,,,7941.0,4586.0,7096.0,,4001.0,,,,,22889.0,7570.0,9600.0,6678.0,16192.0,5385.0,8085.0,9860.0,,6452.0,,7767.0,9564.0,,,1809.0,2419.0,,6610.0,,30376.0,,15197.0,5000.0,,6905.0,
1964,,,11545.0,1333.0,1333.0,7678.0,,,,,7596.0,4691.0,7878.0,,3766.0,,,,,19364.0,6644.0,9563.0,4669.0,17314.0,20000.0,7143.0,9805.0,,6563.0,,8852.0,8652.0,,,1744.0,8049.0,,9469.0,,31395.0,,18351.0,5246.0,,6727.0,
1965,,,9203.0,2691.0,2691.0,9600.0,,,,,8912.0,4975.0,11723.0,,2857.0,,,,,25134.0,6423.0,8447.0,10342.0,16115.0,10169.0,10690.0,10000.0,,6667.0,,9323.0,9606.0,,,3913.0,6372.0,,8235.0,,33051.0,,18675.0,6000.0,,4800.0,
1966,,,10820.0,3358.0,3358.0,10381.0,,,,,8196.0,5000.0,9712.0,,4028.0,,,,,20948.0,7664.0,6053.0,8399.0,19313.0,13529.0,8197.0,9707.0,,6286.0,24390.0,11041.0,9139.0,,,2642.0,4785.0,,4187.0,,31921.0,,17656.0,8056.0,,8447.0,
1967,,,12391.0,5383.0,5383.0,11301.0,,,,,8520.0,6923.0,11009.0,,4085.0,,,,,27393.0,7250.0,9401.0,10632.0,19390.0,12109.0,9038.0,9951.0,,6286.0,23810.0,11321.0,13696.0,,,3522.0,9278.0,,10710.0,,31988.0,,19070.0,8111.0,,6300.0,
1968,,,13369.0,4716.0,4716.0,10243.0,,,,,8284.0,9603.0,10339.0,,3913.0,,,,,25101.0,7596.0,4553.0,9113.0,20140.0,17925.0,8571.0,10152.0,,6061.0,23810.0,9165.0,13357.0,,,2529.0,3276.0,,6171.0,,30128.0,,19913.0,7805.0,,3877.0,
1969,,,14826.0,1014.0,1014.0,10143.0,,,,,8849.0,4000.0,8537.0,,3913.0,,,,,26225.0,7805.0,6725.0,10356.0,19737.0,10508.0,8205.0,9187.0,,6061.0,23810.0,9705.0,15679.0,,,6400.0,7469.0,,10600.0,,30000.0,,15501.0,5696.0,,7597.0,
1970,,,15796.0,2500.0,2500.0,9894.0,,,,,8891.0,5500.0,9798.0,,3913.0,,,,,30173.0,7236.0,8822.0,5876.0,20025.0,8564.0,8974.0,9335.0,,6061.0,23810.0,11717.0,13805.0,,,6518.0,3055.0,,4470.0,,29707.0,,18205.0,4266.0,,7009.0,
