,USSR,Australia & New Zealand,Australia,Pakistan,Uruguay,Kenya,Romania,Lebanon,Albania,Paraguay,Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Ecuador,Swaziland,Madagascar,Republic of Moldova,Canada,Russian Federation,Switzerland,Belgium-Luxembourg,Estonia,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,France,Republic of Korea,Egypt,New Zealand,Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,Lithuania,Portugal,Netherlands,Slovakia,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Libya,Poland,Italy,Germany,Croatia,Sweden,Uzbekistan,China,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Denmark,Zimbabwe,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Afghanistan,Austria,Grenada,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Turkey,Cameroon,Tunisia,Occupied Palestinian Territory,Georgia,Latvia,Bolivia (Plurinational State of),Czechoslovakia,South Africa,Bulgaria,Ukraine
1961,21338.0,69829.0,66319.0,190000.0,,,,45455.0,,,,,,,,246087.0,36667.0,32554.0,,41667.0,,54621.0,,236364.0,306250.0,,,314389.0,,88563.0,,40079.0,110103.0,,,90596.0,,42222.0,,91816.0,66667.0,18836.0,76923.0,,165036.0,,,,,,,,,,,,,,74250.0,,,,,66893.0,,,,31000.0,73333.0,,,45000.0,30000.0,84713.0,132222.0,57439.0,,69676.0,,,137166.0,,,52909.0,,26250.0,,,,62500.0,,47220.0,144065.0,
1962,22414.0,70348.0,66319.0,193214.0,,,,54545.0,,,,,,,,205417.0,40625.0,19150.0,,41667.0,,53617.0,,240876.0,150000.0,,,293622.0,,74444.0,,56942.0,116267.0,,,93839.0,,42222.0,,97608.0,57273.0,20300.0,76923.0,,74783.0,,,,,,,,,,,,,,68471.0,,,,,57604.0,,,,31000.0,72414.0,,,45000.0,29730.0,83341.0,154444.0,48468.0,,69676.0,,,126175.0,,,49821.0,,24824.0,,,,62500.0,,44125.0,71280.0,
1963,28041.0,73873.0,67707.0,197027.0,,,,120000.0,,,,,,,,254583.0,40741.0,46066.0,,41667.0,,53268.0,,238095.0,287500.0,,,258156.0,,87240.0,,43140.0,148043.0,,,94333.0,,43333.0,,84350.0,58088.0,21090.0,78947.0,,121600.0,,,,,,,,,,,,,,80192.0,,,,,58189.0,,,,28500.0,76667.0,,,50000.0,30303.0,64218.0,91111.0,52366.0,,69676.0,,,141400.0,,,53621.0,,25200.0,,,,62500.0,,52868.0,122733.0,
1964,30467.0,79917.0,72369.0,188000.0,,,,220000.0,,,,,,,,193421.0,40541.0,50767.0,,42553.0,,53456.0,,260870.0,300000.0,,,273244.0,,52777.0,,73564.0,166667.0,,,94760.0,,43333.0,,108744.0,50000.0,27477.0,81250.0,,94583.0,,,,,,,,,,,,,,77134.0,,,,,50522.0,,,,31300.0,76667.0,,,53000.0,30556.0,82751.0,186667.0,30094.0,,80525.0,,,116845.0,,,54782.0,,24500.0,,,,62500.0,,53052.0,65778.0,
1965,29018.0,73513.0,70116.0,196875.0,,,,214545.0,,,,,,,,203333.0,40000.0,36484.0,,41935.0,,53196.0,,270270.0,125000.0,,,266800.0,,82107.0,,77179.0,110938.0,,,109929.0,,43956.0,,100165.0,50625.0,22910.0,85366.0,,89167.0,,,,,,,,,,,,,,101103.0,,,,,51334.0,,,,35000.0,75700.0,,,41000.0,30437.0,94554.0,107778.0,31345.0,,84440.0,,,99466.0,,,50100.0,,24800.0,,,,62500.0,,64992.0,78941.0,
1966,28150.0,77798.0,74243.0,95946.0,,,,107806.0,,,,,,,,139545.0,40541.0,53825.0,,41935.0,,53099.0,,238889.0,113333.0,,,285625.0,,53849.0,,67982.0,116635.0,,,109056.0,,43956.0,,76254.0,35333.0,28539.0,91954.0,,104000.0,,,,,,,,,,,,,,96552.0,,,,,36075.0,,,,31880.0,76955.0,,,30000.0,31513.0,94161.0,66923.0,37090.0,,85526.0,,,75031.0,,,46630.0,,24000.0,,,,62500.0,,48986.0,124904.0,
1967,30121.0,67860.0,64565.0,116857.0,,,,180164.0,,,,,,,,147447.0,40000.0,55556.0,,42857.0,,53313.0,,228571.0,58333.0,,,308738.0,,63982.0,,43857.0,103000.0,,,107055.0,,43956.0,,89704.0,34091.0,33867.0,94328.0,,140000.0,,,,,,,,,,,,,,103358.0,,,,,34845.0,,,,27917.0,83333.0,,,45000.0,30077.0,92285.0,93077.0,41905.0,,92929.0,,,40351.0,,,57105.0,,25200.0,,,,62500.0,,56341.0,69179.0,
1968,35119.0,85011.0,84970.0,77273.0,,,,284432.0,,,,,,,,160000.0,40476.0,65600.0,,42857.0,,52917.0,,263158.0,271429.0,,,302950.0,,97248.0,45722.0,23810.0,85417.0,,,107458.0,,43478.0,,82031.0,29600.0,33574.0,75623.0,,51078.0,,,,,,,,,,,,,,103385.0,,,,,30452.0,,,,46065.0,80000.0,,,25494.0,29355.0,90954.0,105833.0,43987.0,,96041.0,,,137337.0,,,68254.0,,24815.0,,,,62500.0,,45809.0,95953.0,
1969,26765.0,60613.0,56033.0,104545.0,,,,169495.0,,,,,,,,123214.0,40000.0,65957.0,,42308.0,,53117.0,,244444.0,214286.0,,,275163.0,,102212.0,43432.0,23810.0,104348.0,,,104081.0,,43478.0,,79397.0,33043.0,28539.0,70465.0,,71818.0,,,,,,,,,,,,,,109760.0,,,,,33969.0,,,,21333.0,84615.0,,,20899.0,29355.0,91889.0,92500.0,20127.0,,95431.0,,,139960.0,,,63534.0,,25263.0,,,,62500.0,,69450.0,102924.0,
1970,29077.0,67305.0,61673.0,121429.0,,,,143354.0,,,,,,,,91833.0,40426.0,66667.0,,41176.0,,53107.0,,243243.0,216667.0,,,298213.0,,109233.0,45636.0,23810.0,120682.0,,,83934.0,,43478.0,,123514.0,30400.0,32249.0,84132.0,,76812.0,,,,,,,,,,,,,,118448.0,,,,,31233.0,,,,44769.0,84615.0,,,26047.0,29333.0,88026.0,80000.0,42516.0,,91765.0,,,129556.0,,,74561.0,,20682.0,,,,60000.0,,54782.0,102058.0,
1971,30227.0,68205.0,64386.0,149545.0,,,,156419.0,,,,,,,,91077.0,40000.0,69048.0,,42222.0,,53289.0,,244444.0,140000.0,,,319000.0,,73686.0,44910.0,23810.0,103242.0,,,85136.0,,43011.0,,98105.0,27692.0,32943.0,80411.0,,73144.0,,,,,,,,,,,,,,119180.0,,,,,28516.0,,,,18488.0,80000.0,,,32440.0,29682.0,84766.0,135556.0,35556.0,,72269.0,,,102000.0,,,67592.0,,32727.0,,,,60000.0,,56509.0,94388.0,
1972,23008.0,83360.0,79760.0,130435.0,,,,193878.0,,,,,,,,85488.0,40000.0,70000.0,,42105.0,,53331.0,,238095.0,88333.0,,,322333.0,,89484.0,57746.0,23810.0,115591.0,,,74250.0,,43011.0,,63406.0,37500.0,40640.0,77957.0,,47158.0,,,,,,,,,,,,,,126250.0,,,,,38230.0,,,,43182.0,75000.0,,,53282.0,29879.0,81651.0,167222.0,22317.0,,86907.0,,,111765.0,,,80381.0,,26818.0,,,,60000.0,,65258.0,87383.0,
1973,33111.0,69434.0,62193.0,184348.0,,,,222467.0,,,,,,,,77455.0,40426.0,71053.0,,42407.0,,53563.0,,270588.0,103333.0,,,302683.0,,101846.0,52872.0,47619.0,133547.0,,,83760.0,,43011.0,,138296.0,45455.0,45259.0,79462.0,,51882.0,,,,,,,,,,,,,,108390.0,,,,,46343.0,,,,5000.0,71217.0,,,37932.0,29788.0,106850.0,135000.0,36707.0,,88604.0,,,115378.0,,,74251.0,,20889.0,,,,40000.0,,42685.0,57420.0,
1974,28022.0,73605.0,67576.0,108696.0,,,,242961.0,,,,,,,,86337.0,40000.0,72222.0,,50776.0,,53550.0,,242424.0,148333.0,,,285550.0,,88446.0,51854.0,45238.0,125399.0,,,59838.0,,43617.0,,115173.0,35714.0,30419.0,77482.0,,51491.0,,,,,,,,,,,,,,98731.0,,,,,36638.0,,,,8850.0,74556.0,,,45434.0,30000.0,102332.0,123636.0,44356.0,,87855.0,,,112000.0,,,83064.0,,27615.0,,,,54667.0,,52087.0,81386.0,
