,Ukraine,Georgia,India,Zimbabwe,Yemen,Belarus,Morocco,Cameroon,Poland,Germany,Armenia,Tunisia,Italy,Syrian Arab Republic,Brazil,Israel,Réunion,United Kingdom,China,Yugoslav SFR,Ireland,Malta,Greece,Afghanistan,Libya,Albania,Portugal,Iran (Islamic Republic of),Uzbekistan,Hungary,Japan,New Zealand,Bulgaria,Australia & New Zealand,Australia,France,Egypt,Algeria,Finland,"China, mainland",Lao People's Democratic Republic,Turkey,Lithuania
1961,-1.0,-1.0,500.0,-1.0,-1.0,-1,-1.0,-1.0,8100.0,-1.0,-1.0,100.0,1000.0,-1.0,-1,-1.0,-1.0,1000.0,-1.0,-1.0,-1,3684.0,-1.0,18100.0,200.0,-1,1000.0,30000.0,-1.0,-1.0,26600.0,30.0,1011.0,30.0,-1,2000.0,5.0,-1.0,-1.0,-1.0,3800.0,20100.0,-1.0
1962,-1.0,-1.0,500.0,-1.0,-1.0,-1,50.0,-1.0,4700.0,-1.0,-1.0,300.0,1000.0,-1.0,-1,-1.0,-1.0,1000.0,-1.0,-1.0,-1,3900.0,-1.0,18100.0,200.0,-1,1000.0,30000.0,-1.0,-1.0,23400.0,30.0,1210.0,30.0,-1,2000.0,5.0,-1.0,-1.0,-1.0,3800.0,17870.0,-1.0
1963,-1.0,-1.0,500.0,-1.0,-1.0,-1,50.0,-1.0,1300.0,-1.0,-1.0,200.0,1000.0,-1.0,-1,-1.0,-1.0,1000.0,-1.0,-1.0,-1,3632.0,-1.0,18100.0,200.0,-1,1000.0,32500.0,-1.0,-1.0,17800.0,40.0,1290.0,40.0,-1,2000.0,5.0,-1.0,-1.0,-1.0,3900.0,18910.0,-1.0
1964,-1.0,-1.0,500.0,-1.0,-1.0,-1,70.0,-1.0,2900.0,-1.0,-1.0,200.0,1000.0,-1.0,-1,60.0,-1.0,1000.0,-1.0,-1.0,-1,2940.0,-1.0,22100.0,200.0,-1,1000.0,34000.0,-1.0,-1.0,19600.0,50.0,1333.0,50.0,-1,2000.0,6.0,-1.0,-1.0,-1.0,4100.0,18500.0,-1.0
1965,-1.0,-1.0,800.0,-1.0,-1.0,-1,70.0,-1.0,4100.0,-1.0,-1.0,200.0,1000.0,-1.0,-1,40.0,-1.0,1000.0,-1.0,-1.0,-1,2246.0,-1.0,24400.0,200.0,-1,1000.0,36000.0,-1.0,-1.0,22400.0,60.0,1420.0,60.0,-1,2000.0,5.0,-1.0,-1.0,-1.0,4000.0,18400.0,-1.0
1966,-1.0,-1.0,800.0,-1.0,-1.0,-1,70.0,-1.0,8200.0,-1.0,-1.0,100.0,1000.0,2500.0,-1,-1.0,-1.0,1500.0,-1.0,-1.0,-1,2768.0,-1.0,27300.0,200.0,-1,1500.0,37000.0,-1.0,-1.0,11700.0,70.0,1624.0,70.0,-1,2000.0,-1.0,-1.0,-1.0,-1.0,4250.0,18500.0,-1.0
1967,-1.0,-1.0,800.0,-1.0,-1.0,-1,70.0,-1.0,7600.0,-1.0,-1.0,200.0,1000.0,3000.0,-1,-1.0,-1.0,1500.0,-1.0,-1.0,-1,2909.0,-1.0,33100.0,200.0,-1,1500.0,38500.0,-1.0,-1.0,22500.0,100.0,1624.0,100.0,-1,2000.0,-1.0,-1.0,-1.0,-1.0,4300.0,18600.0,-1.0
1968,-1.0,-1.0,1000.0,-1.0,-1.0,-1,100.0,-1.0,9000.0,-1.0,-1.0,100.0,1800.0,4681.0,-1,-1.0,-1.0,1500.0,-1.0,-1.0,-1,3220.0,-1.0,33500.0,200.0,-1,1500.0,39500.0,-1.0,-1.0,20500.0,140.0,3377.0,140.0,-1,2000.0,-1.0,-1.0,-1.0,-1.0,4400.0,18800.0,-1.0
1969,-1.0,-1.0,1000.0,-1.0,-1.0,-1,150.0,-1.0,8700.0,-1.0,-1.0,300.0,2000.0,2906.0,-1,-1.0,80.0,1500.0,-1.0,-1.0,-1,2765.0,-1.0,33800.0,200.0,-1,2000.0,42000.0,-1.0,-1.0,15000.0,200.0,2621.0,200.0,-1,2000.0,-1.0,-1.0,-1.0,-1.0,4500.0,19000.0,-1.0
1970,-1.0,-1.0,1000.0,-1.0,-1.0,-1,150.0,-1.0,6700.0,-1.0,-1.0,200.0,3200.0,3439.0,-1,-1.0,80.0,1500.0,-1.0,-1.0,-1,2909.0,-1.0,32800.0,200.0,-1,2000.0,43000.0,-1.0,-1.0,18600.0,250.0,2125.0,250.0,-1,2000.0,-1.0,-1.0,-1.0,-1.0,4600.0,21000.0,-1.0
