Education - Pupil-teacher ratio in primary education (headcount basis),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia/Herzegovina,Botswana,Brazil,British Virgin Is,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Rep.,Chad,Channel Islands,Chile,China,"China, Hong Kong","China, Macao",Colombia,Comoros,Congo,"Congo, Dem. Rep.",Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d'Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, DPR","Korea, Rep.",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Is,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Republic of Moldova,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre/Miquelon,Saint-Martin,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St Vincent/Grenadines,Sudan,Suriname,Svalbard/Jan Mayen Is,Swaziland,Sweden,Switzerland,Syrian Arab Republic,TFYR Macedonia,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Is,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,"Virgin Islands, USA",Wallis and Futuna Is,Western Sahara,Yemen,Zambia,Zimbabwe
1970,41.2233200073242,,,,,,,,19.245210647583,,,,,,,,46.4823417663574,,,,,,,20.7316493988037,,,,36.4844017028809,28.0101890563965,,23.479829788208,,,,,,,,,,,,,28.8695201873779,,,38.2076911926269,,,,20.2817897796631,29.8104095458984,,,,,,43.0346298217773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9717597961426,,,,,35.2889213562012,,,,28.9300003051758,,,,,,,,,,,,,,,,,,,,44.2532806396484,,,,,22.5272407531738,,,30.9800796508789,,,,,,,31.7907390594482,,,,,,,,,,,,,21.6713905334473,,,,37.3165512084961,,34.0839385986328,15.7746496200562,,,,,,,27.068920135498,29.6758804321289,32.2938003540039,35.4895515441895,,,,,,,,,,,,,,,,,23.2749805450439,,,,,,24.2099704742432,,29.6531505584717,,,,24.033899307251,,,,,,,,,,40.4777297973633,,,,,,46.7543792724609,,,,,27.1504592895508,,,,,,,33.9770889282227,,,,,29.4858894348145,,23.4575805664062,,,,,,,46.7728309631348,
1971,39.1053886413574,,40.0005912780762,,,44.3868789672852,,,19.0016498565674,,,25.1165294647217,21.4359893798828,,45.4625205993652,,42.9759407043457,,,19.7614898681641,,41.3682403564453,23.4193496704102,20.2255992889404,,,,32.6297798156738,,22.9361705780029,21.118070602417,,44.4519004821777,36.6817398071289,38.2301406860352,16.8477001190186,47.6901702880859,,,63.6921997070313,64.8902282714844,,,29.147289276123,33.0437812805176,28.2754001617432,38.3983993530273,41.6814384460449,61.8524894714355,42.5662498474121,22.0144901275635,29.5292301177979,,27.0599594116211,,30.3333301544189,27.0268497467041,45.0192489624024,,35.6777801513672,,55.3845291137695,36.9799690246582,37.9802513122559,,,,,48.4998512268066,,,,22.24827003479,,,,45.5110816955566,27.4679508209228,,,,,30.9328498840332,,37.9437484741211,,,36.2862586975098,43.6628608703613,45.4123382568359,29.0934200286865,46.8334007263184,35.8371810913086,,19.570499420166,41.4521408081055,29.0193691253662,32.4388618469238,22.0558204650879,,,,21.6204700469971,46.6999893188477,26.3925895690918,38.8278312683105,,,,,56.8702812194824,21.2413501739502,,36.0216293334961,,,44.2233695983887,,28.464319229126,,,19.7314300537109,65.0315399169922,,,,40.0517082214356,25.5073299407959,,,24.0007495880127,31.6367607116699,,45.9079284667969,17.8547801971436,,30.4195804595947,,,34.2876281738281,68.8240966796875,46.6244888305664,,17.2000007629395,,29.6971302032471,,20.7106399536133,37.4494018554687,38.9424209594727,33.3893890380859,,,19.5621204376221,17.7448997497559,41.4676208496094,,,26.4354705810547,29.0678195953369,31.492000579834,35.9998092651367,28.5809497833252,,,,,19.4624404907227,,,,59.652530670166,,,,,,,26.6552791595459,18.4157295227051,33.2767486572266,,45.2310295104981,,24.7989807128906,32.3039703369141,29.9152507781982,,,,23.7207508087158,43.5402717590332,,,30.7890090942383,,,,36.925609588623,,37.7071189880371,19.9782791137695,,36.8014984130859,,,45.8884696960449,34.6730194091797,,58.4561309814453,,25.3333301544189,34.4668617248535,47.4704704284668,37.8038902282715,,15.2358503341675,,34.7065315246582,,27.3064498901367,23.3272895812988,,28.6498394012451,,24.1406593322754,34.8211402893066,,,,,,49.6193199157715,
1972,40.3831405639648,,,,,42.8418388366699,,25.1101703643799,18.7766208648682,,,24.2074108123779,21.5388202667236,,42.8415412902832,,47.0079002380371,,,,,44.2598609924316,21.3498592376709,22.1388893127441,,,,33.1017417907715,,21.6276607513428,20.7388401031494,,47.157829284668,36.0012016296387,35.3761596679688,,48.5479888916016,,,65.9406509399414,66.0043029785156,,,27.3777809143066,32.2373504638672,29.1366996765137,34.5665283203125,39.3434295654297,64.195686340332,43.5017814636231,,29.0738105773926,,28.5622005462646,,28.9084892272949,27.0271797180176,46.1484298706055,,30.5613994598389,,55.7132301330566,37.0863800048828,,,,,,47.165641784668,,,,21.7829208374023,,,,43.7452392578125,28.4877700805664,,,,22.6094703674316,30.8742599487305,,33.7047500610352,,,36.2813186645508,37.0664596557617,52.2158699035645,,52.3581390380859,36.2911682128906,,19.1027297973633,41.6202697753906,29.4300098419189,31.3282299041748,22.0163192749023,,,,21.4196891784668,40.9397087097168,25.493480682373,38.3177680969238,,,26.2937908172607,,55.9721717834473,19.9978008270264,,37.9070816040039,,,44.8180885314941,,28.2785491943359,,,20.038890838623,64.5820693969727,,,,40.9179992675781,25.0985298156738,,,22.0365905761719,31.4264907836914,,46.6322708129883,,20.9295806884766,31.2141799926758,,,35.3172416687012,60.0165481567383,44.9655609130859,,,19.2147808074951,29.2073192596436,,20.2163696289062,37.5586700439453,37.4441413879395,33.6660499572754,15.8615398406982,,17.9857597351074,34.453929901123,38.9819793701172,,,25.8719291687012,27.6680698394775,31.1854190826416,36.2216415405273,28.3358993530273,,,,,19.9441890716553,,,,56.5297088623047,,,,28.6373901367187,,,22.6569900512695,17.051549911499,34.1461791992187,,44.0883407592773,,24.6308097839355,31.5517101287842,32.6715812683105,,,,23.5018405914307,45.1394500732422,,,26.0101509094238,,19.5586395263672,,33.5294990539551,,37.8873405456543,19.4562397003174,,36.019588470459,,,45.5251312255859,,,60.3781318664551,,25.8037395477295,33.3977203369141,,36.1119499206543,,19.8999996185303,,32.5930404663086,,23.6899394989014,22.6374607086182,,25.6637306213379,,23.5721492767334,34.0151405334473,,,,,,47.1695518493652,
1973,38.3216094970703,,,,,40.8913803100586,,,18.9639301300049,,,23.5920906066895,21.2692604064941,,,21.331579208374,50.0437088012695,,,,,47.2875213623047,20.8983097076416,,,,,35.4006690979004,,22.7446804046631,20.1519298553467,,47.1833915710449,34.6413803100586,,23.5405902862549,48.8346481323242,,,65.4289627075195,,,,28.5338802337646,32.1755294799805,,33.9122200012207,37.6847991943359,63.4310493469238,40.9043083190918,,28.8949794769287,,28.8233890533447,,27.9921493530273,27.0270099639893,43.5713500976563,,37.7718391418457,34.7877006530762,54.7738609313965,37.5264282226563,,,,,,44.3422088623047,,,,19.7615795135498,,,,49.6476402282715,28.6868495941162,,,,21.7984504699707,32.2359580993652,,35.2267189025879,,,35.3457908630371,42.5582809448242,,,50.9052505493164,35.9216194152832,,18.5654792785645,42.5353202819824,29.9000091552734,35.494930267334,23.6045799255371,,,,21.0142402648926,,25.2949104309082,38.2849311828613,,,31.1051197052002,,54.6585693359375,19.279260635376,,37.3388290405273,,,47.4459609985352,,25.6345500946045,,,19.2635192871094,62.1474189758301,,,,40.3409309387207,24.1590003967285,,,,29.3349800109863,,,,,,,,35.006778717041,69.2626724243164,46.3921585083008,,,20.8202991485596,29.124870300293,,19.7401504516602,40.2940406799316,40.084228515625,34.2466011047363,12.9027795791626,,16.8140602111816,33.8102493286133,41.2875213623047,,,26.8148899078369,29.3314094543457,31.1271190643311,37.0469703674316,28.0031299591064,,,26.5014591217041,,20.2128601074219,,,,52.6562118530273,,,,32.8781700134277,,,27.109790802002,17,,,45.9938316345215,,24.4061794281006,,31.0088901519775,,,,23.3841896057129,44.1533508300781,,,,,,,32.5,,38.6808700561523,17.1856594085693,,36.3240203857422,,,46.5973587036133,,,59.4861717224121,,26.0343208312988,32.8703804016113,43.999210357666,33.125171661377,,,,32.0813217163086,,19.6361904144287,21.7212390899658,,25.4280300140381,,26.3365306854248,33.5935516357422,,,,,,47.8861694335938,40.8828201293945
1974,37.2153701782227,,,,,32.3268508911133,,25.490909576416,19.1015090942383,,,21.645959854126,20.6315498352051,,,24.1619300842285,51.5586204528809,,,19.2536392211914,,45.796630859375,20.7658996582031,23.8104095458984,,,,34.0370903015137,,,19.4109802246094,,45.0327911376953,31.5077095031738,46.2771492004395,,51.429328918457,,,65.0162200927734,,,,29.0027809143066,31.8895606994629,29.8890495300293,32.8813018798828,41.8664283752441,63.0404281616211,,,29.0991897583008,,26.1996994018555,,27.6573696136475,27.0275192260742,46.0756187438965,,37.2227096557617,38.0535697937012,52.9006996154785,38.2021713256836,,,57.1063499450684,,,46.1134300231934,,,,18.5072498321533,,,,48.8123092651367,25.4282207489014,,,30.6696796417236,19.4689693450928,30.9776592254639,,36.8180618286133,,,34.887939453125,43.415340423584,,32.3823890686035,42.0464706420898,35.9834213256836,,18.4488391876221,42.5202484130859,29.4768104553223,30.3825397491455,24.1028003692627,,,,20.2324905395508,,24.8480892181396,37.4491386413574,,,,,53.0704612731934,18.6105308532715,,,,,52.6789093017578,,23.755199432373,,,18.5729694366455,63.2372894287109,,,,43.0378303527832,18.9575099945068,,,,27.3737392425537,,44.1572418212891,,,,,25.7196292877197,35.597469329834,,,,,26.8381309509277,28.5355606079102,,19.3665199279785,38.2127418518066,40.3643989562988,,,,,30.3178691864014,41.6008415222168,,,27.0716209411621,30.421070098877,27.7413597106934,37.5523681640625,28.0610008239746,,,24.5679397583008,,19.7626991271973,,,,51.144660949707,,,,31.8632297515869,,,,17.0909099578857,,,40.7616386413574,,24.8918304443359,,30.7524795532227,,,,26.7843894958496,47.2369995117188,,,,,,,30.8455791473389,,38.7882881164551,16.8616695404053,,36.7523498535156,,,49.0541496276856,30.1039390563965,,59.5032501220703,,25.3473091125488,31.633939743042,,34.0289115905762,,,,33.3382415771484,,17.1765594482422,21.0932197570801,,22.9352207183838,,24.3660907745361,32.9137687683105,,,,,,47.9945793151856,40.653751373291
1975,37.3069305419922,,41.9642181396484,,15.3873195648193,,,23.7804298400879,18.2205905914307,,,20.8281192779541,20.2713394165039,,26.7287292480469,22.9462394714355,50.6920013427734,,,,,51.8334693908691,21.2892303466797,,,,,33.1413497924805,,20.8999996185303,19.0322399139404,,47.4987602233887,31.1416206359863,42.314811706543,,51.6281814575195,,,68.3403015136719,,,,29.2908592224121,31.3026695251465,32.4213104248047,32.0706787109375,,60.7943801879883,,,29.0693492889404,,24.2447395324707,,27.2613105773926,27.0269203186035,44.5302391052246,,37.0756988525391,37.9291801452637,51.5687103271484,37.4902801513672,,,,,,46.0324211120606,,,,17.4761390686035,22.5203495025635,,,50.3345794677734,25.9536991119385,,,30.3399600982666,18.3933296203613,30.4631996154785,,,,,34.5924186706543,44.1711196899414,,,39.8533592224121,35.3195915222168,,19.5228404998779,41.9317283630371,29.464319229126,30.5075302124023,26.4479103088379,30.0230598449707,,13.8982400894165,19.6686592102051,39.5306396484375,24.8279800415039,35.6720085144043,,,33.1002197265625,,52.2987518310547,17.7825107574463,,,,,52.5134887695313,,22.8733501434326,,,20.0464992523193,60.6278381347656,,31.9047393798828,,41.0025596618652,,,,33.1257400512695,26.0012092590332,,45.4479103088379,,,30.8846492767334,,24.4444408416748,36.7404518127441,,,,,28.7445201873779,27.5827503204346,,,38.7357406616211,40.6805610656738,,12.6615400314331,,,24.2275905609131,40.4412498474121,,,26.8566493988037,31.5836391448975,29.3706302642822,39.10498046875,28.592399597168,,,21.4220790863037,24.0004405975342,20.2609100341797,,,,49.2384796142578,,,,31.6539707183838,,,23.4309196472168,15.8691596984863,,,41.5131912231445,,23.9065399169922,31.9859790802002,30.4723892211914,,,,26.3482704162598,,,,,,,,30.5387706756592,,37.8874282836914,16.0344104766846,,34.6212310791016,,,53.552921295166,30.150749206543,,58.5468292236328,,27.9941902160645,30.9081592559814,40.9688186645508,33.553840637207,,17.2978706359863,,33.9459609985352,,14.7521095275879,20.5504302978516,,23.7696704864502,,,31.4902801513672,,,,,,48.2091102600098,40.6912612915039
1976,35.7574691772461,,40.9459609985352,,,,,21.6412200927734,18.070520401001,,,20.0491104125977,19.0279407501221,,24.5030899047852,21.9456901550293,50.2992401123047,,,19.3715400695801,,53.4292793273926,,,,,,32.0295791625977,,18.5486698150635,18.358549118042,,47.1061096191406,30.8637790679932,52.1271095275879,,50.5605812072754,,,66.5160675048828,,,,29.0103797912598,31.0950794219971,27.5670700073242,32.2502098083496,47.3783111572266,58.7230415344238,,,28.2091293334961,,23.179370880127,,26.9405002593994,27.0275592803955,43.8017311096191,,36.4328384399414,,50.8109512329102,37.678768157959,35.3586692810059,,,,,44.3134994506836,,,,18.5244102478027,22.5222797393799,,,48.2552604675293,25.9673004150391,,,30.7560806274414,17.7721500396729,30.2306709289551,,,,,33.5932312011719,39.9535903930664,37.8594512939453,32.1421508789062,41.2267303466797,35.4025917053223,,19.1434803009033,42.1130485534668,30.3480892181396,29.376220703125,25.4411106109619,30.9967803955078,,12.7447700500488,18.9347400665283,,25.7477798461914,34.6634292602539,,,30.6028709411621,,51.7828598022461,17.5817604064941,,26.7662105560303,,,52.4460182189941,,22.8584499359131,,,19.3491096496582,60.1391181945801,,,,40.6233711242676,20.9950695037842,,,35.0694885253906,24.6793804168701,,44.7818183898926,,,,,24.8584899902344,,,52.4633407592773,,,30.9908504486084,27.580020904541,,18.4495506286621,38.1723594665527,39.3093681335449,33.8747711181641,,,,26.5746994018555,40.1872901916504,,,28.3876705169678,31.0790901184082,28.8469905853271,40.0987396240234,29.017520904541,,,20.2499294281006,24.0012893676758,18.8618202209473,,,,50.0524787902832,,,,31.331579208374,,,21.6921291351318,14.5862102508545,33.8625602722168,,41.1657600402832,,22.8735599517822,32.3097381591797,29.8447704315186,,,,25.4915103912354,56.7957496643066,,,,29.9255695343018,18.0611591339111,,31.4149703979492,,36.896541595459,20.4381198883057,,33.8625793457031,,,49.7731704711914,27.9619197845459,,59.6866798400879,,25.3898296356201,30.7576904296875,39.999439239502,31.9453907012939,,21.2530097961426,,34.8368911743164,,16.3607006072998,20.0330600738525,,23.4219608306885,,,30.3517303466797,36.116039276123,,,,,47.5596885681152,40.490779876709
1977,,,39.5084114074707,,,,,26.0429592132568,18.4577693939209,,,19.4690704345703,,,22.5321102142334,22.7333297729492,47.1829414367676,,,19.2280502319336,,48.3361587524414,17.6844902038574,24.3479900360107,,,,30.5428295135498,,,18.2782497406006,,47.7816886901856,30.9394607543945,45.9558601379395,,49.7823181152344,,25.386360168457,66.8992919921875,,,,28.3711490631104,30.8129005432129,20.6521701812744,32.379150390625,,,,,,,21.6183795928955,,25.5968608856201,27.0274906158447,43.1536598205566,,,38.0303001403809,,35.898681640625,33.3698196411133,,,,,44.9921989440918,,,,16.00657081604,22.496919631958,,,47.4865303039551,27.1414909362793,,,29.8876304626465,17.8466701507568,28.7406902313232,,32.0047416687012,,,34.5194091796875,44.8939895629883,,32.3861618041992,39.4283905029297,34.5418395996094,,,,36.0010681152344,28.476490020752,27.5917797088623,31.0822906494141,,12.3752298355103,17.4536590576172,37.1650314331055,25.7912693023682,34.5082817077637,,,31.4459800720215,,50.2486686706543,17.2128200531006,,29.8188896179199,,,52.5137100219727,,19.9714603424072,,,,54.7762489318848,,31.5000591278076,,40.6578903198242,20.1850891113281,,,38.7356109619141,23.1447105407715,,44.2208595275879,,,,,24.7999992370605,,85.0999984741211,53.1273498535156,,,32.872371673584,27.4684906005859,,18.5245304107666,37.7378807067871,39.6902198791504,34.7901611328125,14.0799999237061,,,24.8236198425293,41.4708709716797,,,27.2215995788574,29.643669128418,,39.9997901916504,30.87912940979,,,19.2810802459717,24.0001602172852,18.3485794067383,,,,53.1981391906738,,,,32.6282997131348,,,21.5579490661621,14.213680267334,,,43.3410987854004,,,32.1614112854004,29.6132392883301,,,,24.6866207122803,35.0198783874512,29.4695606231689,,,30.2447395324707,,,28.8322296142578,,36.2406387329102,,,32.7254486083984,,,50.1691398620605,30.2180099487305,,60.5669403076172,,,29.3721008300781,40.3801002502441,30.1647491455078,,21.6867504119873,,35.0007095336914,,15.6713104248047,20.1076393127441,,23.701940536499,,25.2216892242432,29.4288501739502,35.5771789550781,,,,,48.1876983642578,40.0855293273926
1978,,,37.5811080932617,,,,,24.5386505126953,,,,19.3370990753174,16.3882102966309,,,20.7275199890137,44.1556701660156,27.9739208221436,,19.4180107116699,,46.4192199707031,20.2695903778076,24.0724792480469,,,,31.342170715332,,,16.5596199035645,,49.9213485717773,32.4364891052246,42.1373901367187,,50.0224990844727,,,64.66259765625,,,,27.9709091186523,30.1380004882812,27.2135105133057,32.5087089538574,,51.7956581115723,,,,,19.6392192840576,,23.778450012207,29.411319732666,43.0408515930176,,,,,35.5370101928711,34.526481628418,,,,,39.6726493835449,,,,16.8408508300781,,,,49.069091796875,25.1919593811035,,,28.1648502349854,17.25465965271,26.9148998260498,,32.1606597900391,,,34.7554016113281,42.303409576416,,30.9739894866943,41.2396812438965,36.2400703430176,,,,37.1765213012695,32.4801597595215,26.243480682373,30.9924507141113,,12.3116798400879,17.1060009002686,,25.763650894165,32.4911804199219,,,31.4242401123047,,48.8014488220215,17.1059303283691,,29.8445606231689,,,51.6903381347656,,21.9528694152832,,,19.808629989624,51.1101493835449,,30.9306697845459,,42.8836402893066,,,,41.3337097167969,21.7754993438721,,43.8922691345215,,,,,23.26881980896,,84.4381103515625,48.6730194091797,,,35.5141181945801,26.7070903778076,,18.4993190765381,37.0158195495605,41.0416488647461,32.2257308959961,15.7391300201416,,,24.1306304931641,37.3258781433105,,,26.3547401428223,30.6368999481201,28.1444206237793,39.733528137207,30.665210723877,,,19.121789932251,,16.5282192230225,,,,56.9969291687012,,,,32.624340057373,,,19.6838893890381,12.2954502105713,26.8728694915771,,42.3387489318848,,23.7072601318359,32.140941619873,28.713830947876,,,,26.4841594696045,27.2335605621338,28.4788799285889,,,31.9333095550537,,,27.7055606842041,,35.2961807250977,,,32.0010414123535,,,46.1783218383789,28.880199432373,,58.1210899353027,,25.9264106750488,28.5813293457031,39.4412498474121,29.6234397888184,,21.1499996185303,,35.3349609375,,16.0464191436768,19.9437694549561,,23.5791893005371,,22.0141296386719,28.9011497497559,34.145320892334,,,,,48.5441398620606,36.6595916748047
1979,,,36.761058807373,,,,,24.5051307678223,18.5162506103516,,,18.8736000061035,17.0871391296387,,,20.3944606781006,43.9203300476074,27.3877906799316,,19.0015602111816,,56.0429916381836,22.7519092559814,25.2486095428467,,,,32.2154998779297,,20.5714302062988,18.0651798248291,,52.3202590942383,32.7968482971191,37.9027099609375,,50.4796104431152,,,61.8340606689453,,,,27.9831600189209,30.212869644165,30.1435699462891,31.1437397003174,,52.5118598937988,,,26.7251205444336,,18.750560760498,,23.9986705780029,29.4117298126221,41.0687599182129,,39.4441299438477,,,37.2813186645508,34.4452590942383,,,,,47.3779411315918,,,,16.1849098205566,20.1511993408203,,,45.8448791503906,25.9629306793213,,,27.290060043335,18.6190490722656,25.8122596740723,,31.4375,,,34.6862106323242,38.1507301330566,28.0020809173584,32.5769882202148,41.456428527832,39.6601791381836,,,42.8983192443848,,,28.2278308868408,30.0386905670166,,12.1715898513794,16.9431705474854,43.8324890136719,25.7896995544434,32.2347106933594,,,30.7505798339844,,48.6300086975098,17.5466194152832,,31.3411502838135,,,49.268928527832,,20.3717098236084,,,18.9855098724365,46.0287284851074,,30.9030799865723,,42.638801574707,,,,44.3769493103027,19.8241195678711,,,,,,,,,87.4590377807617,47.7677001953125,,,38.3766708374023,25.5279293060303,,19.449779510498,34.5985412597656,41.0008811950684,33.857349395752,14.5813999176025,,,22.5565795898437,37.4891090393066,,,24.7794609069824,29.8382701873779,27.9619102478027,38.8026390075684,,,,18.7517795562744,,14.9095401763916,,,,60.6149482727051,,,,31.472469329834,,,20.0610408782959,12.0303001403809,,18.7467098236084,42.9214401245117,,24.6370391845703,,27.7219791412354,,,,25.3267593383789,32.3978614807129,27.7826995849609,,,,,,27.7248992919922,,35.0155792236328,,,30.5042705535889,,,41.5312194824219,,,55.4336891174316,,24.1369209289551,27.9991798400879,39.2350997924805,29.7868003845215,,,,33.5834999084473,,16.2331199645996,19.369010925293,,23.8162498474121,,,28.9276008605957,34.6154518127441,,,,,44.3523406982422,45.0077896118164
